PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-06-30,17:04:48.61,1,1,"Kickham, Mike",592464,Left,HAG_FLY,"Norman, Ben",680421,Left,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.56123,-0.679297,3.551605,2418.090935,196.79789,12:30,5.88456,-2.47855,5.51317,-33.01604,5.54044,1.33374,2.49678,0.95788,79.013,-6.71579,3.788657,0.44691,,,,,,,,,,,,0.24024,3.32016,2.16776,50,5.80303,-7.75857,-124.10454,-2.64484,0.37739,23.16281,-26.95863,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,5e23a780-3724-11ef-9daa-fda54de08204,84.34011,,,6.54823,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:04:48.61,2024-06-30T17:04:48.6162368-04:00,2024-06-30T21:04:48.6162368Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,78f40681-78ec-48f0-b326-96ae3474eec2,54.98531,-125.03154,11.58141,5.88729,-1.56593,-13.47931,2.47856,-7.77368,0.18869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-06-30,17:05:05.04,1,2,"Kickham, Mike",592464,Left,HAG_FLY,"Norman, Ben",680421,Left,STA_YAN,Undefined,1,Top,0,0,1,Undefined,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.89706,-0.78934,3.565759,2430.860319,204.627869,12:45,5.74954,-2.67365,5.68396,-29.04391,7.31996,2.86256,2.592,0.89282,80.97703,-6.133536,4.075921,0.434017,,,,,,,,,,,,-0.52398,4.24453,2.37131,50,5.66465,-8.06419,-127.50754,-2.77125,-0.86674,25.04025,-25.15271,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,67e3fe00-3724-11ef-9daa-fda54de08204,86.84561,,,6.92003,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:05:05.04,2024-06-30T17:05:05.0440640-04:00,2024-06-30T21:05:05.0440640Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,8285b00c-4e12-478a-9f1f-907dad29e43c,54.81523,-128.44968,12.52013,5.75112,-1.82487,-12.57636,2.67411,-8.03158,-0.43337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-06-30,17:05:26.86,1,3,"Kickham, Mike",592464,Left,HAG_FLY,"Norman, Ben",680421,Left,STA_YAN,Undefined,1,Top,0,0,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.17727,-1.164119,3.293273,2405.575809,299.089266,4:00,5.97279,-2.54088,5.35771,-42.92085,-2.66886,6.96095,1.3024,1.131,77.80108,-8.919773,4.529018,0.456631,,,,,,,,,,,,-2.61118,-0.68224,2.23949,50,5.8372,-7.31364,-122.06561,-4.06144,-3.94519,23.71312,-33.20485,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,74ec5390-3724-11ef-9daa-fda54de08204,82.54468,,,6.3762,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:05:26.86,2024-06-30T17:05:26.8670000-04:00,2024-06-30T21:05:26.8670000Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,a7ca6e1d-acb1-4abb-91ad-5f2fdf6bc2ab,55.1421,-123.06049,11.85656,5.97837,-2.66833,-16.60242,2.54286,-7.14812,-1.9726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.49924,,,1.042065,,,,-1.0242,5.72023,-3.35957,80.87339,8.11283,-44.12536,-0.90978,84.18273,-5.41991,5.79529,16.41396,-13.58122,-3.45606,-43.29469,4.05207,High,High,High,,,High,Medium,High
4,2024-06-30,17:05:52.46,2,1,"Kickham, Mike",592464,Left,HAG_FLY,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.92999,-1.289132,2.804452,2366.305729,142.504199,10:45,5.80308,-2.44402,6.08408,-27.04344,7.84953,-5.23166,2.35524,-0.28349,81.97848,-6.311632,1.862956,0.425148,,,,,,,,,,,,3.43051,4.70744,2.23015,50,5.68908,-6.11492,-129.16073,-3.80032,5.83235,25.28323,-24.17074,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,8430b670-3724-11ef-9daa-fda54de08204,88.65717,,,6.95151,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:05:52.46,2024-06-30T17:05:52.4664768-04:00,2024-06-30T21:05:52.4664768Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,9431d5e7-00ff-463c-a84b-3d98c78ae3cb,54.4144,-130.02198,12.64161,5.80451,-2.97697,-12.08537,2.44183,-6.3136,2.91617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-06-30,17:06:05.63,2,2,"Kickham, Mike",592464,Left,HAG_FLY,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,1,0,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.5591,-2.664636,3.930649,1893.746119,97.435534,9:15,5.92637,-2.536,5.69609,-34.69785,3.45567,-16.18064,0.5441,-0.21572,78.75759,-9.034306,1.038345,0.444568,,,,,,,,,,,,9.51796,2.94669,2.21607,50,5.68031,-7.9364,-125.23014,-7.05245,14.93675,28.06957,-27.54975,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,8c0a2480-3724-11ef-9daa-fda54de08204,84.78433,,,7.80151,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:06:05.63,2024-06-30T17:06:05.6390592-04:00,2024-06-30T21:06:05.6390592Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,d290ac8f-8825-4558-b2f6-311dadd2aa46,54.8027,-126.30204,14.03478,5.92954,-6.00039,-13.77487,2.53003,-8.50679,7.46838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-06-30,17:06:20.79,2,3,"Kickham, Mike",592464,Left,HAG_FLY,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,1,0,2,Undefined,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,88.0572,-1.166855,2.313697,2376.193082,160.361662,11:15,5.82149,-2.33053,6.15949,-25.41757,10.08028,-3.2189,2.62439,-0.46023,81.05816,-5.912685,1.733391,0.428817,,,,,,,,,,,,2.28988,5.84823,2.1566,50,5.71975,-5.0441,-127.95542,-3.40742,3.81433,25.23467,-22.43252,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,9507c740-3724-11ef-9daa-fda54de08204,87.89856,,,6.99904,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:06:20.79,2024-06-30T17:06:20.7984064-04:00,2024-06-30T21:06:20.7984064Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,04887326-ea12-41be-b347-b359dc61cff1,54.33958,-128.80841,12.61733,5.82211,-2.64916,-11.21626,2.32928,-5.17303,1.90717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-06-30,17:06:59.48,3,1,"Kickham, Mike",592464,Left,HAG_FLY,"De Aza, Alejandro",457477,Left,STA_YAN,Undefined,1,Top,2,0,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.44761,-0.277305,4.029355,2336.069678,193.636663,12:30,5.77696,-2.58556,5.51517,-31.32092,5.09272,1.01906,2.90695,1.27319,81.80235,-5.977544,4.210225,0.434314,,,,,,,,,,,,0.34642,2.9226,2.23332,50,5.73147,-8.98747,-126.97831,-1.75669,0.57846,20.46134,-27.294,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,ac24add0-3724-11ef-9daa-fda54de08204,86.78624,,,5.64526,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:06:59.48,2024-06-30T17:06:59.4851776-04:00,2024-06-30T21:06:59.4851776Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,687ccc98-daec-4a16-af9d-b0c136ff3128,54.98507,-127.77908,10.23067,5.77931,-0.68852,-13.647,2.5855,-9.01012,0.28923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-06-30,17:07:17.44,3,2,"Kickham, Mike",592464,Left,HAG_FLY,"De Aza, Alejandro",457477,Left,STA_YAN,Undefined,1,Top,2,1,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.9077,-0.447241,3.237342,2320.220065,175.717476,11:45,5.79514,-2.6258,5.57102,-24.63214,11.81627,-0.80402,3.32404,0.33431,80.8608,-5.008452,3.09429,0.434521,,,,,,,,,,,,1.24417,6.43126,2.34721,50,5.74048,-7.1787,-127.53086,-1.84239,2.06293,24.56608,-21.51067,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,b6d64220-3724-11ef-9daa-fda54de08204,86.74483,,,7.0469,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:07:17.44,2024-06-30T17:07:17.4495680-04:00,2024-06-30T21:07:17.4495680Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,cf17857e-f0be-4ef9-868a-ce06620147b5,54.92625,-128.47629,12.28304,5.79545,-1.01455,-10.75533,2.62501,-7.2581,1.03147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-06-30,17:07:35.77,3,3,"Kickham, Mike",592464,Left,HAG_FLY,"De Aza, Alejandro",457477,Left,STA_YAN,Undefined,1,Top,2,2,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.56421,-0.416717,4.298642,2389.310699,169.576265,11:45,5.7757,-2.46287,5.39496,-32.76667,4.13823,-0.57102,2.65352,1.52554,81.06373,-6.381759,4.197551,0.437234,,,,,,,,,,,,1.34567,2.51358,2.07912,50,5.71533,-9.51611,-126.9312,-2.14607,2.22017,23.23398,-28.02695,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,c1cc3270-3724-11ef-9daa-fda54de08204,86.20665,,,6.50049,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:07:35.77,2024-06-30T17:07:35.7717952-04:00,2024-06-30T21:07:35.7717952Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,2f7b31a0-02a7-4e8a-b37a-49b445b43f63,55.10379,-127.862,11.61699,5.77882,-1.02325,-14.01347,2.46214,-9.60506,1.11009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-06-30,17:07:54.07,3,4,"Kickham, Mike",592464,Left,HAG_FLY,"De Aza, Alejandro",457477,Left,STA_YAN,Undefined,1,Top,2,3,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.32259,-1.249906,2.596035,2391.863948,189.827019,12:15,5.75635,-2.70921,5.31668,-32.94581,5.07473,0.69126,1.83643,-0.21355,79.94566,-7.242864,2.718717,0.443793,,,,,,,,,,,,0.30256,3.18335,2.47342,50,5.61905,-5.71096,-125.30449,-3.95253,0.48567,23.04655,-27.06432,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20240630-HagerstownBallpark-1,cca30200-3724-11ef-9daa-fda54de08204,84.93246,,,6.37693,,,,,,,d805b198-2acc-4857-a02c-2fbdfa0a27ad,2024-06-30,21:07:54.07,2024-06-30T17:07:54.0770240-04:00,2024-06-30T21:07:54.0770240Z,,v3,6089,586,,"Marrero, Alan",669909,Right,HAG_FLY,c2676175-34c0-4103-9190-c0495ee198a5,55.18252,-126.25408,11.52327,5.75893,-2.8374,-13.53216,2.70914,-5.73097,0.24283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
