GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
610dc635-1e30-4ad3-aca4-046f71d7ef88,1,40fae4e0-37fe-11ef-98d0-19806bc241c6,ee98d9a7-e3c4-4989-bf84-4853a20bb622,2024-07-01,19:04:21.46,2024-07-01,23:04:21.46,2024-07-01T19:04:21.4687970-04:00,2024-07-01T23:04:21.4687970Z,SOU_MAR3,BET_BIG,BallCalled,Undefined,NoShift,93.55283,70.73405,142.40797,45.81095,76.05209,-48.72816,148.75607,-28.14864,241.95049,-112.3657,308.94645,22.48389,265.34028,136.21236,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,2,4912e290-37fe-11ef-98d0-19806bc241c6,6a7478e1-d156-4e95-ae28-3378ded58f93,2024-07-01,19:04:35.24,2024-07-01,23:04:35.24,2024-07-01T19:04:35.2420066-04:00,2024-07-01T23:04:35.2420066Z,SOU_MAR3,BET_BIG,InPlay,Out,NoShift,93.1875,72.3598,140.43488,47.35692,82.0204,-45.9583,148.12682,-27.72511,241.47798,-112.74282,296.00092,26.28407,263.59899,133.06035,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,3,5bf505a0-37fe-11ef-98d0-19806bc241c6,734511eb-c24b-4537-8a96-b933b33bf72a,2024-07-01,19:05:06.76,2024-07-01,23:05:06.76,2024-07-01T19:05:06.7696866-04:00,2024-07-01T23:05:06.7696866Z,SOU_MAR3,BET_BIG,BallCalled,Undefined,NoShift,92.71816,70.45729,143.60877,46.70818,84.10661,-47.61234,149.46891,-29.97203,238.20413,-116.86607,299.67231,15.56639,260.44225,128.78988,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,4,64c92760-37fe-11ef-98d0-19806bc241c6,821f65e7-685d-40a4-854f-c05486b84027,2024-07-01,19:05:21.61,2024-07-01,23:05:21.61,2024-07-01T19:05:21.6141538-04:00,2024-07-01T23:05:21.6141538Z,SOU_MAR3,BET_BIG,FoulBallNotFieldable,Undefined,NoShift,92.55266,70.79026,146.63845,47.77399,92.30606,-53.07527,148.23471,-29.3046,237.01316,-116.43021,297.39451,17.326,254.61599,125.25617,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,5,715b89a0-37fe-11ef-98d0-19806bc241c6,91222028-b389-4659-9df7-0033f507c8f5,2024-07-01,19:05:42.42,2024-07-01,23:05:42.42,2024-07-01T19:05:42.4297186-04:00,2024-07-01T23:05:42.4297186Z,SOU_MAR3,BET_BIG,FoulBallNotFieldable,Undefined,NoShift,91.70866,70.9556,142.87448,46.94797,87.57074,-51.01697,147.697,-29.34709,234.68305,-115.56752,296.91052,18.63397,255.15224,126.11754,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,6,7c28e350-37fe-11ef-98d0-19806bc241c6,c0e1d446-ec2e-4357-8c18-9f44cd3cbd67,2024-07-01,19:06:00.97,2024-07-01,23:06:00.97,2024-07-01T19:06:00.9721058-04:00,2024-07-01T23:06:00.9721058Z,SOU_MAR3,BET_BIG,BallCalled,Undefined,NoShift,91.41507,71.39976,140.81959,50.58825,95.95449,-56.27035,147.13708,-30.54384,236.63347,-117.74062,287.32975,19.07665,256.50673,127.91396,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,7,869a6160-37fe-11ef-98d0-19806bc241c6,40f55b22-1051-4ef7-903c-9100d6324185,2024-07-01,19:06:18.40,2024-07-01,23:06:18.40,2024-07-01T19:06:18.4080000-04:00,2024-07-01T23:06:18.4080000Z,SOU_MAR3,BET_BIG,StrikeSwinging,Undefined,NoShift,91.40822,71.81995,138.17568,49.89908,95.00378,-56.59028,150.05027,-27.64347,234.81894,-117.46663,285.03438,20.70613,256.58851,126.99561,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,8,98204fd0-37fe-11ef-98d0-19806bc241c6,a8e15e7e-8c60-4e38-b7ca-5c620238bcb3,2024-07-01,19:06:47.80,2024-07-01,23:06:47.80,2024-07-01T19:06:47.8024418-04:00,2024-07-01T23:06:47.8024418Z,SOU_MAR3,BET_BIG,StrikeCalled,Undefined,NoShift,88.27041,68.23072,143.76782,46.44315,91.98647,-62.85548,143.10762,-42.73959,235.76219,-122.12983,288.4837,18.93187,244.98588,126.74035,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,9,a1650db0-37fe-11ef-98d0-19806bc241c6,6595cdd7-06fd-4edc-baf7-569870e70fc4,2024-07-01,19:07:03.32,2024-07-01,23:07:03.32,2024-07-01T19:07:03.3286370-04:00,2024-07-01T23:07:03.3286370Z,SOU_MAR3,BET_BIG,FoulBallNotFieldable,Undefined,NoShift,87.83823,67.62881,146.67233,48.17751,91.74456,-63.10928,143.25046,-44.70666,235.4033,-123.15024,289.93202,19.86419,247.50499,127.22881,,,,,,,,,,,,,,,true
610dc635-1e30-4ad3-aca4-046f71d7ef88,10,aefdbc60-37fe-11ef-98d0-19806bc241c6,71aa8b48-1570-4dc2-8c10-ed3dc80ad552,2024-07-01,19:07:26.13,2024-07-01,23:07:26.13,2024-07-01T19:07:26.1382370-04:00,2024-07-01T23:07:26.1382370Z,SOU_MAR3,BET_BIG,BallCalled,Undefined,NoShift,88.7715,68.46274,145.98461,49.86008,92.54963,-63.47838,140.89079,-46.34945,233.66501,-123.20801,289.84852,21.92559,246.12585,128.69485,,,,,,,,,,,,,,,true
