PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-06-30,15:04:23.09,1,1,"Bremer, Noah",676084,Right,LAN,"Encarnacion, JC",669792,Right,LI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.02203,-2.688708,-3.133785,2291.425383,205.187172,12:45,6.17562,2.40783,6.47419,-16.1454,16.1869,7.13048,2.35558,0.12138,84.27264,-5.77551,-1.842414,0.409251,,,,,,,,,,,,-4.56756,9.50977,-2.18986,50,5.97848,7.01726,-133.48912,-6.70993,-8.25308,28.36291,-14.99094,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,9060bd20-3713-11ef-a551-e9f899d95dc2,92.10104,,,7.74939,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:04:23.09,2024-06-30T15:04:23.0957564-04:00,2024-06-30T19:04:23.0957564Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,9ababf58-6ce3-4fb1-a8b0-f43262625545,54.023,-134.34118,14.18145,6.17329,-6.25958,-7.49547,-2.40439,7.2652,-4.12654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-06-30,15:04:35.02,1,2,"Bremer, Noah",676084,Right,LAN,"Encarnacion, JC",669792,Right,LI,Undefined,1,Top,0,0,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.14822,-1.652321,-3.029374,2217.625521,223.378547,1:30,6.05045,2.60647,6.46121,-17.47969,16.22068,14.30623,3.07354,1.01346,82.34759,-4.999344,-0.437656,0.417819,62.23926,49.413143,131.789469,5234.602234,,,,,57.08308,,,-8.358,9.28493,-2.39847,50,5.92562,6.36845,-130.89435,-4.25185,-14.486,27.88687,-16.08154,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,977ccea0-3713-11ef-a551-e9f899d95dc2,90.21226,51.1838,,7.80063,,,,1.04431,3.11348,-1.03645,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:04:35.02,2024-06-30T15:04:35.0285308-04:00,2024-06-30T19:04:35.0285308Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,ca58092d-30c4-476b-908b-c0f33b03ab82,54.03792,-131.75182,13.94343,6.04875,-3.75738,-8.04077,-2.60114,6.81387,-7.243,318.271241,1.04431,-39.57643,-1.93802,1.23311,-0.32224,-0.03581,0.11289,-0.0682,0.01552,3.11348,69.32296,-24.90736,2.61024,-0.44326,0.0697,-0.02029,0.0062,-0.00097,-1.03645,44.2813,-8.73909,2.88921,-0.59847,-0.05087,0.17596,-0.10691,0.02438,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-06-30,15:04:48.67,1,3,"Bremer, Noah",676084,Right,LAN,"Encarnacion, JC",669792,Right,LI,Undefined,1,Top,0,0,2,Undefined,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,86.28507,-3.771497,-3.617987,1828.170051,218.733006,1:15,6.17031,2.27724,6.53902,-25.72864,10.79028,7.79528,0.55519,-0.39591,79.99207,-8.565818,-2.203656,0.434941,,,,,,,,,,,,-5.00563,6.96717,-2.02945,50,5.89712,7.62352,-125.09047,-9.00129,-8.00345,23.08477,-21.03429,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,9fa87b60-3713-11ef-a551-e9f899d95dc2,86.66103,,,6.293,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:04:48.67,2024-06-30T15:04:48.6754812-04:00,2024-06-30T19:04:48.6754812Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,5f70c139-6776-443c-9209-5c6939744b47,53.96012,-125.81916,11.54238,6.17078,-8.33732,-10.51715,-2.27408,7.87616,-4.00173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-06-30,15:05:03.96,1,4,"Bremer, Noah",676084,Right,LAN,"Encarnacion, JC",669792,Right,LI,Undefined,1,Top,0,1,2,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.19445,-2.238899,-2.350527,1744.77439,259.697815,2:45,6.07768,2.39931,6.18631,-34.42833,3.87992,14.38473,1.13861,1.4265,77.99797,-8.614601,0.249484,0.445469,,,,,,,,,,,,-8.21945,3.01378,-2.22938,50,5.89115,4.53277,-123.64833,-5.927,-12.63961,26.20022,-27.53954,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,a8bf2460-3713-11ef-a551-e9f899d95dc2,84.61292,,,7.19648,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:05:03.96,2024-06-30T15:05:03.9664124-04:00,2024-06-30T19:05:03.9664124Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,03f5e3fa-f3c7-4dc2-8aa0-554fb3d9a768,54.31375,-124.55903,13.10011,6.08053,-4.96974,-13.76977,-2.39457,4.97211,-6.3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-06-30,15:05:24.85,1,5,"Bremer, Noah",676084,Right,LAN,"Encarnacion, JC",669792,Right,LI,Undefined,1,Top,0,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.13037,-3.661493,-4.302914,1702.700595,239.734954,2:00,6.21991,2.24646,6.64591,-30.40143,6.41024,9.00776,0.32098,-0.94883,79.4122,-9.315972,-2.666218,0.436681,,,,,,,,,,,,-5.93465,4.75465,-1.95928,50,5.95997,9.05877,-124.73107,-8.8883,-9.35871,24.85438,-24.67617,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,b538ce80-3713-11ef-a551-e9f899d95dc2,86.31578,,,6.71817,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:05:24.85,2024-06-30T15:05:24.8500732-04:00,2024-06-30T19:05:24.8500732Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,2588bf9f-3584-4647-9ad4-ba814103a473,53.85305,-125.4965,12.42719,6.22199,-8.12836,-12.33808,-2.24269,9.34699,-4.67936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-06-30,15:05:55.14,1,6,"Bremer, Noah",676084,Right,LAN,"Encarnacion, JC",669792,Right,LI,Undefined,1,Top,0,2,2,Undefined,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.48642,-2.19445,-4.448515,2313.805808,221.094461,1:15,6.20111,2.12442,6.34062,-14.56481,17.78178,14.57335,2.95998,-0.76488,84.21256,-5.005412,-1.821749,0.409342,,,,,,,,,,,,-8.79319,10.1752,-1.80656,50,6.03379,9.80678,-133.95799,-5.52405,-15.94558,29.48632,-13.72237,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,c742e110-3713-11ef-a551-e9f899d95dc2,92.08066,,,8.27386,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:05:55.14,2024-06-30T15:05:55.1460348-04:00,2024-06-30T19:05:55.1460348Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,bbd3caba-0ccd-4b6b-8e94-108cd19836fb,54.15678,-134.86986,14.74316,6.19806,-5.09969,-6.86118,-2.11746,10.2999,-7.97279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.68904,,,0.97771,,,,1.34491,6.46554,2.65725,71.92121,7.4191,-52.86157,1.43587,77.16027,-5.13733,6.52794,13.78972,-13.13794,2.5205,-63.03961,6.47167,High,High,High,,,High,Medium,High
7,2024-06-30,15:06:24.69,2,1,"Bremer, Noah",676084,Right,LAN,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,1,0,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.60678,-2.358818,-1.992854,2289.276925,220.372299,1:15,6.15191,1.55141,6.45295,-16.82469,15.71103,12.49682,2.58031,0.76127,84.00817,-5.568913,0.273486,0.410536,87.18201,8.605198,13.299624,1406.631055,,,,126.68122,126.67972,15.281706,1.116207,-7.12595,9.19138,-1.41584,50,5.97715,4.14235,-133.09802,-5.95187,-12.80446,28.11373,-15.65831,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,d8d3f310-3713-11ef-a551-e9f899d95dc2,91.81267,7.15459,,7.59861,,,,2.91643,2.67459,-0.76651,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:06:24.69,2024-06-30T15:06:24.6955004-04:00,2024-06-30T19:06:24.6955004Z,GroundBall,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,cecf4da7-dd15-4c90-8d4d-9a12be8a5eef,54.04688,-133.9501,14.05686,6.15034,-5.4773,-7.82915,-1.54726,4.53043,-6.40223,293.86305,2.91643,123.03659,-17.78878,3.68531,-0.80929,0.17826,-0.04016,0.00767,-0.00084,2.67459,19.13207,-21.42401,2.39527,-0.5412,0.12323,-0.02675,0.00521,-0.00058,-0.76651,29.08376,1.60235,-0.26998,0.05577,-0.01162,0.00279,-0.00053,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-06-30,15:07:00.15,3,1,"Bremer, Noah",676084,Right,LAN,"Dearden, Tyler",676280,Left,LI,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.93455,-2.874225,-1.90679,2286.307929,220.293354,1:15,6.19543,1.55934,6.30344,-16.15465,16.35686,13.00599,2.19752,0.88581,84.33402,-5.950631,0.445449,0.410383,,,,,,,,,,,,-7.23544,9.5815,-1.42511,50,5.97625,3.89998,-133.46453,-7.15419,-13.08738,27.96968,-14.8431,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,edfef4b0-3713-11ef-a551-e9f899d95dc2,91.84688,,,7.60053,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:07:00.15,2024-06-30T15:07:00.1523708-04:00,2024-06-30T19:07:00.1523708Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,9f2fc78a-cab8-4a2a-94dd-a6e855b5989b,54.19439,-134.34066,13.98484,6.19307,-6.68924,-7.42155,-1.55369,4.30993,-6.54369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-06-30,15:07:16.46,3,2,"Bremer, Noah",676084,Right,LAN,"Dearden, Tyler",676280,Left,LI,Undefined,1,Top,2,0,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.51098,-1.68877,-2.827206,2188.537197,236.680561,2:00,6.02886,1.68627,6.27346,-21.20478,12.05103,16.56123,2.70272,0.45809,82.87054,-5.708564,0.164596,0.415054,,,,,,,,,,,,-9.38217,7.11756,-1.48444,50,5.89362,5.84514,-132.70399,-4.56364,-16.55467,31.18594,-19.61523,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,f7b38b60-3713-11ef-a551-e9f899d95dc2,90.81325,,,8.64043,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:07:16.46,2024-06-30T15:07:16.4600828-04:00,2024-06-30T19:07:16.4600828Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,73adcfce-6e04-4e7b-8fd5-323a9f695b0e,54.22269,-133.69266,15.59297,6.02844,-3.94179,-9.80762,-1.67806,6.36996,-8.27734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-06-30,15:07:35.24,3,3,"Bremer, Noah",676084,Right,LAN,"Dearden, Tyler",676280,Left,LI,Undefined,1,Top,2,0,2,Undefined,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.80213,-1.401387,-2.309839,1808.38164,237.398188,2:00,6.20439,1.38121,6.2366,-28.56021,7.93674,10.6652,2.53034,0.1381,79.82806,-6.724797,-0.382805,0.43481,,,,,,,,,,,,-6.13729,4.85126,-1.21396,50,6.08577,4.66651,-126.1028,-3.98391,-9.91342,24.89109,-24.3379,LAN,LI,ClipperMagazine,Independent,ATL,20240630-ClipperMagazine-1,02ea7c50-3714-11ef-a551-e9f899d95dc2,86.68715,,,6.97407,,,,,,,c27109cc-bb2b-49bf-b1e6-4722dd315d3a,2024-06-30,19:07:35.24,2024-06-30T15:07:35.2477692-04:00,2024-06-30T19:07:35.2477692Z,,v3,1889,1896,,"Proctor, Chris",681552,Right,LAN,ca8262b6-ae58-464a-a89d-e2adf11c29f3,54.26178,-126.94123,12.44555,6.20616,-3.16411,-12.16895,-1.37677,5.00043,-4.95671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.12085,,,1.632617,,,,-5.18248,6.29026,6.32403,68.31567,4.56321,56.46818,-5.05172,49.94621,-3.07131,6.41851,22.93586,-14.74693,6.33544,31.824,-0.68464,High,High,High,,,High,High,High
