PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-02,18:38:36.21,1,1,"Ramirez, Neil",519166,Right,HP,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.40346,-3.12515,-2.266242,2488.028969,209.802522,1:00,5.99997,1.73876,6.08797,-15.92418,17.44036,9.35729,1.77689,0.42104,83.42341,-6.160302,-0.58164,0.415733,,,,,,,,,,,,-5.45922,10.21221,-1.56869,50,5.75003,4.84684,-132.51979,-7.6924,-9.68399,28.97505,-14.05887,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,d2365910-38c3-11ef-9137-0d6b00e95173,90.66509,,,7.98004,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:38:36.21,2024-07-02T18:38:36.2152908-04:00,2024-07-02T22:38:36.2152908Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,b4f78a2d-e9ab-4f2e-8445-c4f27078fe14,54.40946,-133.48042,14.48752,5.99734,-7.22629,-7.02944,-1.73471,5.1679,-4.84199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-02,18:38:50.24,1,2,"Ramirez, Neil",519166,Right,HP,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.45645,-2.515643,-2.486103,2514.268796,214.503051,1:15,6.00993,1.74412,6.45402,-15.73379,16.28544,10.49505,2.38408,0.33338,84.6198,-5.529355,-0.584014,0.407265,,,,,,,,,,,,-6.19835,9.53713,-1.57267,50,5.82449,5.4092,-134.23922,-6.33005,-11.31322,28.98761,-14.76685,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,da8d5b90-38c3-11ef-9137-0d6b00e95173,92.5502,,,7.83664,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:38:50.24,2024-07-02T18:38:50.2429644-04:00,2024-07-02T22:38:50.2429644Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,fb48a926-8943-487b-bc4f-4bf1e1db7c19,54.04513,-135.1099,14.4938,6.00796,-5.88651,-7.38343,-1.74025,5.74901,-5.65661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-02,18:39:08.20,1,3,"Ramirez, Neil",519166,Right,HP,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,93.58324,-2.890312,-3.191784,2600.14649,211.094824,1:00,6.00103,1.77486,6.35774,-13.61729,17.75009,10.11048,2.19978,-0.32319,85.74478,-5.510345,-1.36485,0.403098,100.33946,5.428465,29.209081,3670.058978,92.39914,3.84479,59.68565,142.30489,114.98792,33.958274,1.142207,-6.14008,10.34107,-1.54804,50,5.78464,7.15342,-135.74899,-7.22312,-11.48665,29.00568,-12.8283,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,e5424b40-38c3-11ef-9137-0d6b00e95173,93.50694,5.53138,,7.83846,,,,0.47638,2.16314,0.17083,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:39:08.20,2024-07-02T18:39:08.2086860-04:00,2024-07-02T22:39:08.2086860Z,GroundBall,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,7227d253-d24a-4194-b497-0c29a0316d0a,54.14127,-136.63099,14.50284,5.99835,-6.83304,-6.41415,-1.77088,7.50271,-5.74332,253.77167,0.75262,124.5163,-19.30311,,,,,,,2.21344,13.32393,-13.39749,,,,,,,0.13203,71.99339,-2.17976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-07-02,18:39:39.90,2,1,"Ramirez, Neil",519166,Right,HP,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.89505,-3.902728,-3.04666,2584.687358,211.295801,1:00,5.97695,1.75656,6.17552,-13.77544,17.74871,10.16418,1.21403,-0.21275,85.86194,-6.540484,-1.215716,0.404104,,,,,,,,,,,,-6.09933,10.57989,-1.53103,50,5.67391,6.80262,-135.99473,-9.66874,-11.42188,29.84223,-12.36174,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,f82bc150-38c3-11ef-9137-0d6b00e95173,93.2741,,,8.03311,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:39:39.90,2024-07-02T18:39:39.9089100-04:00,2024-07-02T22:39:39.9089100Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,fba8b816-515a-4bc2-9f17-0f0bc6f522ab,54.32267,-136.93999,14.92112,5.97397,-9.27718,-6.18087,-1.75224,7.16441,-5.71094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-02,18:39:54.85,2,2,"Ramirez, Neil",519166,Right,HP,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,93.18138,-2.353892,-2.439387,2584.550519,222.402465,1:30,5.97972,1.69684,6.51094,-15.29241,16.32493,13.94198,2.54208,0.61876,84.79036,-5.301607,0.090626,0.404701,100.89694,16.140871,-35.018751,2377.672776,86.72906,20.61747,-67.66115,221.61881,160.16624,-41.616439,2.040399,-8.04311,9.57319,-1.53233,50,5.80848,5.20021,-135.26246,-5.96869,-14.81458,31.10374,-14.54124,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,01100fb0-38c4-11ef-9137-0d6b00e95173,93.13659,20.71461,,8.39101,,,,1.70812,2.53779,-0.56752,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:39:54.85,2024-07-02T18:39:54.8598220-04:00,2024-07-02T22:39:54.8598220Z,LineDrive,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,2b64f1c8-589d-4296-962c-b3b61e511dee,53.9878,-136.17637,15.55187,5.97758,-5.54143,-7.27062,-1.69152,5.6355,-7.40729,82.774075,1.70812,116.41472,-23.97746,4.58573,-1.04549,0.2177,-0.0425,0.00644,-0.00049,2.5378,41.139,-26.20825,3.9341,-0.94175,0.22388,-0.04458,0.00677,-0.00053,-0.56751,-81.57111,3.82383,0.90808,-0.39709,0.13181,-0.03048,0.00494,-0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-07-02,18:40:42.83,3,1,"Ramirez, Neil",519166,Right,HP,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.48615,-0.422438,-2.361798,2571.376373,214.975674,1:15,6.12835,1.87326,6.46162,-15.12997,16.2017,10.6326,4.47916,0.58869,85.16123,-3.341216,-0.434838,0.402869,,,,,,,,,,,,-6.18107,8.87126,-1.71053,50,6.09137,5.15316,-135.80493,-1.39965,-11.52162,30.26389,-15.63781,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,1daedfc0-38c4-11ef-9137-0d6b00e95173,93.56014,,,8.32492,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:40:42.83,2024-07-02T18:40:42.8366284-04:00,2024-07-02T22:40:42.8366284Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,94c98692-e874-47c7-9084-1a2a708c1856,54.03519,-136.70121,15.13195,6.12596,-0.93653,-7.8189,-1.8682,5.49438,-5.76081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-02,18:41:11.00,3,2,"Ramirez, Neil",519166,Right,HP,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.90142,-2.657306,-2.57613,2617.0747,214.631072,1:15,6.0135,1.80258,6.45181,-14.00139,17.81312,11.58304,2.40122,0.39953,84.75418,-5.363356,-0.477352,0.405961,,,,,,,,,,,,-6.75603,10.36642,-1.62479,50,5.81848,5.58558,-134.80467,-6.61378,-12.40562,29.88527,-13.13896,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,2e7500a0-38c4-11ef-9137-0d6b00e95173,92.84748,,,8.14725,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:41:11.00,2024-07-02T18:41:11.0063052-04:00,2024-07-02T22:41:11.0063052Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,e37b8638-7e80-426c-a011-63bd088c7149,54.04575,-135.69862,14.94263,6.01044,-6.22076,-6.56948,-1.79742,5.95667,-6.20281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-02,18:41:30.51,3,3,"Ramirez, Neil",519166,Right,HP,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,1,1,Splitter,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,84.95417,-3.658803,-3.684685,1153.147149,259.262614,2:45,6.05264,1.76365,5.98662,-35.92557,2.37969,7.03933,-0.34387,-1.0695,79.43867,-10.194203,-2.4189,0.445452,,,,,,,,,,,,-4.60579,2.31378,-1.47679,50,5.74246,7.67848,-123.19326,-9.0615,-7.16773,21.56954,-28.57325,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,3a1365f0-38c4-11ef-9137-0d6b00e95173,84.61623,,,5.5155,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:41:30.51,2024-07-02T18:41:30.5144268-04:00,2024-07-02T22:41:30.5144268Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,3f4c3bb9-a77a-4b90-a601-e6c369d95a2e,54.51664,-123.98154,10.78477,6.05454,-8.01726,-14.28663,-1.7622,7.94044,-3.58387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-02,18:42:09.18,3,4,"Ramirez, Neil",519166,Right,HP,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,2,1,Splitter,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.67958,-1.529233,-2.327105,870.10561,270.641675,3:00,5.98158,1.74663,5.95301,-37.47222,1.00378,5.63918,1.43917,0.05719,78.75551,-8.391709,-1.312647,0.446443,,,,,,,,,,,,-3.5124,1.15811,-1.5649,50,5.83844,4.78983,-123.10076,-4.53128,-5.44656,22.0222,-30.37823,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,51288450-38c4-11ef-9137-0d6b00e95173,84.42825,,,5.92407,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:42:09.18,2024-07-02T18:42:09.1876300-04:00,2024-07-02T22:42:09.1876300Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,82a660e2-f073-47fe-93eb-b942e8b65f13,54.54892,-123.91187,11.0111,5.98472,-3.41241,-15.18911,-1.74501,4.99043,-2.72328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-02,18:42:35.24,3,5,"Ramirez, Neil",519166,Right,HP,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.28426,-1.464269,-1.307412,2374.793342,90.491621,9:00,6.10441,1.49527,6.2732,-38.11852,1.1078,-4.70213,1.57743,-0.10198,77.60615,-8.482062,-2.158974,0.450775,,,,,,,,,,,,2.1465,1.22799,-1.39635,50,5.97736,2.9338,-121.19686,-4.27875,3.22763,21.2565,-30.32753,HP,GAS,HighPoint,Independent,ATL,20240702-HighPoint-1,60b1b860-38c4-11ef-9137-0d6b00e95173,83.61692,,,5.67811,,,,,,,e9d39500-c4bc-4d19-a70d-07ed1c967343,2024-07-02,22:42:35.24,2024-07-02T18:42:35.2425932-04:00,2024-07-02T22:42:35.2425932Z,,v3,5431,5508,,"Parreira, Brian",811613,Right,HP,40304b0b-037c-4907-80ac-1a4667314c53,54.2284,-121.93622,10.62825,6.10783,-3.22388,-15.16376,-1.49644,2.82154,1.61382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
