PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-02,18:35:46.60,1,1,"Olsen, Jon",663537,Right,YOR,"Dunston, Shawon",595937,Left,LAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,91.52555,-2.955723,-5.679161,2201.332164,218.486938,1:15,5.91453,1.82352,6.01275,-17.55304,16.45796,12.08138,1.6977,-2.44806,82.4748,-6.30462,-3.522136,0.419741,,,,,,,,,,,,-7.9478,9.73709,-1.38277,50,5.67174,12.59012,-131.98682,-7.3571,-13.83067,31.63235,-15.2297,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,6ba77710-38c3-11ef-b990-2d0042c4e022,89.79935,,,9.05076,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:35:46.60,2024-07-02T18:35:46.6009970-04:00,2024-07-02T22:35:46.6009970Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,3397c154-5259-48b2-86f2-708475d9d5ca,54.48292,-133.05687,15.81618,5.9119,-6.84191,-7.61485,-1.81658,13.05798,-6.91533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-02,18:36:36.83,2,1,"Olsen, Jon",663537,Right,YOR,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.90211,-1.883161,-3.112086,2136.88608,219.804053,1:15,5.94961,1.79319,5.91103,-16.12513,17.80466,13.9069,2.85476,0.06075,82.83952,-4.95863,-0.619464,0.419239,,,,,,,,,,,,-7.96563,9.96993,-1.55105,50,5.78902,6.55887,-131.79922,-4.80725,-13.98703,28.46946,-14.66768,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,899387a0-38c3-11ef-b990-2d0042c4e022,89.90676,,,8.0626,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:36:36.83,2024-07-02T18:36:36.8374130-04:00,2024-07-02T22:36:36.8374130Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,ca5ada13-c123-4375-9f3f-946e6a635243,54.58724,-132.78639,14.23473,5.94689,-4.29865,-7.33384,-1.78688,7.04387,-6.99352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-02,18:36:54.96,2,2,"Olsen, Jon",663537,Right,YOR,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.68758,-2.298551,-4.602488,2116.515969,223.492792,1:30,5.97048,1.64095,6.07095,-16.91938,16.49462,14.5543,2.4255,-1.41436,83.18747,-5.528417,-1.993044,0.416041,,,,,,,,,,,,-8.80264,9.49839,-1.29117,50,5.78273,10.04509,-132.64773,-5.82963,-15.58866,29.98246,-15.35332,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,945ff6f0-38c3-11ef-b990-2d0042c4e022,90.59798,,,8.50012,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:36:54.96,2024-07-02T18:36:54.9664626-04:00,2024-07-02T22:36:54.9664626Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,65b6f0ee-a114-4d7f-ba09-088361a60568,54.42667,-133.64455,14.99123,5.96806,-5.31918,-7.67666,-1.63376,10.56336,-7.79433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-02,18:37:13.95,2,3,"Olsen, Jon",663537,Right,YOR,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,1,1,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.88547,-0.536621,-2.34485,2130.098414,257.098382,2:30,6.01943,1.59085,6.35881,-35.4414,5.64221,18.77914,2.57168,0.9965,74.86268,-7.155102,1.057451,0.461323,76.06776,-1.981517,0.502512,3844.23331,,,,32.48507,30.86084,-1.884164,0.290999,-10.49445,3.49323,-1.42941,50,5.96407,4.19159,-118.97221,-2.15739,-14.96189,23.95351,-27.19376,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,9fb32270-38c3-11ef-b990-2d0042c4e022,81.70501,2.54238,,7.02279,,,,1.01013,2.54238,-1.01338,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:37:13.95,2024-07-02T18:37:13.9528050-04:00,2024-07-02T22:37:13.9528050Z,GroundBall,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,523298ba-d5c6-4930-a011-8233d31ddb01,54.14181,-119.8032,11.97676,6.02255,-1.21398,-13.59688,-1.58383,4.71065,-7.48095,70.051164,1.01157,111.42929,-11.46927,,,,,,,2.54383,-3.92363,-16.5738,,,,,,,-1.01251,0.93811,-3.88986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-07-02,18:38:01.60,3,1,"Olsen, Jon",663537,Right,YOR,"Hulsizer, Niko",680881,Right,LAN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.98497,-1.87951,-3.465946,2219.34979,217.464472,1:15,5.93231,1.63387,5.72467,-15.45328,17.13532,12.33225,2.89011,-0.5706,84.93547,-4.812234,-1.264758,0.41087,,,,,,,,,,,,-7.20032,9.53524,-1.35183,50,5.76562,7.60326,-134.77462,-4.90968,-13.2622,28.90695,-14.61123,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,bc114000-38c3-11ef-b990-2d0042c4e022,91.73817,,,8.0495,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:38:01.60,2024-07-02T18:38:01.6080000-04:00,2024-07-02T22:38:01.6080000Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,686eaa00-1914-4730-a5bb-111cb0472b1a,54.77406,-135.79471,14.45347,5.92978,-4.39407,-7.30562,-1.6284,8.07127,-6.6311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.92955,1.492318,0.577792,0.914526,-1.31047,2.6562,0.62813,-2.35594,6.22056,-1.73617,60.46331,6.54008,-64.49155,-2.27413,74.00411,-5.85993,6.29496,13.14602,-14.03581,-1.86514,-75.77374,7.90027,High,High,High,,,High,High,High
6,2024-07-02,18:38:49.64,3,2,"Olsen, Jon",663537,Right,YOR,"Hulsizer, Niko",680881,Right,LAN,Undefined,1,Top,1,0,1,Undefined,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,81.01209,-1.799175,-3.99658,2189.455876,245.97559,2:15,5.97769,1.61739,6.40127,-32.50537,9.5076,18.22021,1.60981,-0.54549,74.16039,-7.879999,-0.699832,0.466512,84.10239,-2.769871,-4.27165,,,,,22.27439,22.17352,-2.328117,0.169428,-10.70386,5.88989,-1.33862,50,5.83348,7.56488,-117.47962,-4.61254,-14.90513,23.0059,-23.97238,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,d8c015a0-38c3-11ef-b990-2d0042c4e022,80.79626,1.47615,,6.85171,,,,1.74452,1.47615,0.56357,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:38:49.64,2024-07-02T18:38:49.6464242-04:00,2024-07-02T22:38:49.6464242Z,GroundBall,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,bb130247-2239-4595-b5f5-5de6fc81e823,54.09932,-118.27966,11.50295,5.97939,-3.77889,-11.98619,-1.6107,8.08321,-7.45257,290.745139,1.74476,122.84543,-10.53368,,,,,,,1.47637,-5.97794,-16.15585,,,,,,,0.56347,-9.16949,2.97336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-07-02,18:39:29.18,4,1,"Olsen, Jon",663537,Right,YOR,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,1,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.41078,-0.001597,-2.58732,2095.823072,269.073886,3:00,5.99382,1.56899,6.27566,-40.21392,1.68925,16.47328,2.64119,0.55517,74.11073,-7.486061,0.392042,0.465902,,,,,,,,,,,,-9.29213,1.34327,-1.38513,50,5.97469,4.72201,-118.18468,-1.23475,-13.01468,24.56918,-30.29268,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,f0538bc0-38c3-11ef-b990-2d0042c4e022,80.90202,,,7.30005,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:39:29.18,2024-07-02T18:39:29.1870066-04:00,2024-07-02T22:39:29.1870066Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,23e55e1d-4bf6-40f2-8cec-3ffa74678024,54.22341,-119.05944,12.28459,5.99945,-0.15621,-15.14634,-1.5615,5.18539,-6.50734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-02,18:39:44.39,4,2,"Olsen, Jon",663537,Right,YOR,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,1,0,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.80643,-0.364973,-2.108166,1961.340697,270.255481,3:00,5.95356,1.60765,6.29547,-40.10841,1.34311,13.76568,2.27465,0.81135,74.54234,-7.82507,0.384134,0.463385,,,,,,,,,,,,-7.85402,1.18587,-1.45918,50,5.90745,3.87548,-118.81844,-1.9714,-11.10779,25.04017,-30.49693,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,f95992f0-38c3-11ef-b990-2d0042c4e022,81.34157,,,7.2641,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:39:44.39,2024-07-02T18:39:44.3951474-04:00,2024-07-02T22:39:44.3951474Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,393cd37a-b85b-4f84-8e58-bd713c21a853,54.20508,-119.70135,12.52009,5.95801,-0.89609,-15.24847,-1.60274,4.26714,-5.55389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-02,18:40:10.68,4,3,"Olsen, Jon",663537,Right,YOR,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,1,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.4526,-0.137325,-2.567633,2207.79832,226.732562,1:30,5.91027,1.65956,5.88081,-17.44194,15.00095,14.70438,4.32911,0.4988,84.126,-3.468194,0.067983,0.40995,,,,,,,,,,,,-8.23063,8.02099,-1.46009,50,5.88914,5.38993,-135.44594,-0.86338,-15.08811,33.22805,-17.47025,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,08fe6550-38c4-11ef-b990-2d0042c4e022,91.94391,,,9.32661,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:40:10.68,2024-07-02T18:40:10.6813810-04:00,2024-07-02T22:40:10.6813810Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,493d4204-d776-4edc-ad86-e2eb5ae1a2ae,54.61463,-136.57332,16.61402,5.90838,-0.27064,-8.73512,-1.65165,5.90185,-7.54406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-02,18:40:30.15,4,4,"Olsen, Jon",663537,Right,YOR,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,1,1,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.0976,0.951981,-0.988607,1906.546804,34.863946,7:15,6.04359,1.50066,5.40492,-61.71771,-14.26505,-11.11662,1.79266,-0.35213,70.96297,-10.245705,-2.971747,0.495794,,,,,,,,,,,,5.30461,-7.14178,-1.40439,50,6.08461,2.38579,-113.27422,-0.24955,6.74912,24.69542,-41.26062,YOR,LAN,WellSpanPark,Independent,ATL,20240702-WellSpanPark-1,14a72ae0-38c4-11ef-b990-2d0042c4e022,76.02434,,,7.13463,,,,,,,269ede69-d1c4-446a-84e8-0c7fc0e6da69,2024-07-02,22:40:30.15,2024-07-02T18:40:30.1560178-04:00,2024-07-02T22:40:30.1560178Z,,v3,5435,1889,,"Berglund, Michael",668842,Right,YOR,6f648126-c78e-4d5f-9c97-944cbd70cd28,55.09767,-114.38019,12.34771,6.05441,1.59827,-20.63031,-1.50446,2.08354,3.37456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
