PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-02,18:59:17.05,1,1,"Loubier, Mark",813311,Right,SOU_MAR3,"Kawashima, Masayuki",1000238873,Left,GAI_GIA,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.92685,-1.219712,-2.084408,1787.026646,237.26186,2:00,5.67854,1.46478,6.22566,-30.22124,12.39501,16.9319,2.03382,0.95175,73.39143,-6.907456,0.97506,0.46985,67.27504,13.628601,-163.797959,1617.708368,,,,115.48464,55.35004,-157.821501,1.373532,-9.22934,7.27843,-1.31579,50,5.57269,3.60344,-117.37261,-3.36091,-12.7284,24.5748,-22.13619,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,b5f50af0-38c6-11ef-98f8-457d58e7f950,80.22232,8.95995,,7.53542,,,,1.01448,1.79478,-1.04917,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,22:59:17.05,2024-07-02T18:59:17.0536666-04:00,2024-07-02T22:59:17.0536666Z,GroundBall,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,3757426e-8c45-4cb0-a199-664b0dfa2251,54.26741,-118.26272,12.2874,5.67991,-2.55912,-11.06809,-1.45466,4.06447,-6.3642,277.48435,1.01448,-92.08324,11.18951,-1.32114,0.29223,-0.05045,0.00845,-0.00155,0.00016,1.79478,23.24932,-19.81364,1.70427,-0.28812,0.06521,-0.01029,0.0014,-0.00014,-1.04917,-26.75621,-3.59621,0.48794,-0.09713,0.0178,-0.003,0.00051,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2024-07-02,18:59:31.69,1,2,"Loubier, Mark",813311,Right,SOU_MAR3,"Kawashima, Masayuki",1000238873,Left,GAI_GIA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.22682,-1.968602,-1.152407,2048.471072,202.484467,12:45,5.71605,1.36724,5.98737,-20.36981,16.33245,6.26067,2.19297,0.82076,79.61036,-5.817526,-0.026443,0.436032,,,,,,,,,,,,-3.52213,9.30607,-1.27963,50,5.54941,2.28553,-126.59474,-4.95116,-5.70002,26.5092,-17.11362,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,beab6b80-38c6-11ef-98f8-457d58e7f950,86.44429,,,7.61646,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,22:59:31.69,2024-07-02T18:59:31.6939482-04:00,2024-07-02T22:59:31.6939482Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,08224890-0d20-459c-9293-4cbcfad6d877,54.5084,-127.53531,13.2546,5.71431,-4.34396,-8.55681,-1.36431,2.48778,-2.85001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-02,18:59:43.12,1,3,"Loubier, Mark",813311,Right,SOU_MAR3,"Kawashima, Masayuki",1000238873,Left,GAI_GIA,Undefined,1,Top,0,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.78933,-0.687449,-1.165415,1610.545889,246.384874,2:15,5.6829,1.32705,6.22031,-32.43061,8.11398,15.41725,2.34586,1.5363,75.35759,-6.7553,1.621649,0.458287,,,,,,,,,,,,-8.27323,4.85331,-1.24684,50,5.61564,1.8489,-120.22962,-2.42021,-12.00125,25.26144,-25.13377,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,c5832100-38c6-11ef-98f8-457d58e7f950,82.2463,,,7.43174,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,22:59:43.12,2024-07-02T18:59:43.1294170-04:00,2024-07-02T22:59:43.1294170Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,1b60f887-f4df-4dc6-a7f6-32682541950c,54.27608,-121.12473,12.63072,5.68562,-1.52962,-12.56689,-1.31989,2.27415,-6.00062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-02,18:59:58.00,1,4,"Loubier, Mark",813311,Right,SOU_MAR3,"Kawashima, Masayuki",1000238873,Left,GAI_GIA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,80.70271,-0.780868,-1.2757,1485.619811,240.002747,2:00,5.65388,1.54281,6.10267,-33.57014,9.31851,13.60363,2.134,1.49648,73.45524,-7.051268,1.178093,0.471349,,,,,,,,,,,,-7.34489,5.50969,-1.45137,50,5.57654,2.08739,-117.15221,-2.59834,-10.11429,24.02193,-24.58692,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,ce62db80-38c6-11ef-98f8-457d58e7f950,79.96718,,,7.24747,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,22:59:58.00,2024-07-02T18:59:58.0010000-04:00,2024-07-02T22:59:58.0010000Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,ed213c71-bc6c-4286-8a1a-4ed610cabb37,54.39313,-118.04958,12.01097,5.65644,-1.67987,-12.29346,-1.5364,2.46522,-5.05714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.13646,2.964741,1.675776,1.288965,-2.4764,1.63452,-1.5827,-4.01452,4.05682,2.4615,75.6818,1.13264,-49.09887,-3.94885,67.62228,-4.55221,4.13102,16.57179,-14.6843,2.40201,-44.72724,3.71918,High,High,High,,,High,High,High
5,2024-07-02,19:00:31.09,2,1,"Loubier, Mark",813311,Right,SOU_MAR3,"Robbins, Aiden",1000274064,Right,GAI_GIA,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.70842,0.707922,-2.220546,2180.846309,352.551829,5:45,5.72219,1.29928,5.89846,-57.50365,-10.0104,1.49941,1.58795,-0.63826,70.78378,-9.796726,-1.950896,0.496007,,,,,,,,,,,,-1.40043,-4.88607,-1.12148,50,5.74625,4.26755,-111.45388,-0.4428,-1.75762,20.44695,-38.30636,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,e21f8010-38c6-11ef-98f8-457d58e7f950,75.99181,,,5.92463,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,23:00:31.09,2024-07-02T19:00:31.0918874-04:00,2024-07-02T23:00:31.0918874Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,5ae90bf1-a951-4de4-9fa3-5473133df2e3,54.60325,-112.2952,10.22347,5.73204,1.13337,-19.15318,-1.29856,4.33987,-0.87881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-02,19:00:43.05,2,2,"Loubier, Mark",813311,Right,SOU_MAR3,"Robbins, Aiden",1000274064,Right,GAI_GIA,Undefined,1,Top,1,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,78.28508,0.433278,-1.564904,2224.880373,21.431978,6:45,5.76254,1.30877,5.55466,-54.4607,-8.16067,-3.7778,1.62914,-0.4686,71.99995,-9.468321,-2.240113,0.489736,66.32821,-29.507979,-38.642089,,,,,4.54415,4.54415,-18.544332,0.035714,1.46827,-3.90677,-1.17088,50,5.76354,3.24887,-113.6918,-0.96698,1.91204,21.83214,-37.26155,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,e93c2dd0-38c6-11ef-98f8-457d58e7f950,76.96481,1.716,,6.28514,,,,1.94,1.716,0.44816,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,23:00:43.05,2024-07-02T19:00:43.0574298-04:00,2024-07-02T23:00:43.0574298Z,GroundBall,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,ae720723-c2fd-4186-b7d4-e032f16abe5c,54.94673,-114.63779,10.91607,5.77046,0.64756,-18.63077,-1.30986,3.16602,0.95602,,1.93894,66.31055,,,,,,,,1.71677,-48.04855,,,,,,,,0.449,-53.01482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2024-07-02,19:01:16.16,3,1,"Loubier, Mark",813311,Right,SOU_MAR3,"Martin, AJ",10168728,Right,GAI_GIA,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.17794,2.610301,-0.618755,2262.861812,43.752532,7:30,5.72393,1.35432,5.55204,-53.39519,-5.74603,-6.94154,3.71524,0.19767,70.60414,-7.148725,-1.857015,0.49682,,,,,,,,,,,,3.30595,-3.12354,-1.29623,50,5.91478,1.47975,-111.98542,3.31742,4.18637,20.753,-36.12942,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,fcfec5d0-38c6-11ef-98f8-457d58e7f950,75.8674,,,6.5738,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,23:01:16.16,2024-07-02T19:01:16.1698010-04:00,2024-07-02T23:01:16.1698010Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,095967f3-f92b-44f4-b9a9-98f52df5d3f6,54.94731,-112.89853,10.3765,5.73384,4.90707,-18.06471,-1.35728,1.29556,2.09319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-02,19:01:27.38,3,2,"Loubier, Mark",813311,Right,SOU_MAR3,"Martin, AJ",10168728,Right,GAI_GIA,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.21201,0.321564,-2.171712,2091.819567,201.916575,12:45,5.77293,1.33884,6.31783,-21.80922,14.57761,5.37555,4.25188,-0.21439,79.10616,-3.833619,-1.200216,0.434154,,,,,,,,,,,,-3.41473,7.83536,-1.18227,50,5.78595,4.58313,-126.59113,0.09956,-5.50235,27.5325,-19.54844,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,03a188a0-38c7-11ef-98f8-457d58e7f950,86.8182,,,8.10586,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,23:01:27.38,2024-07-02T19:01:27.3811674-04:00,2024-07-02T23:01:27.3811674Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,aa705da7-2fc2-4ee0-972e-3da4045c49f6,54.17709,-127.49637,13.76625,5.7721,0.7423,-9.77422,-1.33593,4.76404,-2.75117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-02,19:01:40.87,3,3,"Loubier, Mark",813311,Right,SOU_MAR3,"Martin, AJ",10168728,Right,GAI_GIA,Undefined,1,Top,2,2,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.10809,-2.42573,-2.689857,2213.095786,189.538766,12:15,5.64313,1.25313,6.423,-21.83186,15.2328,2.35823,1.59027,-1.02469,78.81884,-6.557444,-2.262871,0.438179,,,,,,,,,,,,-1.99602,9.01607,-1.0623,50,5.45992,5.78107,-124.9461,-5.89611,-3.14901,25.64758,-17.94986,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,0baa6b20-38c7-11ef-98f8-457d58e7f950,86.02067,,,7.28925,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,23:01:40.87,2024-07-02T19:01:40.8784090-04:00,2024-07-02T23:01:40.8784090Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,4d159865-c28b-4fbe-852f-d996bbf599d7,54.07444,-125.77967,12.82379,5.64207,-5.31272,-8.97493,-1.25185,5.88342,-1.5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-02,19:01:55.38,3,4,"Loubier, Mark",813311,Right,SOU_MAR3,"Martin, AJ",10168728,Right,GAI_GIA,Undefined,1,Top,2,3,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.07204,-1.645468,-2.033889,2115.19642,203.947036,12:45,5.70958,1.43407,6.22689,-20.18237,17.39469,7.14772,2.50819,0.15241,78.08278,-5.4985,-0.743555,0.441197,,,,,,,,,,,,-4.26953,9.86926,-1.28522,50,5.57634,4.14188,-124.84662,-4.12977,-6.68154,27.12372,-16.72929,SOU_MAR3,GAI_GIA,RegencyFurnitureStadium,Cal Ripken,CRL,20240702-RegencyFurnitureStadium-1,145225b0-38c7-11ef-98f8-457d58e7f950,85.43216,,,7.98926,,,,,,,de338205-72f8-46cf-ab25-4c9918b36508,2024-07-02,23:01:55.38,2024-07-02T19:01:55.3886426-04:00,2024-07-02T23:01:55.3886426Z,,v3,,,,"Purser-Eber, Braeden",10319519,Right,SOU_MAR3,9e2c59df-a110-407b-a8fe-73b337df5b41,54.26703,-125.77025,13.56186,5.70727,-3.5601,-8.36464,-1.43013,4.3694,-3.34077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
