PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-04,18:34:21.79,1,1,"Leasher, Aaron",669468,Left,STA_YAN,"Moritz, Andrew",680938,Left,HAG_FLY,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.95778,-2.040902,4.348545,2500.88537,140.537058,10:45,5.9392,-2.83911,5.4496,-17.61891,18.96533,-14.49997,2.55396,0.03146,80.1015,-5.392774,1.77768,0.43533,,,,,,,,,,,,8.66241,10.57005,2.4649,50,5.74692,-9.11934,-128.53388,-5.13427,14.29551,30.00447,-14.73041,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,8f55f0e0-3a55-11ef-a52f-672ac9b6ba10,86.58364,,,8.85628,,,,,,,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:34:21.79,2024-07-04T18:34:21.7976736-04:00,2024-07-04T22:34:21.7976736Z,,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,611b7305-fadd-41f3-874d-891a53c54133,55.04637,-129.70654,15.00224,5.93633,-4.55856,-7.3652,2.83223,-9.67805,7.14775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-04,18:34:34.28,1,2,"Leasher, Aaron",669468,Left,STA_YAN,"Moritz, Andrew",680938,Left,HAG_FLY,Undefined,1,Top,0,0,1,Undefined,Slider,InPlay,Undefined,Popup,Out,1,0,,82.10775,-0.799036,3.550527,2439.113983,193.76443,12:30,5.66113,-2.94243,5.52248,-35.72738,6.28985,1.22807,1.93533,0.48362,75.63729,-7.335734,3.768867,0.466536,78.21238,30.538747,-5.389117,3901.765368,108.85497,51.69655,-15.83,279.22646,272.32254,-12.298513,4.077584,0.33476,3.76496,2.63235,50,5.56751,-7.43574,-119.05112,-2.87057,0.48181,22.24334,-26.75518,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,96cf3d90-3a55-11ef-a52f-672ac9b6ba10,80.79211,57.49138,,6.47046,,,,1.27583,1.9176,-0.47953,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:34:34.28,2024-07-04T18:34:34.2833568-04:00,2024-07-04T22:34:34.2833568Z,FlyBall,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,d15434c6-9171-4490-89da-2b2ff19f7f92,54.97654,-119.97732,11.12167,5.66385,-1.75649,-13.37759,2.94239,-7.45581,0.24091,159.12702,1.27593,98.36521,-17.05521,4.34944,-0.92788,0.19321,-0.04083,0.00633,-0.00043,1.91848,58.2566,-15.90476,0.00982,0.43699,-0.25097,0.07812,-0.01232,0.00076,-0.47952,-9.2792,-2.2358,0.37922,-0.06583,0.02224,-0.00792,0.00149,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-07-04,18:35:07.02,2,1,"Leasher, Aaron",669468,Left,STA_YAN,"Culver, Cito",592237,Right,HAG_FLY,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.98743,-1.982015,4.804771,2503.433585,130.822252,10:15,5.89597,-2.84284,5.65904,-19.96867,16.07745,-17.16056,2.37636,0.21827,80.7095,-5.745703,1.752017,0.432116,,,,,,,,,,,,10.04552,9.09,2.44616,50,5.71517,-10.04797,-128.64353,-5.09817,16.73667,28.12773,-17.0293,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,aa45ff80-3a55-11ef-a52f-672ac9b6ba10,87.22754,,,8.27793,,,,,,,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:35:07.02,2024-07-04T18:35:07.0254496-04:00,2024-07-04T22:35:07.0254496Z,,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,ef069dba-503d-482f-a523-bc6b0b18851b,54.83734,-129.69689,14.06387,5.89415,-4.46044,-8.51465,2.83419,-10.67475,8.36834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-04,18:35:20.66,2,2,"Leasher, Aaron",669468,Left,STA_YAN,"Culver, Cito",592237,Right,HAG_FLY,Undefined,1,Top,1,0,1,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.46402,-2.657543,5.291262,2514.743563,132.554529,10:30,5.92124,-2.83115,5.57489,-17.54186,18.45989,-18.67721,1.96485,0.56858,80.77719,-5.992551,1.97789,0.43185,,,,,,,,,,,,11.00276,10.50469,2.38679,50,5.6802,-11.11406,-129.11267,-6.55015,18.38911,29.36477,-14.61736,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,b269bd00-3a55-11ef-a52f-672ac9b6ba10,87.28131,,,8.68684,,,,,,,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:35:20.66,2024-07-04T18:35:20.6685600-04:00,2024-07-04T22:35:20.6685600Z,,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,a1dc17c9-c4d6-49a3-8e29-f40532711c4d,54.92151,-130.22719,14.68239,5.91828,-5.99536,-7.30868,2.82186,-11.812,9.19455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-04,18:35:36.47,2,3,"Leasher, Aaron",669468,Left,STA_YAN,"Culver, Cito",592237,Right,HAG_FLY,Undefined,1,Top,1,0,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.76779,-0.492717,3.984994,2636.756261,246.332319,2:15,5.48106,-2.93949,5.51233,-39.39986,3.2139,4.27784,1.73587,1.14938,75.09291,-7.683941,4.744591,0.469836,,,,,,,,,,,,-1.04508,2.1141,2.58857,50,5.41136,-8.42123,-118.4672,-2.35917,-1.48158,23.15012,-29.17699,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,bbde8b90-3a55-11ef-a52f-672ac9b6ba10,80.22465,,,6.67489,,,,,,,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:35:36.47,2024-07-04T18:35:36.4726176-04:00,2024-07-04T22:35:36.4726176Z,,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,36a567b6-05a3-404e-971e-92b56d72dbc7,54.98725,-119.4378,11.57506,5.48463,-1.13589,-14.5885,2.94033,-8.35911,-0.74079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-04,18:35:56.19,2,4,"Leasher, Aaron",669468,Left,STA_YAN,"Culver, Cito",592237,Right,HAG_FLY,Undefined,1,Top,1,0,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.6034,-1.2548,5.510387,2544.990843,130.812938,10:15,5.88915,-2.78593,5.46381,-18.10123,17.41469,-18.57462,3.20066,0.83956,81.00463,-4.703362,2.224863,0.428926,64.22932,46.64879,140.069846,3301.09844,-89.69263,49.02722,63.68058,170.70749,70.84137,145.172486,3.244122,11.16001,9.55666,2.31263,50,5.76639,-11.74877,-130.68006,-3.44693,18.93549,32.37244,-15.95896,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,c7a07e70-3a55-11ef-a52f-672ac9b6ba10,87.87624,52.04886,,9.59877,,,,0.7572,3.15362,-0.86958,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:35:56.19,2024-07-04T18:35:56.1961888-04:00,2024-07-04T22:35:56.1961888Z,Popup,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,c60125d6-a14a-44a0-bad6-5eae075fa7b3,55.03201,-131.92072,16.18622,5.88677,-2.83531,-7.97948,2.7768,-12.47446,9.46775,332.713937,0.75772,-49.6107,0.27293,0.59054,0.29354,-0.3579,0.15706,-0.03169,0.00243,3.15371,68.49739,-27.69698,3.30522,-0.70768,0.17577,-0.05612,0.01281,-0.00118,-0.86964,41.50956,-6.03248,1.44412,-0.43205,0.1936,-0.07724,0.0169,-0.00144,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2024-07-04,18:36:14.22,2,5,"Leasher, Aaron",669468,Left,STA_YAN,"Culver, Cito",592237,Right,HAG_FLY,Undefined,1,Top,1,0,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.20577,-2.08423,5.166401,1940.085606,101.247361,9:15,5.57082,-2.72759,6.11591,-36.71384,4.79886,-17.04804,0.57562,0.64139,75.1254,-8.873808,2.104276,0.463726,,,,,,,,,,,,10.43343,3.46851,2.3398,50,5.39109,-10.12736,-118.93037,-5.47389,14.84299,24.24154,-27.2396,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,d2571bd0-3a55-11ef-a52f-672ac9b6ba10,81.28164,,,7.08037,,,,,,,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:36:14.22,2024-07-04T18:36:14.2215584-04:00,2024-07-04T22:36:14.2215584Z,,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,da6ae37c-0c8e-41ff-9087-aa5dc10a2ad3,54.38436,-119.8207,12.12077,5.57376,-4.47345,-13.6198,2.72177,-10.67251,7.42149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-04,18:36:29.44,2,6,"Leasher, Aaron",669468,Left,STA_YAN,"Culver, Cito",592237,Right,HAG_FLY,Undefined,1,Top,1,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.49477,-0.405516,2.67377,1979.439808,115.771302,9:45,5.61737,-2.6949,5.68981,-34.07148,7.47528,-12.65961,2.39973,-1.25611,75.32229,-6.703922,0.410869,0.463916,,,,,,,,,,,,7.19075,4.33071,2.47798,50,5.56207,-5.07736,-119.66445,-1.97044,10.38777,23.8951,-25.91791,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,db719560-3a55-11ef-a52f-672ac9b6ba10,81.24833,,,7.17248,,,,,,,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:36:29.44,2024-07-04T18:36:29.4404512-04:00,2024-07-04T22:36:29.4404512Z,,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,200902bb-c73e-47c0-ab8e-a77ee7545d44,54.8078,-120.62067,11.94755,5.62017,-0.93327,-12.95896,2.68948,-5.49305,5.19389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-04,18:36:45.20,2,7,"Leasher, Aaron",669468,Left,STA_YAN,"Culver, Cito",592237,Right,HAG_FLY,Undefined,1,Top,1,2,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.88886,-0.779834,4.353329,2535.360632,129.035676,10:15,5.87108,-2.85794,5.44046,-20.63974,14.93753,-16.90265,3.41875,-0.18239,81.36939,-4.653764,1.356336,0.429297,99.98862,-5.60731,-12.017485,,,,,25.52012,25.51837,-11.405502,0.169712,9.84186,8.11036,2.48457,50,5.78808,-9.14295,-130.06377,-2.47316,16.73318,29.17898,-18.38477,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,e4d06af0-3a55-11ef-a52f-672ac9b6ba10,87.80042,3.29515,,8.51947,,,,1.64747,3.29515,0.22017,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:36:45.20,2024-07-04T18:36:45.2001184-04:00,2024-07-04T22:36:45.2001184Z,GroundBall,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,d9d0993a-78a4-4867-b823-b2f35cf42275,55.05771,-131.19353,14.58949,5.87006,-1.76133,-9.19239,2.85111,-9.79083,8.36659,30.512393,1.64843,142.67458,-29.40235,,,,,,,3.29677,-14.45582,-29.33839,,,,,,,0.22074,-30.43221,-3.58338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-07-04,18:37:20.34,3,1,"Leasher, Aaron",669468,Left,STA_YAN,"Campagna, Joe",690523,Right,HAG_FLY,Undefined,1,Top,2,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.59835,-1.727926,3.709262,2440.692321,125.241028,10:15,5.72276,-2.93803,5.39206,-23.22946,12.17946,-15.69729,2.16367,-0.76496,82.2878,-6.021365,0.923847,0.42828,75.30653,39.261821,118.053714,3992.458742,,,,,44.89445,,,8.88749,6.90634,2.61803,50,5.55197,-7.71981,-129.86256,-4.75567,15.2612,25.78255,-20.31475,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240704-StatenIslandYankees-1,f9c25b30-3a55-11ef-a52f-672ac9b6ba10,88.00886,32.64402,,7.31055,,,,-0.15116,2.0778,0.91559,19a498de-9eb8-48d5-a7b8-20203d284eeb,2024-07-04,22:37:20.34,2024-07-04T18:37:20.3491232-04:00,2024-07-04T22:37:20.3491232Z,,v3,586,6089,,"Noriega, Andres",,Right,STA_YAN,83bcbada-f09c-42e0-adb1-73ad8547d7d6,55.10745,-130.87266,12.89127,5.72269,-3.95979,-10.15738,2.93218,-8.3177,7.6306,,-0.15116,-40.21847,-3.36113,2.0636,-0.6828,0.1863,-0.04869,0.01207,-0.00217,2.0778,69.89957,-26.5964,2.96525,-0.47872,0.05119,-0.00167,-0.00182,0.00065,0.91559,75.46916,-12.6812,3.82024,-0.92644,0.20345,-0.04277,0.00585,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
