GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,1,a2cd5ff0-3b22-11ef-9af2-4fe8e326febf,1d6de090-c27f-4448-8642-e45d6d40db25,2024-07-05,19:02:21.89,2024-07-05,23:02:21.89,2024-07-05T19:02:21.8988506-04:00,2024-07-05T23:02:21.8988506Z,GAS,LEX_LEG,InPlay,HomeRun,NoShift,91.31803,55.77593,153.36246,28.71751,83.00055,-63.0484,139.77136,-48.13666,268.17765,-123.07665,336.18026,-1.31106,278.08032,145.14522,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,2,b91ee030-3b22-11ef-9af2-4fe8e326febf,10efe263-5715-4379-8b01-8df40dcbb37d,2024-07-05,19:02:59.34,2024-07-05,23:02:59.34,2024-07-05T19:02:59.3436122-04:00,2024-07-05T23:02:59.3436122Z,GAS,LEX_LEG,BallCalled,Undefined,NoShift,104.75336,73.29439,146.74544,39.58408,95.1213,-49.09425,156.12742,-19.69649,269.96347,-127.00945,331.88844,-0.39658,282.76708,147.16366,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,3,bf1d73c0-3b22-11ef-9af2-4fe8e326febf,839934e0-9ab3-4174-a588-fe7c2445d1e2,2024-07-05,19:03:09.35,2024-07-05,23:03:09.35,2024-07-05T19:03:09.3516250-04:00,2024-07-05T23:03:09.3516250Z,GAS,LEX_LEG,InPlay,Out,NoShift,103.36943,74.09879,145.50533,40.97217,98.66104,-50.44284,155.33437,-19.18178,273.27346,-126.3382,328.97048,-0.34559,283.34993,146.70637,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,4,d47c56a0-3b22-11ef-9af2-4fe8e326febf,6c1d04a7-d119-4b1a-bd01-97324f227074,2024-07-05,19:03:45.22,2024-07-05,23:03:45.22,2024-07-05T19:03:45.2284890-04:00,2024-07-05T23:03:45.2284890Z,GAS,LEX_LEG,FoulBallNotFieldable,Undefined,NoShift,101.64469,62.27482,154.12453,24.87107,98.3177,-77.94055,142.35925,-47.83238,264.58078,-132.85473,330.52583,3.37618,267.95689,145.5978,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,5,dee1c6c0-3b22-11ef-9af2-4fe8e326febf,7d7bbbd5-87d2-4e00-a9f8-a194af02b045,2024-07-05,19:04:02.60,2024-07-05,23:04:02.60,2024-07-05T19:04:02.6068954-04:00,2024-07-05T23:04:02.6068954Z,GAS,LEX_LEG,InPlay,Out,NoShift,100.50179,62.16567,154.45542,25.01185,99.16144,-80.47277,142.17707,-47.40393,261.72713,-131.80476,331.33196,3.68756,259.83461,147.15867,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,6,f2778260-3b22-11ef-9af2-4fe8e326febf,ac1cbe66-8964-422d-93ac-b7dae526097e,2024-07-05,19:04:35.59,2024-07-05,23:04:35.59,2024-07-05T19:04:35.5983834-04:00,2024-07-05T23:04:35.5983834Z,GAS,LEX_LEG,FoulBallNotFieldable,Undefined,NoShift,107.12085,71.20928,144.42217,46.35851,102.11616,-52.1886,153.32733,-16.81669,269.45077,-124.92729,341.92787,3.59819,273.43966,140.80542,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,7,fbe63670-3b22-11ef-9af2-4fe8e326febf,3a9895c0-1979-4f4b-b167-8b6aa69bd725,2024-07-05,19:04:51.37,2024-07-05,23:04:51.37,2024-07-05T19:04:51.3714650-04:00,2024-07-05T23:04:51.3714650Z,GAS,LEX_LEG,FoulBallNotFieldable,Undefined,NoShift,103.0283,75.05131,147.02299,44.5781,105.72705,-53.14144,154.60305,-16.77558,273.9159,-127.15305,339.62749,4.35981,277.74988,143.33726,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,8,07a2ab10-3b23-11ef-9af2-4fe8e326febf,aabd4d2b-8c2c-4e13-8c99-ef6568dc41df,2024-07-05,19:05:10.99,2024-07-05,23:05:10.99,2024-07-05T19:05:10.9947866-04:00,2024-07-05T23:05:10.9947866Z,GAS,LEX_LEG,InPlay,Out,NoShift,103.98397,77.05047,144.98103,44.78882,113.40984,-56.12097,152.96862,-16.17209,267.40963,-127.8446,335.23982,4.88231,280.40641,144.25767,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,9,62069f30-3b23-11ef-9af2-4fe8e326febf,098ff4f8-7c32-4d15-9ee7-0f3dbac1f5f2,2024-07-05,19:07:42.62,2024-07-05,23:07:42.62,2024-07-05T19:07:42.6271194-04:00,2024-07-05T23:07:42.6271194Z,LEX_LEG,GAS,FoulBallNotFieldable,Undefined,NoShift,99.67676,55.50092,150.76262,37.75882,85.21175,-63.02951,141.47128,-50.76469,267.27828,-144.27405,317.46242,-28.26364,331.20168,192.59857,,,,,,,,,,,,,,,true
5f37b725-4b2e-43d8-8148-9b7a3a83bb4a,10,6ee302c0-3b23-11ef-9af2-4fe8e326febf,15f0645c-1ded-4796-adb5-81886aa62398,2024-07-05,19:08:04.21,2024-07-05,23:08:04.21,2024-07-05T19:08:04.2116570-04:00,2024-07-05T23:08:04.2116570Z,LEX_LEG,GAS,StrikeCalled,Undefined,NoShift,99.70647,54.86054,149.68569,35.86251,91.234,-71.79738,141.82433,-49.18567,263.17276,-140.64257,332.63117,-18.33861,335.11567,194.63835,,,,,,,,,,,,,,,true
