PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-05,21:02:31.77,1,1,"Lopez, Jose",673111,Left,HAG_FLY,"Racusin, Zach",685931,Right,LI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.11705,0.492233,2.451382,2417.210538,155.479644,11:15,5.85491,-1.70894,5.41399,-18.22615,15.32749,-6.5091,4.79763,0.04651,83.95159,-2.931348,1.295259,0.416909,,,,,,,,,,,,3.92453,7.87217,1.49552,50,5.88623,-5.41194,-133.59359,0.52797,7.09741,28.59193,-17.9374,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,66ca0060-3b33-11ef-92a6-79043d61082c,90.40927,,,8.16546,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:02:31.77,2024-07-05T21:02:31.7710000-04:00,2024-07-06T01:02:31.7710000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,8aeb8571-67d7-429a-a427-d6f593a01a20,55.08159,-134.67677,14.29597,5.85336,1.20751,-8.9687,1.70565,-5.68082,3.54871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-05,21:02:48.16,1,2,"Lopez, Jose",673111,Left,HAG_FLY,"Racusin, Zach",685931,Right,LI,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.64483,-1.01788,3.33102,2554.40521,152.757843,11:00,5.83803,-1.64501,5.48809,-17.81647,15.42359,-7.37666,3.39937,0.85999,84.26967,-4.370063,2.020312,0.414956,,,,,,,,,,,,4.66118,8.38619,1.35807,50,5.73694,-7.46826,-134.22369,-2.98907,8.47829,29.85459,-16.92033,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,7097eb70-3b33-11ef-92a6-79043d61082c,90.8347,,,8.37515,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:02:48.16,2024-07-05T21:02:48.1620000-04:00,2024-07-06T01:02:48.1620000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,08906a10-850f-4097-bb14-79d48fdb886b,55.00802,-135.33301,14.9273,5.83632,-2.36036,-8.46016,1.64142,-7.78329,4.23915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-05,21:03:03.90,1,3,"Lopez, Jose",673111,Left,HAG_FLY,"Racusin, Zach",685931,Right,LI,Undefined,1,Top,0,2,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.39491,-1.82533,3.085483,2480.736172,154.460773,11:15,5.73513,-1.74394,5.38503,-18.71595,15.75918,-6.95662,2.4615,0.5712,82.80725,-5.341402,1.851084,0.422595,,,,,,,,,,,,4.40028,8.80221,1.4729,50,5.55891,-6.8036,-132.28901,-4.85384,7.73524,30.33217,-16.70068,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,7a014850-3b33-11ef-92a6-79043d61082c,89.19277,,,8.58766,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:03:03.90,2024-07-05T21:03:03.9030000-04:00,2024-07-06T01:03:03.9030000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,fff6e901-f13b-413e-aa3f-52b4e6b2daeb,55.10969,-133.45546,15.16609,5.73322,-4.21161,-8.35034,1.74025,-7.10106,3.86762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-05,21:03:18.91,1,4,"Lopez, Jose",673111,Left,HAG_FLY,"Racusin, Zach",685931,Right,LI,Undefined,1,Top,0,2,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.85124,-1.102141,1.519064,2509.135099,165.644052,11:30,5.84346,-1.72151,5.6224,-17.46505,16.27158,-3.86768,3.35907,-0.62594,83.19273,-4.413201,0.828614,0.418044,,,,,,,,,,,,2.41429,8.91189,1.59452,50,5.73853,-3.35575,-133.19606,-3.12163,4.29961,30.9275,-16.30297,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,82f2dd20-3b33-11ef-92a6-79043d61082c,90.16377,,,8.65851,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:03:18.91,2024-07-05T21:03:18.9170000-04:00,2024-07-06T01:03:18.9170000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,d506d4ef-af51-475e-92e5-27641b810eb8,54.87294,-134.32277,15.46375,5.84144,-2.5277,-8.15148,1.71963,-3.51239,2.14981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-05,21:03:45.45,1,5,"Lopez, Jose",673111,Left,HAG_FLY,"Racusin, Zach",685931,Right,LI,Undefined,1,Top,0,2,2,Undefined,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,87.16389,-0.485378,4.39716,1753.16815,98.282203,9:15,5.57668,-2.00741,4.91701,-34.91636,4.02272,-17.67395,2.2067,0.68537,78.4511,-6.855821,1.290567,0.449122,,,,,,,,,,,,10.1928,2.53189,1.59345,50,5.50032,-8.86268,-125.9011,-2.43651,16.08963,29.50659,-28.17737,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,92c10970-3b33-11ef-92a6-79043d61082c,83.92473,,,8.71279,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:03:45.45,2024-07-05T21:03:45.4540000-04:00,2024-07-06T01:03:45.4540000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,76db1c91-d165-4523-83e2-b0fb1281bff5,55.58023,-127.20218,14.75329,5.58036,-1.19404,-14.08868,1.99989,-9.57215,8.04481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-05,21:04:22.42,2,1,"Lopez, Jose",673111,Left,HAG_FLY,"Waite, Jonathan",806653,Left,LI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.12544,-0.353192,1.477007,2434.419957,160.716678,11:15,5.82714,-1.75388,5.663,-16.50603,17.03816,-5.5517,4.12219,-0.83896,83.18391,-3.503977,0.485299,0.41685,,,,,,,,,,,,3.25311,9.07367,1.6325,50,5.78707,-3.18826,-133.58532,-1.33142,5.81544,31.65015,-15.95333,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,a8c30a20-3b33-11ef-92a6-79043d61082c,90.42202,,,8.94153,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:04:22.42,2024-07-05T21:04:22.4210000-04:00,2024-07-06T01:04:22.4210000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,5c0f4990-ae62-4ce1-8a63-04e0317a2de6,54.83136,-134.72515,15.82508,5.82467,-0.75689,-7.97667,1.75109,-3.39769,2.90772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-05,21:04:40.84,2,2,"Lopez, Jose",673111,Left,HAG_FLY,"Waite, Jonathan",806653,Left,LI,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.11717,-1.133991,1.569341,2429.62832,154.069293,11:15,5.79354,-1.78245,5.5629,-18.95615,15.4765,-6.93776,3.15394,-0.89414,82.37965,-4.71424,0.332043,0.422335,,,,,,,,,,,,3.96992,8.51418,1.65162,50,5.6835,-3.29929,-132.07835,-3.23557,6.93868,30.90388,-17.29296,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,b3ba32f0-3b33-11ef-92a6-79043d61082c,89.24782,,,8.73752,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:04:40.84,2024-07-05T21:04:40.8430000-04:00,2024-07-06T01:04:40.8430000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,7bd38371-8760-4fac-8f3a-6163a0ffbe16,54.93168,-133.22728,15.45194,5.79184,-2.59266,-8.64648,1.77908,-3.55726,3.46934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-05,21:04:58.33,2,3,"Lopez, Jose",673111,Left,HAG_FLY,"Waite, Jonathan",806653,Left,LI,Undefined,1,Top,0,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.95052,-0.480341,2.916666,2408.935355,160.478532,11:15,5.87639,-1.64808,5.66166,-17.98025,15.61934,-5.13591,3.92953,0.64602,83.36821,-3.883113,2.000744,0.417194,,,,,,,,,,,,3.44977,8.38477,1.40449,50,5.82452,-6.55333,-133.25866,-1.69584,6.16432,30.31485,-17.19147,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,be2659d0-3b33-11ef-92a6-79043d61082c,90.34743,,,8.58232,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:04:58.33,2024-07-05T21:04:58.3320000-04:00,2024-07-06T01:04:58.3320000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,304ecdf9-e8d0-4677-a9b4-9fe0843a7cd8,54.83312,-134.35364,15.15743,5.87456,-1.07488,-8.59574,1.64522,-6.77599,3.08216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-05,21:05:18.49,2,4,"Lopez, Jose",673111,Left,HAG_FLY,"Waite, Jonathan",806653,Left,LI,Undefined,1,Top,0,2,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.01459,0.314893,2.622335,2458.489043,155.152687,11:15,5.88628,-1.64999,5.23209,-19.06481,15.22001,-6.4852,4.59385,0.27625,82.8705,-3.272844,1.474576,0.421427,,,,,,,,,,,,4.02843,7.83185,1.4134,50,5.90162,-5.78543,-133.20255,0.06906,7.15242,31.75983,-18.26874,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,ca2b9740-3b33-11ef-92a6-79043d61082c,89.44004,,,9.14409,,,,,,,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:05:18.49,2024-07-05T21:05:18.4930000-04:00,2024-07-06T01:05:18.4930000Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,e97238f9-61d7-4671-aa98-55d40f18e857,55.26155,-134.45122,15.87992,5.88479,0.78731,-9.13437,1.64638,-6.06663,3.57621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-05,21:05:40.01,2,5,"Lopez, Jose",673111,Left,HAG_FLY,"Waite, Jonathan",806653,Left,LI,Undefined,1,Top,0,3,1,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.10167,-1.584127,3.492048,2431.188259,153.507521,11:00,5.67714,-1.75195,5.38612,-17.98343,16.80619,-7.76091,2.69059,0.87844,82.31247,-4.979132,2.115956,0.424518,78.95856,21.136968,-26.660177,1183.461521,96.81051,25.36146,-52.22729,206.5239,206.5239,-29.66166,2.419925,5.00075,9.30028,1.4453,50,5.52318,-7.68996,-131.82843,-4.24857,8.70228,30.93623,-15.98979,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240705-HagerstownBallpark-2,d7064d20-3b33-11ef-92a6-79043d61082c,88.78875,25.36162,,8.7892,,,,1.48659,2.54066,-0.75672,44f889f2-e5cb-47be-9ed6-1c575f8bbea0,2024-07-06,01:05:40.01,2024-07-05T21:05:40.0110000-04:00,2024-07-06T01:05:40.0110000Z,LineDrive,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,1cb2ecbc-8acc-478a-984c-634eac7aa94f,55.11041,-133.02229,15.46811,5.67523,-3.63152,-7.9949,1.74854,-8.02579,4.35114,111.490399,1.48659,96.53065,-14.51552,3.21042,-0.69648,0.1392,-0.02622,0.00361,-0.00023,2.54066,41.75936,-20.85626,1.9145,-0.37147,0.06842,-0.01097,0.00172,-0.00013,-0.75672,-48.46585,3.44792,-0.36136,0.01469,0.00605,-0.00167,0.00025,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
