PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-04,18:37:50.97,1,1,"Woods, Stephen",642225,Right,LI,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.38803,-3.570725,-2.881115,2255.308347,216.486945,1:15,6.16416,1.92266,7.40085,-14.98702,17.80241,12.25186,1.62325,0.29199,83.13109,-6.478307,-0.663631,0.412134,,,,,,,,,,,,-7.30233,10.8028,-1.72113,50,5.90061,6.21293,-133.70289,-8.72857,-12.98286,33.62099,-12.9677,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,0a935180-3a56-11ef-b8cc-050c0fb1a06e,91.45676,,,9.25694,,,,,,,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:37:50.97,2024-07-04T18:37:50.9702266-04:00,2024-07-04T22:37:50.9702266Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,5ff3e75b-c140-4bdc-b0bc-146e6f35e50d,54.09392,-134.72842,16.8105,6.16082,-8.33302,-6.48385,-1.91668,6.60894,-6.49143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-04,18:38:08.50,1,2,"Woods, Stephen",642225,Right,LI,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.96283,-3.493973,-4.4769,2247.819809,213.341516,1:00,6.04416,2.04749,7.41223,-16.16454,16.89517,10.31823,1.47099,-1.21703,83.04223,-6.607035,-2.614843,0.413829,,,,,,,,,,,,-6.72122,10.23619,-1.73092,50,5.78575,9.96351,-132.88381,-8.55476,-11.86286,31.90644,-14.10737,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,150aea10-3a56-11ef-b8cc-050c0fb1a06e,91.0822,,,8.9206,,,,,,,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:38:08.50,2024-07-04T18:38:08.5039738-04:00,2024-07-04T22:38:08.5039738Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,ffbccd78-2901-40bd-ae66-664728c1f194,54.0813,-133.86018,15.95322,6.04093,-8.12306,-7.05368,-2.04137,10.32653,-5.93143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-04,18:38:26.03,1,3,"Woods, Stephen",642225,Right,LI,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,1,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.39895,-1.607652,-3.839037,2252.953622,224.941155,1:30,6.02658,2.05564,7.16376,-17.05619,16.27434,14.90682,3.11648,-0.25363,82.25634,-4.909112,-1.157292,0.415521,,,,,,,,,,,,-8.92894,9.30823,-1.77096,50,5.89567,8.29023,-133.58999,-4.22488,-15.72104,35.67007,-15.78523,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,1f775f10-3a56-11ef-b8cc-050c0fb1a06e,90.71136,,,10.1426,,,,,,,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:38:26.03,2024-07-04T18:38:26.0357242-04:00,2024-07-04T22:38:26.0357242Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,1f91a1b3-6e5c-4172-abf5-126897cadf87,54.32776,-134.7406,17.83504,6.02374,-3.7157,-7.89262,-2.04656,8.79734,-7.86052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-04,18:38:42.81,1,4,"Woods, Stephen",642225,Right,LI,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,1,2,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,79.70447,0.471556,-0.517118,2740.342551,41.663875,7:30,6.12689,2.06946,6.50726,-62.13031,-16.14087,-15.98182,1.39039,0.25403,71.59801,-10.833351,-3.376766,0.488091,77.85601,9.73438,-32.211436,2025.467832,,,,115.5441,110.52389,-34.683964,1.089325,7.88166,-7.84044,-2.01325,50,6.12637,1.68362,-115.48711,-1.24118,10.2708,28.53413,-42.39114,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,2981b6e0-3a56-11ef-b8cc-050c0fb1a06e,77.22427,6.2172,,8.10646,,,,1.89663,1.52842,-0.28471,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:38:42.81,2024-07-04T18:38:42.8174458-04:00,2024-07-04T22:38:42.8174458Z,GroundBall,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,b278522b-4937-4d76-a4a5-87039583687c,54.99199,-116.71399,14.26706,6.14055,0.58151,-21.19557,-2.07615,1.242,5.1354,69.519213,1.89663,95.22247,-9.79509,0.99908,-0.20636,0.00335,0.00258,0.0004,-0.00022,1.52842,19.3071,-20.71613,1.88493,-0.36595,0.0742,-0.00868,0.00101,-0.00012,-0.28471,-59.99134,-0.90037,0.95872,-0.26996,0.07172,-0.01155,0.00185,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-07-04,18:39:19.22,2,1,"Woods, Stephen",642225,Right,LI,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.41958,-1.769407,-2.661147,2167.39961,203.304723,12:45,6.11436,2.27208,7.0271,-15.92564,17.30757,6.91118,3.14628,0.38174,82.82927,-4.84415,-1.419375,0.414914,74.00957,19.515936,-169.221741,1740.296967,,,,103.8826,97.05913,-166.106378,1.771382,-4.36815,9.78835,-2.06719,50,5.96705,5.89799,-133.77269,-4.57077,-7.76456,33.98588,-14.77491,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,3f278dd0-3a56-11ef-b8cc-050c0fb1a06e,90.84408,17.02072,,9.59031,,,,1.92301,2.88461,-0.30792,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:39:19.22,2024-07-04T18:39:19.2239738-04:00,2024-07-04T22:39:19.2239738Z,LineDrive,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,bcf07e3e-7e24-47cf-b834-dcc3aaa64c8d,54.46339,-134.90188,16.99294,6.11076,-4.07988,-7.38746,-2.26744,6.15596,-3.88228,234.853393,1.92301,-100.50618,35.52213,-9.63959,2.62901,-0.74294,0.20695,-0.04323,0.00445,2.88461,36.26219,-25.2518,2.89361,-0.50988,0.06007,0.00672,-0.00511,0.0008,-0.30792,-19.13293,1.57345,1.65908,-0.8689,0.35186,-0.12199,0.02925,-0.00327,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-07-04,18:39:38.73,2,2,"Woods, Stephen",642225,Right,LI,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,1,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,92.19376,-1.342059,-2.930782,2083.665406,208.475256,1:00,6.04966,2.16771,7.02716,-17.46497,15.35485,7.74973,3.3495,0.09695,84.03447,-4.658491,-1.538789,0.412325,83.98215,25.932198,9.569011,1661.171433,108.99093,43.56963,14.8611,306.68522,295.82432,4.491363,3.773221,-4.83307,8.60941,-1.94264,50,5.93512,6.51735,-133.75747,-3.66926,-8.73362,29.53584,-16.61635,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,4ac752b0-3a56-11ef-b8cc-050c0fb1a06e,91.41442,49.84371,,8.15929,,,,1.04157,3.32705,-0.08628,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:39:38.73,2024-07-04T18:39:38.7325562-04:00,2024-07-04T22:39:38.7325562Z,LineDrive,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,69877a96-898f-4e5c-99c7-0552886b2261,54.47027,-134.74096,14.76792,6.04809,-3.11596,-8.30818,-2.1645,6.80817,-4.36681,154.291096,1.04115,109.24519,-14.53187,3.51509,-0.91191,0.27179,-0.07181,0.01173,-0.0008,3.32775,53.84126,-16.75612,0.60618,0.21812,-0.19247,0.06845,-0.01155,0.00075,-0.08655,18.42234,-5.5049,1.10707,-0.30459,0.11803,-0.03681,0.00636,-0.00044,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-07-04,18:40:21.93,3,1,"Woods, Stephen",642225,Right,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.16825,-1.957434,-3.178569,2030.486601,208.095803,1:00,6.09514,2.0724,7.23948,-16.1193,16.72729,8.31638,2.94285,-0.16949,83.4275,-5.056135,-1.679267,0.412493,,,,,,,,,,,,-5.24044,9.58233,-1.83917,50,5.94094,7.05745,-133.5609,-5.01062,-9.37462,31.35875,-15.03226,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,649157e0-3a56-11ef-b8cc-050c0fb1a06e,91.37712,,,8.74075,,,,,,,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:40:21.93,2024-07-04T18:40:21.9371642-04:00,2024-07-04T22:40:21.9371642Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,453d74ba-7f43-440a-a7af-cc1a79ca0808,54.25493,-134.55621,15.67937,6.0924,-4.53351,-7.51613,-2.06789,7.355,-4.68731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-04,18:40:39.24,3,2,"Woods, Stephen",642225,Right,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,0,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.45586,-1.601672,-2.802306,2086.369096,230.111738,1:45,5.99991,2.08729,7.44591,-18.38639,13.36839,14.63568,2.99396,0.73013,84.35093,-5.124181,-0.150342,0.40558,,,,,,,,,,,,-8.41599,7.80441,-1.89394,50,5.87785,5.99729,-135.51503,-4.31905,-15.44569,33.22554,-17.85078,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,6ed81c70-3a56-11ef-b8cc-050c0fb1a06e,92.93477,,,9.10493,,,,,,,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:40:39.24,2024-07-04T18:40:39.2434298-04:00,2024-07-04T22:40:39.2434298Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,2a983de4-66a2-4f1f-ae38-bcfe5db8cb71,54.04812,-136.50393,16.61277,5.9985,-3.78774,-8.92539,-2.07928,6.45701,-7.72284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-04,18:41:06.21,3,3,"Woods, Stephen",642225,Right,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.23121,-0.148599,-2.425191,1993.526368,205.801676,12:45,6.12301,1.97374,7.48042,-17.86442,14.0354,6.2313,4.49774,0.26489,83.88173,-3.590405,-1.29575,0.406505,,,,,,,,,,,,-3.9876,7.69599,-1.80545,50,6.10446,5.45684,-135.22826,-0.84343,-7.27204,33.65745,-18.13914,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,7eed3cd0-3a56-11ef-b8cc-050c0fb1a06e,92.72325,,,9.34948,,,,,,,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:41:06.21,2024-07-04T18:41:06.2161018-04:00,2024-07-04T22:41:06.2161018Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,5a8e03e8-55c5-4c6b-81e1-abe34968fff7,54.01205,-136.22317,16.82873,6.12146,-0.30723,-9.06957,-1.96993,5.6718,-3.63602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-04,18:41:23.95,3,4,"Woods, Stephen",642225,Right,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.75211,-1.275004,-2.428902,2531.801463,109.025358,9:45,5.8603,2.323,6.75811,-33.5384,7.5452,-17.33418,1.8774,-1.38369,75.31387,-7.493464,-5.527084,0.461324,,,,,,,,,,,,7.88575,4.78055,-2.11143,50,5.73476,5.86685,-121.21286,-3.80127,11.42696,29.437,-25.24671,LI,WES_POW,CenterIslip,Independent,ATL,20240704-CenterIslip-2,898fb5f0-3a56-11ef-b8cc-050c0fb1a06e,81.705,,,8.43824,,,,,,,599cb3cb-6bde-4f71-a2d1-4b8170cddbc4,2024-07-04,22:41:23.95,2024-07-04T18:41:23.9557242-04:00,2024-07-04T22:41:23.9557242Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,1c3f5b7b-4748-4772-90d5-f0df7efab5d2,54.73518,-122.35741,14.7185,5.86347,-2.81965,-12.62335,-2.33091,5.42256,5.71348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
