GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,1,251c0720-3be8-11ef-82a6-4dcbb3e7cd87,1e6a1331-e98c-4b43-8c7a-c378f87bec07,2024-07-06,18:36:11.37,2024-07-06,22:36:11.37,2024-07-06T18:36:11.3720000-04:00,2024-07-06T22:36:11.3720000Z,YOR,STA_YAN,FoulBallNotFieldable,Undefined,NoShift,93.55439,61.91093,152.06279,12.91966,72.77415,-52.64948,142.34138,-43.45702,245.35872,-116.94648,303.78119,13.81486,241.51911,125.83577,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2,39546b60-3be8-11ef-82a6-4dcbb3e7cd87,9db7fafa-29eb-491d-8309-d0d362a1bca5,2024-07-06,18:36:45.23,2024-07-06,22:36:45.23,2024-07-06T18:36:45.2340000-04:00,2024-07-06T22:36:45.2340000Z,YOR,STA_YAN,StrikeCalled,Undefined,NoShift,91.63682,60.83596,151.95683,12.28702,73.18866,-54.22526,140.79734,-45.36492,240.43273,-116.96243,302.40601,-6.22823,248.87743,123.44454,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,3,419a2fd0-3be8-11ef-82a6-4dcbb3e7cd87,6c9bbadc-6074-4129-bab5-fb99b7495c0e,2024-07-06,18:36:59.18,2024-07-06,22:36:59.18,2024-07-06T18:36:59.1820000-04:00,2024-07-06T22:36:59.1820000Z,YOR,STA_YAN,InPlay,Out,NoShift,92.46574,62.18422,152.09809,12.1759,92.72323,-68.25614,138.44727,-46.66011,242.19703,-115.85882,301.74434,3.75269,245.81837,122.58603,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,4,55829f50-3be8-11ef-82a6-4dcbb3e7cd87,66aea728-6c3b-43db-8438-c784acd6f201,2024-07-06,18:37:32.55,2024-07-06,22:37:32.55,2024-07-06T18:37:32.5560000-04:00,2024-07-06T22:37:32.5560000Z,YOR,STA_YAN,StrikeCalled,Undefined,NoShift,93.83864,75.58267,142.50237,44.44769,74.71544,-50.50351,140.59588,-37.12402,235.25308,-125.01742,304.52264,0.092,256.51662,123.67084,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,5,5dc15ee0-3be8-11ef-82a6-4dcbb3e7cd87,c342f640-b23e-4599-b736-7ca73c4fddb4,2024-07-06,18:37:46.39,2024-07-06,22:37:46.39,2024-07-06T18:37:46.3980000-04:00,2024-07-06T22:37:46.3980000Z,YOR,STA_YAN,StrikeSwinging,Undefined,NoShift,94.08067,76.07942,142.68634,44.54236,84.45736,-56.45063,141.70152,-37.41726,235.35387,-125.27939,301.26709,-10.36618,261.02965,121.27406,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,6,669a89b0-3be8-11ef-82a6-4dcbb3e7cd87,bc802159-81ed-42af-a6a8-a4e639c4f861,2024-07-06,18:38:01.29,2024-07-06,22:38:01.29,2024-07-06T18:38:01.2900000-04:00,2024-07-06T22:38:01.2900000Z,YOR,STA_YAN,StrikeCalled,Undefined,NoShift,93.99166,75.96776,142.43217,44.85672,95.89153,-61.99601,139.99089,-36.41419,237.01614,-123.71256,300.35926,-14.38838,258.77881,119.3427,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,7,7a1a9a70-3be8-11ef-82a6-4dcbb3e7cd87,4bdbe330-1d20-421c-851f-3c475f5851d7,2024-07-06,18:38:33.95,2024-07-06,22:38:33.95,2024-07-06T18:38:33.9540000-04:00,2024-07-06T22:38:33.9540000Z,YOR,STA_YAN,StrikeCalled,Undefined,NoShift,94.35596,76.51687,142.46395,44.13604,106.61859,-58.42499,144.09646,-29.77133,248.60609,-127.21126,303.80589,-3.97662,267.49403,122.47758,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,8,826f2bf0-3be8-11ef-82a6-4dcbb3e7cd87,7148f45d-2fbc-4fb6-a6d1-fb7e18f75882,2024-07-06,18:38:47.85,2024-07-06,22:38:47.85,2024-07-06T18:38:47.8590000-04:00,2024-07-06T22:38:47.8590000Z,YOR,STA_YAN,InPlay,Out,NoShift,94.66228,76.89355,142.84375,44.42532,107.98305,-58.30595,143.9238,-29.44689,247.11827,-125.9337,304.67145,-6.14186,266.14396,122.23569,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,9,e1561020-3be8-11ef-82a6-4dcbb3e7cd87,61f813e3-5d64-451d-b873-ec628ca45ae0,2024-07-06,18:41:27.14,2024-07-06,22:41:27.14,2024-07-06T18:41:27.1400000-04:00,2024-07-06T22:41:27.1400000Z,STA_YAN,YOR,BallCalled,Undefined,NoShift,89.71916,54.27828,147.36757,29.22915,68.83908,-54.34694,142.33908,-46.80734,248.39906,-124.2033,307.38011,-10.31588,256.15569,132.26045,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,10,e9f82560-3be8-11ef-82a6-4dcbb3e7cd87,6b10a997-57b6-41a7-bb12-211dc3bd0245,2024-07-06,18:41:41.61,2024-07-06,22:41:41.61,2024-07-06T18:41:41.6160000-04:00,2024-07-06T22:41:41.6160000Z,STA_YAN,YOR,BallCalled,Undefined,NoShift,86.80078,52.93428,148.75561,29.67236,72.03018,-55.66383,141.86232,-47.12755,248.79079,-124.28314,301.45076,-10.24662,255.87342,132.52234,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,11,f1f288f0-3be8-11ef-82a6-4dcbb3e7cd87,66ea1f13-1a2b-45cd-aa7e-902ad96dae37,2024-07-06,18:41:55.03,2024-07-06,22:41:55.03,2024-07-06T18:41:55.0360000-04:00,2024-07-06T22:41:55.0360000Z,STA_YAN,YOR,InPlay,Single,NoShift,89.64263,55.8195,147.3484,28.65285,76.67539,-59.85593,142.21883,-45.90041,249.6831,-124.78824,305.68302,-8.2865,256.35266,133.48445,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,12,0bc7ffd0-3be9-11ef-82a6-4dcbb3e7cd87,c2c62b5d-9d3e-4418-bb2b-0a90030bceae,2024-07-06,18:42:38.37,2024-07-06,22:42:38.37,2024-07-06T18:42:38.3710000-04:00,2024-07-06T22:42:38.3710000Z,STA_YAN,YOR,InPlay,Out,NoShift,63.31364,56.96533,130.60452,37.37218,65.2052,-43.30791,141.95203,-14.56542,240.81313,-125.79169,305.7113,9.18731,255.99283,140.87454,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,13,2007b710-3be9-11ef-82a6-4dcbb3e7cd87,234838d4-66c4-49c3-80cd-af3e86223150,2024-07-06,18:43:12.35,2024-07-06,22:43:12.35,2024-07-06T18:43:12.3520000-04:00,2024-07-06T22:43:12.3520000Z,STA_YAN,YOR,StrikeCalled,Undefined,NoShift,91.56684,55.70449,147.40051,28.88129,89.17162,-70.4775,142.23017,-46.94172,254.62373,-125.47917,318.81685,-9.47016,256.08161,136.20437,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,14,26a15220-3be9-11ef-82a6-4dcbb3e7cd87,7175a759-6b50-418f-9aaf-284610d95d0b,2024-07-06,18:43:23.33,2024-07-06,22:43:23.33,2024-07-06T18:43:23.3380000-04:00,2024-07-06T22:43:23.3380000Z,STA_YAN,YOR,InPlay,HomeRun,NoShift,94.20299,56.34,149.07606,28.15427,89.87469,-70.63803,142.50509,-46.42116,253.80584,-123.98931,320.79146,-9.36654,257.34287,134.54835,,,,,,,,,,,,,,,true
5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,15,4a714250-3be9-11ef-82a6-4dcbb3e7cd87,38000213-015b-4991-9970-a6b80ea938f0,2024-07-06,18:44:23.50,2024-07-06,22:44:23.50,2024-07-06T18:44:23.5040000-04:00,2024-07-06T22:44:23.5040000Z,STA_YAN,YOR,FoulBallNotFieldable,Undefined,NoShift,88.90194,53.83407,147.21711,25.52922,84.93909,-69.34983,141.9717,-46.91138,248.28982,-130.20922,322.62339,-12.38542,248.72006,135.84929,,,,,,,,,,,,,,,true
