PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-06,18:36:11.37,1,1,"Fletcher, Aaron",667465,Left,YOR,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.29674,-1.292472,2.793507,2429.300587,125.741693,10:15,5.63645,-1.51431,4.77223,-25.1184,10.71973,-13.27914,2.31628,0.02954,82.44359,-5.884744,0.460986,0.430868,69.51398,-31.698428,-62.242128,,,,,5.36662,5.36662,-40.259397,0.044731,7.35764,5.96473,1.24697,50,5.48534,-5.74741,-130.80661,-3.95392,12.73772,27.79675,-21.84779,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,251c0720-3be8-11ef-82a6-4dcbb3e7cd87,87.48028,2.40483,,7.85315,,,,2.28184,2.40483,-0.02229,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:36:11.37,2024-07-06T18:36:11.3720000-04:00,2024-07-06T22:36:11.3720000Z,GroundBall,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,1e6a1331-e98c-4b43-8c7a-c378f87bec07,55.72783,-132.01817,13.89838,5.63692,-3.00165,-10.92389,1.50958,-6.3026,6.36886,,2.28081,40.54348,,,,,,,,2.40619,-53.76141,,,,,,,,-0.02033,-77.03479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2024-07-06,18:36:45.23,1,2,"Fletcher, Aaron",667465,Left,YOR,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,0,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.72099,-1.519399,3.205866,2431.176025,120.796144,10:00,5.57776,-1.41934,4.78041,-24.47364,10.56902,-15.66395,2.09547,0.31731,83.03997,-6.011288,0.455185,0.426059,,,,,,,,,,,,8.64615,6.00784,1.11306,50,5.40484,-6.6483,-132.66062,-4.50658,15.27251,30.70925,-21.5618,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,39546b60-3be8-11ef-82a6-4dcbb3e7cd87,88.46763,,,8.68103,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:36:45.23,2024-07-06T18:36:45.2340000-04:00,2024-07-06T22:36:45.2340000Z,,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,9db7fafa-29eb-491d-8309-d0d362a1bca5,55.71726,-133.97756,15.35462,5.57828,-3.58193,-10.7809,1.41221,-7.30324,7.63626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-06,18:36:59.18,1,3,"Fletcher, Aaron",667465,Left,YOR,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,0,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.16124,-1.625059,3.060362,2469.068271,113.686451,9:45,5.53012,-1.50751,4.58385,-25.50001,9.44965,-18.74237,1.85655,-0.15521,83.47937,-6.277733,-0.220761,0.425493,,,,,,,,,,,,10.11213,5.44772,1.20959,50,5.33868,-6.18215,-133.29989,-4.85123,18.03097,31.05933,-22.46022,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,419a2fd0-3be8-11ef-82a6-4dcbb3e7cd87,88.58524,,,8.68188,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:36:59.18,2024-07-06T18:36:59.1820000-04:00,2024-07-06T22:36:59.1820000Z,,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,6c9bbadc-6074-4129-bab5-fb99b7495c0e,55.9154,-134.67114,15.52966,5.53097,-3.85962,-11.23011,1.50011,-6.9782,9.01549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-06,18:37:32.55,2,1,"Fletcher, Aaron",667465,Left,YOR,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.53049,-1.059429,3.500691,2536.580521,110.483539,9:45,5.47158,-1.59706,4.92986,-26.3549,8.51469,-19.61643,2.2719,0.08151,83.12771,-5.889229,0.047013,0.425006,,,,,,,,,,,,10.6767,4.86697,1.27296,50,5.34676,-7.1401,-132.47668,-3.51088,18.87266,29.70991,-23.57092,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,55829f50-3be8-11ef-82a6-4dcbb3e7cd87,88.68691,,,8.40277,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:37:32.55,2024-07-06T18:37:32.5560000-04:00,2024-07-06T22:37:32.5560000Z,,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,66aea728-6c3b-43db-8438-c784acd6f201,55.56894,-133.71976,14.85495,5.47302,-2.52465,-11.78546,1.58823,-7.92974,9.43633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-06,18:37:46.39,2,2,"Fletcher, Aaron",667465,Left,YOR,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,1,0,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.49855,-1.407544,2.719997,2495.102112,106.992123,9:30,5.48401,-1.46281,4.82306,-27.47596,7.50556,-20.69977,1.85943,-0.60961,83.24997,-6.418707,-0.922303,0.425687,,,,,,,,,,,,10.98036,4.45047,1.21164,50,5.32088,-5.2766,-132.50849,-4.38491,19.42017,29.70493,-24.3028,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,5dc15ee0-3be8-11ef-82a6-4dcbb3e7cd87,88.54489,,,8.24857,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:37:46.39,2024-07-06T18:37:46.3980000-04:00,2024-07-06T22:37:46.3980000Z,,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,c342f640-b23e-4599-b736-7ca73c4fddb4,55.67656,-133.77497,14.85246,5.48574,-3.34875,-12.1514,1.45426,-6.10458,9.71009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-06,18:38:01.29,2,3,"Fletcher, Aaron",667465,Left,YOR,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,1,0,2,Undefined,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.86367,-1.695223,4.002736,2532.786754,110.133972,9:45,5.45845,-1.58598,4.74823,-25.54301,8.55028,-20.18907,1.71762,0.53419,84.50412,-6.354262,0.462331,0.420248,,,,,,,,,,,,10.98678,5.0254,1.2017,50,5.26548,-8.36687,-134.28542,-5.04886,20.00418,29.85691,-23.02405,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,669a89b0-3be8-11ef-82a6-4dcbb3e7cd87,89.69089,,,8.35955,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:38:01.29,2024-07-06T18:38:01.2900000-04:00,2024-07-06T22:38:01.2900000Z,,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,bc802159-81ed-42af-a6a8-a4e639c4f861,55.75053,-135.55796,14.92846,5.45976,-4.06755,-11.51202,1.57647,-9.21947,10.00209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.53403,3.371941,1.544499,1.827441,-1.68384,1.36415,-0.55372,-5.22703,4.93784,2.66432,73.85907,12.24042,-51.145,-5.1634,46.086,-1.55307,5.19134,32.19469,-15.47814,2.49894,-33.0014,1.98314,High,High,High,,,High,Medium,High
7,2024-07-06,18:38:33.95,3,1,"Fletcher, Aaron",667465,Left,YOR,"Sandoval, Pablo",467055,Right,STA_YAN,Undefined,1,Top,2,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.52232,-1.300244,3.233664,2559.830262,110.460039,9:45,5.4499,-1.50715,4.7978,-25.77135,8.68115,-19.98619,2.06802,-0.10523,83.64826,-6.021973,-0.278236,0.422456,,,,,,,,,,,,10.76867,5.02351,1.20286,50,5.29826,-6.54972,-133.82788,-4.09991,19.32936,31.64621,-23.15702,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,7a1a9a70-3be8-11ef-82a6-4dcbb3e7cd87,89.22207,,,8.87406,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:38:33.95,2024-07-06T18:38:33.9540000-04:00,2024-07-06T22:38:33.9540000Z,,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,4bdbe330-1d20-421c-851f-3c475f5851d7,55.70015,-135.16908,15.8231,5.45122,-3.1185,-11.57851,1.49781,-7.36892,9.66468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-06,18:38:47.85,3,2,"Fletcher, Aaron",667465,Left,YOR,"Sandoval, Pablo",467055,Right,STA_YAN,Undefined,1,Top,2,0,1,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,74.90524,1.024096,3.218009,1804.612044,86.679986,9:00,5.52834,-1.62823,5.21397,-50.75467,0.7311,-17.17462,2.26339,-0.0303,68.37461,-8.217164,0.175553,0.516434,82.66553,-12.738066,16.90254,,,,,13.4496,13.4496,13.062399,0.088209,9.58674,0.50677,1.34438,50,5.58473,-5.44858,-108.52966,0.27265,11.35771,20.18099,-31.57367,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,826f2bf0-3be8-11ef-82a6-4dcbb3e7cd87,72.98594,2.36345,,6.53062,,,,3.09817,2.36345,2E-05,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:38:47.85,2024-07-06T18:38:47.8590000-04:00,2024-07-06T22:38:47.8590000Z,GroundBall,v3,5435,586,,"Berglund, Michael",668842,Right,YOR,7148f45d-2fbc-4fb6-a6d1-fb7e18f75882,55.28714,-109.50839,10.0905,5.53437,1.80389,-15.78684,1.62198,-5.99939,5.67886,180,3.09453,113.4059,,,,,,,,2.36431,-26.79378,,,,,,,,-0.00109,34.46084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-07-06,18:41:27.14,1,1,"Capuano, Christian",805894,Right,STA_YAN,"McDermott, Matt",1000024692,Right,YOR,Undefined,1,Bottom,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.94165,-0.360227,-1.685383,2014.101291,219.673941,1:15,5.10239,3.03496,6.36617,-25.31694,11.81875,8.83213,2.66101,2.21961,78.5967,-5.136759,-0.086106,0.438599,,,,,,,,,,,,-5.13107,6.61492,-2.91727,50,5.06443,3.35,-124.93642,-1.51843,-8.09586,25.58223,-21.73693,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,e1561020-3be8-11ef-82a6-4dcbb3e7cd87,85.93835,,,7.34495,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:41:27.14,2024-07-06T18:41:27.1400000-04:00,2024-07-06T22:41:27.1400000Z,,v3,5435,586,,"Noriega, Andres",678618,Right,STA_YAN,61f813e3-5d64-451d-b873-ec628ca45ae0,54.13445,-125.78015,12.79112,5.10269,-0.80152,-10.86846,-3.03216,3.61701,-4.04793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-06,18:41:41.61,1,2,"Capuano, Christian",805894,Right,STA_YAN,"McDermott, Matt",1000024692,Right,YOR,Undefined,1,Bottom,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.08811,-1.393139,-5.383749,2265.770621,207.238023,1:00,5.10898,3.02393,6.44343,-22.89312,14.15898,6.70107,1.91519,-1.3792,79.03342,-5.710721,-4.177313,0.438105,,,,,,,,,,,,-4.94012,8.12847,-2.64375,50,4.99924,11.49513,-124.64793,-3.67968,-7.80236,24.14657,-19.33605,YOR,STA_YAN,WellSpanPark,Independent,ATL,20240706-WellSpanPark-1,e9f82560-3be8-11ef-82a6-4dcbb3e7cd87,86.03527,,,7.05469,,,,,,,5f8023ea-8ee9-4f5a-aaf0-5821ef09581b,2024-07-06,22:41:41.61,2024-07-06T18:41:41.6160000-04:00,2024-07-06T22:41:41.6160000Z,,v3,5435,586,,"Noriega, Andres",678618,Right,STA_YAN,6b10a997-57b6-41a7-bb12-211dc3bd0245,54.05568,-125.43113,12.07328,5.10842,-3.05251,-9.66803,-3.0207,11.7482,-3.90118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
