PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-09,18:37:50.56,1,1,"Chen, Wei-Yin",612672,Left,LI,"McDermott, Matt",1000024692,Right,YOR,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.11978,-2.004954,2.412635,2284.947339,169.995214,11:45,6.16474,-1.80913,7.43307,-20.2556,17.20115,-2.79591,2.63179,0.17644,77.81446,-5.889846,1.906224,0.44049,,,,,,,,,,,,2.2176,10.00249,1.63864,50,6.01271,-5.15037,-124.85109,-4.8938,3.45055,28.47303,-16.61044,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,dfe4a7d0-3e43-11ef-accb-3125046bf09d,85.56927,,,8.30532,,,,,,,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:37:50.56,2024-07-09T18:37:50.5675348-04:00,2024-07-09T22:37:50.5675348Z,,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,5e7b6701-edd0-414e-8d56-7f8f8a47a089,54.06042,-125.77369,14.23652,6.16256,-4.35558,-8.30522,1.80733,-5.26218,1.72528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-09,18:38:06.07,1,2,"Chen, Wei-Yin",612672,Left,LI,"McDermott, Matt",1000024692,Right,YOR,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.08012,-2.569657,4.111355,2378.152558,162.789305,11:30,6.11943,-1.7655,7.48465,-18.07406,18.56221,-5.3426,2.24634,1.57049,78.78222,-6.050609,3.14565,0.435639,,,,,,,,,,,,4.05981,10.88044,1.47848,50,5.93021,-8.84814,-126.02252,-6.11054,6.44976,28.50773,-14.88839,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,e9234b30-3e43-11ef-accb-3125046bf09d,86.52215,,,8.2979,,,,,,,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:38:06.07,2024-07-09T18:38:06.0750420-04:00,2024-07-09T22:38:06.0750420Z,,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,9690fe04-ab66-4faf-969c-2569a0e4f7a2,54.00937,-126.92624,14.25386,6.11644,-5.63857,-7.4442,1.76222,-9.0526,3.22488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-09,18:38:22.56,1,3,"Chen, Wei-Yin",612672,Left,LI,"McDermott, Matt",1000024692,Right,YOR,Undefined,1,Top,0,1,1,Undefined,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,77.64663,-0.657457,2.166716,1335.435605,131.964683,10:30,6.11906,-1.58219,7.1811,-37.0201,9.26166,-8.51717,2.42649,-0.29022,70.65713,-7.57386,0.629125,0.489639,98.58727,-5.671228,-2.103915,,,,,23.25306,21.5814,-1.360624,0.159307,5.07276,5.47681,1.42273,50,6.05084,-3.95891,-112.67564,-2.34133,6.45151,22.52197,-25.20863,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,f3007880-3e43-11ef-accb-3125046bf09d,76.98001,2.27899,,6.9895,,,,0.31281,2.27899,0.29036,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:38:22.56,2024-07-09T18:38:22.5696852-04:00,2024-07-09T22:38:22.5696852Z,GroundBall,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,274b45bc-44ad-4966-bb6b-9e1809d76688,54.31489,-113.53483,11.26098,6.12182,-1.37964,-12.60431,1.57845,-4.20503,3.22575,180,0.30847,143.959,,,,,,,,2.27942,-14.30565,,,,,,,,0.29052,-5.28859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-07-09,18:39:00.66,2,1,"Chen, Wei-Yin",612672,Left,LI,"Casey, Donovan",661541,Right,YOR,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.92985,-1.654433,1.739821,2359.332685,150.846691,11:00,6.17497,-1.69249,7.08391,-17.57178,20.08619,-10.36575,3.17899,-0.94628,77.50719,-5.069552,-0.126719,0.441672,,,,,,,,,,,,5.87366,11.30001,1.56312,50,6.03783,-3.3797,-125.86149,-4.07248,9.17863,31.68845,-14.51574,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,09b24130-3e44-11ef-accb-3125046bf09d,85.34038,,,9.42266,,,,,,,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:39:00.66,2024-07-09T18:39:00.6640212-04:00,2024-07-09T22:39:00.6640212Z,,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,4175709e-8de5-40b2-bcaf-70cf10f2bc50,54.40686,-126.96617,15.84423,6.17098,-3.56645,-7.25787,1.68651,-3.69968,4.58931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-09,18:39:21.18,2,2,"Chen, Wei-Yin",612672,Left,LI,"Casey, Donovan",661541,Right,YOR,Undefined,1,Top,0,0,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,86.19425,-2.557758,2.259411,2250.839132,161.509106,11:30,6.08656,-1.71013,7.27108,-18.39517,19.12127,-5.95032,2.19237,-0.12208,78.11839,-6.087674,1.18465,0.440841,81.98416,-31.455503,-50.297127,,,,,5.26609,5.26609,-31.059442,0.03608,3.79701,11.12064,1.54586,50,5.88824,-4.69921,-124.9673,-6.06099,5.93666,27.83894,-14.78689,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,15e21110-3e44-11ef-accb-3125046bf09d,85.50118,2.26931,,8.07585,,,,2.14136,2.26931,0.13716,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:39:21.18,2024-07-09T18:39:21.1865684-04:00,2024-07-09T22:39:21.1865684Z,GroundBall,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,ecc5fc1b-0b3c-4d05-9fc2-5c4c1d05694b,54.225,-125.90499,13.91947,6.08401,-5.56293,-7.39345,1.70751,-4.89917,2.96833,,2.14045,65.68079,,,,,,,,2.27018,-62.89716,,,,,,,,0.13825,-79.10482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2024-07-09,18:39:57.52,3,1,"Chen, Wei-Yin",612672,Left,LI,"Welker, Colton",666213,Right,YOR,Undefined,1,Top,2,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.68622,-2.012175,2.164161,2235.268223,161.200185,11:15,6.20749,-1.70975,7.40968,-15.43458,20.68537,-6.59847,3.06915,-0.26889,79.15706,-5.022879,0.969374,0.432558,54.05425,25.253578,-170.64881,3553.86848,,,,112.08197,56.19366,-173.203371,1.733757,4.06559,11.73583,1.5574,50,6.0558,-4.53226,-127.12974,-4.80971,6.56862,29.16975,-13.21293,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,2b90c1a0-3e44-11ef-accb-3125046bf09d,87.13839,15.93402,,8.52916,,,,,,,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:39:57.52,2024-07-09T18:39:57.5248468-04:00,2024-07-09T22:39:57.5248468Z,LineDrive,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,aaeb0d7c-eb7a-4a6b-ab3b-752cbf6eb0a4,54.08253,-128.06305,14.58488,6.20292,-4.38696,-6.60647,1.70577,-4.74243,3.28431,20.690771,-3.14295,-70.74801,4.84551,0.02305,-0.31636,0.50771,-0.38509,0.15313,-0.0248,2.76432,33.82389,-23.13159,2.15039,-0.65478,0.38917,-0.20692,0.06421,-0.00815,0.66865,-11.65067,2.5763,-0.3943,0.08734,-0.00942,-0.01559,0.01267,-0.00292,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2024-07-09,18:40:17.96,3,2,"Chen, Wei-Yin",612672,Left,LI,"Welker, Colton",666213,Right,YOR,Undefined,1,Top,2,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.66714,-3.135314,3.966547,2273.580464,168.099539,11:30,6.16978,-1.70879,7.44965,-18.72761,17.1908,-3.37083,1.71884,1.66032,80.05636,-6.701073,3.357458,0.43135,,,,,,,,,,,,2.90331,10.25253,1.42892,50,5.93845,-8.67176,-126.94406,-7.45954,4.72018,26.87917,-15.50564,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,37bc24b0-3e44-11ef-accb-3125046bf09d,87.38244,,,7.61078,,,,,,,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:40:17.96,2024-07-09T18:40:17.9675220-04:00,2024-07-09T22:40:17.9675220Z,,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,c533b08a-772c-4912-9e79-35e1bfa3191e,54.04651,-127.79799,13.43959,6.16761,-6.96694,-7.75282,1.7068,-8.82171,2.36009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-09,18:40:34.59,3,3,"Chen, Wei-Yin",612672,Left,LI,"Welker, Colton",666213,Right,YOR,Undefined,1,Top,2,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.36251,1.900106,-0.259761,2277.206206,316.936846,4:30,6.07157,-1.48511,6.77705,-66.05492,-9.00642,10.16516,2.33565,-0.87971,64.56832,-10.181318,1.565261,0.543618,,,,,,,,,,,,-5.22851,-4.51929,1.50051,50,6.18916,0.11224,-102.17644,1.42968,-5.4776,18.25127,-36.90865,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,41c0fe40-3e44-11ef-accb-3125046bf09d,69.3363,,,5.7942,,,,,,,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:40:34.59,2024-07-09T18:40:34.5942100-04:00,2024-07-09T22:40:34.5942100Z,,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,429eb2eb-6436-48c6-89d2-65aa44d4c766,54.72326,-103.01668,9.12564,6.08423,3.12885,-18.45432,1.48954,0.36441,-2.7388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-09,18:40:51.25,3,4,"Chen, Wei-Yin",612672,Left,LI,"Welker, Colton",666213,Right,YOR,Undefined,1,Top,2,1,2,Undefined,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,75.95708,-0.352826,0.760705,2213.782256,282.03781,3:30,6.15664,-1.5928,7.00831,-50.85416,-1.59421,16.13647,1.5919,0.45669,68.72097,-9.740585,3.670165,0.505148,103.06878,23.411407,-9.883621,1539.621694,108.81807,40.59071,-16.08063,378.69111,364.2544,-5.649004,3.881054,-8.05859,-0.19161,1.52427,50,6.1015,-2.0369,-110.18809,-2.19832,-9.65336,24.26077,-32.40359,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,4b9ddd70-3e44-11ef-accb-3125046bf09d,74.61667,54.69165,,7.23611,,,,2.2332,1.78443,-0.38968,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:40:51.25,2024-07-09T18:40:51.2594004-04:00,2024-07-09T22:40:51.2594004Z,FlyBall,v3,1896,5435,,"Sisco, Chance",642082,Right,LI,4fbb6932-1168-4aae-ae07-59c78fee37af,54.48917,-111.1721,12.13039,6.16401,-0.88404,-16.2018,1.59894,-1.64536,-4.82668,219.397026,2.2329,136.67138,-20.19632,4.77904,-1.08859,0.24437,-0.04686,0.00576,-0.0003,1.78463,60.05867,-18.82903,1.17292,-0.09459,-0.00891,0.00236,0.00056,-0.00012,-0.38966,-23.81179,8.52124,-2.58979,0.68008,-0.15776,0.0297,-0.00368,0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-07-09,18:43:21.41,1,1,"Neff, Zach",679820,Left,YOR,"Castillo, Ivan",622668,Right,LI,Undefined,1,Bottom,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.51529,-1.425663,2.254921,2188.990053,151.238587,11:00,6.36436,-2.05836,6.80629,-25.13785,14.3558,-7.14973,2.94244,-0.5561,76.95862,-6.134139,0.974312,0.452309,,,,,,,,,,,,4.28988,8.13969,1.8775,50,6.23248,-4.53122,-122.55832,-3.82947,6.48909,25.46245,-19.86161,LI,YOR,CenterIslip,Independent,ATL,20240709-CenterIslip-1,a5188300-3e44-11ef-accb-3125046bf09d,83.33344,,,7.55667,,,,,,,84a40ba5-6992-43ac-bf72-345afa6a398e,2024-07-09,22:43:21.41,2024-07-09T18:43:21.4147156-04:00,2024-07-09T22:43:21.4147156Z,,v3,1896,5435,,"Devenney, Ciaran",1000009904,Right,YOR,6263fac3-8baf-46cd-a9d2-f78eab6df7c6,54.68881,-123.52862,12.73123,6.36399,-3.07261,-9.93081,2.05489,-4.77849,3.24455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
