PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-09,19:02:22.78,1,1,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,91.93472,-1.095714,3.734195,2354.392327,151.859422,11:00,5.54839,-2.74101,5.56246,-14.90473,19.03422,-9.53674,3.28036,-0.04213,82.9506,-3.955212,2.038749,0.419296,82.91532,48.359795,-40.312019,,,,,,224.03536,,,5.96091,10.29414,2.42468,50,5.44418,-8.24402,-133.04769,-2.99241,10.5699,31.4121,-13.92054,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,4d72bd20-3e47-11ef-903a-b1ade32e1488,89.89459,106.32945,,8.98412,,,,-0.17761,3.24907,-0.01522,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:02:22.78,2024-07-09T19:02:22.7890000-04:00,2024-07-09T23:02:22.7890000Z,,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,c1392285-6720-4097-8237-d381ee054c27,54.93479,-134.20772,15.70605,5.5452,-2.47834,-6.96027,2.73633,-8.63436,5.28495,155.945391,-0.17761,61.61477,-20.39316,6.35109,-1.62564,0.35754,-0.06366,0.00709,-0.00031,3.24907,90.88228,-23.36497,1.86102,-0.11258,-0.04726,0.02091,-0.00429,0.00045,-0.01522,-52.27553,7.12294,-1.01924,0.03807,0.0383,-0.01675,0.00385,-0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2024-07-09,19:02:57.22,1,2,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,92.9317,0.531675,4.705556,2263.378627,119.728537,10:00,5.61802,-2.58598,5.97087,-22.37706,10.2565,-16.01182,4.24787,0.45214,84.06644,-3.675815,1.841454,0.411153,75.00964,25.275426,-162.726823,4048.281269,,,,,59.03394,,,9.57386,5.4289,2.22123,50,5.64789,-10.35865,-134.51394,0.50176,17.41834,31.08765,-22.29693,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,61e51d20-3e47-11ef-903a-b1ade32e1488,91.67496,24.12079,,8.86527,,,,-1.17445,4.16363,-0.52988,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:02:57.22,2024-07-09T19:02:57.2270000-04:00,2024-07-09T23:02:57.2270000Z,,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,4067a73b-1555-496f-8bed-fee8805bb5e8,54.52772,-135.55631,15.54383,5.61854,1.24937,-11.14846,2.57835,-10.94268,8.70917,54.480544,-1.17445,-94.99522,7.47666,-0.13104,-0.00692,0.02773,-0.00857,0.00227,-0.00055,4.16363,46.97267,-25.47047,3.12033,-0.64143,0.14377,-0.02477,0.0029,0.00022,-0.52988,-29.53894,10.2886,-1.31975,0.26906,-0.04166,0.00588,-0.00052,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-07-09,19:03:17.35,1,3,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,82.88358,1.707418,1.33877,1959.42744,289.116008,3:45,5.41945,-2.93499,5.24294,-44.16069,-2.31205,10.53284,3.34498,-0.79882,75.67323,-6.333883,3.205716,0.465599,,,,,,,,,,,,-4.8367,-1.19,2.80398,50,5.54382,-3.26556,-120.2059,1.94223,-7.04867,24.16722,-33.90826,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,6dfad550-3e47-11ef-903a-b1ade32e1488,80.95474,,,7.21035,,,,,,,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:03:17.35,2024-07-09T19:03:17.3590000-04:00,2024-07-09T23:03:17.3590000Z,,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,24ca70eb-f6d0-4274-a576-d112ab531807,55.25645,-121.25809,12.08361,5.42712,3.41854,-16.95413,2.93947,-2.95867,-3.52433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-09,19:03:34.09,1,4,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,84.97411,-0.254639,1.786586,1880.909972,279.008509,3:15,5.38409,-2.84206,5.20676,-39.79542,-0.01378,7.98733,1.82821,-0.4957,77.9369,-7.4811,3.202388,0.453955,,,,,,,,,,,,-3.50902,0.39197,2.67034,50,5.33031,-4.18778,-123.29886,-2.03865,-5.38723,25.13597,-31.57227,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,77e34d40-3e47-11ef-903a-b1ade32e1488,83.03124,,,7.03721,,,,,,,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:03:34.09,2024-07-09T19:03:34.0940000-04:00,2024-07-09T23:03:34.0940000Z,,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,eff1acb6-4678-466d-a181-6222a466efb0,55.29434,-124.37349,12.56799,5.38861,-0.68885,-15.78614,2.84446,-3.95745,-2.69361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-09,19:03:55.00,1,5,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,93.32678,0.404661,3.493664,2454.962738,137.231137,10:30,5.46449,-2.66399,5.76541,-16.82698,15.77131,-13.54623,4.43957,-0.53723,84.23888,-2.803488,1.074694,0.410931,60.19153,60.873705,163.389432,5485.081724,-103.77194,51.03884,36.48803,142.1098,97.75392,161.366062,3.870638,7.96682,8.23201,2.38283,50,5.48806,-7.6408,-135.2102,0.42776,14.60586,32.14377,-17.08201,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,84613d20-3e47-11ef-903a-b1ade32e1488,91.72455,67.33847,,9.08791,,,,0.3757,4.59336,0.55141,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:03:55.00,2024-07-09T19:03:55.0020000-04:00,2024-07-09T23:03:55.0020000Z,Popup,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,5a70c46a-2314-418c-bd15-3758dc71ef18,54.7331,-136.33077,16.07189,5.46277,1.02326,-8.541,2.65808,-8.14997,7.30293,10.618208,0.3739,-41.11552,-1.38212,2.64373,-1.62637,0.76864,-0.21635,0.03154,-0.00187,4.59201,77.14968,-28.86726,4.17522,-0.80657,0.0314,0.04793,-0.01353,0.00111,0.55271,12.24172,3.27122,-2.4803,1.19942,-0.4924,0.12722,-0.01738,0.00098,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-07-09,19:04:19.05,1,6,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,83.98295,0.457801,1.605376,2103.074203,312.662733,4:30,5.42154,-2.80508,5.18297,-45.55345,-4.9067,6.67209,2.05633,-0.73823,77.23706,-7.785432,2.788096,0.458864,,,,,,,,,,,,-2.88315,-2.19421,2.65058,50,5.42929,-3.70473,-121.90828,-0.75909,-4.33986,23.91288,-35.47685,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,92b94430-3e47-11ef-903a-b1ade32e1488,82.14288,,,6.74589,,,,,,,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:04:19.05,2024-07-09T19:04:19.0580000-04:00,2024-07-09T23:04:19.0580000Z,,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,b03b5aae-4d95-423b-9034-152d5449d564,55.3183,-122.94706,11.95644,5.42879,0.78203,-17.73842,2.80742,-3.51621,-2.16993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49674,2.578383,1.19977,1.378613,-1.19344,1.68906,0.60979,-4.15999,4.59588,0.16689,73.66922,10.42687,-51.34395,-4.05125,60.98943,-3.32296,4.78597,24.87004,-15.02278,0.01256,-42.1196,3.49636,High,High,High,,,High,High,High
7,2024-07-09,19:04:49.94,1,7,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,93.70248,-1.473234,4.584467,2403.841416,135.633266,10:30,5.36278,-2.72436,5.89127,-16.84851,15.19765,-13.83316,2.58614,0.3887,85.29479,-4.668125,2.113025,0.407436,73.37853,14.476646,168.044773,2153.041857,,,,122.76825,60.03896,168.78595,1.328657,8.39776,8.51457,2.3623,50,5.23405,-10.26809,-135.67501,-4.03244,15.62122,30.25012,-16.33552,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,a5167fd0-3e47-11ef-903a-b1ade32e1488,92.51135,10.47604,,8.40768,,,,1.16448,2.61497,-0.38501,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:04:49.94,2024-07-09T19:04:49.9430000-04:00,2024-07-09T23:04:49.9430000Z,LineDrive,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,eecc1927-7849-4675-ba3d-fa316294509e,54.6087,-136.69871,15.12506,5.36116,-3.47963,-8.16776,2.71873,-10.79673,7.81061,348.751457,1.16448,-101.94443,8.83866,-1.01469,0.24402,-0.03326,-0.00045,0.00407,-0.00132,2.61497,26.90433,-24.32298,2.51187,-0.71262,0.50695,-0.4199,0.20817,-0.04171,-0.38501,21.58591,-3.04717,0.53844,-0.19091,0.18469,-0.16862,0.08481,-0.01705,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2024-07-09,19:05:08.91,1,8,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,93.58732,-0.634184,4.607104,2439.323609,134.785964,10:30,5.44022,-2.74459,5.9064,-18.45367,13.85186,-12.82579,3.31181,0.47236,84.60838,-4.13268,2.315545,0.409082,72.64657,63.252818,53.583485,5327.962879,,,,135.63892,134.80357,71.597402,5.032069,7.96595,7.6093,2.38119,50,5.37868,-10.34243,-135.44087,-2.09597,14.66542,32.04276,-18.16517,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,b0732130-3e47-11ef-903a-b1ade32e1488,92.13915,104.89847,,8.97894,,,,0.90983,3.27496,-0.49276,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:05:08.91,2024-07-09T19:05:08.9160000-04:00,2024-07-09T23:05:08.9160000Z,Popup,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,5db1710a-f22c-4fd4-b0bc-fd9af97cbb1e,54.59228,-136.523,16.02138,5.43911,-1.48252,-9.08259,2.73883,-10.8377,7.33271,209.918412,0.88463,28.96446,-14.1268,6.72439,-2.95046,0.84568,-0.1301,0.00924,-0.0002,3.26667,95.26879,-28.19155,3.71974,-0.31649,-0.25089,0.11361,-0.01856,0.00107,-0.47543,38.17344,2.06827,-5.35215,3.84473,-1.62649,0.37569,-0.04418,0.00209,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2024-07-09,19:06:11.16,1,9,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,84.5961,0.681239,2.214858,2339.557162,297.363667,4:00,5.28012,-2.81686,5.28231,-42.95943,-2.79347,7.90075,2.34046,-0.07737,77.3049,-7.131195,3.615988,0.456142,,,,,,,,,,,,-3.2889,-1.17717,2.60883,50,5.31093,-5.08889,-122.6731,-0.15894,-4.98491,25.48113,-33.95826,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,d57fd720-3e47-11ef-903a-b1ade32e1488,82.63305,,,7.2912,,,,,,,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:06:11.16,2024-07-09T19:06:11.1610000-04:00,2024-07-09T23:06:11.1610000Z,,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,f7d6ac79-35ff-43fa-9e56-14eabad28987,55.21729,-123.75207,12.74056,5.28722,1.27898,-16.97913,2.81985,-4.87781,-2.49245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-09,19:06:25.98,1,10,"Zastrow, Bradon",803007,Left,FRE_KEY,"Liquori, Jeff",824666,Left,WES_BLA,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,84.00967,-0.517845,3.320038,2373.491745,306.205091,4:15,5.4121,-2.864,5.11392,-46.48837,-4.66587,8.52331,1.04939,0.97751,75.75204,-8.938173,4.825879,0.465454,,,,,,,,,,,,-3.0641,-1.65689,2.54422,50,5.32737,-7.42241,-121.43323,-2.8789,-4.46399,29.16945,-34.5879,FRE_KEY,WES_BLA,HarryGrove,Undefined,MLB Draft League,20240709-HarryGrove-1,de6732c0-3e47-11ef-903a-b1ade32e1488,80.98001,,,8.25763,,,,,,,463bae89-6ab1-4078-b1da-f130816a3533,2024-07-09,23:06:25.98,2024-07-09T19:06:25.9830000-04:00,2024-07-09T23:06:25.9830000Z,,v3,493,5020,759613,"Carapellotti, Owen",801928,Right,FRE_KEY,d9f2a2fa-126c-43ab-9cc9-5ee7ff495c9f,55.38353,-122.71959,14.58472,5.42069,-1.35358,-17.29395,2.8672,-7.22555,-2.23199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
