PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-10,12:08:54.58,1,1,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.81376,-3.794262,4.627544,2074.520184,150.658352,11:00,5.98684,-2.62434,4.19621,-15.76816,20.87678,-10.87209,1.02025,0.91305,81.60327,-6.76584,2.745825,0.435691,,,,,,,,,,,,6.89355,11.81426,2.12581,50,5.55242,-10.10407,-131.88964,-9.34873,11.82165,34.95453,-11.91396,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,b60d8ec0-3ed6-11ef-a3c1-0ffc2230e6af,86.5119,,,10.21049,,,,,,,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:08:54.58,2024-07-10T12:08:54.5835196-04:00,2024-07-10T16:08:54.5835196Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,58008d6d-2de3-404b-947b-49b6d4394a81,56.30079,-133.54909,17.47726,5.98282,-8.78312,-5.95698,2.61882,-10.6653,5.91082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-10,12:09:05.56,1,2,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.82235,-1.829003,2.849343,2036.913423,145.370216,10:45,6.03472,-2.5445,4.35851,-16.55619,21.21926,-13.58398,2.90507,-0.95231,79.78932,-4.968669,0.483138,0.44236,,,,,,,,,,,,7.5017,11.27823,2.25285,50,5.82344,-5.73605,-129.51048,-4.70918,12.41666,33.46777,-13.50655,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,bc91f420-3ed6-11ef-a3c1-0ffc2230e6af,85.20755,,,10.03303,,,,,,,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:09:05.56,2024-07-10T12:09:05.5634620-04:00,2024-07-10T16:09:05.5634620Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,4ab9b759-5d76-495d-940f-c9d31c880583,56.13577,-131.08648,16.73389,6.03022,-4.07315,-6.75327,2.53673,-6.32075,6.20833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-10,12:09:19.92,1,3,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.09135,-2.490579,1.796222,2009.525411,139.873527,10:45,5.92735,-2.64856,4.34458,-19.23336,17.13832,-13.28453,1.94208,-2.0387,81.8599,-6.054733,-0.520742,0.434063,,,,,,,,,,,,6.96839,9.46489,2.46948,50,5.64121,-3.43186,-131.55963,-6.46971,12.01671,32.09269,-15.85226,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,c5247900-3ed6-11ef-a3c1-0ffc2230e6af,86.83629,,,9.23145,,,,,,,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:09:19.92,2024-07-10T12:09:19.9239356-04:00,2024-07-10T16:09:19.9239356Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,05563294-e331-4feb-8803-4327679da502,56.15232,-133.05197,16.04635,5.92491,-5.73257,-7.92613,2.64205,-3.99065,6.00836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-10,12:09:33.98,1,4,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,2,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.50782,-2.011951,3.064572,2177.17353,155.019772,11:15,5.92212,-2.60072,4.52882,-14.21052,21.77218,-9.48575,2.81836,-0.46998,81.72681,-4.72769,1.408164,0.431736,51.07032,21.830222,158.731784,2818.822103,,,,101.87213,50.06942,161.975656,1.58475,5.59894,11.60973,2.29008,50,5.69985,-6.5737,-132.03434,-5.10705,9.6871,33.3269,-12.08732,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,cd88e900-3ed6-11ef-a3c1-0ffc2230e6af,87.30435,12.62125,,9.78101,,,,,,,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:09:33.98,2024-07-10T12:09:33.9849404-04:00,2024-07-10T16:09:33.9849404Z,GroundBall,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,c9859dfa-ae7b-4569-a6cb-136bf9a02838,55.96634,-133.53182,16.66345,5.91713,-4.56393,-6.04366,2.59523,-7.00897,4.84355,314.181997,-2.66534,-64.79736,3.33684,-0.08425,0.20418,-0.24935,0.17706,-0.05404,0.00482,2.67202,27.85349,-20.41664,1.49133,-0.35318,0.13797,-0.07582,0.03164,-0.00548,0.31092,25.22245,-4.28585,0.77555,-0.32409,0.22859,-0.14645,0.04831,-0.00547,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2024-07-10,12:09:55.40,1,5,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,2,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.39915,-0.179702,2.957944,1769.591522,259.907232,2:45,5.88245,-2.50771,4.51767,-42.00183,1.88244,2.02126,2.2109,0.48069,74.87957,-7.73819,3.311197,0.476789,103.54312,33.547299,-63.425114,2578.271259,,,,,125.20885,,,-0.0737,1.34551,2.19606,50,5.82374,-6.24945,-119.19421,-2.02206,-0.10482,25.32775,-30.26025,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,da56a690-3ed6-11ef-a3c1-0ffc2230e6af,79.05481,74.66031,,7.51957,,,,2.87868,2.46649,-0.41053,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:09:55.40,2024-07-10T12:09:55.4065596-04:00,2024-07-10T16:09:55.4065596Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,42a3cf7e-0f42-4c89-8e35-6f48c6be376f,55.98341,-120.45892,12.66388,5.88698,-0.51105,-15.13013,2.50799,-6.24421,-0.05241,,2.87868,56.62199,-14.96244,3.89562,-0.95293,0.23018,-0.05329,0.00982,-0.00097,2.46649,83.92332,-20.1941,1.77091,-0.31275,0.05427,-0.01054,0.00245,-0.00036,-0.41053,-113.1954,16.60465,-3.72033,0.80705,-0.18049,0.04067,-0.00761,0.00081,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2024-07-10,12:10:17.46,1,6,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,2,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.85445,-4.655781,2.43985,2150.961118,145.995427,10:45,6.03763,-2.5671,4.2277,-14.01753,21.74922,-13.80717,0.39738,-1.37996,83.32274,-7.274137,0.038928,0.430438,,,,,,,,,,,,7.43272,12.26359,2.31503,50,5.51281,-4.93493,-132.47768,-11.3131,13.11891,30.10551,-10.52853,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,e76fc500-3ed6-11ef-a3c1-0ffc2230e6af,87.56755,,,8.53171,,,,,,,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:10:17.46,2024-07-10T12:10:17.4646460-04:00,2024-07-10T16:10:17.4646460Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,203006aa-cdd6-4489-99b2-f2f4a4acba9c,56.27324,-133.89568,15.05275,6.03398,-10.81719,-5.26427,2.56203,-5.55285,6.55946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-10,12:10:40.41,1,7,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,3,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.43306,-1.877569,2.904992,2067.287644,154.460634,11:15,6.01866,-2.47651,4.52033,-13.0704,21.8193,-9.82717,3.13821,-0.52617,83.38277,-4.367847,1.188895,0.425128,77.30336,73.311075,115.303437,4839.270792,,,,,36.68613,,,5.69111,11.56221,2.18268,50,5.81122,-6.27866,-133.61591,-4.82682,10.18412,31.51644,-11.4837,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,f523eaf0-3ed6-11ef-a3c1-0ffc2230e6af,88.66132,91.0114,,9.05029,,,,1.30809,2.87256,0.44295,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:10:40.41,2024-07-10T12:10:40.4170940-04:00,2024-07-10T16:10:40.4170940Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,1273e400-1b6f-4172-a5bc-293c0751001c,55.97907,-135.01885,15.75822,6.01471,-4.31563,-5.74185,2.47226,-6.732,5.09206,344.470834,1.30809,-13.91628,-7.24707,1.85196,-0.43003,0.10535,-0.02499,0.00493,-0.00055,2.87256,108.60237,-32.68547,5.28175,-1.27424,0.30704,-0.07387,0.01456,-0.00162,0.44295,29.43555,-4.99819,1.22169,-0.27781,0.06844,-0.01631,0.00322,-0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-07-10,12:11:01.57,1,8,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,3,2,Undefined,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,92.91192,-1.610415,3.166861,2118.022772,158.734931,11:15,5.9854,-2.46747,4.42553,-12.91532,21.84651,-8.00575,3.36984,-0.10999,83.55481,-4.074997,1.772035,0.424349,97.66326,29.998806,-35.603258,3182.643219,87.75441,57.02741,-66.32612,390.6133,296.67909,-42.15742,4.69574,4.89933,11.47678,2.13936,50,5.80319,-7.01179,-134.22312,-4.21953,8.82101,32.59429,-11.51057,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,01be8a90-3ed7-11ef-a3c1-0ffc2230e6af,88.82422,78.84891,,9.35711,,,,2.31131,3.4011,0.20124,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:11:01.57,2024-07-10T12:11:01.5706812-04:00,2024-07-10T16:11:01.5706812Z,FlyBall,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,83fd26e9-99c0-4ea5-84c3-e397f25f0273,56.07347,-135.68997,16.29715,5.98142,-3.70152,-5.75529,2.46384,-7.40877,4.41051,146.648629,2.31174,100.85392,-19.46372,4.91547,-1.11271,0.23667,-0.04353,0.0054,-0.0003,3.40246,71.58283,-18.97966,0.93614,0.18126,-0.16522,0.04999,-0.00705,0.00038,0.20139,-72.22342,6.89164,-1.38695,0.29727,-0.07906,0.01891,-0.00268,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-07-10,12:11:46.95,2,1,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,90.21457,-2.364186,3.313504,2108.112714,159.223131,11:15,5.98487,-2.62728,4.55783,-21.83052,14.12276,-4.95063,1.91036,0.1175,83.15729,-6.334997,2.44861,0.43156,105.00978,-2.668376,-22.801056,2954.650562,,,,44.01063,41.73441,-24.965398,0.288512,3.26803,7.81689,2.28772,50,5.71884,-7.32236,-130.62452,-6.27689,5.69778,25.17141,-18.54533,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,1ccf8eb0-3ed7-11ef-a3c1-0ffc2230e6af,87.34006,2.56528,,7.05728,,,,1.49327,2.56528,-0.47883,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:11:46.95,2024-07-10T12:11:46.9540540-04:00,2024-07-10T16:11:46.9540540Z,GroundBall,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,ae8f1e94-68f0-4fed-8af2-274c79fa3a38,55.94419,-131.76498,12.58571,5.9842,-5.43664,-9.27266,2.62533,-7.58052,2.84889,,1.49895,141.56437,-29.42222,,,,,,,2.56403,-7.11226,-6.13789,,,,,,,-0.47354,-59.86591,-10.03234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2024-07-10,12:12:20.55,3,1,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.65769,-2.54059,3.19613,2150.506521,150.62961,11:00,5.9904,-2.58581,4.27143,-15.73434,18.9767,-9.91138,2.24297,-0.35051,83.69826,-5.495331,1.473455,0.424039,,,,,,,,,,,,5.81819,10.35099,2.24839,50,5.69875,-7.00169,-135.02167,-6.59011,10.52859,34.81476,-13.44294,WES_POW,GAS,GoMart,Independent,ATL,20240710-GoMart-1,30cc2270-3ed7-11ef-a3c1-0ffc2230e6af,88.88919,,,9.95943,,,,,,,2fbb2adc-3684-46f7-988d-37ef09be92b1,2024-07-10,16:12:20.55,2024-07-10T12:12:20.5524668-04:00,2024-07-10T16:12:20.5524668Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,7a95d41a-4da8-4814-b4d9-b2373b0aee99,56.22439,-136.61718,17.40738,5.98665,-5.97404,-6.72147,2.58032,-7.4842,5.26429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
