GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
4a3317dd-109f-4c87-915a-4e1add00af3b,1,826505a0-3f10-11ef-903a-b1ade32e1488,0e0db645-647c-4982-a666-508e659afa7d,2024-07-10,19:02:40.60,2024-07-10,23:02:40.60,2024-07-10T19:02:40.6060000-04:00,2024-07-10T23:02:40.6060000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,92.49464,76.2244,136.70619,54.18026,93.46339,-56.32517,145.76585,-29.64009,242.81098,-119.93462,305.78837,-11.20834,243.56994,114.11595,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,2,8ca5d6c0-3f10-11ef-903a-b1ade32e1488,9df68cea-3c41-4076-a0e8-2e0dd93d2701,2024-07-10,19:02:57.72,2024-07-10,23:02:57.72,2024-07-10T19:02:57.7290000-04:00,2024-07-10T23:02:57.7290000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,93.7617,77.46503,136.9004,57.19718,95.40003,-56.13993,145.08398,-29.23092,244.4342,-121.92318,305.17273,-12.58128,237.06111,115.61615,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,3,9f7cfd50-3f10-11ef-903a-b1ade32e1488,335a4a7a-d241-4c20-a45f-a76c79b9ce70,2024-07-10,19:03:29.39,2024-07-10,23:03:29.39,2024-07-10T19:03:29.3900000-04:00,2024-07-10T23:03:29.3900000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,89.91533,67.8486,143.18785,39.29686,94.84283,-64.14862,141.29381,-37.6922,247.22171,-115.95648,305.8867,4.18695,228.23495,113.76419,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,4,a71f55d0-3f10-11ef-903a-b1ade32e1488,9d9a675b-1d29-4cd9-90fd-5c8d797146c1,2024-07-10,19:03:42.18,2024-07-10,23:03:42.18,2024-07-10T19:03:42.1860000-04:00,2024-07-10T23:03:42.1860000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,90.25028,65.78551,144.23819,35.71916,94.71945,-66.5573,141.29486,-38.79046,249.52715,-117.91828,302.40338,11.41884,221.93325,113.14484,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,5,b065c160-3f10-11ef-903a-b1ade32e1488,a54142a3-6b02-4e1a-be3a-4dafccdb9124,2024-07-10,19:03:57.68,2024-07-10,23:03:57.68,2024-07-10T19:03:57.6810000-04:00,2024-07-10T23:03:57.6810000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,91.09066,65.67043,147.79091,31.79921,94.2854,-67.43336,140.70093,-38.62726,250.49443,-119.42096,298.6271,13.21659,222.98959,108.70792,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,6,b87078a0-3f10-11ef-903a-b1ade32e1488,b37a717b-bfa7-4836-9989-0a9e0cf2970d,2024-07-10,19:04:11.29,2024-07-10,23:04:11.29,2024-07-10T19:04:11.2930000-04:00,2024-07-10T23:04:11.2930000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,90.63259,65.60578,147.18535,32.34259,94.56713,-66.64069,140.79,-38.72029,249.91406,-118.98635,296.75852,6.97696,223.38215,109.08219,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,7,c160d4f0-3f10-11ef-903a-b1ade32e1488,d8facc6c-4bd4-4a7b-9048-106071ad6bb4,2024-07-10,19:04:26.13,2024-07-10,23:04:26.13,2024-07-10T19:04:26.1350000-04:00,2024-07-10T23:04:26.1350000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,91.08022,64.91351,146.76562,31.06588,94.64417,-66.23783,141.0399,-39.34354,248.36482,-119.60449,297.93548,12.28458,229.82518,109.33202,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,8,d5b28d90-3f10-11ef-903a-b1ade32e1488,8bab4f0d-2460-430c-9dd4-13e10dc80da2,2024-07-10,19:05:00.33,2024-07-10,23:05:00.33,2024-07-10T19:05:00.3390000-04:00,2024-07-10T23:05:00.3390000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,90.83025,74.32656,140.92912,49.40887,98.51527,-60.73203,141.66566,-36.11127,250.15638,-116.50178,302.11297,1.69138,245.29685,115.33322,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,9,de0bb2f0-3f10-11ef-903a-b1ade32e1488,49d4c9df-f7e8-4a0b-8fbf-ed7384ba264e,2024-07-10,19:05:14.35,2024-07-10,23:05:14.35,2024-07-10T19:05:14.3560000-04:00,2024-07-10T23:05:14.3560000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,91.05497,74.55808,143.02478,44.09531,102.93085,-68.7654,141.40834,-35.88349,246.39224,-121.19841,302.01188,-19.77826,254.4064,98.57012,,,,,,,,,,,,,,,true
4a3317dd-109f-4c87-915a-4e1add00af3b,10,f887ca10-3f10-11ef-903a-b1ade32e1488,769d33da-13fd-42f7-bc90-71071fe30527,2024-07-10,19:05:58.82,2024-07-10,23:05:58.82,2024-07-10T19:05:58.8220000-04:00,2024-07-10T23:05:58.8220000Z,FRE_KEY,WES_BLA,Undefined,Undefined,NoShift,91.24119,73.65605,144.74487,42.43072,103.93307,-68.89689,142.87766,-36.62901,233.51869,-138.61773,300.26735,-28.41084,260.06766,93.24756,,,,,,,,,,,,,,,true
