PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-04,17:47:18.85,1,1,"De La Rosa, Luis",682915,Right,LEX_LEG,"Broughton, Josh",690527,Right,SMD,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.60119,-2.236204,-4.989427,2076.511062,218.372932,1:15,5.46132,1.97399,5.80492,-24.9636,12.18682,8.82359,1.29231,-1.94281,80.34519,-6.844393,-3.416926,0.438685,,,,,,,,,,,,-5.69429,7.08733,-1.5687,50,5.26191,10.59198,-125.42911,-5.73305,-9.20477,21.87653,-20.71747,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,5e615ea0-3a57-11ef-aaac-2fe8efa6f87b,85.92132,,,6.25601,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:47:18.85,2024-07-04T17:47:18.8535656-05:00,2024-07-04T22:47:18.8535656Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,3ba7a14e-a56a-4726-b5d0-5dc147106e94,54.69701,-126.24567,10.93826,5.46147,-4.95975,-10.35874,-1.97047,10.93556,-4.60239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-04,17:47:30.16,1,2,"De La Rosa, Luis",682915,Right,LEX_LEG,"Broughton, Josh",690527,Right,SMD,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.78032,0.119975,-3.073069,2156.606181,216.25826,1:15,5.49877,2.05027,5.78953,-22.86304,14.16119,9.58871,3.70529,-0.01229,79.77823,-4.154195,-1.359035,0.43794,,,,,,,,,,,,-5.67441,7.52863,-1.80275,50,5.4949,6.36685,-125.98852,-0.46392,-9.19338,23.68271,-19.9765,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,651addc0-3a57-11ef-aaac-2fe8efa6f87b,86.06765,,,7.00209,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:47:30.16,2024-07-04T17:47:30.1699944-05:00,2024-07-04T22:47:30.1699944Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,98a4e47a-7226-4542-bb6d-9854632d4b7a,54.71134,-126.87105,11.84136,5.49831,0.28049,-9.98825,-2.04639,6.70944,-4.59669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-04,17:47:42.62,1,3,"De La Rosa, Luis",682915,Right,LEX_LEG,"Broughton, Josh",690527,Right,SMD,Undefined,1,Top,0,2,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.71315,-1.499279,-4.512007,2183.978022,224.196474,1:30,5.43383,2.06933,5.78716,-24.31281,12.95257,11.49583,2.00826,-1.1791,79.76313,-6.019747,-2.461479,0.439364,,,,,,,,,,,,-7.05481,7.34355,-1.70386,50,5.29522,9.44475,-125.64328,-4.08558,-11.35281,23.86303,-20.35656,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,6c87ce60-3a57-11ef-aaac-2fe8efa6f87b,85.78868,,,6.95002,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:47:42.62,2024-07-04T17:47:42.6253160-05:00,2024-07-04T22:47:42.6253160Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,efb3207a-60b9-4531-8d50-90bf9c8e6183,54.71449,-126.53553,11.93152,5.43375,-3.32445,-10.17828,-2.06493,9.86923,-5.6764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-04,17:47:55.59,1,4,"De La Rosa, Luis",682915,Right,LEX_LEG,"Broughton, Josh",690527,Right,SMD,Undefined,1,Top,0,2,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.81072,-1.48218,-5.118648,2107.27464,217.241393,1:15,5.34802,2.05398,5.7957,-25.0943,12.01961,8.3143,1.87229,-2.0272,80.15055,-6.128176,-3.638217,0.43847,,,,,,,,,,,,-5.52244,6.84181,-1.63689,50,5.21047,10.91976,-125.70727,-4.08705,-8.92907,22.988,-21.1117,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,74430610-3a57-11ef-aaac-2fe8efa6f87b,85.9636,,,6.66017,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:47:55.59,2024-07-04T17:47:55.5937128-05:00,2024-07-04T22:47:55.5937128Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,8b141840-9027-4102-95ed-ad636a9c2889,54.70577,-126.56489,11.494,5.34825,-3.29943,-10.55585,-2.05049,11.25288,-4.46453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-04,17:48:10.15,1,5,"De La Rosa, Luis",682915,Right,LEX_LEG,"Broughton, Josh",690527,Right,SMD,Undefined,1,Top,0,3,1,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.53964,-1.159697,-3.028267,2068.767441,215.27117,1:15,5.40178,1.82439,5.90937,-24.20521,13.89493,8.99453,2.30659,-0.23956,78.49628,-5.686549,-1.41599,0.444257,71.40633,9.806351,-21.593582,4550.377327,,,,114.85398,111.84828,-21.254978,1.18729,-5.49689,7.80059,-1.58652,50,5.2947,6.22064,-124.17004,-3.26671,-8.60304,24.29246,-19.96548,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,7ce7b360-3a57-11ef-aaac-2fe8efa6f87b,84.84372,7.08163,,7.04335,,,,4.71847,2.56568,0.18599,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:48:10.15,2024-07-04T17:48:10.1512040-05:00,2024-07-04T22:48:10.1512040Z,GroundBall,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,e5d60304-ddc3-4267-bee4-49ff82450616,54.59321,-125.06542,12.14623,5.40154,-2.53081,-9.98274,-1.82165,6.53773,-4.30152,67.166375,4.71847,95.95545,-8.83126,0.56187,0.24314,-0.76975,0.86983,-0.49686,0.11488,2.56568,17.83767,-18.23356,1.35462,-0.34528,0.41139,-0.4112,0.23149,-0.05343,0.18598,-37.97897,2.32265,0.0025,-0.14412,0.35721,-0.39672,0.22617,-0.05228,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-07-04,17:48:44.18,2,1,"De La Rosa, Luis",682915,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.15348,0.191238,-2.734103,2081.256858,212.395682,1:00,5.3639,1.98395,5.91884,-25.13139,12.10524,7.0152,3.4473,0.02926,79.52711,-4.491762,-1.476485,0.439194,,,,,,,,,,,,-4.26256,6.49083,-1.76873,50,5.36482,5.69429,-125.1752,-0.38097,-6.84076,22.54917,-21.75725,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,91339fa0-3a57-11ef-aaac-2fe8efa6f87b,85.82181,,,6.62637,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:48:44.18,2024-07-04T17:48:44.1894760-05:00,2024-07-04T22:48:44.1894760Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,1bca83b1-7e76-43d6-9b19-fb9d2ae6670e,54.58215,-125.99793,11.27458,5.36424,0.41286,-10.87862,-1.98105,5.94388,-3.42038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-04,17:48:56.49,2,2,"De La Rosa, Luis",682915,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.30005,-0.673202,-4.480403,2065.835817,215.329027,1:15,5.41416,2.15768,5.75052,-24.97041,12.44796,8.08071,2.7046,-1.34862,79.84358,-5.298199,-3.0408,0.440265,,,,,,,,,,,,-5.19748,6.83504,-1.7899,50,5.34273,9.47593,-125.14701,-2.293,-8.35567,22.01563,-21.18578,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,988c6c00-3a57-11ef-aaac-2fe8efa6f87b,85.61316,,,6.45647,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:48:56.49,2024-07-04T17:48:56.4987752-05:00,2024-07-04T22:48:56.4987752Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,108a0f6b-b082-416b-ba00-301b65393107,54.75122,-125.98007,11.00782,5.41432,-1.49135,-10.59289,-2.15444,9.7921,-4.17783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-04,17:49:08.56,2,3,"De La Rosa, Luis",682915,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,1,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.30149,-1.482282,-4.171581,2400.870117,132.739994,10:30,5.56778,2.07451,5.02766,-42.60601,4.26217,-3.17776,0.61458,-2.13357,72.90371,-9.133446,-4.731041,0.492732,,,,,,,,,,,,0.54236,2.8965,-1.67208,50,5.39124,8.40046,-113.42185,-4.44075,0.71376,18.75192,-28.36218,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,9fc7ec60-3a57-11ef-aaac-2fe8efa6f87b,76.49691,,,5.39778,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:49:08.56,2024-07-04T17:49:08.5621608-05:00,2024-07-04T22:49:08.5621608Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,50842fa1-563f-4b3a-b652-d42b2cf7187b,55.47405,-114.32329,9.37596,5.57194,-3.07733,-14.18109,-2.07509,8.36615,0.35688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-04,17:49:23.52,2,4,"De La Rosa, Luis",682915,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.07753,-1.029337,-4.074521,2459.096419,126.916314,10:15,5.48905,2.03566,5.27212,-41.16116,5.46933,-5.55591,1.0895,-2.26112,72.70865,-8.467367,-5.056555,0.491481,,,,,,,,,,,,1.78177,3.4102,-1.65844,50,5.36436,8.27964,-113.17514,-3.42982,2.33705,18.47056,-27.70106,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,a8ad2520-3a57-11ef-aaac-2fe8efa6f87b,76.69159,,,5.36888,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:49:23.52,2024-07-04T17:49:23.5229032-05:00,2024-07-04T22:49:23.5229032Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,539ab8be-e6e0-4a3a-bc01-52c812b987cf,55.22935,-114.0254,9.23528,5.4929,-2.15466,-13.85053,-2.0371,8.17205,1.16853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-04,17:49:37.91,2,5,"De La Rosa, Luis",682915,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,2,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.817,-0.30735,-2.862222,2565.997521,89.863985,9:00,5.4844,2.23625,5.19922,-45.68424,1.2852,-7.59957,1.38793,-1.0915,72.42404,-8.55181,-4.207259,0.493264,,,,,,,,,,,,3.09906,1.10413,-1.96479,50,5.42106,5.94509,-112.96549,-2.17876,4.04474,18.64706,-30.73298,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240704-WildHealthField-1,b141f3f0-3a57-11ef-aaac-2fe8efa6f87b,76.4144,,,5.39296,,,,,,,5477bbbb-3a74-47ad-92ab-b163fb62564a,2024-07-04,22:49:37.91,2024-07-04T17:49:37.9175272-05:00,2024-07-04T22:49:37.9175272Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,90ebede8-d782-4668-852c-353b597bfe56,55.30361,-113.83758,9.32353,5.48935,-0.74143,-15.36649,-2.23841,5.75592,2.02237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
