PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-11,11:09:39.88,1,1,"Green, Max",676055,Left,LAN,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.19032,-3.182842,3.778983,2053.883019,144.856978,10:45,5.77951,-1.55189,5.36671,-21.52391,13.23725,-8.46123,0.99191,1.29148,82.81736,-7.177688,2.278907,0.424344,,,,,,,,,,,,5.3841,7.96268,1.21865,50,5.47819,-8.31355,-131.78565,-8.10854,9.39241,30.11221,-18.28336,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,98adbff0-3f97-11ef-beb8-838daa7209d1,88.8251,,,8.37296,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:09:39.88,2024-07-11T11:09:39.8865512-04:00,2024-07-11T15:09:39.8865512Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,b976c7bb-06fa-42a8-ae4b-f3a6201fd32b,55.12986,-132.95263,15.0561,5.77869,-7.39998,-9.14168,1.54788,-8.67754,4.69621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-11,11:09:52.49,1,2,"Green, Max",676055,Left,LAN,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,1,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.23163,-0.090296,2.244748,2133.282628,297.631445,4:00,5.34145,-1.94737,4.9244,-50.67574,-3.42185,9.94296,1.03304,1.0044,71.49982,-9.256149,3.998522,0.494755,,,,,,,,,,,,-4.11551,-1.12339,1.71989,50,5.29082,-4.91632,-114.59976,-2.0446,-5.34219,25.89938,-33.63229,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,a03ba610-3f97-11ef-beb8-838daa7209d1,76.18407,,,7.73181,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:09:52.49,2024-07-11T11:09:52.4965992-04:00,2024-07-11T15:09:52.4965992Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,74ae26fe-3d53-4115-b31f-aa8eba8c7845,55.57181,-115.85214,12.94969,5.35037,-0.4183,-16.81615,1.95138,-4.658,-2.6711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-11,11:10:04.63,1,3,"Green, Max",676055,Left,LAN,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,2,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.59869,-2.151953,1.839403,2101.572355,140.912483,10:45,5.64507,-1.79318,5.56281,-21.61009,12.24209,-9.04071,1.83185,-0.82758,83.58803,-6.174163,0.226479,0.418759,,,,,,,,,,,,5.08394,7.14016,1.64046,50,5.44519,-3.85346,-132.82022,-5.75105,9.0567,29.17912,-19.45429,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,a77db620-3f97-11ef-beb8-838daa7209d1,90.00976,,,8.01067,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:10:04.63,2024-07-11T11:10:04.6312040-04:00,2024-07-11T15:10:04.6312040Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,9fde4731-8061-4f5c-9491-2276b53ff6ca,54.93416,-133.89981,14.58956,5.64466,-5.03126,-9.72715,1.78923,-4.18855,4.52835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-11,11:10:18.10,1,4,"Green, Max",676055,Left,LAN,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,2,1,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,92.93371,-1.578666,3.076499,2144.003829,139.583438,10:45,5.72633,-1.69839,5.23549,-21.076,12.13351,-9.43304,2.48365,0.41,84.97771,-5.478098,1.406691,0.414765,102.19882,8.172439,-25.438062,2099.471109,96.26188,5.04539,-53.23169,141.02175,138.20629,-30.009278,1.115352,5.59201,6.8167,1.42256,50,5.56545,-6.79755,-134.68968,-4.50783,10.2822,28.99585,-19.64001,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,af6e0790-3f97-11ef-beb8-838daa7209d1,90.87651,7.41947,,7.956,,,,1.36533,2.50492,-0.38031,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:10:18.10,2024-07-11T11:10:18.1066856-04:00,2024-07-11T15:10:18.1066856Z,LineDrive,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,6727ba1f-020e-4a94-9c28-a8dd4097c8c6,55.26347,-135.81806,14.49792,5.726,-3.74354,-9.82001,1.69488,-7.19769,5.1411,73.629494,1.62016,130.80732,-20.59591,,,,,,,2.67657,19.16318,-19.45317,,,,,,,-0.31016,-64.63596,1.45878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-07-11,11:10:51.58,2,1,"Green, Max",676055,Left,LAN,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,78.77336,0.64801,2.947274,2309.110402,250.840341,2:15,5.24004,-2.31206,5.16493,-43.93518,2.65291,3.2548,2.18949,0.73548,71.98509,-7.348672,3.522554,0.491257,,,,,,,,,,,,-0.76291,1.55465,2.03444,50,5.26692,-6.0073,-114.13198,-0.22964,-1.00085,22.07295,-30.13457,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,c3760d00-3f97-11ef-beb8-838daa7209d1,76.72648,,,6.78826,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:10:51.58,2024-07-11T11:10:51.5809896-04:00,2024-07-11T15:10:51.5809896Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,760f2668-8843-48ad-bbd8-3aa708d03692,55.3334,-115.15883,11.03648,5.24499,1.17224,-15.06728,2.31282,-5.96074,-0.50043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-11,11:11:36.00,3,1,"Green, Max",676055,Left,LAN,"Sandoval, Pablo",467055,Right,STA_YAN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.36805,-1.703028,3.454914,2273.051926,149.930335,11:00,5.7245,-1.71806,5.55228,-18.48056,14.18024,-7.58615,2.58978,0.88195,85.03199,-5.16814,2.105382,0.411325,,,,,,,,,,,,4.79985,7.96666,1.42403,50,5.56493,-7.80937,-135.23335,-4.66182,8.86658,30.17484,-17.4576,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,dde79cd0-3f97-11ef-beb8-838daa7209d1,91.63666,,,8.33605,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:11:36.00,2024-07-11T11:11:36.0017512-04:00,2024-07-11T15:11:36.0017512Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,909ee1c4-b125-4fb0-8583-da685fa3a020,54.94417,-136.33209,15.08742,5.72311,-4.02615,-8.7288,1.71427,-8.13222,4.43329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-11,11:11:47.36,3,2,"Green, Max",676055,Left,LAN,"Sandoval, Pablo",467055,Right,STA_YAN,Undefined,1,Top,1,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.76484,1.760857,3.471174,2205.659263,257.615817,2:30,5.20384,-2.21958,5.29833,-44.94786,2.86547,5.76272,3.1149,1.52349,70.7184,-6.457322,4.490098,0.497675,,,,,,,,,,,,-1.81169,1.42689,1.89942,50,5.33194,-7.05886,-112.52115,1.94483,-2.30346,21.99542,-30.35982,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,e4bb81c0-3f97-11ef-beb8-838daa7209d1,75.73705,,,7.04643,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:11:47.36,2024-07-11T11:11:47.3649256-04:00,2024-07-11T15:11:47.3649256Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,3d7c02e5-c871-4cb4-8c16-e74be571fa26,55.19754,-113.53261,10.99771,5.21041,3.34092,-15.17991,2.22159,-6.95293,-1.15173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-11,11:12:04.27,3,3,"Green, Max",676055,Left,LAN,"Sandoval, Pablo",467055,Right,STA_YAN,Undefined,1,Top,1,1,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.42119,1.63628,1.982225,2381.940138,256.608933,2:30,5.18585,-2.16646,5.06307,-45.54762,2.77339,5.09992,2.93447,0.1284,70.70566,-6.653015,2.882587,0.50031,,,,,,,,,,,,-1.94898,1.39638,1.97387,50,5.30554,-4.09196,-112.19447,1.62235,-2.47549,20.96375,-30.40046,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,eeccb760-3f97-11ef-beb8-838daa7209d1,75.33812,,,6.71553,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:12:04.27,2024-07-11T11:12:04.2792552-04:00,2024-07-11T15:12:04.2792552Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,9b085c90-8396-454b-b8ba-f548b85e7c37,55.434,-113.20527,10.48187,5.19199,3.08815,-15.20023,2.1683,-3.9726,-1.23775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.67176,,0.75607,,-1.34852,2.60013,-0.26875,-1.81408,4.96468,0.58482,,,,-1.73508,105.15002,-8.9556,4.98064,8.10636,-11.9927,0.562,-4.25246,2.05852,High,High,High,,,High,High,High
9,2024-07-11,11:12:30.57,3,4,"Green, Max",676055,Left,LAN,"Sandoval, Pablo",467055,Right,STA_YAN,Undefined,1,Top,1,1,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.81023,-0.250712,2.75203,2362.606992,280.724149,3:15,5.29343,-2.09627,4.865,-47.35121,-1.15906,14.418,1.10995,1.71174,72.82855,-8.780286,5.288132,0.489165,,,,,,,,,,,,-6.25,-0.03398,1.81222,50,5.22866,-6.16719,-115.5393,-2.2587,-8.34242,24.04923,-32.2194,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,fe705140-3f97-11ef-beb8-838daa7209d1,77.05463,,,6.98168,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:12:30.57,2024-07-11T11:12:30.5793640-04:00,2024-07-11T15:12:30.5793640Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,5b1ee873-ca23-4e2f-bbc8-33c7c62b3095,55.63326,-116.70596,12.02461,5.30033,-0.6957,-16.1097,2.10158,-5.76248,-4.17121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-11,11:13:05.22,4,1,"Green, Max",676055,Left,LAN,"Castro, Luis",1000334842,Right,STA_YAN,Undefined,1,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.20389,1.923413,1.73641,2231.42723,292.813397,3:45,5.52911,-2.03602,5.17641,-59.28704,-4.29654,15.22497,2.3999,0.86712,65.84377,-8.880672,4.432174,0.533722,,,,,,,,,,,,-6.87264,-2.08949,1.86269,50,5.66399,-3.81023,-105.87799,1.58624,-7.59452,22.54512,-34.483,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240711-ClipperMagazine-1,13273450-3f98-11ef-beb8-838daa7209d1,70.62182,,,7.36012,,,,,,,0b81afaf-2e79-46a3-aa62-18d563f23a00,2024-07-11,15:13:05.22,2024-07-11T11:13:05.2294760-04:00,2024-07-11T15:13:05.2294760Z,,v3,1889,586,,"Proctor, Chris",681552,Right,LAN,82c590e9-0565-48c5-a44f-69632858df67,55.31914,-107.00463,11.27256,5.54167,3.30944,-17.2415,2.04362,-3.43072,-3.79726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
