GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
f554cf74-e208-4363-aae2-2a44de5dd301,1,98d82fd0-409e-11ef-9dda-092c2ac018bc,f9e4af99-c50a-4dbd-a19d-f65cd973d389,2024-07-12,18:32:30.14,2024-07-12,22:32:30.14,2024-07-12T18:32:30.1403486-04:00,2024-07-12T22:32:30.1403486Z,HAG_FLY,HP,InPlay,Single,NoShift,89.7953,52.14194,150.00278,22.85814,86.22991,-67.21801,143.45051,-46.40654,286.26251,-151.55755,340.39906,-13.35993,268.90783,119.89218,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,2,b88d4090-409e-11ef-9dda-092c2ac018bc,e570c19b-9148-4de1-a6b1-645d81402408,2024-07-12,18:33:23.30,2024-07-12,22:33:23.30,2024-07-12T18:33:23.3020766-04:00,2024-07-12T22:33:23.3020766Z,HAG_FLY,HP,StrikeCalled,Undefined,NoShift,62.94814,59.15207,140.50349,23.33108,86.33306,-67.54289,138.44229,-35.02456,267.56031,-143.61019,332.39234,-13.10369,270.97853,124.55197,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,3,c52dfab0-409e-11ef-9dda-092c2ac018bc,19651053-1048-46c9-bbd7-4cf277f6d34c,2024-07-12,18:33:44.50,2024-07-12,22:33:44.50,2024-07-12T18:33:44.5060958-04:00,2024-07-12T22:33:44.5060958Z,HAG_FLY,HP,InPlay,Double,NoShift,63.16465,59.484,139.23068,21.91465,85.73868,-66.75555,137.09314,-36.38446,279.65171,-142.65355,336.48345,-14.70281,262.7944,121.95145,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,4,e6ce87c0-409e-11ef-9dda-092c2ac018bc,edf942e3-9943-4fce-8eed-9f03f5f48d11,2024-07-12,18:34:40.94,2024-07-12,22:34:40.94,2024-07-12T18:34:40.9433438-04:00,2024-07-12T22:34:40.9433438Z,HAG_FLY,HP,FoulBallNotFieldable,Undefined,NoShift,91.02543,68.43925,141.82144,44.32267,82.48735,-54.50875,153.11027,-24.94901,284.43595,-140.29489,342.01715,-11.18255,257.36553,144.28298,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,5,f8110490-409e-11ef-9dda-092c2ac018bc,b6a72972-d58d-46cd-8938-4cdd9be8132f,2024-07-12,18:35:09.84,2024-07-12,22:35:09.84,2024-07-12T18:35:09.8472798-04:00,2024-07-12T22:35:09.8472798Z,HAG_FLY,HP,InPlay,Out,NoShift,93.76394,66.38274,147.51016,36.83319,84.48444,-55.85998,148.25935,-36.00877,280.87086,-139.26766,337.36822,-5.91454,255.08052,147.45057,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,6,110d8090-409f-11ef-9dda-092c2ac018bc,721c1b22-6781-4065-be5e-bec910b38310,2024-07-12,18:35:51.77,2024-07-12,22:35:51.77,2024-07-12T18:35:51.7715806-04:00,2024-07-12T22:35:51.7715806Z,HAG_FLY,HP,StrikeCalled,Undefined,NoShift,91.97263,55.4274,150.95519,20.92324,82.76622,-65.4606,141.12544,-45.2535,281.81609,-140.62811,341.18292,-16.20219,281.86354,126.1444,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,7,1b778490-409f-11ef-9dda-092c2ac018bc,542e958f-0417-425d-a64d-3b3f5226d746,2024-07-12,18:36:09.26,2024-07-12,22:36:09.26,2024-07-12T18:36:09.2690270-04:00,2024-07-12T22:36:09.2690270Z,HAG_FLY,HP,FoulBallNotFieldable,Undefined,NoShift,90.89859,55.69741,151.39358,20.79296,80.43375,-63.18544,139.49197,-48.06316,281.36013,-140.94376,342.53011,-16.32908,273.63472,121.85665,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,8,2d388030-409f-11ef-9dda-092c2ac018bc,bfa3c945-83ee-41a2-a9c9-6cddf2c0126e,2024-07-12,18:36:39.05,2024-07-12,22:36:39.05,2024-07-12T18:36:39.0528862-04:00,2024-07-12T22:36:39.0528862Z,HAG_FLY,HP,BallCalled,Undefined,NoShift,90.95893,58.68236,151.00948,21.12221,81.45507,-65.17279,140.52372,-48.15049,279.32314,-155.9412,342.85015,-23.92207,273.04078,117.41424,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,9,38778770-409f-11ef-9dda-092c2ac018bc,f3395b9a-845a-410a-9bc4-be3479023b49,2024-07-12,18:36:57.93,2024-07-12,22:36:57.93,2024-07-12T18:36:57.9366238-04:00,2024-07-12T22:36:57.9366238Z,HAG_FLY,HP,InPlay,Out,NoShift,92.29205,58.52653,151.1523,20.62652,80.49503,-64.92619,139.62751,-49.03536,271.29647,-154.20945,341.7969,-24.40094,267.40579,117.36718,,,,,,,,,,,,,,,true
f554cf74-e208-4363-aae2-2a44de5dd301,10,4b9071f0-409f-11ef-9dda-092c2ac018bc,4680ee90-3c9a-448f-a28d-d29a45032877,2024-07-12,18:37:29.94,2024-07-12,22:37:29.94,2024-07-12T18:37:29.9432286-04:00,2024-07-12T22:37:29.9432286Z,HAG_FLY,HP,StrikeSwinging,Undefined,NoShift,97.25147,72.065,142.98465,46.74352,95.01871,-58.75288,149.58913,-25.43509,278.77828,-128.22157,341.87618,5.73201,267.53805,149.0379,,,,,,,,,,,,,,,true
