PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-12,18:48:14.50,1,1,"Bremer, Noah",676084,Right,LAN,"Heath, Nick",670084,Left,LI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.13184,-2.950887,-3.929345,2283.218175,215.533074,1:15,6.13473,1.44592,6.38412,-15.18269,17.6719,11.77249,2.14623,-1.19326,83.22999,-5.889123,-1.803474,0.412543,,,,,,,,,,,,-7.30433,10.45064,-1.16753,50,5.9144,8.65775,-133.31862,-7.27176,-12.98833,31.87601,-13.59113,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,d314b770-40a0-11ef-a63b-931a04cfb518,91.36602,,,8.90185,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:48:14.50,2024-07-12T18:48:14.5042252-04:00,2024-07-12T22:48:14.5042252Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,a546e2d9-e9c5-4714-807a-629b50c6f0c5,54.11115,-134.29798,15.93801,6.13141,-6.85419,-6.79556,-1.43967,9.0568,-6.49417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-12,18:48:25.44,1,2,"Bremer, Noah",676084,Right,LAN,"Heath, Nick",670084,Left,LI,Undefined,1,Top,0,1,0,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.74149,-3.01312,-2.415708,1737.870831,261.388493,2:45,6.15344,1.5264,6.7012,-34.07246,3.28862,13.10753,0.55403,0.40858,78.14826,-9.378362,-0.022114,0.439927,,,,,,,,,,,,-7.67304,3.09713,-1.37032,50,5.94003,4.76746,-124.36733,-7.55076,-11.85765,28.04138,-27.38788,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,d99a0730-40a0-11ef-a63b-931a04cfb518,85.67877,,,7.59323,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:48:25.44,2024-07-12T18:48:25.4404428-04:00,2024-07-12T22:48:25.4404428Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,d09c8f2e-0f38-489f-b2ed-82f9ac30e27b,53.79664,-125.22044,14.02069,6.15708,-6.71753,-13.69394,-1.52085,5.12821,-5.92883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-12,18:48:38.05,1,3,"Bremer, Noah",676084,Right,LAN,"Heath, Nick",670084,Left,LI,Undefined,1,Top,0,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.88609,-3.016117,-2.081271,1738.030609,273.620737,3:00,6.16339,1.57725,6.52278,-37.27482,0.31425,16.15225,0.28559,1.01295,78.16879,-9.936577,0.861435,0.441268,,,,,,,,,,,,-9.12831,1.57039,-1.43869,50,5.93791,3.91624,-124.55074,-7.72142,-14.1015,28.88301,-29.7481,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,e11c0670-40a0-11ef-a63b-931a04cfb518,85.41853,,,7.7173,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:48:38.05,2024-07-12T18:48:38.0538188-04:00,2024-07-12T22:48:38.0538188Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,9b992a82-bec0-41e1-8dd1-ab6484f8c7e3,53.97531,-125.46921,14.4415,6.16841,-6.77543,-14.87405,-1.57036,4.36467,-7.05075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-12,18:48:53.62,1,4,"Bremer, Noah",676084,Right,LAN,"Heath, Nick",670084,Left,LI,Undefined,1,Top,0,2,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.63412,-3.830938,-3.991656,2258.103365,215.635722,1:15,6.06915,1.50802,6.37819,-15.73816,17.42151,11.65162,1.21938,-1.19924,83.16757,-6.855107,-1.887762,0.414454,,,,,,,,,,,,-7.25201,10.57394,-1.2249,50,5.78452,8.76621,-132.5313,-9.30703,-12.79015,30.54309,-13.52507,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,ea65f470-40a0-11ef-a63b-931a04cfb518,90.94478,,,8.46656,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:48:53.62,2024-07-12T18:48:53.6211788-04:00,2024-07-12T22:48:53.6211788Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,c7a082e3-ed92-4b69-ae5a-76f09277fd66,54.11853,-133.47707,15.27155,6.06624,-8.88823,-6.76254,-1.50248,9.16226,-6.39508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-12,18:49:06.38,1,5,"Bremer, Noah",676084,Right,LAN,"Heath, Nick",670084,Left,LI,Undefined,1,Top,0,3,1,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.95458,-3.762751,-3.920973,2219.24274,219.691766,1:15,6.03599,1.52886,6.44126,-14.85229,17.90655,13.92245,1.32765,-0.9195,83.60655,-6.627822,-1.403409,0.411942,,,,,,,,,,,,-8.41221,10.7989,-1.25596,50,5.76105,8.55196,-133.07385,-9.14781,-14.99198,30.19552,-12.92863,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,f1fb7bb0-40a0-11ef-a63b-931a04cfb518,91.49947,,,8.34803,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:49:06.38,2024-07-12T18:49:06.3813964-04:00,2024-07-12T22:49:06.3813964Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,ec5ecbf7-118c-4712-b870-9d912fb655d8,54.05634,-133.9911,15.09776,6.03297,-8.75507,-6.46431,-1.52267,9.00737,-7.49599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-12,18:49:37.14,2,1,"Bremer, Noah",676084,Right,LAN,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,1,0,,91.00038,-3.107505,-3.222145,2109.593247,218.763668,1:15,6.10056,1.68955,6.41347,-17.03332,16.5354,12.31375,1.81684,-0.24978,82.37294,-6.379398,-0.993803,0.417003,,,,,,,,,,,,-7.37048,9.92812,-1.46405,50,5.87001,6.90747,-131.78554,-7.61563,-12.81583,30.95393,-14.91097,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,04558300-40a1-11ef-a63b-931a04cfb518,90.38899,,,8.62745,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:49:37.14,2024-07-12T18:49:37.1466060-04:00,2024-07-12T22:49:37.1466060Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,8d7e82b6-ecaf-4d85-bb79-65bf51b64301,54.08214,-132.74089,15.47697,6.09795,-7.15542,-7.45549,-1.68335,7.30302,-6.40791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.20858,2.036476,0.752077,1.284399,-1.42384,1.49394,0.29607,-1.57965,4.77693,0.7109,127.27888,1.20512,-0.43555,-1.38453,113.32,-10.28507,4.82511,13.33387,-12.58907,0.69664,-1.61157,0.57203,High,High,High,,,High,High,High
7,2024-07-12,18:50:14.33,2,2,"Bremer, Noah",676084,Right,LAN,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,1,0,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.03062,-1.699561,-3.272384,1428.024693,258.340758,2:30,6.16094,1.3249,6.82842,-32.40159,4.3261,14.99351,1.9076,-0.41372,78.49991,-7.793136,-0.53357,0.436182,62.57985,59.676234,-126.849243,4882.977423,,,,,40.8988,,,-8.98567,3.16118,-1.11958,50,6.03987,6.61536,-124.91335,-4.62619,-14.07509,27.18561,-27.22238,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,1a7e4590-40a1-11ef-a63b-931a04cfb518,86.41439,54.74866,,7.53071,,,,2.15901,2.22726,0.37916,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:50:14.33,2024-07-12T18:50:14.3395660-04:00,2024-07-12T22:50:14.3395660Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,e6911018-1bf3-4f23-9f32-31410dae338f,53.67116,-125.70979,13.59281,6.16372,-3.82867,-13.61119,-1.31943,7.02771,-7.03754,23.385374,2.15902,-27.7913,-3.73776,1.67023,0.3659,-2.18761,3.19446,-2.20146,0.5907,2.22726,79.22604,-28.07241,3.33326,-0.21129,-1.17625,1.76032,-1.19573,0.31604,0.37916,-37.08218,4.80417,-0.64202,0.04173,0.08671,-0.10918,0.06438,-0.0148,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-07-12,18:50:32.71,2,3,"Bremer, Noah",676084,Right,LAN,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,1,0,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.82098,-3.864157,-4.088927,2384.44823,225.328901,1:30,6.11687,1.55485,6.28465,-16.0445,17.22792,16.19686,1.20404,-0.87025,83.00107,-6.94879,-1.168781,0.415158,,,,,,,,,,,,-9.6717,10.50918,-1.26046,50,5.82313,8.8095,-132.73269,-9.41891,-17.04015,31.70206,-13.65841,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,2572d650-40a1-11ef-a63b-931a04cfb518,90.79053,,,8.81991,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:50:32.71,2024-07-12T18:50:32.7153996-04:00,2024-07-12T22:50:32.7153996Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,9dd4a878-d9cc-427f-8cd6-f7cce23cb983,54.21243,-133.73501,15.85103,6.1141,-8.98707,-6.8292,-1.5475,9.34826,-8.52007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-12,18:50:50.60,2,4,"Bremer, Noah",676084,Right,LAN,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,1,1,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.28251,-3.562402,-3.147197,1913.19746,18.906386,6:45,6.12602,1.53771,5.92534,-47.06255,-7.22705,-2.92134,-1.11064,-1.62893,77.67292,-12.080018,-3.673318,0.454262,,,,,,,,,,,,0.54736,-2.40268,-1.28408,50,5.81313,6.82002,-122.04814,-9.18713,0.81608,26.60979,-35.75628,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,3015c4a0-40a1-11ef-a63b-931a04cfb518,82.97512,,,6.60959,,,,,,,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:50:50.60,2024-07-12T18:50:50.6093388-04:00,2024-07-12T22:50:50.6093388Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,88d7d970-3d9a-4030-a259-d60d3359b332,54.57634,-123.04186,13.3049,6.13129,-7.85184,-17.87814,-1.5382,6.78955,0.40804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-12,18:51:10.02,2,5,"Bremer, Noah",676084,Right,LAN,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,1,2,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.45819,-2.787954,-3.680203,2336.734757,222.235614,1:30,6.04312,1.42045,6.46436,-15.90426,16.53292,13.96394,2.14975,-0.80075,83.67105,-5.856541,-1.152809,0.409914,68.3987,47.305431,-99.931883,4910.787328,,,,,24.2589,,,-8.47185,9.86127,-1.16639,50,5.83868,8.05059,-133.93593,-6.95581,-15.21395,32.00021,-14.46496,LAN,LI,ClipperMagazine,Independent,ATL,20240712-ClipperMagazine-1,3babc580-40a1-11ef-a63b-931a04cfb518,91.952,27.50353,,8.78714,,,,1.39123,2.15802,0.95556,ba8debc6-93b5-4338-8fa3-aa3e4b1d4fc1,2024-07-12,22:51:10.02,2024-07-12T18:51:10.0239692-04:00,2024-07-12T22:51:10.0239692Z,,v3,1889,1896,,"Melfi, David",,Undefined,LAN,f7da63cf-7179-443d-bb64-739bb71a127d,54.03372,-134.89623,16.00011,6.04091,-6.52173,-7.23248,-1.41483,8.50715,-7.60698,43.78634,1.40055,-12.05078,-6.79637,,,,,,,2.16593,73.46437,-23.74158,,,,,,,0.94823,-66.75716,10.19959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
