PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-12,18:34:10.74,1,1,"Capuano, Christian",805894,Right,STA_YAN,"McDermott, Matt",1000024692,Right,YOR,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.58959,-0.665292,-2.987114,2380.759367,213.606763,1:00,5.04886,2.67488,6.60533,-19.82155,15.66796,9.66197,2.78678,0.7413,79.98149,-4.459093,-1.232598,0.428767,,,,,,,,,,,,-5.9167,8.76953,-2.47492,50,4.995,6.27531,-127.2258,-1.99461,-9.68671,26.37819,-17.81675,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,dc15ee90-409e-11ef-a87e-0d9cdee9fd7f,87.9089,,,7.6081,,,,,,,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:34:10.74,2024-07-12T18:34:10.7420000-04:00,2024-07-12T22:34:10.7420000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,d5393d48-88f2-4f60-be71-f019d764d48b,53.89252,-128.03031,13.18909,5.04755,-1.45122,-8.90837,-2.67082,6.57074,-4.84335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-12,18:34:23.88,1,2,"Capuano, Christian",805894,Right,STA_YAN,"McDermott, Matt",1000024692,Right,YOR,Undefined,1,Top,0,0,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,88.17944,-1.731689,-2.907199,2417.916843,211.505122,1:00,5.19112,2.64465,6.43589,-19.45052,15.84552,9.01276,1.97632,0.72177,80.5454,-5.439263,-1.275289,0.427597,90.86172,-3.161209,24.785744,,,,,17.04825,17.04825,17.389822,0.121174,-5.56477,9.13182,-2.4419,50,5.05899,6.15816,-128.01558,-4.4049,-9.21367,26.983,-17.05441,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,e3e3c3e0-409e-11ef-a87e-0d9cdee9fd7f,88.14952,0.98634,,7.63405,,,,1.88854,0.98634,-1.64009,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:34:23.88,2024-07-12T18:34:23.8810000-04:00,2024-07-12T22:34:23.8810000Z,GroundBall,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,46496651-2d4f-4aad-9ae5-0461e0dec512,54.06286,-128.86911,13.4915,5.1898,-3.86545,-8.5272,-2.6413,6.4496,-4.60683,217.874998,1.8888,120.77548,-17.3581,,,,,,,0.98627,-7.34096,-6.58305,,,,,,,-1.6401,55.7836,-1.64676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-07-12,18:35:00.28,2,1,"Capuano, Christian",805894,Right,STA_YAN,"Martin, Rudy",657675,Left,YOR,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.70571,-0.184794,-2.353408,2368.357068,221.401052,1:30,5.20167,2.7004,6.30513,-20.17812,15.46217,12.67111,3.34977,1.58701,80.32663,-4.019057,-0.063498,0.429677,,,,,,,,,,,,-7.21733,8.42382,-2.53352,50,5.17824,4.7407,-127.4586,-0.97866,-11.90715,25.48865,-18.27646,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,f98ef200-409e-11ef-a87e-0d9cdee9fd7f,87.72271,,,7.37908,,,,,,,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:35:00.28,2024-07-12T18:35:00.2860000-04:00,2024-07-12T22:35:00.2860000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,18060c14-c433-4941-838f-df789cec6be0,54.19329,-128.29441,12.74432,5.20051,-0.37934,-9.13823,-2.69538,5.13115,-5.95357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-12,18:35:19.32,2,2,"Capuano, Christian",805894,Right,STA_YAN,"Martin, Rudy",657675,Left,YOR,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.03226,-0.620403,-2.340389,2180.613574,214.873598,1:15,5.27765,2.49665,6.5522,-20.36426,15.8195,10.18052,3.01125,1.19781,79.06503,-4.525027,-0.491946,0.432941,,,,,,,,,,,,-6.0139,8.83985,-2.33886,50,5.22589,4.77531,-126.39666,-1.89886,-9.66256,27.40502,-17.97103,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,04f0c380-409f-11ef-a87e-0d9cdee9fd7f,87.06147,,,7.96724,,,,,,,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:35:19.32,2024-07-12T18:35:19.3200000-04:00,2024-07-12T22:35:19.3200000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,74d62ab4-ea34-4d70-8f98-77598ae00ee9,53.94433,-127.24899,13.70251,5.27625,-1.33994,-8.98551,-2.49205,5.07582,-4.83128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-12,18:35:42.90,2,3,"Capuano, Christian",805894,Right,STA_YAN,"Martin, Rudy",657675,Left,YOR,Undefined,1,Top,0,2,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.42568,-1.414694,-3.735477,2045.708765,217.114032,1:15,5.14485,2.4077,6.8364,-20.21438,14.39922,10.04792,2.16712,-0.16652,80.71925,-5.287525,-1.904678,0.423443,,,,,,,,,,,,-6.40193,8.38654,-2.17129,50,5.04631,8.01385,-128.35542,-3.68882,-10.65214,27.21925,-18.2197,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,12fd69b0-409f-11ef-a87e-0d9cdee9fd7f,89.01422,,,7.70643,,,,,,,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:35:42.90,2024-07-12T18:35:42.9000000-04:00,2024-07-12T22:35:42.9000000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,e1b60ed3-a097-43bc-a1eb-2ebab256e380,53.66183,-129.12962,13.60962,5.14386,-3.1706,-9.10985,-2.40354,8.31682,-5.32607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.26067,,0.665293,,0.15954,2.04952,0.20784,-0.63135,5.71897,0.36636,,,,-0.52938,112.92214,-10.3652,5.76691,10.78228,-13.89512,0.31148,-3.28268,3.59744,High,High,High,,,High,High,High
6,2024-07-12,18:36:30.75,2,4,"Capuano, Christian",805894,Right,STA_YAN,"Martin, Rudy",657675,Left,YOR,Undefined,1,Top,0,2,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.83251,0.993154,-1.897724,2093.687696,212.429144,1:00,5.09818,2.54728,6.6576,-21.66233,15.09099,8.8739,4.20242,1.54952,78.46404,-3.149298,-0.28329,0.436335,,,,,,,,,,,,-5.16362,8.01622,-2.42277,50,5.15586,3.80392,-124.77838,1.60872,-8.15327,24.74999,-19.51658,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,2f88ffe0-409f-11ef-a87e-0d9cdee9fd7f,86.38423,,,7.36847,,,,,,,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:36:30.75,2024-07-12T18:36:30.7560000-04:00,2024-07-12T22:36:30.7560000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,2d6b7458-e29d-488a-899a-945ca2e91243,53.83936,-125.53762,12.37499,5.09732,2.20741,-9.75829,-2.54329,4.05403,-4.07664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-12,18:36:50.50,2,5,"Capuano, Christian",805894,Right,STA_YAN,"Martin, Rudy",657675,Left,YOR,Undefined,1,Top,0,3,1,Undefined,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,85.10911,1.716567,-2.26377,2061.082321,213.240856,1:00,4.95769,2.51667,6.51587,-25.06021,12.56914,7.48485,4.44614,1.06213,77.75011,-3.036265,-0.906585,0.441504,,,,,,,,,,,,-4.52394,6.46768,-2.36181,50,5.06637,4.60704,-123.63798,3.01844,-7.01276,24.31598,-22.14823,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,3b48cfe0-409f-11ef-a87e-0d9cdee9fd7f,85.37282,,,7.359,,,,,,,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:36:50.50,2024-07-12T18:36:50.5000000-04:00,2024-07-12T22:36:50.5000000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,58a33bf4-ed40-42b6-8d26-8cd90f4f1a2f,53.98138,-124.41853,12.15799,4.95806,3.72942,-11.07412,-2.51331,4.83216,-3.50638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-12,18:37:58.13,3,1,"Capuano, Christian",805894,Right,STA_YAN,"Welker, Colton",666213,Right,YOR,Undefined,1,Top,0,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.89358,-0.767719,-3.200491,2126.554516,212.739849,1:00,4.99856,2.63584,6.84353,-22.52159,12.43753,7.2802,2.42057,0.32108,80.29439,-5.06433,-1.872822,0.425551,82.16263,54.211688,64.462654,5587.473436,,,,,79.65427,,,-4.79213,7.16268,-2.43341,50,4.94097,6.87962,-127.69221,-2.30315,-7.89263,26.90132,-20.37718,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,6390b3a0-409f-11ef-a87e-0d9cdee9fd7f,88.57328,96.36321,,7.59919,,,,1.43998,2.80457,-0.34515,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:37:58.13,2024-07-12T18:37:58.1340000-04:00,2024-07-12T22:37:58.1340000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,1a3f09da-4b3f-4b5a-aad8-a5bc9c24986f,53.65509,-128.45993,13.45066,4.9984,-1.72162,-10.18859,-2.63296,7.10486,-3.94632,,1.43998,30.37975,-16.51478,4.85215,-1.27018,0.29305,-0.06889,0.01389,-0.00155,2.80457,97.75163,-25.79448,3.07086,-0.5755,0.09406,-0.0166,0.00358,-0.0005,-0.34515,63.58576,-6.74621,-0.03875,0.30143,-0.12692,0.02945,-0.00417,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2024-07-12,18:38:24.48,3,2,"Capuano, Christian",805894,Right,STA_YAN,"Welker, Colton",666213,Right,YOR,Undefined,1,Top,0,0,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.49992,-0.472616,-3.322245,2361.088831,212.915536,1:00,5.08655,2.44751,6.88201,-17.81186,16.09517,9.66914,3.17085,0.22267,81.05357,-3.92862,-1.558257,0.419099,82.42101,59.535373,46.454844,4619.057743,,,,,48.97945,,,-6.16709,9.04473,-2.24011,50,5.04987,7.18678,-129.94152,-1.49698,-10.43879,29.76992,-16.86437,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,73498330-409f-11ef-a87e-0d9cdee9fd7f,89.93694,82.20421,,8.44634,,,,1.5028,3.26204,-0.1985,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:38:24.48,2024-07-12T18:38:24.4840000-04:00,2024-07-12T22:38:24.4840000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,b3afad1a-757b-4293-a12b-90944ea30fac,53.61559,-130.76724,14.88496,5.08491,-1.02922,-8.43219,-2.44345,7.47631,-5.2194,201.748048,1.5028,42.22353,-17.8368,6.16543,-1.71727,0.43285,-0.11895,0.03704,-0.00812,3.26204,104.19499,-27.11957,3.16888,-0.45183,0.03058,-0.00287,0.0081,-0.0034,-0.1985,44.42415,-5.608,0.1765,0.23513,-0.11132,0.02343,0.00385,-0.00291,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-07-12,18:38:55.06,3,3,"Capuano, Christian",805894,Right,STA_YAN,"Welker, Colton",666213,Right,YOR,Undefined,1,Top,0,0,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.29105,-1.245796,-3.858883,2433.410004,217.152534,1:15,5.10342,2.47469,6.73484,-17.39135,15.76383,11.17221,2.51302,-0.12573,82.7548,-4.584218,-1.82795,0.414426,,,,,,,,,,,,-6.94304,8.98308,-2.22413,50,5.0141,8.42166,-131.09788,-3.2994,-12.12297,26.86015,-16.48909,STA_YAN,YOR,StatenIslandYankees,Independent,ATL,20240712-StatenIslandYankees-1,8588d690-409f-11ef-a87e-0d9cdee9fd7f,90.95093,,,7.53626,,,,,,,9c77beb3-c5d8-47fd-b195-d53a743f9311,2024-07-12,22:38:55.06,2024-07-12T18:38:55.0600000-04:00,2024-07-12T22:38:55.0600000Z,,v3,586,5435,,"Baldwin, Roldani",650380,Right,STA_YAN,9e4a4d33-34a5-42cc-8593-2858f8bf3558,53.76402,-131.86682,13.43008,5.10179,-2.82735,-8.24454,-2.47019,8.76871,-6.06149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
