GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,1,b7c86470-4213-11ef-97ab-2937a9b5dd48,81006511-0c90-4dd8-8235-c27d864f6177,2024-07-14,15:03:12.01,2024-07-14,19:03:12.01,2024-07-14T15:03:12.0179826-04:00,2024-07-14T19:03:12.0179826Z,LAN,LI,FoulBallNotFieldable,Undefined,NoShift,92.39374,55.98857,149.59643,21.77022,72.30917,-52.8586,141.15092,-44.67494,269.8138,-143.01516,313.84908,-6.15098,233.65997,116.86549,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,2,d0e3da20-4213-11ef-97ab-2937a9b5dd48,1f7db8bd-feb4-468f-b6ac-ba8267e2ad44,2024-07-14,15:03:54.12,2024-07-14,19:03:54.12,2024-07-14T15:03:54.1219442-04:00,2024-07-14T19:03:54.1219442Z,LAN,LI,StrikeSwinging,Undefined,NoShift,98.75938,62.93579,149.9212,23.24253,93.1528,-71.48878,137.75386,-47.2894,252.47202,-139.86659,315.62438,-7.82074,233.55648,117.46631,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,3,de786a20-4213-11ef-97ab-2937a9b5dd48,bc71d41e-62ee-429d-8c7f-24bbe641371f,2024-07-14,15:04:16.87,2024-07-14,19:04:16.87,2024-07-14T15:04:16.8782962-04:00,2024-07-14T19:04:16.8782962Z,LAN,LI,BallCalled,Undefined,NoShift,98.20125,62.7753,148.74802,24.10842,90.83551,-70.03383,136.94889,-46.4408,259.78765,-140.53928,315.68494,-8.15124,234.98472,118.63958,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,4,e8dd16f0-4213-11ef-97ab-2937a9b5dd48,0b7c049e-a591-462e-b5cf-7971bacf2e29,2024-07-14,15:04:34.30,2024-07-14,19:04:34.30,2024-07-14T15:04:34.3099506-04:00,2024-07-14T19:04:34.3099506Z,LAN,LI,InPlay,Out,NoShift,97.56728,62.28158,148.77173,24.52576,91.07765,-68.72644,137.89894,-46.86885,262.82317,-141.48438,315.99467,-8.18766,235.91128,119.16582,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,5,ff72a510-4213-11ef-97ab-2937a9b5dd48,d204dd47-7e00-49e5-b586-ae2e2ad2363e,2024-07-14,15:05:12.22,2024-07-14,19:05:12.22,2024-07-14T15:05:12.2240114-04:00,2024-07-14T19:05:12.2240114Z,LAN,LI,BallCalled,Undefined,NoShift,96.00879,74.49418,133.50823,58.41814,75.30066,-43.76242,150.38031,-12.06928,279.28192,-132.71407,322.63613,12.3176,237.35135,121.23536,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,6,0c58a590-4214-11ef-97ab-2937a9b5dd48,68ddb2b5-341c-4383-a887-6c549404b625,2024-07-14,15:05:33.89,2024-07-14,19:05:33.89,2024-07-14T15:05:33.8924658-04:00,2024-07-14T19:05:33.8924658Z,LAN,LI,StrikeCalled,Undefined,NoShift,97.13605,74.59236,133.76543,58.38087,81.58714,-46.31162,151.91103,-13.05524,280.1587,-133.44615,322.90188,12.60362,237.28045,120.95252,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,7,15c16630-4214-11ef-97ab-2937a9b5dd48,01878dae-e0ce-4ff4-bff8-e516afd74d68,2024-07-14,15:05:49.62,2024-07-14,19:05:49.62,2024-07-14T15:05:49.6297074-04:00,2024-07-14T19:05:49.6297074Z,LAN,LI,BallCalled,Undefined,NoShift,97.97875,74.98221,133.11701,57.66204,107.86093,-51.68293,149.36392,-12.81161,281.03905,-129.47914,324.36565,12.26576,236.66086,119.55051,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,8,226a0f90-4214-11ef-97ab-2937a9b5dd48,20c2ac0f-aa38-4b15-b282-b442c8a2312c,2024-07-14,15:06:10.93,2024-07-14,19:06:10.93,2024-07-14T15:06:10.9300338-04:00,2024-07-14T19:06:10.9300338Z,LAN,LI,BallCalled,Undefined,NoShift,98.18357,75.19557,135.14275,57.58948,117.54888,-50.88699,152.35599,-12.81341,284.96591,-130.66676,324.42525,12.85295,236.91638,120.39437,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,9,2dc9be30-4214-11ef-97ab-2937a9b5dd48,da9db227-c68f-4d3e-87da-9ab5486b3bbe,2024-07-14,15:06:29.97,2024-07-14,19:06:29.97,2024-07-14T15:06:29.9726450-04:00,2024-07-14T19:06:29.9726450Z,LAN,LI,BallCalled,Undefined,NoShift,97.21167,74.18533,133.50895,57.18828,118.01881,-51.43259,148.82083,-14.04498,284.92786,-131.35241,324.17833,12.30373,236.9761,119.28349,,,,,,,,,,,,,,,true
5b019b81-fd69-47f8-a3b3-7390ed48f0f5,10,4641a0e0-4214-11ef-97ab-2937a9b5dd48,7ec44c09-f483-4c02-a188-8b8ce3318ed7,2024-07-14,15:07:11.07,2024-07-14,19:07:11.07,2024-07-14T15:07:11.0707314-04:00,2024-07-14T19:07:11.0707314Z,LAN,LI,InPlay,Out,NoShift,62.5437,57.47573,138.82458,23.1714,87.07947,-68.3328,131.48682,-36.07714,275.62432,-146.91956,327.41477,-6.84524,255.05293,123.08805,,,,,,,,,,,,,,,true
