PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-14,17:00:54.32,1,1,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Jimenez, Gilberto",678362,Right,HP,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.94656,0.32118,1.606429,2167.587003,142.095576,10:45,5.9957,-1.56858,5.50854,-25.43541,12.92981,-9.12394,4.17656,-0.82625,78.48202,-4.413443,-0.018842,0.4458,,,,,,,,,,,,5.03303,6.8002,1.43467,50,6.00683,-3.10509,-124.74281,-0.15327,7.9326,25.0296,-21.45618,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,213804f0-4224-11ef-b625-55060f7a6222,84.55007,,,7.46454,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:00:54.32,2024-07-14T17:00:54.3238362-04:00,2024-07-14T21:00:54.3238362Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,fe30e05c-fd37-42b5-9660-0f6f76e4ef1e,54.98789,-125.73964,12.5148,5.99592,0.70124,-10.72809,1.56463,-3.42101,3.9663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-14,17:01:06.29,1,2,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Jimenez, Gilberto",678362,Right,HP,Undefined,1,Top,0,1,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.75213,0.569166,1.350011,2022.570562,92.072892,9:00,6.0304,-1.58108,5.58468,-36.63447,1.99445,-19.93438,3.5092,-1.98136,78.10195,-6.171796,-2.209944,0.44733,,,,,,,,,,,,10.42111,1.25587,1.47809,50,6.05567,-2.07372,-124.47126,-0.08029,16.24281,26.49927,-30.21658,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,28650660-4224-11ef-b625-55060f7a6222,84.26098,,,7.65018,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:01:06.29,2024-07-14T17:01:06.2976218-04:00,2024-07-14T21:01:06.2976218Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,0a80e50c-d669-4a28-979d-5c88b9e8ef17,54.91334,-125.51292,13.24964,6.03548,1.1075,-15.10829,1.57216,-2.71222,8.12141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-14,17:01:20.13,1,3,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Jimenez, Gilberto",678362,Right,HP,Undefined,1,Top,0,2,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.26181,-0.174993,0.948567,2083.645565,150.407712,11:00,5.98707,-1.54469,5.39001,-26.82533,11.3326,-5.76587,3.5876,-1.13608,79.02906,-5.134986,-0.076898,0.444594,,,,,,,,,,,,3.14339,6.10457,1.46413,50,5.95278,-1.82116,-125.23697,-1.31996,5.00546,24.67007,-22.45329,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,309dd280-4224-11ef-b625-55060f7a6222,84.77941,,,7.23275,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:01:20.13,2024-07-14T17:01:20.1393882-04:00,2024-07-14T21:01:20.1393882Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,23d797d9-0178-46b3-90f6-54fbac2a46b2,55.10649,-126.23888,12.33504,5.98786,-0.40808,-11.22665,1.54222,-2.02444,2.50273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-14,17:01:35.40,1,4,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Jimenez, Gilberto",678362,Right,HP,Undefined,1,Top,0,3,0,Undefined,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.65906,-0.923297,1.840095,2114.536074,143.161207,10:45,5.89722,-1.4651,5.16876,-30.58994,8.24591,-5.32587,2.47863,-0.17663,79.06805,-6.505577,0.896756,0.448526,,,,,,,,,,,,3.12358,4.69929,1.29787,50,5.78788,-3.76149,-124.35601,-3.1335,4.93334,22.93271,-24.75209,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,39bc91d0-4224-11ef-b625-55060f7a6222,84.03619,,,6.59101,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:01:35.40,2024-07-14T17:01:35.4030298-04:00,2024-07-14T21:01:35.4030298Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,5aa6c172-1c84-46d8-9ea5-dd20ee337e8a,55.32931,-125.33495,11.46635,5.89909,-2.07691,-12.37604,1.46293,-3.97208,2.46667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-14,17:01:47.46,1,5,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Jimenez, Gilberto",678362,Right,HP,Undefined,1,Top,0,3,1,Undefined,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,86.87996,0.526765,1.086742,1997.169203,95.879256,9:15,6.00545,-1.51604,5.71435,-34.49648,2.8211,-15.83304,3.62156,-1.82296,79.3507,-5.836572,-1.747475,0.439671,,,,,,,,,,,,8.31189,1.67465,1.43483,50,6.02837,-1.7146,-126.17343,-0.06676,13.36059,26.3606,-29.48219,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,40ea2f80-4224-11ef-b625-55060f7a6222,85.72866,,,7.52926,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:01:47.46,2024-07-14T17:01:47.4625242-04:00,2024-07-14T21:01:47.4625242Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,4c81b46b-6284-4042-9047-909875a0db1e,54.78338,-127.16886,13.1803,6.00987,1.04656,-14.74109,1.5091,-2.21913,6.6803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-14,17:02:14.68,2,1,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.90211,-0.34862,1.46224,2051.340084,152.271157,11:00,5.88973,-1.54532,5.32826,-25.20076,12.48209,-5.94981,3.46245,-0.66882,79.62268,-5.011485,0.405613,0.441818,,,,,,,,,,,,3.37032,6.70642,1.41757,50,5.84031,-2.95677,-126.13886,-1.65216,5.447,24.91128,-21.33542,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,51228f50-4224-11ef-b625-55060f7a6222,85.31215,,,7.27943,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:02:14.68,2024-07-14T17:02:14.6803930-04:00,2024-07-14T21:02:14.6803930Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,c3bfebe7-aab2-4b49-b00f-2766993b0342,55.16851,-127.1555,12.45564,5.88996,-0.78146,-10.66771,1.54277,-3.17906,2.7235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-14,17:02:33.90,2,2,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,0,1,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.27363,0.014582,1.905142,2149.426999,220.295856,1:15,5.68329,-1.75474,5.08944,-36.23632,8.17264,5.82721,2.67735,0.52706,74.09709,-6.581262,2.934906,0.47963,,,,,,,,,,,,-2.41059,4.45961,1.56979,50,5.6563,-4.117,-116.51608,-1.24252,-3.33754,20.42852,-25.99958,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,5c9d8e20-4224-11ef-b625-55060f7a6222,78.58645,,,6.17654,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:02:33.90,2024-07-14T17:02:33.9099354-04:00,2024-07-14T21:02:33.9099354Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,bcbf322c-3fab-46e9-9fa8-bbc04b38abc7,55.40847,-117.46051,10.21426,5.68596,-0.04054,-12.99979,1.75656,-3.96271,-1.66877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-14,17:03:17.97,2,3,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,0,1,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,1,0,,74.75109,2.528346,0.772822,2527.076289,306.943757,4:15,5.72509,-1.57369,4.99567,-57.31724,-5.95555,9.86449,3.33745,-0.02197,69.15114,-7.803016,2.514562,0.515812,,,,,,,,,,,,-4.70292,-3.18449,1.49089,50,5.92126,-1.84733,-108.51977,2.81005,-5.65013,17.66215,-35.99989,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,76e8d140-4224-11ef-b625-55060f7a6222,73.07405,,,5.59995,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:03:17.97,2024-07-14T17:03:17.9744474-04:00,2024-07-14T21:03:17.9744474Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,da8a60af-d921-4a97-a2c3-98533eb900e8,55.50587,-109.41221,8.83108,5.73332,4.62906,-17.99994,1.57702,-1.56183,-2.82507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-14,17:03:30.71,2,4,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,2,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.45485,-1.005826,2.388085,1867.110389,106.288423,9:30,5.80123,-1.62905,5.67462,-31.96112,6.00772,-16.16383,2.19921,-0.74843,78.69921,-6.911426,-0.502652,0.443491,84.0458,53.252308,72.874867,5324.904933,,,,,56.84792,,,8.97745,3.7126,1.43816,50,5.69625,-4.55761,-125.40729,-3.3082,14.18155,27.26966,-26.30933,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,7e6b1ea0-4224-11ef-b625-55060f7a6222,84.99025,65.85698,,7.75564,,,,2.44402,2.3226,0.73992,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:03:30.71,2024-07-14T17:03:30.7167450-04:00,2024-07-14T21:03:30.7167450Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,64e2a4a0-b44f-41ca-81b7-ba7b84ecf34c,54.82397,-126.45191,13.63483,5.80367,-2.30037,-13.15467,1.62315,-5.10086,7.09077,,2.44402,21.7163,-12.96983,3.80894,-1.00153,0.25682,-0.06576,0.01449,-0.00193,2.3226,98.7711,-31.24771,4.54315,-1.04282,0.23464,-0.05503,0.01127,-0.00138,0.73992,70.47991,-8.21346,1.3387,-0.2176,0.03552,-0.00649,0.00082,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2024-07-14,17:03:48.18,2,5,"Rodriguez, Anthony",1000119620,Left,HAG_FLY,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.12987,0.532753,-0.214027,1358.185039,121.911147,10:00,5.76938,-1.55669,5.16184,-39.66384,5.17256,-5.97709,2.96552,-2.25623,73.22825,-6.713519,-1.273145,0.481933,,,,,,,,,,,,2.90354,2.8802,1.58138,50,5.78899,0.68486,-116.24627,-0.31492,3.96114,22.40293,-28.24478,HAG_FLY,HP,HagerstownBallpark,Independent,ATL,20240714-HagerstownBallpark-1,88f1ab50-4224-11ef-b625-55060f7a6222,78.21096,,,6.90162,,,,,,,e32d49b1-6525-4c68-87e2-bebc9b96c809,2024-07-14,21:03:48.18,2024-07-14T17:03:48.1831642-04:00,2024-07-14T21:03:48.1831642Z,,v3,6089,5431,,"Marrero, Alan",669909,Right,HAG_FLY,618c1da7-54cf-462d-a10b-a038c9a82b9d,55.33441,-117.2698,11.20147,5.7739,0.97552,-14.12239,1.55422,0.50388,1.98057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
