PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-17,19:31:56.05,1,1,"Kines, Gunnar",665129,Left,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.19663,-0.464348,2.454357,2069.606169,147.271855,11:00,6.25038,-2.02814,5.6673,-23.63497,17.54836,-10.34355,3.84743,-0.60023,75.20618,-4.92732,0.607679,0.461883,,,,,,,,,,,,5.97075,9.45733,1.82718,50,6.1965,-4.73684,-120.56081,-1.68157,8.69256,25.81034,-18.40552,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,c0da8650-4494-11ef-a3e0-3745a9c9f4dc,81.60602,,,7.99046,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:31:56.05,2024-07-17T19:31:56.0590000-04:00,2024-07-17T23:31:56.0590000Z,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,7599bc52-2d03-44ec-b506-3debb676b927,54.82846,-121.59013,12.90517,6.24892,-0.94756,-9.20276,2.023,-5.0835,4.34628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-17,19:32:08.99,1,2,"Kines, Gunnar",665129,Left,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,1,0,FourSeamFastBall,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.43017,-1.824956,1.738766,2228.727089,134.274212,10:30,6.08236,-1.77389,5.80761,-23.33041,16.4308,-15.40887,2.43966,-1.44047,76.50979,-6.222396,-1.022996,0.453838,,,,,,,,,,,,8.36847,9.35599,1.64034,50,5.91885,-3.08146,-122.40712,-4.5985,12.55521,26.67951,-18.13722,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,c889d720-4494-11ef-a3e0-3745a9c9f4dc,83.05258,,,7.92038,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:32:08.99,2024-07-17T19:32:08.9970000-04:00,2024-07-17T23:32:08.9970000Z,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,e8439ab0-75c7-4214-a58a-8d23812a5aff,54.68956,-123.42501,13.33976,6.08109,-3.90652,-9.06861,1.76704,-3.56048,6.27761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-17,19:32:24.58,1,3,"Kines, Gunnar",665129,Left,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,1,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.94956,-1.958197,2.189096,1965.636909,128.936244,10:15,6.22399,-1.59008,6.21268,-35.73447,13.46863,-14.70615,1.43689,-0.7943,68.97698,-8.613393,-0.468828,0.504856,70.27496,66.51553,60.94897,3931.68138,,,,,56.03485,,,8.30504,8.00689,1.43334,50,6.05907,-3.67414,-108.8325,-4.67346,9.94657,19.357,-22.58456,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,447cb074-b5ea-4478-934c-e992b8c82855,74.65977,97.29646,,5.97259,,,,2.88558,1.65673,0.78323,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:32:24.58,2024-07-17T19:32:24.5840000-04:00,2024-07-17T23:32:24.5840000Z,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,1756b9b0-7bf3-4045-a9de-cfb49f54b5ea,54.28765,-109.59245,9.6785,6.22515,-3.7868,-11.29228,1.58525,-4.06464,4.97329,,2.88557,19.94586,-8.68072,2.72889,-0.90594,0.5422,-0.34892,0.1343,-0.02133,1.65672,94.53235,-25.29291,2.7975,-0.54923,0.09888,-0.02117,0.00408,-0.00042,0.78323,35.90561,-3.07789,0.3211,0.05345,-0.08924,0.06608,-0.02626,0.00417,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2024-07-17,19:32:58.15,1,4,"Kines, Gunnar",665129,Left,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,74.68636,-3.531184,2.653497,2037.468738,127.509117,10:15,6.13204,-1.69628,6.31371,-39.23951,10.23886,-11.27166,-0.39822,-0.18962,69.12524,-10.772819,0.610529,0.506266,,,,,,,,,,,,6.69327,6.76969,1.50743,50,5.85403,-4.66167,-108.30913,-7.72953,7.94302,19.08844,-24.14035,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,e5d62540-4494-11ef-a3e0-3745a9c9f4dc,74.45178,,,5.56112,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:32:58.15,2024-07-17T19:32:58.1530000-04:00,2024-07-17T23:32:58.1530000Z,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,bc98ea4e-e12c-43cf-97f9-c865ad3b10f9,54.1875,-109.04464,9.54422,6.13394,-6.79936,-12.07018,1.69295,-4.96773,3.97151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-17,19:33:17.45,1,5,"Kines, Gunnar",665129,Left,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,2,2,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,,86.2815,-1.285694,2.681331,2270.253157,146.226182,10:45,6.28206,-1.4425,6.09025,-19.64584,17.78095,-11.06119,3.4541,0.11786,78.56329,-5.02591,0.69116,0.440314,102.26777,3.794142,-41.875973,4693.343552,,,,75.50965,75.10223,-42.366806,0.533007,6.54445,9.9413,1.24166,50,6.17251,-5.43451,-125.2191,-3.36565,10.34006,26.44107,-16.46706,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,d4479543-2531-4f6e-827e-2251c549e76b,85.60348,4.13783,,7.7182,,,,3.25962,3.39497,-0.12781,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:33:17.45,2024-07-17T19:33:17.4500000-04:00,2024-07-17T23:33:17.4500000Z,GroundBall,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,29a33e26-1165-4899-97d9-5a7ac97ac959,54.40982,-126.14683,13.22054,6.28047,-2.78788,-8.23353,1.4387,-5.79731,5.17003,,3.28713,110.74338,-23.05554,,,,,,,3.43717,8.85303,-28.84678,,,,,,,-0.12376,-100.01178,8.95273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-07-17,19:34:03.33,2,1,"Kines, Gunnar",665129,Left,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.59634,-1.036261,3.351602,2272.975634,136.651713,10:30,6.20433,-1.83948,5.80213,-23.66056,15.67269,-13.57792,3.26708,0.14978,77.16839,-5.478807,0.923419,0.451389,,,,,,,,,,,,7.82973,8.66674,1.5719,50,6.10502,-6.62188,-122.64056,-2.94207,11.90673,24.59864,-18.99448,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,0caa7bd0-4495-11ef-a3e0-3745a9c9f4dc,83.50317,,,7.42795,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:34:03.33,2024-07-17T19:34:03.3390000-04:00,2024-07-17T23:34:03.3390000Z,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,7a6f6bff-4909-46ba-8c07-d06a4d8bf070,54.69564,-123.57879,12.29932,6.20342,-2.21759,-9.49724,1.83314,-7.07602,5.95337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,,,2,2,"Kines, Gunnar",665129,Left,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,0,0,1,Other,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,3246c790-4495-11ef-8859-4543e3bafbdb,,,,,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,,,,,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,2,3,"Kines, Gunnar",665129,Left,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,0,0,2,Other,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,3320faf0-4495-11ef-8859-4543e3bafbdb,,,,,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,,,,,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-17,19:34:23.29,2,4,"Kines, Gunnar",665129,Left,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,85.71595,-1.094668,3.40833,2188.537283,137.910977,10:30,6.13875,-1.93812,6.03566,-23.69718,14.11422,-11.68056,3.14843,0.24829,78.554,-5.543507,1.310624,0.442571,,,,,,,,,,,,6.90197,7.91969,1.67788,50,6.04027,-6.93573,-124.35695,-3.09376,10.8389,24.27433,-19.73695,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,434289e5-222f-4c97-bedf-be53924654f8,85.16703,,,7.16196,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:34:23.29,2024-07-17T19:34:23.2910000-04:00,2024-07-17T23:34:23.2910000Z,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,30ce9b24-f937-4f57-8ec7-028afe95240e,54.46289,-125.22507,12.13717,6.13829,-2.38791,-9.86847,1.93285,-7.32336,5.41945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-17,19:34:44.88,2,5,"Kines, Gunnar",665129,Left,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,85.78475,0.795895,1.884943,2258.101126,143.308073,10:45,6.31942,-1.4552,5.92235,-20.84383,17.33351,-11.9639,5.32144,-0.7024,77.7205,-3.170678,-0.261853,0.444707,,,,,,,,,,,,6.61851,8.99343,1.31071,50,6.37129,-3.59271,-124.45386,1.13402,10.31198,26.51478,-18.16175,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240717-CaroMontHealthPark-1,90296ee2-8ee3-48b9-ade1-f8a4722f2cee,84.75784,,,8.06425,,,,,,,c764ac5e-bd7a-47db-a96a-267af8ecaf5d,2024-07-17,23:34:44.88,2024-07-17T19:34:44.8830000-04:00,2024-07-17T23:34:44.8830000Z,,v3,5508,5433,,"Gonzalez, Hidekel",650507,Right,GAS,a2810d24-7538-4f58-92de-e24fe3712d5e,54.57357,-125.42447,13.25739,6.31761,1.79886,-9.08088,1.44914,-3.97019,5.15599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
