PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-17,16:00:35.55,1,1,"Loubier, Mark",813311,Right,SOU_MAR3,"Hinds, Carter",10018911,Right,CRO_BAS2,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.22277,1.038874,-1.382657,2280.577333,183.52291,12:00,5.77614,1.58988,6.21928,-16.50765,20.96749,1.21209,5.35952,0.41478,77.85403,-2.171438,-1.163949,0.440598,,,,,,,,,,,,-1.04547,10.86516,-1.48695,50,5.84529,2.97023,-125.11176,1.88181,-1.64021,27.63993,-15.12777,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,3b677e50-4477-11ef-90e5-277855e0d527,85.54828,,,8.36874,,,,,,,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:00:35.55,2024-07-17T16:00:35.5502956-04:00,2024-07-17T20:00:35.5502956Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,cddc0952-0de9-41d9-a55e-91c83d15025d,54.27437,-126.05252,13.81997,5.77247,2.3967,-7.56388,-1.589,3.02606,-0.82011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-17,16:00:53.20,1,2,"Loubier, Mark",813311,Right,SOU_MAR3,"Hinds, Carter",10018911,Right,CRO_BAS2,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.11026,-0.637428,-0.798529,2274.160094,193.022352,12:30,5.70525,1.55551,6.19789,-16.87548,19.53848,4.24886,3.71045,1.17239,79.43866,-3.881604,-0.031623,0.434315,,,,,,,,,,,,-2.40728,10.6215,-1.49742,50,5.64849,1.59126,-126.55658,-1.8395,-3.89817,26.20381,-14.97452,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,45ee8030-4477-11ef-90e5-277855e0d527,86.78587,,,7.6716,,,,,,,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:00:53.20,2024-07-17T16:00:53.2025708-04:00,2024-07-17T20:00:53.2025708Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,c58140be-7233-4a37-82ad-669c3c18c227,54.29779,-127.44333,13.10191,5.70217,-1.33276,-7.48726,-1.5535,1.72318,-1.94909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-17,16:01:11.84,1,3,"Loubier, Mark",813311,Right,SOU_MAR3,"Hinds, Carter",10018911,Right,CRO_BAS2,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.38436,-0.726289,-1.413563,2225.660564,218.242169,1:15,5.69407,1.51215,6.3557,-21.17666,15.69623,11.42414,3.26065,1.16289,78.73699,-4.759708,0.654833,0.437044,65.99371,11.313808,173.188849,2595.906735,,,,110.15365,55.03757,179.340371,1.316471,-6.39725,8.76036,-1.41498,50,5.63144,2.66539,-125.54012,-2.17371,-10.16284,26.49607,-18.25712,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,5104a2b0-4477-11ef-90e5-277855e0d527,86.24407,8.38172,,7.64737,,,,1.55647,3.26372,-1.17022,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:01:11.84,2024-07-17T16:01:11.8443372-04:00,2024-07-17T20:01:11.8443372Z,GroundBall,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,6a269ffc-6f39-4436-a7cb-74580350f475,54.14287,-126.41147,13.24804,5.69305,-1.5733,-9.12856,-1.50813,2.9996,-5.08142,279.397031,1.55649,-94.24219,7.97483,-0.8641,0.264,0.36016,-0.82894,0.54424,-0.12277,3.26372,18.98906,-18.70043,2.21047,-0.58982,0.56536,-0.4528,0.18762,-0.03168,-1.17023,11.25811,-7.02629,-0.08286,0.06202,-0.65616,1.05877,-0.63992,0.13909,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2024-07-17,16:01:34.97,1,4,"Loubier, Mark",813311,Right,SOU_MAR3,"Hinds, Carter",10018911,Right,CRO_BAS2,Undefined,1,Top,0,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.3254,2.337938,-0.574017,2153.056029,352.65681,5:45,5.64003,1.44689,5.54945,-51.37613,-7.01792,1.05602,3.5447,0.99849,73.70659,-7.004624,-0.385579,0.479356,,,,,,,,,,,,-0.66913,-3.7054,-1.39794,50,5.80816,1.11434,-115.33895,2.93913,-0.91428,18.57869,-37.23685,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,5eddb5c0-4477-11ef-90e5-277855e0d527,78.63138,,,5.6188,,,,,,,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:01:34.97,2024-07-17T16:01:34.9727596-04:00,2024-07-17T20:01:34.9727596Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,517785a8-3dc0-40fe-aa3b-16439f3b880f,54.95261,-116.13397,9.28935,5.64829,4.53258,-18.61843,-1.44646,1.15347,-0.45714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-17,16:01:53.80,1,5,"Loubier, Mark",813311,Right,SOU_MAR3,"Hinds, Carter",10018911,Right,CRO_BAS2,Undefined,1,Top,0,3,1,Fastball,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,85.81917,0.354022,-0.944953,2151.198834,187.668989,12:15,5.67338,1.33992,6.46741,-23.27714,13.76603,1.69921,4.05881,0.61357,78.47652,-4.066012,-0.636699,0.438052,,,,,,,,,,,,-1.14539,7.4539,-1.27398,50,5.68784,1.99312,-124.77043,0.13006,-1.8064,25.00115,-20.41872,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,6a132010-4477-11ef-90e5-277855e0d527,86.04558,,,7.34264,,,,,,,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:01:53.80,2024-07-17T16:01:53.8089836-04:00,2024-07-17T20:01:53.8089836Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,68addfbb-73e4-4408-aaa9-c6bc44a43ae2,54.0292,-125.5752,12.50058,5.67308,0.78732,-10.20936,-1.33907,2.05126,-0.9032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-17,16:02:25.02,2,1,"Loubier, Mark",813311,Right,SOU_MAR3,"Herb, Bryce",1000336652,Right,CRO_BAS2,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.52942,-0.37208,-1.098443,2207.982681,182.779064,12:00,5.68967,1.61527,6.42574,-22.12623,14.2552,0.63882,3.50375,0.65874,79.432,-4.565211,-0.982641,0.434121,,,,,,,,,,,,-0.62528,7.88548,-1.5373,50,5.65293,2.38811,-125.83082,-1.43298,-1.00642,24.6005,-19.48199,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,7cabb700-4477-11ef-90e5-277855e0d527,86.82464,,,7.09742,,,,,,,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:02:25.02,2024-07-17T16:02:25.0280812-04:00,2024-07-17T20:02:25.0280812Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,5568a5d5-f53f-4819-aab8-1a055897cd6d,54.07142,-126.62431,12.30025,5.68902,-0.80459,-9.74099,-1.61485,2.42057,-0.50321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-17,16:02:59.98,2,2,"Loubier, Mark",813311,Right,SOU_MAR3,"Herb, Bryce",1000336652,Right,CRO_BAS2,Undefined,1,Top,0,1,0,Fastball,Cutter,InPlay,Undefined,FlyBall,Out,1,0,,85.6154,-0.5161,-1.142987,2273.783277,195.275822,12:30,5.72486,1.41037,6.42344,-20.75698,16.39938,4.17296,3.52061,0.70735,78.59612,-4.465173,-0.386584,0.438721,80.97825,60.686779,-23.892926,4519.320393,,,,,82.23698,,,-2.50012,9.06745,-1.33076,50,5.67847,2.33102,-124.52839,-1.67891,-3.93944,24.19747,-17.88642,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,917dea40-4477-11ef-90e5-277855e0d527,85.91445,128.90197,,7.01927,,,,2.05709,3.38306,-0.69766,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:02:59.98,2024-07-17T16:02:59.9891308-04:00,2024-07-17T20:02:59.9891308Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,6ae29f3f-55a3-4cce-a723-97b0fdc98cf8,54.07554,-125.31781,12.09874,5.72373,-1.09537,-8.94321,-1.40891,2.45955,-1.96972,167.13823,2.05696,53.17442,-16.31168,4.40163,-1.89325,1.23355,-0.5722,0.14342,-0.01476,3.38319,103.55036,-26.08962,3.09584,0.12984,-0.76225,0.44026,-0.11681,0.01226,-0.69766,-23.55188,2.28987,-0.57444,0.19197,-0.10216,0.04448,-0.01093,0.00112,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2024-07-17,16:03:41.66,3,1,"Loubier, Mark",813311,Right,SOU_MAR3,"Kirk, Jimmy",821474,Right,CRO_BAS2,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.8014,1.20259,-0.23136,2208.737324,196.337658,12:30,5.67836,1.50832,6.25222,-21.24292,16.08276,4.38217,5.0173,1.66014,78.44156,-2.836851,0.560275,0.439719,,,,,,,,,,,,-2.31878,8.35268,-1.49309,50,5.757,0.3301,-124.70105,2.03123,-3.65934,24.55541,-18.99247,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,aa555210-4477-11ef-90e5-277855e0d527,85.71938,,,7.35984,,,,,,,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:03:41.66,2024-07-17T16:03:41.6661868-04:00,2024-07-17T20:03:41.6661868Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,6e546b0c-dfd0-483b-82f7-a41be8fccf29,54.24396,-125.53397,12.27771,5.67717,2.67545,-9.49624,-1.5064,0.45423,-1.82967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-17,16:04:00.50,3,2,"Loubier, Mark",813311,Right,SOU_MAR3,"Kirk, Jimmy",821474,Right,CRO_BAS2,Undefined,1,Top,1,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.20123,0.520869,0.001778,2207.677932,198.261617,12:30,5.6983,1.47078,6.28289,-20.22733,17.92119,5.49256,4.49276,1.93013,77.2439,-3.359962,0.994663,0.44454,,,,,,,,,,,,-2.82024,9.50225,-1.47326,50,5.72664,-0.22265,-123.73419,0.59974,-4.3395,26.41477,-17.55288,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,b591c140-4477-11ef-90e5-277855e0d527,84.78985,,,7.95733,,,,,,,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:04:00.50,2024-07-17T16:04:00.5012332-04:00,2024-07-17T20:04:00.5012332Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,4fae115e-daee-4e1f-90d7-08e5661db5d4,54.21148,-124.63002,13.20739,5.69621,1.19502,-8.77644,-1.46821,-0.07548,-2.16975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-17,16:04:45.19,3,3,"Loubier, Mark",813311,Right,SOU_MAR3,"Kirk, Jimmy",821474,Right,CRO_BAS2,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.64985,-1.406268,-1.969928,2258.024144,198.537006,12:30,5.62007,1.4317,6.43255,-20.93474,15.54898,4.82315,2.58207,0.02248,79.23732,-5.387304,-1.095859,0.434731,90.67311,44.377396,5.718677,5197.233295,,,,,122.23911,,,-3.08232,8.88276,-1.29365,50,5.51039,4.14775,-125.88854,-3.66134,-4.939,25.91437,-17.94056,SOU_MAR3,CRO_BAS2,RegencyFurnitureStadium,Cal Ripken,CRL,20240717-RegencyFurnitureStadium-1,d0355d90-4477-11ef-90e5-277855e0d527,86.70281,112.41399,,7.41253,,,,0.42572,2.41295,-0.00313,deea064c-2254-4a18-bb63-3bdc37acbeb9,2024-07-17,20:04:45.19,2024-07-17T16:04:45.1958636-04:00,2024-07-17T20:04:45.1958636Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,bf7cc70f-bf33-4237-9fd0-1344896e090f,54.0654,-126.72265,12.95718,5.61894,-3.08389,-8.97028,-1.42972,4.30672,-2.4695,189.076247,0.42572,94.5791,-27.25757,7.98314,-1.99193,0.45535,-0.09331,0.01444,-0.00117,2.41295,93.0087,-20.72764,0.78648,0.28733,-0.16834,0.05004,-0.00896,0.00079,-0.00313,9.47145,0.81092,-1.29122,0.54818,-0.17097,0.04122,-0.00668,0.00052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
