GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
27fde6a8-d526-4f4b-adca-e9bda384d9b5,1,46dcdad0-4456-11ef-ab12-45a0214f1e81,e08ae305-48cf-4b41-a50d-6290b3c8ec3d,2024-07-17,11:04:42.06,2024-07-17,16:04:42.06,2024-07-17T11:04:42.0636974-05:00,2024-07-17T16:04:42.0636974Z,LEX_LEG,WES_POW,BallCalled,Undefined,NoShift,90.25713,58.38814,148.12198,31.03906,83.4949,-63.20954,143.13855,-45.0449,237.50082,-126.07487,307.80533,-3.16473,245.72777,129.71042,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,2,52fa5b30-4456-11ef-ab12-45a0214f1e81,d3ede12d-0629-473a-9b8b-423c4eda6edc,2024-07-17,11:05:02.35,2024-07-17,16:05:02.35,2024-07-17T11:05:02.3538990-05:00,2024-07-17T16:05:02.3538990Z,LEX_LEG,WES_POW,FoulBallNotFieldable,Undefined,NoShift,90.76253,58.36283,149.13144,30.33774,90.01702,-67.64819,142.79586,-45.14513,236.52951,-125.92725,305.87154,-5.19128,252.99764,127.62462,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,3,5faa0970-4456-11ef-ab12-45a0214f1e81,61ec69a3-1f91-4e43-9a39-5afd5233812b,2024-07-17,11:05:23.68,2024-07-17,16:05:23.68,2024-07-17T11:05:23.6840238-05:00,2024-07-17T16:05:23.6840238Z,LEX_LEG,WES_POW,BallCalled,Undefined,NoShift,89.22483,58.94082,148.86594,29.86331,91.67434,-69.92617,141.96954,-45.16966,235.72227,-125.6492,306.17834,-4.34717,252.15507,128.05651,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,4,6797e9e0-4456-11ef-ab12-45a0214f1e81,a4c4cc33-edec-42d7-83fc-221908dd3c94,2024-07-17,11:05:36.92,2024-07-17,16:05:36.92,2024-07-17T11:05:36.9296686-05:00,2024-07-17T16:05:36.9296686Z,LEX_LEG,WES_POW,StrikeCalled,Undefined,NoShift,89.68164,58.3149,150.85244,29.40095,92.32484,-71.55878,142.28064,-45.59153,239.44062,-124.71033,309.12621,-4.37556,251.94377,129.38824,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,5,6fdfaa20-4456-11ef-ab12-45a0214f1e81,13dd4696-da0f-476d-b390-f49f0a425f1f,2024-07-17,11:05:50.87,2024-07-17,16:05:50.87,2024-07-17T11:05:50.8720430-05:00,2024-07-17T16:05:50.8720430Z,LEX_LEG,WES_POW,BallCalled,Undefined,NoShift,90.10724,57.545,150.16706,28.00314,92.32139,-72.24757,141.86572,-45.62558,237.2181,-122.45352,306.34417,2.7617,248.61179,132.26115,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,6,782595a0-4456-11ef-ab12-45a0214f1e81,7e483d9c-d63e-4284-8744-b2a3c8856bea,2024-07-17,11:06:04.72,2024-07-17,16:06:04.72,2024-07-17T11:06:04.7282478-05:00,2024-07-17T16:06:04.7282478Z,LEX_LEG,WES_POW,InPlay,Error,NoShift,90.47847,56.56171,149.02405,26.12148,93.52963,-72.48296,142.25543,-46.00416,236.71135,-123.06046,307.97717,5.02571,247.33942,130.05483,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,7,90d921c0-4456-11ef-ab12-45a0214f1e81,26fa2c27-af93-4a20-9d09-67aabb94b1f0,2024-07-17,11:06:46.18,2024-07-17,16:06:46.18,2024-07-17T11:06:46.1836590-05:00,2024-07-17T16:06:46.1836590Z,LEX_LEG,WES_POW,BallCalled,Undefined,NoShift,62.60265,58.02178,143.71211,31.96063,85.16548,-55.08852,141.77584,-24.2892,235.30216,-119.2607,310.49878,11.8493,251.74407,131.51697,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,8,a37cb530-4456-11ef-ab12-45a0214f1e81,7ca4999d-3c9d-4193-b690-428327038218,2024-07-17,11:07:17.48,2024-07-17,16:07:17.48,2024-07-17T11:07:17.4829870-05:00,2024-07-17T16:07:17.4829870Z,LEX_LEG,WES_POW,BallCalled,Undefined,NoShift,63.13717,56.94209,145.14452,28.52641,87.51346,-55.55132,142.60133,-22.11545,243.79665,-116.59234,310.13633,10.1306,253.15002,132.04015,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,9,b75a7650-4456-11ef-ab12-45a0214f1e81,9134c26a-5eb8-4757-abc5-85d5b1b4ee33,2024-07-17,11:07:50.78,2024-07-17,16:07:50.78,2024-07-17T11:07:50.7892526-05:00,2024-07-17T16:07:50.7892526Z,LEX_LEG,WES_POW,FoulBallNotFieldable,Undefined,NoShift,63.56823,56.9462,142.98966,28.39117,98.88867,-60.00464,141.75526,-20.06938,242.84335,-116.08067,308.39955,10.3185,252.98974,132.14566,,,,,,,,,,,,,,,true
27fde6a8-d526-4f4b-adca-e9bda384d9b5,10,cb66c180-4456-11ef-ab12-45a0214f1e81,51a66000-3129-4cd8-99a5-8eafadc46361,2024-07-17,11:08:24.37,2024-07-17,16:08:24.37,2024-07-17T11:08:24.3720000-05:00,2024-07-17T16:08:24.3720000Z,LEX_LEG,WES_POW,BallCalled,Undefined,NoShift,63.76743,57.24352,142.38966,33.67717,93.27685,-59.6124,140.84681,-19.15455,244.20171,-115.5825,306.8323,14.57799,247.73419,139.23211,,,,,,,,,,,,,,,true
