GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
47aea27e-3fbb-495c-892c-48afffe6c8e2,1,1837aa60-4556-11ef-a26a-b1537f6c1ddd,4e623b31-08e3-4158-b503-8653773e0c00,2024-07-18,18:35:54.21,2024-07-18,22:35:54.21,2024-07-18T18:35:54.2128922-04:00,2024-07-18T22:35:54.2128922Z,STA_YAN,LI,BallCalled,Undefined,NoShift,90.76455,69.94369,142.74173,50.26929,65.88105,-44.88333,148.65783,-35.11149,270.65751,-148.27062,334.99462,-5.452,267.42965,131.57304,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,2,1f0fae00-4556-11ef-a26a-b1537f6c1ddd,317aebf7-132a-4ae7-9076-e765ece67f05,2024-07-18,18:36:05.67,2024-07-18,22:36:05.67,2024-07-18T18:36:05.6766746-04:00,2024-07-18T22:36:05.6766746Z,STA_YAN,LI,StrikeCalled,Undefined,NoShift,89.53122,71.6662,140.16265,49.41348,67.82432,-45.78256,148.81296,-34.49455,269.10657,-149.94314,331.36506,-5.77087,264.52963,130.26231,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,3,26ff1510-4556-11ef-a26a-b1537f6c1ddd,27622cfe-ffae-4b1e-9fed-51760c2015b9,2024-07-18,18:36:19.04,2024-07-18,22:36:19.04,2024-07-18T18:36:19.0403354-04:00,2024-07-18T22:36:19.0403354Z,STA_YAN,LI,BallCalled,Undefined,NoShift,89.86287,72.92882,141.36481,49.36461,87.7097,-60.22691,147.12168,-35.74771,265.66083,-151.72842,330.22065,-6.82305,268.74561,126.95813,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,4,2e938ae0-4556-11ef-a26a-b1537f6c1ddd,40665c40-6100-49dc-ac3d-ec10577879b5,2024-07-18,18:36:31.70,2024-07-18,22:36:31.70,2024-07-18T18:36:31.7082394-04:00,2024-07-18T22:36:31.7082394Z,STA_YAN,LI,BallCalled,Undefined,NoShift,93.12544,75.06461,139.02367,48.24006,84.31966,-56.62833,146.20802,-35.94594,265.15916,-152.7808,333.23379,-6.44199,267.88491,127.70102,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,5,3675f9a0-4556-11ef-a26a-b1537f6c1ddd,1734a899-569a-4448-a3c8-eb8820f8aad5,2024-07-18,18:36:45.00,2024-07-18,22:36:45.00,2024-07-18T18:36:45.0031386-04:00,2024-07-18T22:36:45.0031386Z,STA_YAN,LI,BallCalled,Undefined,NoShift,94.03728,75.48159,139.85288,48.81082,84.52538,-56.35613,146.54439,-35.03787,260.90846,-153.49971,333.24596,-5.70226,267.41732,130.3423,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,6,425845c0-4556-11ef-a26a-b1537f6c1ddd,925e31a2-8052-48b0-88a3-6b6b4adda321,2024-07-18,18:37:04.91,2024-07-18,22:37:04.91,2024-07-18T18:37:04.9119514-04:00,2024-07-18T22:37:04.9119514Z,STA_YAN,LI,FoulBallNotFieldable,Undefined,NoShift,92.94144,76.05935,140.16991,48.64912,86.37479,-57.81973,146.98279,-34.96615,266.23912,-147.22454,334.69182,-4.20246,268.476,135.77265,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,7,4c1d0910-4556-11ef-a26a-b1537f6c1ddd,cfbfc49b-ac05-4019-9216-161ef33a9cbe,2024-07-18,18:37:21.30,2024-07-18,22:37:21.30,2024-07-18T18:37:21.3053210-04:00,2024-07-18T22:37:21.3053210Z,STA_YAN,LI,FoulBallNotFieldable,Undefined,NoShift,92.91145,75.40523,139.71187,50.07116,85.62786,-55.78851,150.4369,-31.01001,266.82088,-148.77182,331.61711,-6.25923,268.5384,134.38615,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,8,566469e0-4556-11ef-a26a-b1537f6c1ddd,e7a76a93-f14a-428f-bcda-22298d188677,2024-07-18,18:37:38.50,2024-07-18,22:37:38.50,2024-07-18T18:37:38.5020000-04:00,2024-07-18T22:37:38.5020000Z,STA_YAN,LI,StrikeSwinging,Undefined,NoShift,94.21549,74.64931,139.93821,49.77737,85.80141,-55.66254,149.14925,-32.60182,263.90823,-149.49748,332.83838,-8.24424,269.62494,132.81001,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,9,65b37b20-4556-11ef-a26a-b1537f6c1ddd,fb072555-14dc-4aa5-8606-5736b35ac5e8,2024-07-18,18:38:04.25,2024-07-18,22:38:04.25,2024-07-18T18:38:04.2569498-04:00,2024-07-18T22:38:04.2569498Z,STA_YAN,LI,InPlay,Out,NoShift,93.15545,75.4186,139.41354,52.10357,73.78048,-51.14731,150.92014,-29.62239,265.9097,-143.75992,336.80019,-8.69858,268.4131,133.56924,,,,,,,,,,,,,,,true
47aea27e-3fbb-495c-892c-48afffe6c8e2,10,7f121450-4556-11ef-a26a-b1537f6c1ddd,89114261-19cf-4ff4-b4c9-31a47603991c,2024-07-18,18:38:46.71,2024-07-18,22:38:46.71,2024-07-18T18:38:46.7171098-04:00,2024-07-18T22:38:46.7171098Z,STA_YAN,LI,FoulBallNotFieldable,Undefined,NoShift,94.67697,77.3137,139.97262,49.79738,97.52309,-57.20512,150.41421,-27.30591,270.78086,-144.581,338.56454,-3.90505,266.07748,135.28076,,,,,,,,,,,,,,,true
