PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-18,17:49:01.50,1,1,"Reitz, Matt",804681,Right,LEX_LEG,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.68712,-0.00789,-3.468975,2074.462722,245.830635,2:15,5.05444,1.18732,6.5091,-28.64608,8.43248,16.27647,2.66002,-0.64383,78.635,-5.39036,-0.518719,0.438261,,,,,,,,,,,,-9.42154,4.77819,-0.95123,50,5.04145,6.93367,-124.4699,-0.85565,-14.83595,24.10591,-24.64987,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,ed5f1ec0-4557-11ef-ab12-45a0214f1e81,86.00451,,,7.05213,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:49:01.50,2024-07-18T17:49:01.5087626-05:00,2024-07-18T22:49:01.5087626Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,7a1a4d4f-cf4f-453c-96ca-5657960e40fc,53.99235,-125.2407,12.05295,5.05621,-0.06745,-12.32494,-1.18052,7.40807,-7.41797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-18,17:49:21.10,1,2,"Reitz, Matt",804681,Right,LEX_LEG,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.88109,-0.722572,-3.892905,2097.667781,237.207338,2:00,5.06421,1.07539,6.23378,-26.64505,10.60938,14.73713,2.17561,-1.29345,79.01785,-5.707258,-1.237628,0.439299,,,,,,,,,,,,-8.62851,6.03953,-0.79143,50,4.99688,7.90923,-124.65308,-2.38419,-13.66891,23.45622,-22.6065,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,f9099200-4557-11ef-ab12-45a0214f1e81,85.80133,,,6.86325,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:49:21.10,2024-07-18T17:49:21.1000330-05:00,2024-07-18T22:49:21.1000330Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,f04d98bf-30e1-4c8a-9a3b-0ed389f8a1f9,54.26761,-125.45356,11.72811,5.06508,-1.61271,-11.30325,-1.0693,8.3757,-6.83445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-18,17:49:34.85,1,3,"Reitz, Matt",804681,Right,LEX_LEG,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,1,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.41594,1.705284,-1.319981,2255.369911,124.401919,10:15,5.03289,1.29892,5.88867,-39.17455,4.90611,-5.27831,3.35271,-0.36685,73.06821,-5.534998,-2.266559,0.477854,,,,,,,,,,,,2.34929,2.47508,-1.18945,50,5.14789,2.85741,-115.37631,2.20979,3.18357,20.39793,-28.82006,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,01389a20-4558-11ef-ab12-45a0214f1e81,78.87852,,,6.34773,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:49:34.85,2024-07-18T17:49:34.8558858-05:00,2024-07-18T22:49:34.8558858Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,fa52f298-6d2f-496e-9530-e9c4ebb0b038,54.61211,-116.18885,10.19896,5.037,3.35782,-14.41003,-1.30075,2.7306,1.59179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-18,17:49:51.53,1,4,"Reitz, Matt",804681,Right,LEX_LEG,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,2,1,Undefined,Slider,InPlay,Undefined,FlyBall,Out,1,0,,79.57883,0.898849,-0.994278,2282.812758,111.180604,9:45,5.04128,1.24342,5.86632,-39.71459,4.24433,-7.58032,2.56692,-0.31201,73.26691,-6.428406,-2.354306,0.477194,86.98602,57.751695,17.466923,4624.567922,98.75553,146.84035,48.44916,204.5646,123.34562,29.838089,6.063032,3.64166,2.29185,-1.15828,50,5.09076,2.28662,-115.67041,0.57138,4.94929,20.94256,-29.05924,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,0b333a80-4558-11ef-ab12-45a0214f1e81,78.98767,149.0979,,6.31192,,,,2.21332,2.61357,0.26845,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:49:51.53,2024-07-18T17:49:51.5389962-05:00,2024-07-18T22:49:51.5389962Z,FlyBall,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,a12a804c-cb08-478d-b44e-c0e44cecc332,54.63602,-116.50675,10.47128,5.04477,1.73187,-14.52962,-1.24565,2.08897,2.47465,193.286179,2.19587,65.21612,-22.33165,8.1887,-2.48615,0.58602,-0.09124,0.00819,-0.00033,2.60187,108.13017,-25.47133,3.51091,-1.19124,0.38792,-0.07739,0.008,-0.00035,0.27211,20.36637,-0.08505,-0.83602,0.48034,-0.15802,0.03006,-0.00302,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-07-18,17:50:29.85,2,1,"Reitz, Matt",804681,Right,LEX_LEG,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.81129,-0.621157,-1.368177,2082.769828,227.820716,1:30,5.03838,1.36126,6.23285,-24.96635,12.21477,12.27237,2.38461,1.12149,79.0268,-5.305936,0.849163,0.438867,,,,,,,,,,,,-6.73052,6.84162,-1.26506,50,4.97949,2.50972,-124.80016,-2.09702,-10.68151,23.642,-21.31625,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,21ff9010-4558-11ef-ab12-45a0214f1e81,85.88586,,,6.78449,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:50:29.85,2024-07-18T17:50:29.8547722-05:00,2024-07-18T22:50:29.8547722Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,4c39e7c3-7e5a-49f4-abbb-ff2ab2927325,54.26865,-125.60621,11.821,5.0386,-1.37027,-10.65812,-1.35683,2.8739,-5.34075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-18,17:50:43.49,2,2,"Reitz, Matt",804681,Right,LEX_LEG,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.93501,0.725629,-0.147822,2310.028323,118.020469,10:00,5.00619,1.21743,5.70228,-37.97404,5.55587,-8.16705,2.51788,0.3991,74.04026,-6.252548,-1.609121,0.47486,,,,,,,,,,,,4.13173,3.01528,-1.19981,50,5.0432,0.61064,-116.25091,0.2451,5.71579,19.56585,-28.00275,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,2a2b8af0-4558-11ef-ab12-45a0214f1e81,79.37595,,,5.89475,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:50:43.49,2024-07-18T17:50:43.4954250-05:00,2024-07-18T22:50:43.4954250Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,cb34984d-51e5-44b5-b7c6-2ff8810f0784,54.79996,-117.05599,9.78293,5.00941,1.39734,-14.00138,-1.2201,0.37545,2.85789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-18,17:51:00.25,2,3,"Reitz, Matt",804681,Right,LEX_LEG,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,2,Undefined,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,78.61207,1.283358,-1.558528,1878.742192,280.22913,3:15,4.7345,1.5246,5.9585,-46.68211,-1.34382,15.70623,2.0351,1.38779,71.73829,-7.336751,1.266393,0.484623,90.2102,26.122822,-1.505107,2411.143241,109.76131,45.28432,-7.23963,332.02046,327.68458,-5.530205,4.219581,-8.5889,-0.6978,-1.40986,50,4.81014,2.53583,-114.1729,1.10672,-11.251,22.51245,-33.08813,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,34231e10-4558-11ef-ab12-45a0214f1e81,77.77681,57.28454,,6.87377,,,,2.98365,2.08676,-1.36452,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:51:00.25,2024-07-18T17:51:00.2560010-05:00,2024-07-18T22:51:00.2560010Z,FlyBall,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,801009ba-4a34-4b7e-aa52-3070b6b3733f,54.5444,-115.06547,11.25622,4.74026,2.41859,-16.54406,-1.51925,2.9819,-5.6255,152.804348,2.98514,118.71817,-18.34299,3.64485,-0.49475,-0.00416,0.01038,-0.00041,-7E-05,2.0862,58.26326,-16.78189,0.82907,-0.04307,-0.03235,0.02194,-0.00472,0.00034,-1.3648,-3.10952,-3.89444,1.8318,-0.55001,0.12034,-0.01965,0.00196,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2024-07-18,17:51:34.57,3,1,"Reitz, Matt",804681,Right,LEX_LEG,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,2,0,0,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.50017,0.690362,-3.006113,1975.380151,267.464274,3:00,4.76458,1.35675,5.99997,-43.08809,2.02087,14.25611,1.81452,-0.24335,72.14308,-7.264586,-0.443658,0.483396,,,,,,,,,,,,-8.16434,1.26244,-1.12784,50,4.79523,5.46752,-113.98768,0.05274,-10.75822,20.65191,-30.51054,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,48a116d0-4558-11ef-ab12-45a0214f1e81,77.97428,,,6.35709,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:51:34.57,2024-07-18T17:51:34.5751562-05:00,2024-07-18T22:51:34.5751562Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,4c6f3757-f0dd-4720-8e97-472f4c319e4a,54.50244,-114.80052,10.32596,4.76952,1.25361,-15.25527,-1.35137,5.89095,-5.37911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-18,17:51:50.87,3,2,"Reitz, Matt",804681,Right,LEX_LEG,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,2,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.66731,0.336118,-2.873456,2018.429911,263.045764,2:45,4.75871,1.44552,5.85268,-42.13176,3.57646,16.32788,1.56045,0.13392,71.46943,-7.458695,0.054328,0.486596,,,,,,,,,,,,-9.27142,2.16079,-1.22162,50,4.76142,5.11654,-114.0844,-0.64154,-12.0804,23.21138,-29.3586,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,5256e600-4558-11ef-ab12-45a0214f1e81,77.46148,,,7.19787,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:51:50.87,2024-07-18T17:51:50.8777994-05:00,2024-07-18T22:51:50.8777994Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,406eec87-a311-4370-909b-b227916a0484,54.64849,-115.02628,11.60569,4.76328,0.54979,-14.6793,-1.43919,5.60675,-6.0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-18,17:52:07.04,3,3,"Reitz, Matt",804681,Right,LEX_LEG,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,2,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.87293,-0.339613,-1.258722,2103.508224,234.183749,1:45,4.95402,1.40509,6.22389,-26.86041,10.54536,12.97394,2.40221,1.32462,78.53309,-5.382703,1.085222,0.44019,,,,,,,,,,,,-7.07969,5.92382,-1.31718,50,4.91523,2.23752,-124.81102,-1.5527,-11.15044,25.48087,-22.84411,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20240718-WildHealthField-1,5bf22850-4558-11ef-ab12-45a0214f1e81,85.62757,,,7.33984,,,,,,,bce494d1-d5f9-45dd-ad97-6cf83ee24001,2024-07-18,22:52:07.04,2024-07-18T17:52:07.0475274-05:00,2024-07-18T22:52:07.0475274Z,,v3,495,525,,"Hernandez, Luis",683671,Right,LEX_LEG,91a226e7-41fe-4631-bc09-f96b37c4aad2,54.27673,-125.6811,12.74044,4.95493,-0.77266,-11.42206,-1.40008,2.61826,-5.57522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
