PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-18,19:05:46.42,1,1,"Conroy, Ryan",681795,Right,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.86119,-1.397633,-2.906258,2193.434507,259.559458,2:45,5.85164,3.12519,5.26306,-30.08057,3.60303,14.22387,2.02994,1.57783,84.80654,-6.871665,-0.383496,0.417715,,,,,,,,,,,,-7.89717,2.43957,-2.87003,50,5.70115,6.11509,-133.31204,-4.45162,-14.33318,26.36853,-27.74628,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,44795430-455a-11ef-9e41-95ab0fee890b,90.23475,,,7.05465,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:05:46.42,2024-07-18T19:05:46.4255440-04:00,2024-07-18T23:05:46.4255440Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,13e29313-dd5a-44d2-a6ca-b704a83c4ec9,55.23878,-134.34425,13.18427,5.85415,-3.36548,-13.87314,-3.12039,6.67617,-7.16659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-18,19:05:56.27,1,2,"Conroy, Ryan",681795,Right,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,1,0,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.86974,-1.677038,-2.51296,2490.481843,194.321872,12:30,6.21296,2.90533,5.15615,-22.76375,11.87174,2.76599,2.73536,0.76878,83.62954,-5.859649,-2.023779,0.423577,,,,,,,,,,,,-2.03099,6.6702,-2.67271,50,6.0389,5.65562,-131.7939,-4.71975,-3.59676,26.20897,-20.36159,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,4a5e1e30-455a-11ef-9e41-95ab0fee890b,88.98613,,,7.2402,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:05:56.27,2024-07-18T19:05:56.2746320-04:00,2024-07-18T23:05:56.2746320Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,e29bf64a-47fc-4836-bcf9-c22fd7fd2a64,55.34332,-132.85224,13.10449,6.21289,-3.89753,-10.18079,-2.90402,5.80086,-1.79838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-18,19:06:11.23,1,3,"Conroy, Ryan",681795,Right,GAS,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,1,1,Curveball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.34223,-0.31701,-3.283856,2500.000858,47.485798,7:30,6.02641,3.02253,4.75431,-44.38459,-3.63508,-5.21792,2.02657,-0.52994,78.24355,-8.250627,-4.19943,0.459444,100.14441,2.211537,27.469382,2117.67777,,,,68.74978,68.74978,30.546827,0.485657,1.75079,-1.42055,-2.68754,50,5.95484,7.24859,-122.31542,-2.4472,2.67432,22.25619,-34.34392,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,534aa9f0-455a-11ef-9e41-95ab0fee890b,82.03925,2.24611,,6.09869,,,,1.3537,1.85024,0.68393,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:06:11.23,2024-07-18T19:06:11.2328656-04:00,2024-07-18T23:06:11.2328656Z,GroundBall,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,3b341492-96fd-4df1-932b-2068033fa472,55.74817,-123.35691,11.12809,6.03176,-0.84007,-17.17196,-3.02381,7.12344,1.33716,,1.36837,129.81891,-22.13852,,,,,,,1.86055,5.38382,-19.01569,,,,,,,0.66977,68.09336,5.15166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-07-18,19:06:44.97,2,1,"Conroy, Ryan",681795,Right,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.51733,1.077796,-1.750697,2516.328437,175.342505,11:45,6.08545,2.95849,4.98283,-27.24076,7.86048,-0.55591,4.83381,1.25837,83.05679,-3.90205,-1.848701,0.426415,,,,,,,,,,,,-0.17866,3.93725,-2.78917,50,6.16743,4.04074,-131.32717,1.38699,-0.31417,26.03726,-25.25111,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,675ee460-455a-11ef-9e41-95ab0fee890b,88.39375,,,7.46053,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:06:44.97,2024-07-18T19:06:44.9756624-04:00,2024-07-18T23:06:44.9756624Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,52d729ca-e96d-4a77-b7c7-3a963adcfd98,55.51559,-132.41619,13.01863,6.08733,2.44313,-12.62555,-2.95845,4.05388,-0.15709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-18,19:07:02.17,2,2,"Conroy, Ryan",681795,Right,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.70518,-3.27791,-3.345047,2429.448797,212.999612,1:00,6.29959,2.76267,5.13419,-16.67706,16.57324,9.98859,1.81433,0.44138,84.78945,-6.406687,-1.581103,0.41502,,,,,,,,,,,,-5.99922,9.59843,-2.45676,50,5.97911,7.42668,-135.39519,-8.35423,-11.02592,32.29625,-14.53308,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,71a0ee00-455a-11ef-9e41-95ab0fee890b,90.82073,,,8.91574,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:07:02.17,2024-07-18T19:07:02.1766096-04:00,2024-07-18T23:07:02.1766096Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,8c3c85ca-eeae-47d8-b23b-51059b903e1f,55.36342,-136.66856,16.14813,6.2972,-7.78122,-7.26654,-2.75814,7.86141,-5.51296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-18,19:07:14.83,2,3,"Conroy, Ryan",681795,Right,GAS,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,1,1,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,92.15711,-1.224569,-4.321265,2214.761796,251.065016,2:15,5.81089,2.99271,5.36645,-27.3834,6.33138,15.28875,2.37726,0.20718,84.20166,-6.252164,-1.612173,0.417909,71.65827,40.81038,-3.289679,,109.96628,71.63504,-2.71547,235.51916,233.7747,2.047619,4.690316,-8.93146,3.82732,-2.61573,50,5.68125,9.38324,-133.43661,-3.91227,-16.09753,28.80609,-25.27588,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,792bedf0-455a-11ef-9e41-95ab0fee890b,90.19295,74.96149,,7.95545,,,,1.66377,2.35529,-0.214,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:07:14.83,2024-07-18T19:07:14.8316112-04:00,2024-07-18T23:07:14.8316112Z,FlyBall,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,a3d4342f-d984-425d-b928-111806fea893,55.1344,-134.54045,14.40305,5.81261,-2.94371,-12.63794,-2.98711,10.00009,-8.04877,187.339111,1.66735,79.32943,-13.33455,2.40303,0.04939,-0.22603,0.07144,-0.00955,0.00048,2.35264,68.74507,-18.41508,1.5447,-0.44306,0.11286,-0.0123,-0.00019,8E-05,-0.21446,-4.55214,1.98409,0.03999,-0.1947,0.09862,-0.0264,0.00358,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2024-07-18,19:07:49.72,3,1,"Conroy, Ryan",681795,Right,GAS,"Brocato, Anthony",8881054,Right,SMD,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,91.0187,-1.591799,-1.876255,2505.679777,202.734741,12:45,6.26798,3.00316,4.93977,-29.72454,5.23004,1.73331,2.28531,1.37369,83.5072,-6.985904,-1.570472,0.425523,,,,,,,,,,,,-1.37398,3.34547,-2.82229,50,6.08867,4.24023,-131.96475,-4.88205,-2.42602,27.74393,-26.267,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,8dfbd740-455a-11ef-9e41-95ab0fee890b,88.57899,,,7.5115,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:07:49.72,2024-07-18T19:07:49.7274320-04:00,2024-07-18T23:07:49.7274320Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,9fff8e40-950c-45b3-b711-017b1aed6e17,55.55959,-133.12845,13.87197,6.27034,-3.7803,-13.1335,-3.00227,4.34199,-1.21301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-18,19:07:59.27,3,2,"Conroy, Ryan",681795,Right,GAS,"Brocato, Anthony",8881054,Right,SMD,Undefined,1,Top,2,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,90.74969,-0.164678,-2.34578,2448.601812,198.423738,12:30,6.00491,2.96662,5.08969,-28.98891,5.84595,1.59862,3.43383,0.88773,83.35182,-5.452531,-2.063359,0.424794,,,,,,,,,,,,-1.40957,3.27717,-2.746,50,5.96667,5.31735,-131.65312,-1.53451,-2.48694,26.57191,-26.39201,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,93aaeb40-455a-11ef-9e41-95ab0fee890b,88.73107,,,7.39786,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:07:59.27,2024-07-18T19:07:59.2728528-04:00,2024-07-18T23:07:59.2728528Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,0bb81397-8677-4edb-b929-a69309302a47,55.40922,-132.74038,13.28596,6.00737,-0.4546,-13.19601,-2.96566,5.41911,-1.24347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-18,19:08:14.52,3,3,"Conroy, Ryan",681795,Right,GAS,"Brocato, Anthony",8881054,Right,SMD,Undefined,1,Top,2,2,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.25892,-1.686285,-4.063218,2472.751332,212.328966,1:00,6.30448,2.76271,5.27647,-19.13182,13.80831,8.08512,3.1219,-0.38625,85.37788,-5.238587,-2.634047,0.41308,,,,,,,,,,,,-5.13406,7.67343,-2.39731,50,6.13634,9.20766,-135.02376,-4.68326,-9.51097,28.44426,-17.95883,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,9cc87210-455a-11ef-9e41-95ab0fee890b,91.24731,,,7.88104,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:08:14.52,2024-07-18T19:08:14.5250768-04:00,2024-07-18T23:08:14.5250768Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,f367c4c8-d93b-49cc-97b3-33903189b6e2,55.22251,-136.11949,14.22213,6.30342,-3.99145,-8.97941,-2.75906,9.57404,-4.75549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-18,19:08:25.76,3,4,"Conroy, Ryan",681795,Right,GAS,"Brocato, Anthony",8881054,Right,SMD,Undefined,1,Top,2,2,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.76489,-1.376273,-3.822469,2235.3775,259.083653,2:45,5.92127,3.01726,5.34248,-29.7471,3.88945,15.16595,2.14816,0.68997,84.83951,-6.794872,-1.132639,0.417424,,,,,,,,,,,,-8.6363,2.55473,-2.68374,50,5.77531,8.21313,-133.10748,-4.36678,-15.66037,25.70276,-27.54148,GAS,SMD,CaroMontHealthPark,Independent,ATL,20240718-CaroMontHealthPark-1,a37212b0-455a-11ef-9e41-95ab0fee890b,90.29777,,,6.92538,,,,,,,323e92a1-2fb4-44c3-93c1-e13d95fe94f6,2024-07-18,23:08:25.76,2024-07-18T19:08:25.7690576-04:00,2024-07-18T23:08:25.7690576Z,,v3,5508,5433,,"Coulter, Clint",621520,Right,GAS,6b3adfc6-4a4d-4a43-9de2-b795178773ea,55.16021,-134.1002,12.85138,5.92342,-3.30304,-13.77074,-3.01264,8.81798,-7.83018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
