GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,1,9b799c10-46e8-11ef-9a2a-4377c844ef33,b3ce0105-0a43-4c18-8b15-67cf7f88567e,2024-07-20,18:37:14.51,2024-07-20,22:37:14.51,2024-07-20T18:37:14.5170000-04:00,2024-07-20T22:37:14.5170000Z,LI,HAG_FLY,StrikeCalled,Undefined,NoShift,91.2275,72.98849,147.02166,49.39852,73.38402,-47.92424,150.31016,-29.80455,257.68129,-140.50221,331.55799,5.60179,272.05217,135.52342,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,2,a4590870-46e8-11ef-9a2a-4377c844ef33,d0d98282-c7fb-46ba-a20f-f7f59d1a1abb,2024-07-20,18:37:29.33,2024-07-20,22:37:29.33,2024-07-20T18:37:29.3380000-04:00,2024-07-20T22:37:29.3380000Z,LI,HAG_FLY,InPlay,Single,NoShift,91.28706,72.88797,146.68229,49.43787,85.82221,-55.35013,150.44884,-27.43043,257.88449,-138.57126,326.5097,4.45051,271.02259,134.94701,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,3,bcd5a610-46e8-11ef-9a2a-4377c844ef33,fd3a29b8-0001-4833-9048-bd877453531d,2024-07-20,18:38:10.48,2024-07-20,22:38:10.48,2024-07-20T18:38:10.4820000-04:00,2024-07-20T22:38:10.4820000Z,LI,HAG_FLY,StrikeCalled,Undefined,NoShift,64.99757,58.84051,147.31015,18.60197,74.26537,-53.6763,136.25352,-33.60238,280.16278,-140.97909,334.32752,-11.33754,264.80869,133.37837,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,4,c8f04040-46e8-11ef-9a2a-4377c844ef33,37efd112-3bd3-4f09-bccd-d6a3b50a0027,2024-07-20,18:38:30.83,2024-07-20,22:38:30.83,2024-07-20T18:38:30.8390000-04:00,2024-07-20T22:38:30.8390000Z,LI,HAG_FLY,InPlay,Single,NoShift,62.6312,57.98977,148.2575,18.31417,82.40458,-59.03746,135.63412,-33.33021,286.32108,-140.54893,333.27826,-6.93887,263.82912,131.3088,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,5,e173bbb0-46e8-11ef-9a2a-4377c844ef33,3e8fac00-889b-40b1-ae24-432d647692af,2024-07-20,18:39:11.98,2024-07-20,22:39:11.98,2024-07-20T18:39:11.9830000-04:00,2024-07-20T22:39:11.9830000Z,LI,HAG_FLY,InPlay,Single,NoShift,92.17628,59.9748,147.03467,14.4713,71.97544,-51.54464,135.12023,-38.10712,281.73472,-138.76401,331.8014,-7.0316,264.11342,125.43768,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,6,fbea5490-46e8-11ef-9a2a-4377c844ef33,149002c2-1335-48a8-a322-aeb8b11acd1e,2024-07-20,18:39:56.37,2024-07-20,22:39:56.37,2024-07-20T18:39:56.3710000-04:00,2024-07-20T22:39:56.3710000Z,LI,HAG_FLY,FoulBallNotFieldable,Undefined,NoShift,76.903,44.56359,141.64544,32.487,73.24059,-54.25862,136.28451,-36.46818,281.66554,-142.70081,333.12866,-7.34702,259.71455,123.87481,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,7,0b0cb080-46e9-11ef-9a2a-4377c844ef33,6ff93f4d-e9fb-4fec-97e3-0a9bb06a9b8d,2024-07-20,18:40:21.75,2024-07-20,22:40:21.75,2024-07-20T18:40:21.7510000-04:00,2024-07-20T22:40:21.7510000Z,LI,HAG_FLY,StrikeSwinging,Undefined,NoShift,77.86144,45.88781,139.68122,33.55784,72.80024,-54.71261,135.15106,-34.87614,280.37091,-140.11616,334.46989,10.97157,249.4107,130.60155,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,8,199df000-46e9-11ef-9a2a-4377c844ef33,9c56e489-6e71-4a40-8d03-f4b6ec8a6882,2024-07-20,18:40:46.12,2024-07-20,22:40:46.12,2024-07-20T18:40:46.1210000-04:00,2024-07-20T22:40:46.1210000Z,LI,HAG_FLY,BallCalled,Undefined,NoShift,85.67974,51.4896,138.46883,34.47224,76.11064,-57.356,134.97798,-35.31012,285.95945,-141.18135,334.89102,12.32969,245.95158,137.80455,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,9,25d84730-46e9-11ef-9a2a-4377c844ef33,6f364b29-2b75-465d-a79a-c2961d1845c6,2024-07-20,18:41:06.72,2024-07-20,22:41:06.72,2024-07-20T18:41:06.7290000-04:00,2024-07-20T22:41:06.7290000Z,LI,HAG_FLY,FoulBallNotFieldable,Undefined,NoShift,84.37443,50.82639,139.91235,34.18541,76.67237,-57.89399,134.90717,-35.54167,286.50832,-139.38687,336.61445,13.11807,244.98269,135.46625,,,,,,,,,,,,,,,true
6d4aa0be-4dac-4993-b0aa-245bf8f6ba13,10,352e3640-46e9-11ef-9a2a-4377c844ef33,618ec11f-8fc4-4604-8a01-6a89e98b5d83,2024-07-20,18:41:32.39,2024-07-20,22:41:32.39,2024-07-20T18:41:32.3930000-04:00,2024-07-20T22:41:32.3930000Z,LI,HAG_FLY,InPlay,Out,NoShift,85.30538,51.96805,137.92077,35.39634,75.9547,-56.77702,134.98201,-36.84737,288.10542,-140.23476,332.61158,13.86879,245.83083,136.14257,,,,,,,,,,,,,,,true
