GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
8d770d27-3a3d-40df-b152-aad3bb4a3a87,1,7e3a6c50-46f3-11ef-a91d-47a9446cd2a2,a54d9098-9f1c-4258-82e9-12f007afbf4c,2024-07-20,19:55:07.70,2024-07-20,23:55:07.70,2024-07-20T19:55:07.7061162-04:00,2024-07-20T23:55:07.7061162Z,HP,SMD,FoulBallNotFieldable,Undefined,NoShift,95.91978,73.18903,152.98851,27.03971,87.08183,-57.50018,144.1204,-44.99049,283.29256,-129.21471,306.48335,17.99772,265.67125,152.74043,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,2,8d604ab0-46f3-11ef-a91d-47a9446cd2a2,bde71e7c-1ea6-4e5c-b35b-0df21cf8ea25,2024-07-20,19:55:33.14,2024-07-20,23:55:33.14,2024-07-20T19:55:33.1491370-04:00,2024-07-20T23:55:33.1491370Z,HP,SMD,FoulBallNotFieldable,Undefined,NoShift,96.53655,73.11936,151.24962,26.57353,88.30975,-60.06895,143.34571,-45.86477,278.92876,-133.40037,303.9957,22.66035,262.66209,150.4915,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,3,9847e320-46f3-11ef-a91d-47a9446cd2a2,089e5224-4eec-4f05-9986-708f1e6d51e8,2024-07-20,19:55:51.43,2024-07-20,23:55:51.43,2024-07-20T19:55:51.4361898-04:00,2024-07-20T23:55:51.4361898Z,HP,SMD,BallCalled,Undefined,NoShift,96.20793,71.46446,151.33875,26.42035,93.56335,-64.79783,143.82216,-44.38752,278.23103,-126.08622,302.20203,24.32246,262.22761,150.36423,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,4,a0bf65f0-46f3-11ef-a91d-47a9446cd2a2,deaf1f83-bc99-4c6d-94e1-ad7af65ac27e,2024-07-20,19:56:05.65,2024-07-20,23:56:05.65,2024-07-20T19:56:05.6585770-04:00,2024-07-20T23:56:05.6585770Z,HP,SMD,FoulBallNotFieldable,Undefined,NoShift,98.30193,72.45882,151.37543,26.92685,92.98104,-64.72304,143.90008,-44.88642,277.56046,-125.3239,299.49323,24.74032,262.38229,149.49421,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,5,ae7adee0-46f3-11ef-a91d-47a9446cd2a2,175b7761-10ff-49dc-99fd-a46f86dcd23f,2024-07-20,19:56:28.71,2024-07-20,23:56:28.71,2024-07-20T19:56:28.7140394-04:00,2024-07-20T23:56:28.7140394Z,HP,SMD,FoulBallNotFieldable,Undefined,NoShift,98.86977,73.12631,151.63918,23.58099,94.07309,-65.75763,144.07477,-45.29325,277.37057,-129.56612,304.07772,21.03299,263.38742,149.78052,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,6,bb732ee0-46f3-11ef-a91d-47a9446cd2a2,bfa13d9f-cc00-47a6-a67f-0f591bd28b5a,2024-07-20,19:56:50.42,2024-07-20,23:56:50.42,2024-07-20T19:56:50.4220000-04:00,2024-07-20T23:56:50.4220000Z,HP,SMD,StrikeSwinging,Undefined,NoShift,98.91137,72.20548,151.64931,27.08514,93.88519,-66.21835,143.9566,-44.77204,275.61229,-127.10175,303.83663,25.61368,262.47744,149.82581,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,7,cd2d4cb0-46f3-11ef-a91d-47a9446cd2a2,91c92477-e52e-494d-b96c-a6148842a80f,2024-07-20,19:57:20.17,2024-07-20,23:57:20.17,2024-07-20T19:57:20.1735722-04:00,2024-07-20T23:57:20.1735722Z,HP,SMD,BallCalled,Undefined,NoShift,99.6978,65.52445,153.23593,20.94959,93.26841,-65.09941,142.17293,-47.95601,273.62651,-130.20866,305.18401,23.54487,261.65551,144.13817,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,8,d5387920-46f3-11ef-a91d-47a9446cd2a2,a3a7c788-8f90-4561-8c96-1ab7fe4afacc,2024-07-20,19:57:33.66,2024-07-20,23:57:33.66,2024-07-20T19:57:33.6618538-04:00,2024-07-20T23:57:33.6618538Z,HP,SMD,StrikeSwinging,Undefined,NoShift,100.5152,66.9364,153.16889,20.07121,93.49012,-65.85481,142.8046,-47.34674,275.54431,-131.66773,304.22287,21.75508,264.48371,144.89798,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,9,de20bf20-46f3-11ef-a91d-47a9446cd2a2,f492598b-675f-4eb4-9e86-abc79720b6f0,2024-07-20,19:57:48.44,2024-07-20,23:57:48.44,2024-07-20T19:57:48.4477482-04:00,2024-07-20T23:57:48.4477482Z,HP,SMD,FoulBallNotFieldable,Undefined,NoShift,99.90034,66.81587,153.65105,17.74905,95.07173,-66.85985,141.87586,-46.85505,275.74974,-130.97493,304.14952,22.66358,265.6072,145.03139,,,,,,,,,,,,,,,true
8d770d27-3a3d-40df-b152-aad3bb4a3a87,10,eab60790-46f3-11ef-a91d-47a9446cd2a2,99e7cac3-9d64-4a77-a652-d1c1fbaa2e3a,2024-07-20,19:58:09.63,2024-07-20,23:58:09.63,2024-07-20T19:58:09.6379946-04:00,2024-07-20T23:58:09.6379946Z,HP,SMD,InPlay,Out,NoShift,98.78803,65.04287,152.35155,19.04549,95.69475,-67.34543,142.37684,-47.13232,276.7024,-126.15397,304.75291,23.01601,266.02559,144.89549,,,,,,,,,,,,,,,true
