PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-21,16:07:11.87,1,1,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.73502,-2.973048,3.041956,2030.581062,157.078365,11:15,6.09928,-2.3577,4.22951,-15.24426,21.1108,-8.30634,1.97554,-0.13437,81.79676,-5.852954,1.599227,0.433964,,,,,,,,,,,,5.02689,11.56418,2.03328,50,5.75884,-6.58174,-132.16458,-7.41611,8.69019,34.10902,-12.18253,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,d18c7c50-479c-11ef-bcf2-7f0f0a85c935,86.85612,,,9.93827,,,,,,,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:07:11.87,2024-07-21T16:07:11.8750562-04:00,2024-07-21T20:07:11.8750562Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,a9ebe466-13ba-499f-9ef1-3ff4bfd04002,56.2661,-133.77196,17.05451,6.0948,-6.84201,-6.09127,2.3531,-6.99127,4.3451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-21,16:07:21.95,1,2,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,0,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.94916,-2.169501,3.338935,2020.150123,152.261228,11:00,6.09031,-2.47671,4.40754,-16.85217,18.95324,-9.23138,2.61082,-0.0556,82.21934,-5.332771,1.730932,0.430671,76.32233,40.47093,-37.712898,3283.933385,86.13205,73.25552,-68.41977,265.09196,219.25266,-40.932126,4.678881,5.62201,10.31379,2.1306,50,5.84385,-7.26397,-132.64578,-5.6593,9.81264,33.75866,-14.17233,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,d78c9680-479c-11ef-bcf2-7f0f0a85c935,87.52026,80.0795,,9.72982,,,,2.3779,2.71511,0.11857,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:07:21.95,2024-07-21T16:07:21.9537250-04:00,2024-07-21T20:07:21.9537250Z,FlyBall,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,90f8f03b-efe7-4ba0-a27e-3de03e3c850b,56.09058,-134.18689,16.87933,6.08743,-5.01232,-7.08616,2.47243,-7.71192,4.90632,167.404707,2.37986,67.32209,-11.89866,2.52976,-0.32482,0.01275,0.0004,0.00041,-6E-05,2.71437,72.66946,-19.47073,1.56807,-0.22289,-0.0276,0.02246,-0.00413,0.00026,0.11741,-52.06478,7.06866,-1.49858,0.19302,-0.00817,1E-05,-0.00029,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2024-07-21,16:07:59.90,2,1,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.93172,-1.184634,3.880634,2061.788443,155.578475,11:15,6.03907,-2.39679,4.36614,-15.17524,19.06139,-8.07087,3.6402,0.64291,84.18729,-4.04253,2.477761,0.421131,,,,,,,,,,,,5.1167,9.92162,1.98865,50,5.89812,-8.75417,-135.50628,-3.36548,9.36935,33.8017,-14.00624,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,ee246e90-479c-11ef-bcf2-7f0f0a85c935,89.50291,,,9.74443,,,,,,,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:07:59.90,2024-07-21T16:07:59.9001442-04:00,2024-07-21T20:07:59.9001442Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,6321aaf4-b548-4a5e-8bd7-7182e8734d32,56.12961,-137.02677,16.90085,6.03534,-2.73544,-7.00312,2.39191,-9.17562,4.68467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-21,16:08:12.22,2,2,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.78176,-1.874738,4.013458,2127.113269,150.537304,11:00,6.04071,-2.32418,4.4054,-17.99804,17.07969,-8.89855,2.74646,0.77126,83.24429,-5.225167,2.465498,0.426272,,,,,,,,,,,,5.56902,9.22544,1.90525,50,5.82405,-8.91348,-133.7933,-5.08246,9.93873,33.02297,-15.70989,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,f57b6630-479c-11ef-bcf2-7f0f0a85c935,88.42335,,,9.53748,,,,,,,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:08:12.22,2024-07-21T16:08:12.2284386-04:00,2024-07-21T20:08:12.2284386Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,202c47dc-e281-440a-b76f-ac3988185b27,56.09057,-135.28823,16.51148,6.03803,-4.37128,-7.85494,2.31894,-9.36341,4.96937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-21,16:08:26.13,2,3,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,2,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.65228,-1.767802,3.718563,1992.831826,156.911551,11:15,6.0103,-2.38469,4.35133,-17.80233,18.08458,-7.14528,2.83369,0.57761,82.48234,-5.08005,2.476369,0.431161,97.81314,55.124795,-56.490332,3873.060227,,,,,84.40385,,,4.64071,9.67973,1.99222,50,5.8035,-8.22862,-132.28234,-4.77367,8.11416,31.70162,-15.24929,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,fdcff7b0-479c-11ef-bcf2-7f0f0a85c935,87.4208,119.0779,,9.16994,,,,1.35309,3.1417,-0.60629,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:08:26.13,2024-07-21T16:08:26.1363554-04:00,2024-07-21T20:08:26.1363554Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,f208e2ff-2644-4d8d-9fa7-3c34664e3509,56.14706,-133.74738,15.85081,6.00782,-4.06895,-7.62465,2.38115,-8.60361,4.05708,,1.35306,45.2911,-16.06903,5.23,-3.00139,2.99815,-2.14633,0.82325,-0.12927,3.14171,117.69211,-27.52359,3.38304,-0.18104,-0.73886,0.67399,-0.27558,0.04463,-0.60628,-68.39516,14.31389,-3.16389,0.78179,-0.30309,0.14065,-0.04391,0.00603,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2024-07-21,16:08:46.62,2,4,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,2,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.59264,-1.993675,3.930547,2161.746453,153.168623,11:00,5.99161,-2.45377,4.36215,-15.04639,19.65607,-9.24835,2.82808,0.53598,83.49413,-4.838964,2.323021,0.423986,112.13293,23.912814,-42.538274,3163.403291,77.54354,41.85926,-78.01897,362.50187,225.22555,-53.835218,3.624902,5.82158,10.56564,2.04142,50,5.76389,-8.77936,-134.90138,-5.25593,10.49763,35.21896,-13.12186,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,0a0322f0-479d-11ef-bcf2-7f0f0a85c935,88.90019,54.28443,,10.0985,,,,1.83088,2.90801,-0.42978,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:08:46.62,2024-07-21T16:08:46.6249570-04:00,2024-07-21T20:08:46.6249570Z,FlyBall,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,7b18182d-948c-46ec-8210-12982952e9af,56.13524,-136.49372,17.60948,5.98811,-4.66266,-6.56093,2.44909,-9.25399,5.24882,,1.83099,110.77355,-27.51248,6.91451,-1.70575,0.38068,-0.06647,0.00743,-0.00038,2.90807,66.66112,-26.24912,4.07019,-1.02327,0.22876,-0.03983,0.00457,-0.00024,-0.42982,-101.64373,10.67054,-2.54866,0.61834,-0.13748,0.02405,-0.00266,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-07-21,16:09:05.76,2,5,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,2,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.06301,-3.299026,3.311925,2305.2421,158.039457,11:15,6.08861,-2.2401,4.13405,-11.43134,22.04655,-8.40839,1.96277,0.23956,85.98742,-5.469031,1.855046,0.416438,76.48368,64.403365,44.350205,4803.392196,,,,,65.17524,,,5.02839,11.9067,1.88089,50,5.71017,-7.47914,-137.16442,-8.32415,9.51332,32.30583,-9.6475,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,15691320-479d-11ef-bcf2-7f0f0a85c935,90.5115,108.69768,,9.07559,,,,0.5316,1.79099,-0.32384,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:09:05.76,2024-07-21T16:09:05.7685858-04:00,2024-07-21T20:09:05.7685858Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,1e84d325-bcf1-4770-8dd5-bc1a05373286,56.36527,-138.6555,16.15291,6.08409,-7.87887,-4.82375,2.23622,-7.91823,4.75666,205.570875,0.53164,34.65127,-13.08534,3.13801,-0.30277,-0.21905,0.13015,-0.03184,0.003,1.791,101.16588,-27.34943,3.25437,-0.58078,0.07578,-0.01245,0.00351,-0.00057,-0.32386,33.88199,0.06314,-1.13865,0.02976,0.26295,-0.15271,0.0389,-0.00401,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-07-21,16:09:34.56,2,6,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,2,2,Undefined,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,94.22115,-2.213806,2.16994,2125.981554,153.27102,11:00,6.05895,-2.29537,4.26519,-15.84154,17.87922,-8.4202,2.61783,-0.91962,85.4779,-5.15305,0.704641,0.417946,,,,,,,,,,,,4.67646,9.58583,2.06803,50,5.80243,-4.7084,-136.24962,-5.89621,8.75044,31.21964,-14.23741,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,2698cb40-479d-11ef-bcf2-7f0f0a85c935,90.18497,,,8.74325,,,,,,,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:09:34.56,2024-07-21T16:09:34.5610000-04:00,2024-07-21T20:09:34.5610000Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,d1d98847-115d-4e2d-8eb4-f95e7b5b79d3,56.23333,-137.67049,15.60982,6.05604,-5.24824,-7.1187,2.29138,-5.10665,4.37522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4701,2.721645,1.490688,1.230957,-0.52317,2.44075,0.89664,-2.50845,5.62069,2.14758,68.87864,13.70239,-55.92083,-2.45215,61.11314,-2.5567,5.80389,25.15781,-15.17147,1.97779,-52.25671,4.19531,High,High,High,,,High,Low,Medium
9,2024-07-21,16:10:01.13,3,1,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Coulter, Clint",621520,Right,GAS,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.45573,-2.894903,3.758873,2092.527004,154.301729,11:15,6.05864,-2.37791,4.37906,-18.44588,16.5595,-7.38575,1.74875,0.60121,83.97094,-6.28934,2.473871,0.425832,,,,,,,,,,,,4.69055,9.22229,1.98308,50,5.73083,-8.38925,-133.47777,-7.49908,8.4192,30.0922,-15.62067,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,366a52f0-479d-11ef-bcf2-7f0f0a85c935,88.51474,,,8.48478,,,,,,,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:10:01.13,2024-07-21T16:10:01.1398498-04:00,2024-07-21T20:10:01.1398498Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,5f98eeca-84f9-487d-b4d7-8f7dd1113de9,56.12078,-134.85063,15.0461,6.05669,-6.78644,-7.81033,2.37457,-8.77334,4.2096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-21,16:10:15.17,3,2,"Rodriguez, Gabriel",1000284648,Left,WES_POW,"Coulter, Clint",621520,Right,GAS,Undefined,1,Top,2,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.0697,1.217461,2.536094,1951.029768,238.721878,2:00,5.88637,-2.44069,4.56919,-39.38947,5.01528,5.59638,3.76377,0.44062,73.90781,-5.934178,3.514238,0.479608,,,,,,,,,,,,-1.88236,2.54043,2.17207,50,5.97655,-5.51213,-118.60458,0.99871,-2.63833,26.07486,-28.61331,WES_POW,GAS,GoMart,Independent,ATL,20240721-GoMart-1,3ecdd890-479d-11ef-bcf2-7f0f0a85c935,78.59015,,,8.16189,,,,,,,d6c913ea-947d-4938-b369-7bff9f3500cf,2024-07-21,20:10:15.17,2024-07-21T16:10:15.1761250-04:00,2024-07-21T20:10:15.1761250Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,bf24e9f2-d2ce-43c8-b56a-6db82334e44e,55.92759,-119.90066,13.03743,5.89156,2.42097,-14.30666,2.4428,-5.38099,-1.31916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
