PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-21,16:07:41.23,1,1,"Ramirez, Neil",519166,Right,HP,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.90242,-1.692762,-2.52475,2535.90742,220.558942,1:15,6.11564,2.07964,6.14979,-19.21233,15.50422,12.19914,2.94856,0.76192,81.14428,-5.360815,-0.326305,0.424072,74.50543,33.959028,171.44515,3674.119469,,,,,43.56481,,,-7.15532,8.93012,-1.89387,50,5.97698,5.24949,-130.35877,-4.41461,-12.13177,31.1582,-17.0331,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,e2185350-479c-11ef-bfd6-2b8124ec416d,88.88212,29.22558,,8.75814,,,,3.58546,3.05541,-0.77926,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:07:41.23,2024-07-21T16:07:41.2323238-04:00,2024-07-21T20:07:41.2323238Z,,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,d9e0b443-5d97-4492-abd9-11fd944efbd5,54.34805,-131.39392,15.5791,6.11424,-3.84873,-8.51655,-2.07497,5.65254,-6.06588,317.937176,3.58546,-89.62788,5.53247,-1.24633,0.24794,-0.04866,0.00796,0.00123,-0.00125,3.05541,61.0407,-24.44778,2.76972,-0.59646,0.11649,-0.02213,0.00176,0.00088,-0.77926,13.48271,-4.97513,1.01682,-0.18936,0.0375,-0.00753,0.00057,0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2024-07-21,16:08:01.24,1,2,"Ramirez, Neil",519166,Right,HP,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.67915,-1.385054,-1.932733,2437.6946,210.205889,1:00,6.15416,2.04317,6.1286,-16.60761,17.62312,9.66142,3.48894,1.0611,82.40392,-4.54631,-0.191886,0.421095,,,,,,,,,,,,-5.50048,9.78922,-1.90037,50,6.03947,4.00368,-130.32325,-3.62203,-9.51592,25.86756,-15.23853,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,ee01cb60-479c-11ef-bfd6-2b8124ec416d,89.51064,,,7.27523,,,,,,,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:08:01.24,2024-07-21T16:08:01.2438950-04:00,2024-07-21T20:08:01.2438950Z,,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,dd67b906-2e4c-42f6-be7c-ee5354760cd4,54.37028,-131.18783,12.93378,6.15201,-3.11271,-7.61926,-2.0395,4.32173,-4.75796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-21,16:08:21.37,1,3,"Ramirez, Neil",519166,Right,HP,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.03769,-0.660941,-1.389698,2458.101739,216.705352,1:15,6.25101,1.8907,6.0972,-16.45879,17.82788,12.4567,4.26794,1.64318,81.93409,-3.816935,0.854286,0.421438,,,,,,,,,,,,-6.79587,9.7078,-1.78999,50,6.19133,2.64668,-130.77199,-1.9634,-11.72333,28.56172,-15.42742,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,f9ff8ec0-479c-11ef-bfd6-2b8124ec416d,89.4376,,,8.1036,,,,,,,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:08:21.37,2024-07-21T16:08:21.3756326-04:00,2024-07-21T20:08:21.3756326Z,,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,044be595-785e-4ce7-9abd-35840db2baff,54.39986,-131.72945,14.28086,6.24848,-1.44623,-7.71371,-1.8853,3.03967,-5.86166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-21,16:08:37.77,1,4,"Ramirez, Neil",519166,Right,HP,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.42008,-1.529566,-2.062228,2440.373262,222.316004,1:30,6.16076,1.95123,6.2155,-18.46682,15.24517,12.91776,3.20909,1.12381,82.77788,-5.034639,0.269654,0.417892,78.7658,54.162859,-179.258136,4465.867682,,,,,29.16564,,,-7.31847,8.66284,-1.80324,50,6.03682,4.21414,-131.3714,-4.05248,-12.79767,27.66858,-17.02555,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,03bde970-479d-11ef-bfd6-2b8124ec416d,90.19668,39.98721,,7.64221,,,,2.33093,3.24249,-1.07839,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:08:37.77,2024-07-21T16:08:37.7768358-04:00,2024-07-21T20:08:37.7768358Z,,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,6ec57fe5-2965-470b-b69e-705e60c456f6,54.28436,-132.27066,13.83429,6.15954,-3.49913,-8.51278,-1.94697,4.63008,-6.39884,9.375659,2.33453,-67.73885,4.07079,,,,,,,3.27786,92.65179,-33.47316,,,,,,,-1.08385,-0.71997,2.18109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-07-21,16:08:59.69,1,5,"Ramirez, Neil",519166,Right,HP,"Demeritte, Travis ",1000303156,Right,SMD,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.46483,-2.433509,-3.054787,2531.33396,212.753687,1:00,6.15059,1.87195,6.10633,-15.21662,18.5458,11.26745,2.62764,-0.01664,83.11868,-5.336764,-1.027878,0.418204,,,,,,,,,,,,-6.6128,10.528,-1.64293,50,5.95519,6.5396,-131.27314,-6.00778,-11.60882,26.21941,-13.69204,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,10d5a850-479d-11ef-bfd6-2b8124ec416d,90.12933,,,7.34615,,,,,,,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:08:59.69,2024-07-21T16:08:59.6960000-04:00,2024-07-21T20:08:59.6960000Z,,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,7e3a994f-0ddd-42fc-a7b9-9d27ca377bef,54.39264,-132.14758,13.10971,6.14794,-5.55114,-6.84602,-1.86749,6.92676,-5.80441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.92047,2.683315,0.904653,1.778662,-0.51865,2.44469,0.05011,-3.08786,4.27594,2.45224,73.35427,17.88729,-51.63373,-2.823,47.61841,-2.66332,4.68626,34.88525,-15.37889,2.3452,-33.00316,1.48174,High,High,High,,,High,Medium,High
6,2024-07-21,16:09:30.37,2,1,"Ramirez, Neil",519166,Right,HP,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.66616,-2.257542,-2.714714,2398.009617,213.467365,1:00,6.10087,1.95245,6.13685,-14.78946,18.863,11.7702,2.77857,0.42248,83.0348,-5.093001,-0.595184,0.417522,77.5077,36.978129,-6.323047,,109.77594,70.05487,-7.01679,254.56593,252.68324,-0.15616,4.804548,-6.85256,10.70473,-1.75139,50,5.92072,5.75989,-131.60031,-5.59691,-12.04327,27.36242,-13.36066,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,231e7190-479d-11ef-bfd6-2b8124ec416d,90.27644,78.03773,,7.63136,,,,1.98557,2.84569,-0.41027,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:09:30.37,2024-07-21T16:09:30.3749542-04:00,2024-07-21T20:09:30.3749542Z,FlyBall,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,dfced095-4ed4-433e-8656-d55007224e49,54.36263,-132.50428,13.68121,6.09833,-5.15551,-6.68033,-1.94825,6.15776,-6.02164,195.509353,1.98762,90.21904,-17.55676,3.88751,-0.64504,0.0782,-0.00898,0.00122,-9E-05,2.8454,68.3761,-17.03367,0.67836,0.13479,-0.13014,0.04234,-0.00634,0.00036,-0.41082,-9.99044,5.37051,-1.4577,0.30705,-0.05077,0.00636,-0.00059,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-07-21,16:10:07.54,3,1,"Ramirez, Neil",519166,Right,HP,"Brocato, Anthony",8881054,Right,SMD,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.38198,-2.122276,-2.516249,2412.023843,220.741556,1:15,6.1924,1.85308,6.03507,-17.57966,16.41253,13.21717,2.75945,0.62302,82.79918,-5.453465,-0.139467,0.419625,,,,,,,,,,,,-7.46874,9.34571,-1.66356,50,6.01693,5.20726,-131.17938,-5.38602,-13.04494,27.13619,-15.85078,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,3944ea30-479d-11ef-bfd6-2b8124ec416d,89.82418,,,7.5828,,,,,,,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:10:07.54,2024-07-21T16:10:07.5461542-04:00,2024-07-21T20:10:07.5461542Z,,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,c2ad0489-501d-4402-983a-167d38e30c23,54.46326,-132.09944,13.56809,6.19043,-4.8486,-7.92539,-1.84761,5.64955,-6.52247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-21,16:10:22.64,3,2,"Ramirez, Neil",519166,Right,HP,"Brocato, Anthony",8881054,Right,SMD,Undefined,1,Top,2,0,1,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.32222,-0.887945,-2.947366,1258.461179,278.294008,3:15,6.07065,2.02764,5.83112,-40.88097,-0.17862,8.52485,1.83737,-0.00406,76.93012,-8.345201,-1.418615,0.459178,,,,,,,,,,,,-5.05382,0.44173,-1.79204,50,5.97365,5.83653,-119.68004,-3.2231,-7.45358,19.44718,-31.52259,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,424d3b50-479d-11ef-bfd6-2b8124ec416d,82.08675,,,5.3921,,,,,,,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:10:22.64,2024-07-21T16:10:22.6434982-04:00,2024-07-21T20:10:22.6434982Z,,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,402d4c3a-d8af-4470-9e5f-fb7da4d0d47c,54.6706,-120.43659,9.72359,6.07518,-1.99679,-15.76129,-2.02473,6.12649,-3.72679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-21,16:10:39.60,3,3,"Ramirez, Neil",519166,Right,HP,"Brocato, Anthony",8881054,Right,SMD,Undefined,1,Top,2,0,2,Splitter,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,82.7072,-0.711473,-2.701494,1166.999567,262.493807,2:45,6.07949,1.98636,5.81133,-38.59136,2.15665,7.27445,2.20119,0.07863,76.44184,-7.789246,-1.397683,0.459436,106.5326,21.086023,-20.750067,1338.074499,102.52912,38.10287,-39.84492,361.64555,350.40854,-23.014287,3.864067,-4.45587,1.60945,-1.76933,50,5.99782,5.39041,-120.14009,-2.77101,-6.54995,22.02191,-29.80823,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,4c648b70-479d-11ef-bfd6-2b8124ec416d,82.04072,52.09052,,6.26535,,,,2.70608,2.34732,-0.07432,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:10:39.60,2024-07-21T16:10:39.6025766-04:00,2024-07-21T20:10:39.6025766Z,FlyBall,v3,5431,5433,,"Parreira, Brian",811613,Right,HP,c73e22db-3955-4875-9afb-57e8bd4b5b29,54.68952,-120.99663,11.01096,6.08305,-1.61162,-14.90412,-1.98394,5.64517,-3.27497,158.74386,2.7063,136.32271,-26.46813,6.6004,-1.46694,0.2701,-0.03591,0.00271,-6E-05,2.34709,56.21925,-17.17695,0.82683,-0.09685,0.04041,-0.01717,0.00378,-0.00031,-0.07442,-51.64723,6.17477,-0.79073,0.01693,0.03298,-0.01196,0.00207,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-07-21,16:14:04.91,1,1,"Martin, Garrett",823655,Right,SMD,"Jimenez, Gilberto",678362,Left,HP,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.24144,-2.76957,-5.391173,2360.055358,223.48685,1:30,5.62946,2.49568,6.16775,-20.50383,14.28576,12.54327,1.34929,-1.45341,82.14477,-6.617668,-3.142409,0.424518,,,,,,,,,,,,-7.99185,8.45894,-2.09296,50,5.40808,11.70337,-129.14195,-6.89513,-13.58409,25.26024,-17.79606,HP,SMD,HighPoint,Independent,ATL,20240721-HighPoint-1,c6b912b0-479d-11ef-bfd6-2b8124ec416d,88.78881,,,7.09666,,,,,,,f8542b83-c9cc-40be-9b50-d16f66e41305,2024-07-21,20:14:04.91,2024-07-21T16:14:04.9122214-04:00,2024-07-21T20:14:04.9122214Z,,v3,5431,5433,,"Quiroz, Isaias",657728,Right,SMD,caae739f-14b8-4cf4-9658-7c8f41dfac66,54.3336,-129.98684,12.63012,5.62875,-6.2999,-8.89803,-2.49201,12.15772,-6.79204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
