PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-02,18:34:48.16,1,1,"Shawaryn, Mike",642067,Right,STA_YAN,"Moritz, Andrew",680938,Left,HAG_FLY,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.71219,-3.069364,-5.008814,2141.53409,219.873684,1:15,5.97672,2.69554,6.09156,-19.34304,16.13103,12.51772,1.51206,-0.90625,81.24347,-6.718125,-2.765687,0.428674,,,,,,,,,,,,-7.89607,9.53225,-2.31543,50,5.72887,10.75052,-128.32398,-7.47859,-13.18193,26.25951,-16.26057,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,4a446830-38c3-11ef-8a4b-ebff83e16b7c,87.928,,,7.46872,,,,,,,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:34:48.16,2024-07-02T18:34:48.1653656-04:00,2024-07-02T22:34:48.1653656Z,,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,abbf0860-5ad7-4b0c-bcd0-6d02d4a37ff8,54.40825,-129.22291,13.12976,5.97536,-6.92195,-8.13029,-2.69117,11.20177,-6.59097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-02,18:34:59.79,1,2,"Shawaryn, Mike",642067,Right,STA_YAN,"Moritz, Andrew",680938,Left,HAG_FLY,Undefined,1,Top,0,0,1,Undefined,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.48674,-0.817452,-2.825947,1067.890175,230.37077,1:45,5.81944,2.7988,6.27149,-33.5034,7.02063,6.93209,2.27296,0.76927,75.66289,-7.060132,-1.573638,0.458171,,,,,,,,,,,,-4.39036,4.27358,-2.59299,50,5.74273,5.65509,-119.77219,-2.71339,-6.37232,23.3089,-25.97124,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,51337640-38c3-11ef-8a4b-ebff83e16b7c,82.26713,,,6.82385,,,,,,,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:34:59.79,2024-07-02T18:34:59.7948824-04:00,2024-07-02T22:34:59.7948824Z,,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,f179ebf6-5e94-4ca7-babd-d5491ccf5b7b,54.22654,-120.59191,11.65445,5.82209,-1.80004,-12.98562,-2.7958,5.87919,-3.18616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-02,18:35:12.64,1,3,"Shawaryn, Mike",642067,Right,STA_YAN,"Moritz, Andrew",680938,Left,HAG_FLY,Undefined,1,Top,0,0,2,Undefined,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.04813,-2.883832,-4.160367,1087.576092,202.123499,12:45,5.85876,2.63051,6.21134,-32.57403,7.72402,2.61744,0.47349,-0.99773,76.41824,-8.905534,-3.688984,0.456892,,,,,,,,,,,,-2.55725,5.1854,-2.31944,50,5.62539,8.6551,-120.28485,-7.05257,-3.73869,23.78812,-24.59295,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,58d5a7b0-38c3-11ef-8a4b-ebff83e16b7c,82.4975,,,6.62989,,,,,,,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:35:12.64,2024-07-02T18:35:12.6475160-04:00,2024-07-02T22:35:12.6475160Z,,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,602d550d-4213-4e41-9c4d-1148368c9741,54.28836,-121.12997,11.89406,5.86042,-6.17886,-12.29647,-2.62929,8.78792,-1.86935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-02,18:35:30.02,1,4,"Shawaryn, Mike",642067,Right,STA_YAN,"Moritz, Andrew",680938,Left,HAG_FLY,Undefined,1,Top,0,1,2,Undefined,Curveball,InPlay,Undefined,FlyBall,Double,0,0,,78.92869,1.050971,-2.190697,2528.952167,63.932562,8:15,5.64219,2.83309,5.88925,-47.94924,-3.19437,-9.24756,2.62309,0.02737,72.79628,-7.741342,-3.849517,0.481495,67.8877,35.46176,-30.805357,5094.89623,88.38946,49.77547,-65.47737,213.47533,212.53314,-40.427711,3.562993,4.15799,-1.5539,-2.65106,50,5.69913,4.72577,-114.67237,0.57738,5.54379,20.94598,-34.24587,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,633ec150-38c3-11ef-8a4b-ebff83e16b7c,78.28216,49.84257,,6.13241,,,,0.73427,2.59924,-0.00293,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:35:30.02,2024-07-02T18:35:30.0236696-04:00,2024-07-02T22:35:30.0236696Z,FlyBall,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,1f167ddf-e2b6-46de-a5da-3cc0f26dd038,54.61161,-115.51165,10.47299,5.6485,1.94957,-17.12293,-2.83596,4.50364,2.7719,138.758384,0.73419,69.6572,-14.37169,3.78377,-0.80821,0.19754,-0.0549,0.01014,-0.00077,2.59952,57.759,-19.29035,1.17785,-0.07283,-0.06052,0.02696,-0.00427,0.00022,-0.00277,-41.53851,0.99603,-0.11566,0.0704,-0.04798,0.01645,-0.00272,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-07-02,18:36:12.54,2,1,"Shawaryn, Mike",642067,Right,STA_YAN,"Culver, Cito",592237,Left,HAG_FLY,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.85459,-2.96137,-5.201963,2138.544507,221.459399,1:30,5.81539,2.65373,6.21131,-19.79466,14.71678,11.9993,1.41905,-1.16045,82.11096,-6.698334,-3.047932,0.422817,,,,,,,,,,,,-7.72276,8.81256,-2.26875,50,5.58233,11.35098,-129.93876,-7.3347,-13.18789,27.52793,-17.12514,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,7c8a47b0-38c3-11ef-8a4b-ebff83e16b7c,89.1459,,,7.74363,,,,,,,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:36:12.54,2024-07-02T18:36:12.5417880-04:00,2024-07-02T22:36:12.5417880Z,,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,b4e33dd6-86cf-426a-9e0a-660575951aa3,54.28787,-130.84401,13.76396,5.81427,-6.77154,-8.56257,-2.64915,11.78466,-6.59394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-02,18:36:34.14,2,2,"Shawaryn, Mike",642067,Right,STA_YAN,"Culver, Cito",592237,Left,HAG_FLY,Undefined,1,Top,0,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.36973,-1.67677,-4.020285,2062.544162,214.226797,1:15,5.76972,2.67156,6.26574,-19.37107,15.54241,9.74843,2.60531,-0.22866,80.99718,-5.370818,-2.264381,0.425273,82.33628,81.513591,-51.276203,3979.428643,,,,,25.633,,,-6.3141,8.94623,-2.37823,50,5.63581,8.70988,-129.46978,-4.34847,-10.61471,29.44712,-17.13437,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,896a06a0-38c3-11ef-8a4b-ebff83e16b7c,88.6311,111.77786,,8.37255,,,,2.45915,2.70262,0.18713,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:36:34.14,2024-07-02T18:36:34.1488536-04:00,2024-07-02T22:36:34.1488536Z,,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,c5b89bc3-2ca3-43a1-90ee-2a10f78f3952,54.23204,-130.42878,14.72356,5.76834,-3.79046,-8.56719,-2.66751,9.05556,-5.30736,,2.45916,11.14511,-4.45844,0.77167,1.32963,-2.87757,2.8262,-1.35462,0.25463,2.70262,119.437,-33.67114,5.31265,-1.07285,-0.06295,0.26649,-0.13995,0.02609,0.18714,-13.90653,-3.53142,0.57097,1.31271,-2.77027,2.71472,-1.30092,0.24456,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2024-07-02,18:37:09.75,2,3,"Shawaryn, Mike",642067,Right,STA_YAN,"Culver, Cito",592237,Left,HAG_FLY,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.02918,-1.982912,-3.42473,1954.264998,213.826993,1:15,5.82882,2.7674,6.04585,-20.37088,15.12434,9.29863,2.29148,0.36794,80.64347,-5.844191,-1.754619,0.428802,86.12267,55.996352,-38.318243,4649.969779,73.66721,117.44482,-81.6892,235.16995,120.66025,-51.530093,5.272047,-5.85217,8.76713,-2.50546,50,5.66324,7.3327,-128.9653,-5.08164,-9.75164,29.46989,-17.56516,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,9ea38730-38c3-11ef-8a4b-ebff83e16b7c,87.90181,120.01262,,8.38571,,,,1.27777,2.39349,-0.38947,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:37:09.75,2024-07-02T18:37:09.7517976-04:00,2024-07-02T22:37:09.7517976Z,FlyBall,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,46cfde7a-c472-4ea3-9763-3c87f282a83f,54.4511,-129.97844,14.73495,5.82756,-4.47777,-8.78258,-2.76332,7.66795,-4.87582,151.636063,1.29369,55.06694,-16.27426,2.95096,1.06495,-0.83526,0.22595,-0.02856,0.0014,2.38721,104.81003,-29.39577,3.8003,-0.69476,0.07203,0.00437,-0.00206,0.00015,-0.38693,-43.85289,3.15688,-0.65394,0.32338,-0.15007,0.03852,-0.00491,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-07-02,18:37:40.21,2,4,"Shawaryn, Mike",642067,Right,STA_YAN,"Culver, Cito",592237,Left,HAG_FLY,Undefined,1,Top,0,1,2,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.62379,-0.271013,-3.717796,1987.559425,208.297339,1:00,5.79065,2.71677,5.91932,-17.92387,16.29213,8.16245,4.04496,-0.05798,82.31999,-3.679184,-2.257041,0.421004,87.21247,39.317615,5.587709,3272.068812,109.88557,82.57918,5.0134,319.14318,319.14318,-2.146239,5.276039,-5.27681,8.76713,-2.42342,50,5.75881,8.18764,-131.35695,-1.1636,-9.17705,29.02774,-16.92694,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,b0c874c0-38c3-11ef-8a4b-ebff83e16b7c,89.52993,101.32503,,8.30379,,,,0.53186,3.88177,0.0638,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:37:40.21,2024-07-02T18:37:40.2163096-04:00,2024-07-02T22:37:40.2163096Z,FlyBall,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,d2b63587-7595-4418-a5ad-444349ff8162,54.57834,-132.36483,14.51387,5.78901,-0.57588,-8.46347,-2.71324,8.50627,-4.58853,163.350946,0.53551,98.42051,-19.58189,4.86442,-0.72933,0.03016,0.0093,-0.00146,6E-05,3.88117,81.04375,-18.50214,0.64254,0.14071,-0.10487,0.03017,-0.00413,0.00021,0.065,9.61332,-5.99722,1.45122,-0.20777,0.0057,0.00327,-0.00047,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2024-07-02,18:38:42.34,3,1,"Shawaryn, Mike",642067,Right,STA_YAN,"Campagna, Joe",690523,Right,HAG_FLY,Undefined,1,Top,1,0,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.37304,-2.467249,-3.304928,1976.94288,215.18211,1:15,5.88329,2.52106,6.3713,-20.74383,13.79828,8.92768,1.87932,0.22077,81.62529,-6.393058,-1.6909,0.423005,,,,,,,,,,,,-5.63555,8.25485,-2.28636,50,5.6951,7.13763,-129.61551,-6.19341,-9.55411,27.96456,-18.17943,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,d5d837f0-38c3-11ef-8a4b-ebff83e16b7c,89.10632,,,7.74775,,,,,,,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:38:42.34,2024-07-02T18:38:42.3496088-04:00,2024-07-02T22:38:42.3496088Z,,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,9f70ff02-56da-40bd-b8aa-6e5be1089659,54.12746,-130.50297,13.98228,5.88249,-5.61648,-9.08971,-2.51769,7.44084,-4.77706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-02,18:39:24.82,4,1,"Shawaryn, Mike",642067,Right,STA_YAN,"Dotel, Welington",468535,Right,HAG_FLY,Undefined,1,Top,2,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.4157,-1.732937,-2.398304,2147.687819,216.139696,1:15,5.94298,2.65354,6.45313,-17.76084,16.54843,11.26757,2.86902,1.38795,81.56446,-5.135619,-0.356083,0.421577,,,,,,,,,,,,-6.60717,9.50119,-2.48863,50,5.81214,5.00249,-129.85763,-4.40653,-11.24464,28.03686,-16.00417,STA_YAN,HAG_FLY,StatenIslandYankees,Independent,ATL,20240702-StatenIslandYankees-1,ef22d3f0-38c3-11ef-8a4b-ebff83e16b7c,89.40812,,,7.85124,,,,,,,c126203e-0f0a-4765-8fca-59d99698fe03,2024-07-02,22:39:24.82,2024-07-02T18:39:24.8236952-04:00,2024-07-02T22:39:24.8236952Z,,v3,586,6089,,"Scheffler, Matt",688032,Right,STA_YAN,0f472868-9978-481e-b5b7-6265615f0edc,54.04551,-130.72815,14.01843,5.94124,-3.90961,-8.00209,-2.64937,5.35163,-5.62232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
