PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-03,18:37:06.34,1,1,"Chen, Wei-Yin",612672,Left,LI,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.13611,-3.021039,2.285567,2192.596852,164.625932,11:30,6.23295,-1.56476,7.19808,-17.05028,19.09044,-4.88544,2.0185,0.13909,79.59926,-6.300855,1.404413,0.432683,,,,,,,,,,,,3.23016,11.19701,1.39506,50,5.99665,-4.89018,-127.63202,-7.17743,5.2538,29.69412,-13.96237,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,c595aca0-398c-11ef-8516-5b62db7d3c7c,87.11327,,,8.53685,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:37:06.34,2024-07-03T18:37:06.3480000-04:00,2024-07-03T22:37:06.3480000Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,5fc08dee-d08f-43ab-9f18-0c6a2fa9fb77,54.29515,-128.62742,14.84706,6.22941,-6.70938,-6.98118,1.56194,-5.0663,2.6269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-03,18:37:27.52,1,2,"Chen, Wei-Yin",612672,Left,LI,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,0,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.75432,-2.096202,1.301208,1417.841727,140.510185,10:45,6.08895,-1.5501,7.15783,-34.87722,10.21111,-7.11154,1.24463,-0.94043,71.76109,-8.596914,0.016266,0.483285,,,,,,,,,,,,4.07512,6.4152,1.45482,50,5.91214,-2.3362,-114.24402,-5.18123,5.32332,23.3254,-23.79394,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,d23889a0-398c-11ef-8516-5b62db7d3c7c,77.99215,,,6.99323,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:37:27.52,2024-07-03T18:37:27.5260000-04:00,2024-07-03T22:37:27.5260000Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,b9b8c866-cd80-4720-8572-42c937aecad3,54.33762,-115.12623,11.6627,6.09108,-4.2813,-11.89697,1.54699,-2.53754,2.66166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-03,18:37:43.65,1,3,"Chen, Wei-Yin",612672,Left,LI,"DeShields, Delino",592261,Right,WES_POW,Undefined,1,Top,0,0,2,Undefined,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.51756,-2.275307,2.163647,1517.882791,129.646191,10:15,6.13339,-1.31666,7.21331,-32.78561,11.51323,-11.96123,1.29887,-0.31575,72.19051,-8.412482,0.001742,0.479035,,,,,,,,,,,,6.85638,7.17863,1.16007,50,5.94661,-3.91337,-115.26475,-5.50919,9.09203,24.2883,-22.65466,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,dbdb9420-398c-11ef-8516-5b62db7d3c7c,78.68406,,,7.32704,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:37:43.65,2024-07-03T18:37:43.6570000-04:00,2024-07-03T22:37:43.6570000Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,218a8876-48b7-4e33-bb82-8bd134d35144,54.28158,-116.16345,12.14415,6.13495,-4.67094,-11.32733,1.31109,-4.24978,4.54601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.98674,,,1.000049,,,,-0.27906,5.85553,2.83202,70.03521,4.37764,-54.95075,-0.24379,74.52917,-4.23981,5.91268,12.56423,-14.07462,2.72555,-65.51579,7.80145,High,High,High,,,High,High,High
4,2024-07-03,18:38:13.20,2,1,"Chen, Wei-Yin",612672,Left,LI,"Rosa, Joseph",660563,Right,WES_POW,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.78415,-3.382481,3.414824,2158.798224,157.631453,11:15,6.16963,-1.58582,7.35122,-19.71107,16.52446,-6.26303,1.40448,1.03915,79.52311,-7.138154,2.283396,0.43325,,,,,,,,,,,,4.33965,10.05965,1.34071,50,5.91435,-7.33499,-127.04995,-8.05513,7.00219,29.14817,-15.94235,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,ed6a8340-398c-11ef-8516-5b62db7d3c7c,86.99926,,,8.26104,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:38:13.20,2024-07-03T18:38:13.2040000-04:00,2024-07-03T22:38:13.2040000Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,bd171df7-06bd-4ee9-9d68-cda07b09756d,54.14458,-127.99728,14.57409,6.16773,-7.537,-7.97117,1.58279,-7.56257,3.5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-03,18:38:27.49,2,2,"Chen, Wei-Yin",612672,Left,LI,"Rosa, Joseph",660563,Right,WES_POW,Undefined,1,Top,1,1,0,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.48286,-2.784435,2.213115,1622.300047,136.521116,10:30,6.11408,-1.52184,7.22693,-29.17037,15.06395,-12.78788,1.11031,-0.54462,72.29779,-8.265168,-0.097995,0.478686,59.05131,-55.625323,11.503493,,,,,4.93932,4.93932,8.646487,0.020429,7.39205,9.15229,1.36292,50,5.89139,-4.00281,-115.23167,-6.39992,9.81349,23.93853,-20.02368,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,f5f6c690-398c-11ef-8516-5b62db7d3c7c,78.74139,1.46479,,7.18507,,,,3.9013,1.46479,0.54274,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:38:27.49,2024-07-03T18:38:27.4920000-04:00,2024-07-03T22:38:27.4920000Z,GroundBall,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,30a8c756-e73c-4252-933e-4b5fcf928109,54.27069,-116.11548,11.96927,6.11403,-5.66064,-10.01184,1.51739,-4.36512,4.90675,,3.90082,48.0636,,,,,,,,1.46551,-71.70203,,,,,,,,0.54264,9.7817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2024-07-03,18:39:06.55,3,1,"Chen, Wei-Yin",612672,Left,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.07919,-2.575143,2.464828,2197.918654,158.934147,11:15,6.1617,-1.6638,7.49759,-17.63678,18.26769,-6.51445,2.32448,0.05717,79.20286,-5.991087,1.28335,0.431266,,,,,,,,,,,,4.18012,10.76796,1.49358,50,5.97318,-5.22716,-127.58823,-6.16729,6.76278,30.78886,-14.75318,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,0d3a47f0-398d-11ef-8516-5b62db7d3c7c,87.39944,,,8.87633,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:39:06.55,2024-07-03T18:39:06.5560000-04:00,2024-07-03T22:39:06.5560000Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,8a83bdd8-cc67-44c5-9f1a-d0acb5d69f23,53.99462,-128.54857,15.39443,6.15837,-5.70712,-7.37659,1.65991,-5.4381,3.38139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-03,18:39:21.57,3,2,"Chen, Wei-Yin",612672,Left,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,0,1,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.24602,-2.417037,1.722546,1487.809081,152.05655,11:00,6.23725,-1.38253,7.10021,-27.39714,16.92517,-8.19804,1.71648,-0.47216,72.55854,-7.556697,0.244651,0.479162,,,,,,,,,,,,4.71792,9.87634,1.25423,50,6.03681,-3.15732,-114.97716,-5.60535,6.29564,21.94581,-18.99493,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,16370050-398d-11ef-8516-5b62db7d3c7c,78.66322,,,6.68747,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:39:21.57,2024-07-03T18:39:21.5760000-04:00,2024-07-03T22:39:21.5760000Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,ec9412f9-9430-4926-80aa-c32aac9cddc0,54.39577,-115.81315,10.97291,6.23656,-4.88178,-9.49747,1.37907,-3.39714,3.14782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-03,18:39:38.66,3,3,"Chen, Wei-Yin",612672,Left,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,0,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.69863,-1.999265,1.344552,1297.89339,135.283441,10:30,6.1734,-1.48379,7.21855,-31.21785,13.00402,-11.24217,1.7258,-1.1797,72.01274,-7.873317,-0.688163,0.478619,,,,,,,,,,,,6.21717,7.89544,1.38825,50,6.00845,-2.2897,-115.53388,-4.90241,8.24901,25.21128,-21.69826,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,2060ee10-398d-11ef-8516-5b62db7d3c7c,78.75248,,,7.68589,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:39:38.66,2024-07-03T18:39:38.6650000-04:00,2024-07-03T22:39:38.6650000Z,,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,2f505d16-26c9-4647-8d99-bda81af4369c,54.27476,-116.46296,12.60564,6.17438,-4.10278,-10.84913,1.47823,-2.59369,4.1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-03,18:39:54.69,3,4,"Chen, Wei-Yin",612672,Left,LI,"Pugh, Tillman",573106,Right,WES_POW,Undefined,1,Top,2,1,2,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,78.33893,-0.997219,1.653692,1434.646576,137.79744,10:30,6.14759,-1.40747,7.2662,-32.18636,13.07379,-10.44071,2.54555,-0.75251,71.28738,-7.049857,-0.234496,0.484205,57.70707,-55.462554,-37.391705,,,,,3.14418,3.14418,-5.987129,0.036831,5.94878,7.55433,1.29006,50,6.05813,-2.91695,-113.73708,-2.85465,7.71312,22.84264,-22.37919,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,29f10cd0-398d-11ef-8516-5b62db7d3c7c,77.84392,2.58234,,7.05154,,,,1.71498,2.58234,0.75132,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:39:54.69,2024-07-03T18:39:54.6990000-04:00,2024-07-03T22:39:54.6990000Z,GroundBall,v3,1896,525,,"Antonini, Aaron",689577,Right,LI,dd06a5a9-e1d5-45c2-b619-ac34948fb8c9,54.23051,-114.58358,11.42132,6.14855,-2.02532,-11.18959,1.40345,-3.20278,3.85656,,1.7137,38.33853,,,,,,,,2.58467,-70.1129,,,,,,,,0.75229,-29.30323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2024-07-03,18:42:29.88,1,1,"Smith, Kevin",663325,Left,WES_POW,"Encarnacion, JC",669792,Right,LI,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.80386,-2.349693,2.999274,2578.993946,136.937493,10:30,5.87123,-2.71126,7.27531,-18.52383,16.56198,-14.39481,2.15751,-1.14365,81.01393,-5.878742,0.400099,0.426321,,,,,,,,,,,,8.27351,9.60477,2.49597,50,5.68819,-6.15964,-128.79531,-5.80234,13.86286,27.36871,-16.08062,LI,WES_POW,CenterIslip,Independent,ATL,20240703-CenterIslip-1,866f0750-398d-11ef-8516-5b62db7d3c7c,88.41324,,,7.78992,,,,,,,0ce23722-a412-4795-b6ed-e8b7f14e6ef7,2024-07-03,22:42:29.88,2024-07-03T18:42:29.8830000-04:00,2024-07-03T22:42:29.8830000Z,,v3,1896,525,,"Estrada, Rusber",682005,Right,WES_POW,325fa709-c723-455c-a89f-5b6b85b53149,54.22108,-129.68917,13.68435,5.86912,-5.27714,-8.04031,2.70454,-6.61241,6.93143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
