PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-03,17:47:01.35,1,1,"Miller, Justin",670141,Right,LEX_LEG,"Broughton, Josh",690527,Right,SMD,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.76924,-3.026522,-3.982882,2526.07278,204.314593,12:45,5.96411,2.12909,5.64417,-16.79595,17.50666,7.42437,1.73172,-0.97359,83.30645,-6.182741,-2.661369,0.421536,,,,,,,,,,,,-4.82307,10.01398,-1.79524,50,5.69572,8.82167,-131.3956,-7.49463,-8.47089,26.63475,-14.58619,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,299032b0-398e-11ef-aaac-2fe8efa6f87b,89.41682,,,7.46279,,,,,,,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:47:01.35,2024-07-03T17:47:01.3571042-05:00,2024-07-03T22:47:01.3571042Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,6c8d796d-d60b-4c80-b97a-d76dab1df0aa,54.85633,-132.37635,13.31738,5.9618,-6.95753,-7.29309,-2.12582,9.13359,-4.23544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-03,17:47:14.16,1,2,"Miller, Justin",670141,Right,LEX_LEG,"Broughton, Josh",690527,Right,SMD,Undefined,1,Top,0,1,0,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.2587,-1.304049,-2.960313,2458.196229,204.763923,12:45,5.97792,2.03489,6.06105,-20.7032,14.25851,6.05611,3.04385,-0.20283,81.47256,-5.210624,-1.871865,0.425567,76.14265,86.902357,-94.283027,4092.006723,,,,,3.79849,,,-4.00634,8.07516,-1.80827,50,5.86548,6.45617,-129.52913,-3.58626,-6.78687,27.78394,-18.49448,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,312da930-398e-11ef-aaac-2fe8efa6f87b,88.56998,26.21731,,7.78614,,,,4.15819,3.07123,0.10325,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:47:14.16,2024-07-03T17:47:14.1668834-05:00,2024-07-03T22:47:14.1668834Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,ebd073ad-a694-46a8-b0cb-e5d8927be325,54.44068,-130.47818,13.89197,5.97719,-2.95452,-9.24724,-2.03276,6.688,-3.39344,3.082208,4.16,-0.55986,-9.03695,,,,,,,3.07276,111.42054,-27.10794,,,,,,,0.10325,-6.0177,0.34683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2024-07-03,17:47:49.81,2,1,"Miller, Justin",670141,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.02399,-4.358238,-4.694956,2501.290209,203.917251,12:45,6.07485,1.9698,5.68202,-14.69926,19.84592,8.26756,0.76571,-1.72759,82.79033,-7.155655,-3.224829,0.423024,,,,,,,,,,,,-5.56134,11.70162,-1.57866,50,5.69676,10.41584,-131.31541,-10.4646,-9.66205,29.10773,-11.84414,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,466f4010-398e-11ef-aaac-2fe8efa6f87b,89.10236,,,8.23366,,,,,,,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:47:49.81,2024-07-03T17:47:49.8144738-05:00,2024-07-03T22:47:49.8144738Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,a321bbe0-93ed-43a2-ab65-b50bc31a4497,54.81695,-132.37884,14.55387,6.07117,-10.03188,-5.92207,-1.96565,10.76884,-4.83102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-03,17:48:07.05,2,2,"Miller, Justin",670141,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.58019,-1.435603,-3.69854,2394.586913,203.893533,12:45,5.98395,2.00272,5.52647,-19.63659,14.97635,6.14819,3.00235,-0.94747,82.82748,-5.106074,-2.606112,0.423439,,,,,,,,,,,,-4.10898,8.28386,-1.68486,50,5.8459,8.20565,-131.22937,-3.95679,-7.17678,27.35476,-17.70544,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,50babf90-398e-11ef-aaac-2fe8efa6f87b,89.01505,,,7.7527,,,,,,,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:48:07.05,2024-07-03T17:48:07.0581218-05:00,2024-07-03T22:48:07.0581218Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,350019c6-b7a9-4fce-85fa-d71a84780b75,54.97303,-132.26194,13.67738,5.98264,-3.28846,-8.85272,-1.99971,8.47656,-3.58839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-03,17:48:20.72,2,3,"Miller, Justin",670141,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,2,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.34543,1.660482,-2.299343,2400.861242,149.230389,11:00,5.86695,2.27662,5.30969,-37.70041,3.78299,-1.4252,4.2856,-0.00165,75.63401,-5.259103,-2.551952,0.463563,,,,,,,,,,,,0.02051,1.83843,-2.06681,50,5.99074,4.90963,-120.73598,2.14618,0.03008,25.11199,-29.4802,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,58e11520-398e-11ef-aaac-2fe8efa6f87b,81.31031,,,7.71143,,,,,,,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:48:20.72,2024-07-03T17:48:20.7232994-05:00,2024-07-03T22:48:20.7232994Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,5d9e3776-598b-41bf-a31f-3f64c22278d7,55.18854,-121.81037,12.55599,5.87194,3.40746,-14.7401,-2.27684,4.90834,0.01504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-03,17:48:37.75,2,4,"Miller, Justin",670141,Right,LEX_LEG,"Wielansky, Michael",681933,Right,SMD,Undefined,1,Top,1,3,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.96115,-3.078167,-3.037565,2461.891687,202.773086,12:45,5.89651,2.0517,5.81132,-19.11383,14.82402,5.77363,1.43445,-0.29451,83.45868,-6.654523,-2.004572,0.419289,96.71259,-6.47126,-6.558891,,,,,14.73964,14.73964,-4.341196,0.087968,-3.80355,8.75123,-1.80603,50,5.63226,6.75177,-131.83037,-7.71867,-6.70618,27.53189,-16.74447,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,63029e70-398e-11ef-aaac-2fe8efa6f87b,89.89607,1.48106,,7.50248,,,,2.58023,1.48106,0.26903,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:48:37.75,2024-07-03T17:48:37.7511906-05:00,2024-07-03T22:48:37.7511906Z,GroundBall,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,691d91e3-e077-428a-b713-9b1edaf8139d,54.69039,-132.80631,13.76595,5.89534,-7.12512,-8.37223,-2.04958,6.98949,-3.35309,198.475559,2.58043,139.98935,-25.57294,,,,,,,1.48107,-15.98693,-9.68363,,,,,,,0.269,-16.09375,4.01218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-07-03,17:49:14.56,3,1,"Miller, Justin",670141,Right,LEX_LEG,"Kelly, Juan",622806,Left,SMD,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.76605,-0.706578,-3.039929,2257.560748,204.532246,12:45,5.87812,2.16325,5.81691,-18.07934,15.47347,6.54359,3.71355,-0.1207,83.20535,-4.135773,-1.86971,0.416904,,,,,,,,,,,,-4.20965,8.42134,-1.91785,50,5.80949,6.76697,-133.00017,-2.20638,-7.49152,30.2488,-17.18736,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,78f02cc0-398e-11ef-aaac-2fe8efa6f87b,90.41044,,,8.56069,,,,,,,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:49:14.56,2024-07-03T17:49:14.5691618-05:00,2024-07-03T22:49:14.5691618Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,cac46f88-72ec-492f-87c1-8814c6839505,54.6805,-134.06044,15.1244,5.87627,-1.60393,-8.59368,-2.15965,7.02956,-3.74576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-03,17:49:29.60,3,2,"Miller, Justin",670141,Right,LEX_LEG,"Kelly, Juan",622806,Left,SMD,Undefined,1,Top,2,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.00296,-4.578595,-4.675421,2407.444167,201.923436,12:45,5.91207,1.9307,5.71834,-15.25143,18.54599,6.99028,0.35258,-1.85183,83.70721,-7.467293,-3.431507,0.418421,,,,,,,,,,,,-4.92988,11.12989,-1.54334,50,5.51795,10.54108,-132.69984,-11.11816,-8.7416,29.87323,-12.43865,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,81ec6ff0-398e-11ef-aaac-2fe8efa6f87b,90.08262,,,8.29575,,,,,,,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:49:29.60,2024-07-03T17:49:29.6073186-05:00,2024-07-03T22:49:29.6073186Z,,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,1969f313-6ff2-4705-a33b-e13b7043d265,54.78096,-133.77179,14.93661,5.9089,-10.67182,-6.21932,-1.92721,10.85475,-4.3708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-03,17:49:52.40,3,3,"Miller, Justin",670141,Right,LEX_LEG,"Kelly, Juan",622806,Left,SMD,Undefined,1,Top,2,2,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,90.63386,-1.738921,-2.827786,2355.60752,204.763329,12:45,5.92433,2.09442,5.58872,-18.51962,15.5667,6.7326,2.75474,0.01272,83.74658,-5.192386,-1.628209,0.420205,85.95035,33.708364,12.910606,1784.536914,107.37224,60.58106,23.89932,334.54593,331.01281,11.630281,4.448446,-4.1315,8.63264,-1.85604,50,5.76282,6.20954,-131.58883,-4.6221,-7.32959,24.83667,-16.85913,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,8f7edd10-398e-11ef-aaac-2fe8efa6f87b,89.70005,73.45951,,6.88728,,,,1.84953,2.72336,-0.04337,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:49:52.40,2024-07-03T17:49:52.4022242-05:00,2024-07-03T22:49:52.4022242Z,FlyBall,v3,495,5433,,"Hernandez, Luis",683671,Right,LEX_LEG,0a89452d-b983-4333-b0b3-e8829c69e7f0,54.91379,-132.51304,12.41833,5.92314,-3.99475,-8.42956,-2.09218,6.48228,-3.66479,180.552205,1.85147,102.16932,-15.16327,3.49692,-0.42597,-0.01712,0.01274,-0.00113,0,2.72349,69.95024,-19.31114,1.17453,0.02054,-0.13329,0.05316,-0.00892,0.00055,-0.04314,23.42578,-3.44049,0.58312,-0.07392,0.01144,-0.00378,0.0008,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-07-03,17:52:53.18,1,1,"Kahaloa, Ian",663447,Right,SMD,"Howell, Korry",676759,Right,LEX_LEG,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.87223,-2.459127,-5.550303,2785.631028,205.237119,12:45,5.33967,2.92641,6.24842,-13.68371,18.65611,8.28563,1.91925,-1.5182,84.54108,-5.100274,-4.065185,0.409299,,,,,,,,,,,,-5.883,10.6991,-2.51634,50,5.14892,12.69552,-134.23433,-6.14473,-10.70381,29.82165,-12.70752,LEX_LEG,SMD,WildHealthField,Independent,ATL,20240703-WildHealthField-1,fb418890-398e-11ef-aaac-2fe8efa6f87b,92.09033,,,8.33116,,,,,,,80d80697-5d44-44e8-9d65-93a331b98247,2024-07-03,22:52:53.18,2024-07-03T17:52:53.1880930-05:00,2024-07-03T22:52:53.1880930Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,SMD,74371752-8354-4553-a090-5b9bf65f96cf,54.25147,-135.17554,14.91082,5.33653,-5.74366,-6.35376,-2.92236,13.03334,-5.3519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
