PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-06,18:02:30.78,1,1,"Kickham, Mike",592464,Left,HAG_FLY,"Castillo, Ivan",622668,Right,LI,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.47807,-1.420808,4.135664,2224.281372,124.137243,10:15,5.85273,-2.39458,6.19502,-25.71025,10.3567,-13.64367,2.39486,0.29303,80.37592,-6.226152,1.680015,0.432241,,,,,,,,,,,,8.14071,6.08583,2.08945,50,5.73252,-8.62971,-126.87079,-3.95351,13.3312,24.81052,-22.20797,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,6b25a960-3be3-11ef-9c97-999ea44d6744,87.20231,,,7.10215,,,,,,,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:02:30.78,2024-07-06T18:02:30.7825892-04:00,2024-07-06T22:02:30.7825892Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,77240941-2b3a-43b2-8966-5b3613195fef,54.30325,-127.70955,12.40526,5.85349,-3.20273,-11.10398,2.38881,-9.08039,6.6656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-06,18:02:42.54,1,2,"Kickham, Mike",592464,Left,HAG_FLY,"Castillo, Ivan",622668,Right,LI,Undefined,1,Top,0,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.96051,-2.723283,4.749577,1963.603033,115.541016,9:45,6.1323,-2.3153,5.90018,-32.28706,6.84638,-11.58985,0.90301,1.13814,77.74074,-8.675718,2.675746,0.450241,,,,,,,,,,,,7.40977,4.65559,1.93962,50,5.89383,-9.76195,-122.89123,-6.91356,11.27215,25.54391,-25.09169,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,722b25a0-3be3-11ef-9c97-999ea44d6744,83.71605,,,7.21976,,,,,,,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:02:42.54,2024-07-06T18:02:42.5417956-04:00,2024-07-06T22:02:42.5417956Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,d50a3031-0acf-4ed0-ad97-284f637b2ec2,54.59932,-123.84354,12.77196,6.13413,-5.9781,-12.54585,2.31139,-10.18219,5.63608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-06,18:03:01.66,1,3,"Kickham, Mike",592464,Left,HAG_FLY,"Castillo, Ivan",622668,Right,LI,Undefined,1,Top,0,1,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.81658,-0.780088,3.00087,2423.929416,195.191289,12:30,5.87731,-2.19583,5.39709,-31.91214,6.33107,1.43417,2.4859,0.73838,79.65851,-6.598167,3.255476,0.445091,70.27747,-35.28423,-76.471066,,,,,4.88767,4.88767,-58.838522,0.042142,-0.00276,3.68221,1.92696,50,5.78505,-6.59208,-124.6067,-2.84716,-0.0044,22.01703,-26.3101,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,7d9ad9d0-3be3-11ef-9c97-999ea44d6744,84.68484,2.51825,,6.15808,,,,1.69662,2.51825,-0.72246,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:03:01.66,2024-07-06T18:03:01.6638180-04:00,2024-07-06T22:03:01.6638180Z,GroundBall,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,529199af-1be4-415b-b877-16fc909bd2b2,55.10282,-125.50509,11.00851,5.87932,-1.77359,-13.15505,2.19594,-6.5919,-0.0022,,1.69613,19.75484,,,,,,,,2.51972,-59.75577,,,,,,,,-0.72044,-82.10217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2024-07-06,18:03:26.89,1,4,"Kickham, Mike",592464,Left,HAG_FLY,"Castillo, Ivan",622668,Right,LI,Undefined,1,Top,0,1,2,Undefined,Cutter,InPlay,Undefined,GroundBall,Error,0,0,,86.90533,-0.36342,3.468992,2397.510767,198.207483,12:30,5.82021,-2.19497,5.5602,-30.61021,6.7843,1.86382,2.9292,1.20524,79.95174,-5.985567,3.800468,0.440124,90.43347,2.325226,-41.09404,2703.894019,,,,69.17495,66.91682,-42.020462,0.536682,-0.02559,3.84122,1.89387,50,5.76847,-7.71899,-126.06327,-1.87781,-0.04136,24.7312,-25.96961,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,8c95b090-3be3-11ef-9c97-999ea44d6744,85.64047,3.42337,,6.95359,,,,2.58059,3.09256,-1.26213,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:03:26.89,2024-07-06T18:03:26.8967140-04:00,2024-07-06T22:03:26.8967140Z,GroundBall,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,18f324a3-0ff3-41c2-a302-fc1d71b41ca2,54.93931,-127.02857,12.3656,5.82199,-0.86417,-12.9848,2.19512,-7.71738,-0.02068,,2.59804,99.43878,-15.93954,,,,,,,3.10967,4.95258,-20.08066,,,,,,,-1.26246,-87.10196,5.91446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-07-06,18:04:01.46,2,1,"Kickham, Mike",592464,Left,HAG_FLY,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,0,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.40009,-0.821256,3.404495,2291.711168,216.663404,1:15,5.81985,-2.38563,5.52271,-33.60903,4.81528,2.81386,2.24989,1.03551,79.43449,-6.945026,3.904834,0.446143,,,,,,,,,,,,-0.61646,2.95425,2.08725,50,5.72564,-7.49191,-123.98093,-2.9748,-0.97307,21.50256,-27.51074,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,a13eb0f0-3be3-11ef-9c97-999ea44d6744,84.48503,,,5.9656,,,,,,,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:04:01.46,2024-07-06T18:04:01.4658276-04:00,2024-07-06T22:04:01.4658276Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,6d58d7d2-74f3-46dd-a64c-e350f96469c2,54.97679,-124.84109,10.75128,5.82263,-1.87429,-13.75537,2.38617,-7.45299,-0.48653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-06,18:04:20.81,2,2,"Kickham, Mike",592464,Left,HAG_FLY,"Bradley, Jackie",598265,Left,LI,Undefined,1,Top,0,0,1,Undefined,Slider,InPlay,Undefined,Popup,Out,1,0,,81.09924,-0.923275,2.561962,2386.312808,294.075582,3:45,5.89782,-2.4915,5.40877,-45.80499,-2.91189,9.15386,1.21479,0.67323,75.59058,-9.191658,4.190738,0.471373,69.5551,64.503754,-51.880618,5101.869759,,,,107.6591,60.90172,-79.817994,5.015171,-4.02118,-0.96339,2.25666,50,5.78295,-5.62707,-117.81259,-3.49917,-5.70194,20.5186,-33.54011,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,acb65460-3be3-11ef-9c97-999ea44d6744,79.96302,101.37773,,5.50866,,,,3.21604,1.50197,-0.54225,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:04:20.81,2024-07-06T18:04:20.8132324-04:00,2024-07-06T22:04:20.8132324Z,Popup,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,4664e6cf-7872-488e-9388-60a5ebd834c7,55.09304,-118.69629,10.2593,5.90255,-2.05465,-16.77006,2.49372,-5.38149,-2.85097,,3.2164,27.10897,-10.00486,2.32859,-0.66564,0.22664,-0.06201,0.00942,-0.00056,1.50549,92.00348,-25.78825,2.71679,-0.21977,-0.10162,0.04003,-0.00552,0.00027,-0.54809,-34.42725,4.68976,-0.21123,-0.45485,0.24621,-0.05997,0.00717,-0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2024-07-06,18:04:59.55,3,1,"Kickham, Mike",592464,Left,HAG_FLY,"Schwindel, Frank",643524,Right,LI,Undefined,1,Top,1,0,0,Undefined,Sinker,InPlay,Undefined,FlyBall,Double,0,1,,88.14461,-0.346637,3.03699,2173.289494,131.489938,10:30,5.83217,-2.20834,6.21521,-26.9769,8.04985,-8.04225,3.26375,-0.0733,81.82176,-5.362657,1.587018,0.425962,97.06923,23.17068,1.770713,2178.467275,109.58304,41.93945,9.56837,347.22255,347.22255,11.325597,3.854308,4.9187,4.54382,1.98479,50,5.79243,-6.49236,-128.1765,-1.63436,8.3086,22.67884,-24.4987,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,c3d2c5c0-3be3-11ef-9c97-999ea44d6744,88.4877,53.1008,,6.32286,,,,1.05996,3.1955,0.04877,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:04:59.55,2024-07-06T18:04:59.5568356-04:00,2024-07-06T22:04:59.5568356Z,LineDrive,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,8faf2a7d-423a-4631-b7e0-80170d253d14,54.28539,-128.9325,11.33942,5.8333,-0.8177,-12.24935,2.20583,-6.76932,4.1543,224.0216,1.05987,130.82461,-22.46462,5.51293,-1.22997,0.26089,-0.04481,0.0047,-0.0002,3.19554,56.01489,-16.76577,0.53423,0.10221,-0.06059,0.0102,-1E-05,-0.0001,0.04885,4.04119,7.9412,-2.30386,0.61208,-0.15514,0.0311,-0.00385,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-07-06,18:05:52.86,4,1,"Kickham, Mike",592464,Left,HAG_FLY,"Sisco, Chance",642082,Left,LI,Undefined,1,Top,1,0,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.13086,0.260717,2.369479,2177.32342,154.541966,11:15,5.99329,-2.33761,5.88561,-24.93619,10.22245,-4.34595,4.15758,-0.49827,81.48627,-4.395864,1.590503,0.426764,,,,,,,,,,,,2.86248,5.4987,2.14887,50,6.00001,-5.16765,-129.38992,-0.24108,4.85831,26.70594,-22.84153,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,e39c21d0-3be3-11ef-9c97-999ea44d6744,88.32156,,,7.64459,,,,,,,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:05:52.86,2024-07-06T18:05:52.8656100-04:00,2024-07-06T22:05:52.8656100Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,1d1461d7-0d0c-4782-8e44-313ab22c2705,54.61073,-130.33809,13.35297,5.99417,0.56989,-11.42076,2.33541,-5.34014,2.42915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-06,18:06:14.38,4,2,"Kickham, Mike",592464,Left,HAG_FLY,"Sisco, Chance",642082,Left,LI,Undefined,1,Top,1,1,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.94189,-0.129012,2.527589,2349.015001,216.339257,1:15,5.85121,-2.63717,5.51733,-32.42856,5.73685,3.39862,3.02808,0.01089,79.22288,-6.074292,3.132553,0.444638,,,,,,,,,,,,-1.0687,3.25473,2.41458,50,5.8181,-5.64963,-124.78424,-1.42927,-1.69502,23.71997,-27.01189,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,f076d7b0-3be3-11ef-9c97-999ea44d6744,84.77113,,,6.71901,,,,,,,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:06:14.38,2024-07-06T18:06:14.3818980-04:00,2024-07-06T22:06:14.3818980Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,904ec8bb-d9f1-40e1-b4ae-a2c32ecb4bb6,54.98185,-125.72766,11.85999,5.85358,-0.35492,-13.50595,2.63794,-5.58221,-0.84751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-06,18:06:42.93,4,3,"Kickham, Mike",592464,Left,HAG_FLY,"Sisco, Chance",642082,Left,LI,Undefined,1,Top,1,1,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.82282,-2.599306,2.767181,2308.006653,242.823511,2:00,5.80604,-2.37874,5.3817,-34.61179,2.92028,3.63681,0.4807,0.52022,80.75776,-8.856707,3.413752,0.440933,,,,,,,,,,,,-1.15768,2.40382,2.12837,50,5.54839,-6.24036,-125.95759,-7.00265,-1.87814,23.22877,-28.2743,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20240706-HagerstownBallpark-1,016e8fe0-3be4-11ef-9c97-999ea44d6744,85.48335,,,6.06506,,,,,,,77a9be46-7bc4-4782-90b9-a8ed47647c25,2024-07-06,22:06:42.93,2024-07-06T18:06:42.9319908-04:00,2024-07-06T22:06:42.9319908Z,,v3,6089,1896,,"Marrero, Alan",669909,Right,HAG_FLY,fd3e2418-cb03-44f1-8627-1c068009953a,55.11877,-126.89807,11.61438,5.80874,-5.85789,-14.13715,2.37948,-6.16432,-0.93907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
