PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-07,17:07:22.66,1,1,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.48922,-2.080704,-3.303852,2295.098145,218.182129,1:15,6.14496,2.79429,6.21549,-15.9315,14.80639,10.93186,2.89316,0.653,87.01692,-5.10035,-1.333835,0.399033,,,,,,,,,,,,-6.50331,8.48733,-2.55187,50,5.98065,7.45463,-137.17413,-5.47213,-12.49882,27.87834,-15.86206,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,e68a4860-3ca4-11ef-accf-75e6cdc4e2cf,94.45954,,,7.4723,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:07:22.66,2024-07-07T17:07:22.6655038-04:00,2024-07-07T21:07:22.6655038Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,d4507b00-2fa4-40fa-9c58-f8430ab09970,54.28395,-138.04202,13.93917,6.14332,-4.97832,-7.93103,-2.79,7.84374,-6.24941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-07,17:07:35.31,1,2,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.58253,-3.480618,-3.927329,2190.104747,215.464411,1:15,6.15793,2.52657,6.20174,-14.01438,17.43922,11.75174,1.76569,-0.12499,86.24022,-6.151118,-1.812537,0.403651,,,,,,,,,,,,-7.06737,10.20323,-2.23673,50,5.88819,8.8134,-135.60626,-8.65938,-13.28281,27.06287,-12.99755,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,ee1177c0-3ca4-11ef-accf-75e6cdc4e2cf,93.37867,,,7.34232,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:07:35.31,2024-07-07T17:07:35.3147198-04:00,2024-07-07T21:07:35.3147198Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,17b5ab40-b5f4-40b4-99b8-6b19522ea94e,54.29762,-136.46123,13.53143,6.15528,-8.24876,-6.49877,-2.5218,9.23304,-6.64141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-07,17:07:50.85,1,3,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.87942,-1.045095,-2.600337,2243.137064,220.404339,1:15,6.11563,2.86912,6.1474,-14.22705,15.65993,12.58264,3.96326,1.51326,88.13701,-3.758534,-0.333733,0.393471,,,,,,,,,,,,-7.16103,8.63378,-2.67743,50,6.0285,5.77725,-139.32726,-2.96735,-14.18731,28.99094,-15.06897,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,f761ce60-3ca4-11ef-accf-75e6cdc4e2cf,95.79475,,,7.74242,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:07:50.85,2024-07-07T17:07:50.8501310-04:00,2024-07-07T21:07:50.8501310Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,15c02833-ee6a-4d24-96ff-de96bd23cf75,54.35194,-140.22988,14.49547,6.11359,-2.49818,-7.53449,-2.86418,6.21897,-7.09366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-07,17:08:05.61,1,4,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.35462,-2.177585,-3.39635,2014.645662,219.557714,1:15,6.10883,2.87367,6.14165,-18.49363,12.97233,9.98296,2.55084,0.56327,86.37469,-5.645725,-1.59986,0.403731,,,,,,,,,,,,-6.00977,7.52481,-2.61981,50,5.93286,7.62999,-135.55287,-5.7536,-11.32401,26.10733,-17.99534,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,001e7080-3ca5-11ef-accf-75e6cdc4e2cf,93.36032,,,6.97992,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:08:05.61,2024-07-07T17:08:05.6120638-04:00,2024-07-07T21:08:05.6120638Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,9af9908c-6145-4931-8576-8fb82329a39d,54.35881,-136.38978,13.05367,6.10806,-5.17672,-8.99767,-2.87022,7.993,-5.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-07,17:08:32.56,1,5,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.27497,-3.52338,-4.451836,2408.16792,214.171788,1:15,6.15715,2.61955,6.35907,-12.51438,17.57891,11.21217,1.85772,-0.55149,87.18476,-5.957159,-2.43072,0.394827,,,,,,,,,,,,-7.30843,10.61745,-2.30207,50,5.89525,10.38043,-139.25666,-8.93139,-14.20073,34.33807,-11.54371,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,102ab740-3ca5-11ef-accf-75e6cdc4e2cf,95.46582,,,9.09021,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:08:32.56,2024-07-07T17:08:32.5643070-04:00,2024-07-07T21:08:32.5643070Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,7fb4a05e-9667-4371-b095-96b59c515092,54.14089,-140.27401,17.16904,6.1548,-8.58938,-5.77185,-2.61585,10.80116,-7.10036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-07,17:08:52.84,1,6,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.31094,-2.208836,-4.37845,2312.214075,218.103953,1:15,6.17104,2.63008,6.11509,-15.97694,16.18406,11.83253,2.79039,-0.44001,84.73293,-5.26323,-2.254681,0.408165,68.6606,23.298076,-162.637979,2152.974491,,,,,33.06463,,,-7.43559,9.34504,-2.30008,50,5.99285,9.84154,-135.09269,-5.69372,-13.65573,31.13567,-15.01155,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,1c430780-3ca5-11ef-accf-75e6cdc4e2cf,92.346,17.2477,,8.57801,,,,2.88567,2.41869,0.09391,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:08:52.84,2024-07-07T17:08:52.8421182-04:00,2024-07-07T21:08:52.8421182Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,51c18953-f64c-43f1-8e00-fecfe2d3e90e,54.38355,-136.09925,15.56784,6.16908,-5.20842,-7.50577,-2.62537,10.283,-6.82787,,2.88342,-88.20345,9.977,,,,,,,2.415,39.95199,-6.92142,,,,,,,0.09776,-27.72784,-8.01551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2024-07-07,17:09:22.71,1,7,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.10194,-1.359842,-3.20583,2242.033266,228.110948,1:30,6.18355,2.73743,6.09207,-19.43643,12.27103,12.4369,3.30381,0.8054,85.05908,-5.0443,-0.96891,0.405277,,,,,,,,,,,,-7.39993,7.07544,-2.49658,50,6.0684,7.09219,-136.3914,-3.86404,-13.77895,33.2189,-18.99928,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,2e0eb180-3ca5-11ef-accf-75e6cdc4e2cf,93.00409,,,9.04286,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:09:22.71,2024-07-07T17:09:22.7114302-04:00,2024-07-07T21:09:22.7114302Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,263bf30a-b24e-4a90-8f7c-30149376435a,54.40495,-137.46007,16.60945,6.18287,-3.25282,-9.49964,-2.73187,7.53546,-6.88947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-07,17:09:56.21,1,8,"Ridings, Stephen",670050,Right,HP,"Dues, Damon",680815,Left,LAN,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,84.37521,-1.137018,-3.180722,2148.23262,89.224981,9:00,6.12666,2.64624,5.79735,-38.31179,1.19469,-2.86138,1.87468,-0.55372,77.58158,-8.15484,-3.692826,0.452382,82.75797,53.570297,19.711321,4065.561317,105.87651,121.02934,29.83545,224.32184,129.49471,12.753843,5.619693,0.57772,1.20024,-2.38273,50,6.00968,6.9127,-122.41827,-3.71951,0.87434,24.77371,-30.35757,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,420be180-3ca5-11ef-accf-75e6cdc4e2cf,83.31988,124.97451,,6.79363,,,,2.48385,2.14239,0.53235,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:09:56.21,2024-07-07T17:09:56.2181438-04:00,2024-07-07T21:09:56.2181438Z,Popup,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,8f04b69e-c822-4810-be87-f218e406f53f,54.70378,-123.3665,12.38685,6.12981,-2.55756,-15.17879,-2.64668,6.87923,0.43717,170.548465,2.48971,67.74026,-15.64946,3.70258,-0.34052,-0.06562,0.02405,-0.00277,0.00011,2.14197,97.6558,-23.17677,2.02575,-0.2032,-0.04361,0.02084,-0.00306,0.00015,0.53554,24.24864,-8.19821,1.90983,-0.16835,-0.03595,0.01262,-0.00143,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-07-07,17:10:35.19,2,1,"Ridings, Stephen",670050,Right,HP,"Diaz, Isan",656371,Left,LAN,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.14571,2.415224,-1.231001,2350.022664,84.096199,8:45,6.08799,2.63303,5.70006,-39.53175,0.82906,-2.92134,5.0461,1.24233,76.6614,-4.842418,-1.753036,0.457248,,,,,,,,,,,,1.17484,0.18154,-2.52791,50,6.26604,2.71299,-120.78181,3.73688,1.75249,21.36434,-31.90324,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,5956b5e0-3ca5-11ef-accf-75e6cdc4e2cf,82.43334,,,6.48431,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:10:35.19,2024-07-07T17:10:35.1984446-04:00,2024-07-07T21:10:35.1984446Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,85c283fd-43ce-4368-a0e5-cbb273862252,54.79965,-121.62782,10.68217,6.09304,5.00023,-15.95162,-2.63397,2.64359,0.87624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-07,17:10:49.51,2,2,"Ridings, Stephen",670050,Right,HP,"Diaz, Isan",656371,Left,LAN,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.14148,-1.466711,-2.670053,2097.40694,204.380647,12:45,6.10691,2.63401,6.22365,-14.05887,19.27229,8.24075,3.58026,0.85533,83.00712,-4.187431,-1.184042,0.415524,,,,,,,,,,,,-5.02126,10.72343,-2.43817,50,5.98991,5.8247,-132.27483,-3.74668,-8.87181,28.93791,-13.22732,HP,LAN,HighPoint,Independent,ATL,20240707-HighPoint-1,61d4ef70-3ca5-11ef-accf-75e6cdc4e2cf,90.71053,,,8.13436,,,,,,,26917e96-5131-48de-871e-d85497b368a7,2024-07-07,21:10:49.51,2024-07-07T17:10:49.5141694-04:00,2024-07-07T21:10:49.5141694Z,,v3,5431,1889,,"Parreira, Brian",811613,Right,HP,e9034ed5-8de5-40ea-8590-a632d1655529,54.27363,-133.20649,14.46896,6.10368,-3.32082,-6.61366,-2.6303,6.11033,-4.43591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
