PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-07,13:00:58.04,1,1,"Rivers, Davis",10267584,Right,SOU_MAR3,"Erd, Josh",10109208,Right,SS-_TBO,Undefined,1,Top,0,0,0,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.16738,1.865575,1.683705,2200.152878,145.703518,10:45,5.33163,1.86156,5.72093,-35.77195,8.62815,-5.04481,4.0897,3.00991,73.11176,-4.737945,0.782034,0.479582,,,,,,,,,,,,2.95996,4.34386,-1.99915,50,5.46548,-3.18552,-115.0061,2.61864,4.01309,18.86958,-26.28469,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,7bb77390-3c82-11ef-a4b8-1522be5bda02,78.59428,,,6.05562,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:00:58.04,2024-07-07T13:00:58.0448026-04:00,2024-07-07T17:00:58.0448026Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,7ab7b71c-4669-4ad6-aaa6-812fe879eaa5,54.77685,-115.7872,9.43479,5.33456,3.70669,-13.14235,-1.86385,-3.35164,2.00654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-07,13:01:14.63,1,2,"Rivers, Davis",10267584,Right,SOU_MAR3,"Erd, Josh",10109208,Right,SS-_TBO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.78492,-0.79181,-2.220467,2161.40095,204.008419,12:45,5.50398,1.56683,6.68114,-19.30044,15.42103,6.44414,3.17075,0.07177,81.27133,-4.463485,-1.047551,0.424102,85.77389,26.839256,6.482837,3350.490528,108.37258,48.70212,18.84861,296.58185,290.02704,16.338872,4.217677,-3.96575,8.65556,-1.42099,50,5.44304,4.72474,-127.76932,-2.27404,-6.63939,23.17738,-17.68309,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,858a40a0-3c82-11ef-a4b8-1522be5bda02,88.87585,58.0948,,6.51359,,,,1.63386,3.23442,-0.08489,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:01:14.63,2024-07-07T13:01:14.6334490-04:00,2024-07-07T17:01:14.6334490Z,FlyBall,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,407d3836-6b8d-4e08-a392-8eeef5196a39,53.81933,-128.46027,11.58869,5.50298,-1.74687,-8.84155,-1.56479,4.92267,-3.31969,212.024877,1.63308,111.5525,-21.13306,4.96567,-1.2195,0.31876,-0.0708,0.0098,-0.00058,3.23554,56.76879,-15.60284,0.25765,0.31719,-0.18927,0.05598,-0.00813,0.00046,-0.08505,12.67792,4.49602,-1.46792,0.36813,-0.0707,0.01007,-0.00099,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-07-07,13:01:47.64,2,1,"Rivers, Davis",10267584,Right,SOU_MAR3,"Sabater, Jeff",821463,Left,SS-_TBO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.00608,-0.076722,-1.052461,2219.278226,218.628855,1:15,5.37413,1.95784,6.51315,-20.496,13.6882,10.13796,3.59572,1.83679,81.82197,-3.969419,0.788606,0.420808,,,,,,,,,,,,-5.5702,7.50764,-1.88842,50,5.35963,1.9854,-129.50211,-0.74682,-9.51658,25.51386,-19.3474,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,99358010-3c82-11ef-a4b8-1522be5bda02,89.57156,,,7.18411,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:01:47.64,2024-07-07T13:01:47.6471578-04:00,2024-07-07T17:01:47.6471578Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,a224ba70-0f29-44be-99c3-3629189cec21,53.98513,-130.28488,12.75693,5.37344,-0.15325,-9.6737,-1.95381,2.27737,-4.75829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-07,13:02:02.48,2,2,"Rivers, Davis",10267584,Right,SOU_MAR3,"Sabater, Jeff",821463,Left,SS-_TBO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.70204,0.399144,-2.312293,2270.813333,196.052309,12:30,5.30794,1.88255,6.44095,-19.43336,16.02899,4.30331,4.05557,0.11526,80.30212,-3.31006,-1.533031,0.428603,,,,,,,,,,,,-2.85748,8.59036,-1.72012,50,5.32722,4.97805,-127.44824,0.36851,-4.71514,25.4004,-17.99911,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,a2100a70-3c82-11ef-a4b8-1522be5bda02,87.94258,,,7.39992,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:02:02.48,2024-07-07T13:02:02.4838426-04:00,2024-07-07T17:02:02.4838426Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,6c70def1-c89f-44f0-badd-01ec081388e8,54.056,-128.25405,12.7002,5.30647,0.93952,-8.99956,-1.88042,5.12763,-2.35757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-07,13:02:22.40,2,3,"Rivers, Davis",10267584,Right,SOU_MAR3,"Sabater, Jeff",821463,Left,SS-_TBO,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.65641,-0.944198,-2.306614,2260.711827,208.79572,1:00,5.32784,1.91476,6.77786,-19.14796,15.03792,7.70323,2.86933,0.4496,81.45721,-4.607664,-0.901917,0.420819,72.89549,23.976176,-151.121895,2864.165865,,,,,54.48956,,,-4.69894,8.53878,-1.76719,50,5.25874,4.91294,-128.94273,-2.61651,-7.94679,25.67656,-17.73338,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,adf27da0-3c82-11ef-a4b8-1522be5bda02,89.56933,20.37796,,7.1992,,,,0.01551,2.59004,-0.30063,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:02:22.40,2024-07-07T13:02:22.4057626-04:00,2024-07-07T17:02:22.4057626Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,a1c4e205-35ff-476c-b244-d634adb062bc,53.72109,-129.6816,12.83828,5.32669,-2.10621,-8.86669,-1.91185,5.14162,-3.9734,40.809392,0.01551,-85.54054,5.30268,0.0873,-0.04574,0.03725,-0.00779,0.00226,-0.0007,2.59004,43.4449,-23.40949,2.31034,-0.46524,0.09296,-0.01448,0.00332,-0.00056,-0.30063,-47.17828,6.92019,-1.13795,0.24429,-0.03804,0.00569,-0.00082,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2024-07-07,13:02:44.39,2,4,"Rivers, Davis",10267584,Right,SOU_MAR3,"Sabater, Jeff",821463,Left,SS-_TBO,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.80025,-1.409555,-3.475409,2170.899904,214.083602,1:15,5.25265,1.91184,6.81471,-20.43324,13.40548,8.4365,2.26122,-0.55986,82.25045,-5.286442,-1.938245,0.418676,,,,,,,,,,,,-5.29925,7.75347,-1.69029,50,5.1537,7.53198,-129.08626,-3.72157,-9.06134,23.49883,-18.91619,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,bb0c8670-3c82-11ef-a4b8-1522be5bda02,90.02762,,,6.5498,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:02:44.39,2024-07-07T13:02:44.3963162-04:00,2024-07-07T17:02:44.3963162Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,b483f8c8-553b-41b7-9d8f-adc77a250557,53.68454,-129.75526,11.74941,5.25198,-3.18304,-9.4581,-1.9084,7.78995,-4.53067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-07,13:03:03.36,2,5,"Rivers, Davis",10267584,Right,SOU_MAR3,"Sabater, Jeff",821463,Left,SS-_TBO,Undefined,1,Top,1,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.06246,-0.654447,-1.757668,2283.076415,155.955133,11:15,5.21611,1.99201,5.78774,-30.71903,11.79973,-4.69146,2.04705,-0.0346,74.62728,-6.347114,-2.597676,0.469312,,,,,,,,,,,,1.91784,6.60044,-1.84443,50,5.14379,3.79593,-117.72964,-2.30061,2.70317,21.45884,-22.87089,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,c6615fa0-3c82-11ef-a4b8-1522be5bda02,80.31423,,,6.43518,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:03:03.36,2024-07-07T13:03:03.3605914-04:00,2024-07-07T17:03:03.3605914Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,3cfcb5b7-b88e-4c4e-9535-9341f1f79836,54.70932,-118.58491,10.72942,5.21732,-1.38906,-11.43545,-1.99358,3.6882,1.35158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-07,13:03:27.86,2,6,"Rivers, Davis",10267584,Right,SOU_MAR3,"Sabater, Jeff",821463,Left,SS-_TBO,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.35651,-0.343217,-0.707093,2226.734217,221.21496,1:15,5.3072,1.78199,6.51961,-20.59848,13.30056,10.78107,3.27572,2.0316,82.19745,-4.251043,1.251312,0.419049,,,,,,,,,,,,-5.80107,7.37178,-1.73683,50,5.27414,1.18098,-130.01954,-1.35961,-9.99302,25.65007,-19.47527,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,d4f6bdd0-3c82-11ef-a4b8-1522be5bda02,89.94748,,,7.15906,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:03:27.86,2024-07-07T13:03:27.8635802-04:00,2024-07-07T17:03:27.8635802Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,8c13e5a0-ffe3-4dc9-af26-462d34690d15,53.9783,-130.80201,12.82503,5.30655,-0.7655,-9.73763,-1.77751,1.48583,-4.99651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-07,13:03:46.62,2,7,"Rivers, Davis",10267584,Right,SOU_MAR3,"Sabater, Jeff",821463,Left,SS-_TBO,Undefined,1,Top,1,3,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.05852,0.02315,-0.959276,2152.940272,142.864133,10:45,5.18427,1.9817,5.9294,-35.80514,7.36461,-4.63142,2.22199,0.70563,73.97896,-6.595055,-1.791475,0.472891,,,,,,,,,,,,2.12209,4.18091,-1.90251,50,5.16588,2.12387,-116.3959,-1.06374,2.93353,20.28101,-26.39446,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,e02daec0-3c82-11ef-a4b8-1522be5bda02,79.70636,,,6.07956,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:03:46.62,2024-07-07T13:03:46.6290000-04:00,2024-07-07T17:03:46.6290000Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,5c650a2c-40cd-4a9b-8cb0-728186f65814,54.56867,-117.18925,10.1405,5.1873,-0.03125,-13.19723,-1.98334,2.00912,1.46677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.07828,2.488413,1.252915,1.235498,-2.14106,1.79518,-0.59262,-3.49941,3.25095,1.8077,73.54077,3.31555,-51.2444,-3.44896,67.28306,-4.01952,3.34785,18.75257,-15.19385,1.70969,-49.25361,5.17074,High,High,High,,,High,High,High
10,2024-07-07,13:04:20.58,3,1,"Rivers, Davis",10267584,Right,SOU_MAR3,"Via, Quincy",1000223706,Right,SS-_TBO,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.97166,0.52449,-1.100591,2171.728336,107.996141,9:30,5.27433,1.72952,5.89352,-37.45695,5.48575,-12.46009,2.63999,-0.33079,73.69256,-6.423411,-3.336876,0.471646,,,,,,,,,,,,6.00677,3.10477,-1.63394,50,5.29537,2.74539,-117.52923,-0.11205,8.32277,24.23148,-27.8722,SOU_MAR3,SS-_TBO,RegencyFurnitureStadium,Cal Ripken,CRL,20240707-RegencyFurnitureStadium-1,f466d650-3c82-11ef-a4b8-1522be5bda02,79.91683,,,7.27911,,,,,,,37beac12-a13e-4f7d-a1c4-f7ad21cff14f,2024-07-07,17:04:20.58,2024-07-07T13:04:20.5846298-04:00,2024-07-07T17:04:20.5846298Z,,v3,,,,"McHugh, Nate",822340,Right,SOU_MAR3,4a70d942-9eaa-4236-aa9e-64acfa32c830,54.60309,-118.47447,12.11574,5.27853,0.97521,-13.9361,-1.7347,2.42073,4.16138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
