PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-09,18:37:14.86,1,1,"Smith, Kevin",663325,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.56621,0.863332,3.136419,2323.149339,113.017093,9:45,5.30244,-2.80411,4.45358,-30.74269,8.73449,-16.89418,3.56514,-1.21799,77.97833,-4.76678,0.188964,0.452214,,,,,,,,,,,,9.20339,4.37973,2.48978,50,5.365,-6.074,-126.37097,0.6593,14.53921,31.29276,-25.25508,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,cb08b090-3e43-11ef-a3e3-033e26d6872b,83.35081,,,9.58788,,,,,,,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:37:14.86,2024-07-09T18:37:14.8689328-04:00,2024-07-09T22:37:14.8689328Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,fa4ed923-847c-4f1c-9acf-ea662b3f3aa7,56.04252,-127.8585,15.64638,5.30512,1.85983,-12.62754,2.79494,-6.76513,7.2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-09,18:37:28.02,1,2,"Smith, Kevin",663325,Left,WES_POW,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,1,0,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,86.75124,-1.841613,3.841012,2420.333356,153.560676,11:00,5.3407,-2.94704,4.48546,-22.2173,17.4982,-7.99516,1.72951,0.05294,78.48099,-5.938846,2.44756,0.453577,82.135,55.992016,-14.305752,3983.790362,107.88043,126.15547,-21.48985,161.68934,94.15876,-11.286653,5.783147,5.08882,9.48272,2.55094,50,5.12648,-8.03047,-125.28388,-4.86623,8.01007,27.59164,-17.24774,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,d2e35720-3e43-11ef-a3e3-033e26d6872b,83.10036,126.16797,,8.27025,,,,2.34603,1.93662,-0.01781,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:37:28.02,2024-07-09T18:37:28.0202672-04:00,2024-07-09T22:37:28.0202672Z,FlyBall,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,1e660a5b-ac18-4b53-a6d1-73073cbe9b49,56.01419,-126.60148,13.79582,5.3392,-4.0426,-8.62387,2.94355,-8.41298,4.00504,186.803349,2.35464,65.13284,-15.96042,3.08432,-0.20725,-0.09222,0.02935,-0.00337,0.00014,1.93396,99.89052,-25.07625,2.9686,-0.54015,0.04768,0.00573,-0.00168,0.0001,-0.02147,-16.58495,5.9657,-1.50738,0.17523,0.02524,-0.01194,0.0015,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-07-09,18:38:00.09,2,1,"Smith, Kevin",663325,Left,WES_POW,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,1,0,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.45376,0.512454,2.720454,2411.83707,141.765058,10:45,5.32695,-2.92522,4.43892,-29.20604,10.60367,-7.28914,3.3825,-0.93571,78.36789,-4.808223,1.448978,0.454115,,,,,,,,,,,,4.31662,5.38772,2.64433,50,5.35362,-5.58589,-125.06635,-0.04963,6.79863,26.54465,-23.68845,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,e60cbc60-3e43-11ef-a3e3-033e26d6872b,83.00194,,,8.08587,,,,,,,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:38:00.09,2024-07-09T18:38:00.0986032-04:00,2024-07-09T22:38:00.0986032Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,2ecb346d-240a-474f-8874-5f66e8030399,56.0591,-126.34582,13.27233,5.32849,1.09217,-11.84423,2.92148,-5.91359,3.39932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-09,18:38:12.39,2,2,"Smith, Kevin",663325,Left,WES_POW,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,1,1,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.43912,-0.258018,5.313798,1771.237366,107.620479,9:30,5.16191,-2.92869,4.11781,-38.34789,6.37748,-15.02666,1.71761,0.93227,74.59608,-7.141059,2.718022,0.481336,,,,,,,,,,,,8.89937,3.5478,2.35181,50,5.09235,-10.34958,-118.8302,-2.08853,12.59856,24.88051,-27.15157,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,ed581b40-3e43-11ef-a3e3-033e26d6872b,78.30793,,,7.84304,,,,,,,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:38:12.39,2024-07-09T18:38:12.3962800-04:00,2024-07-09T22:38:12.3962800Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,7bc2d3ee-38e8-4c3c-954c-5641ffd9982a,56.38319,-120.15928,12.44025,5.16517,-0.63814,-13.57578,2.92264,-11.02257,6.29928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-09,18:38:30.03,2,3,"Smith, Kevin",663325,Left,WES_POW,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,1,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.33468,-1.379804,2.301648,2443.023955,146.851697,11:00,5.26173,-2.99921,4.6402,-22.23056,16.44284,-9.87693,2.09655,-1.63369,79.32788,-5.483102,0.570866,0.447587,,,,,,,,,,,,5.48654,8.81705,2.7729,50,5.10085,-4.60534,-126.41224,-3.87299,8.83416,26.95749,-17.97724,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,f7e585c0-3e43-11ef-a3e3-033e26d6872b,84.21253,,,8.0068,,,,,,,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:38:30.03,2024-07-09T18:38:30.0369840-04:00,2024-07-09T22:38:30.0369840Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,f930b510-d285-47a2-a23e-8ea5327e0d61,55.85849,-127.65546,13.47875,5.26035,-3.04392,-8.98862,2.99469,-5.01275,4.41708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-09,18:38:43.93,2,4,"Smith, Kevin",663325,Left,WES_POW,"Stowers, Josh",663618,Right,GAS,Undefined,1,Top,1,2,1,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,86.84675,-0.399919,3.309383,2370.41435,121.295599,10:00,5.25277,-2.95192,4.78486,-28.33986,10.53957,-15.19076,2.51141,-1.07755,78.96404,-5.586522,0.642861,0.448778,70.35842,11.78549,-6.848602,676.784502,,,,126.20356,126.20356,-9.090103,1.415355,8.46937,5.66359,2.63517,50,5.18848,-6.56676,-125.72648,-1.96689,13.49746,26.52567,-23.1481,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,00238200-3e44-11ef-a3e3-033e26d6872b,83.98911,9.09804,,7.88271,,,,1.61624,2.53547,1.08105,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:38:43.93,2024-07-09T18:38:43.9389104-04:00,2024-07-09T22:38:43.9389104Z,GroundBall,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,bcf97090-5d89-4467-8175-4139e972d9aa,55.71642,-126.9268,13.26284,5.25379,-0.91941,-11.57405,2.94614,-7.17753,6.74873,101.371007,1.61624,100.29602,-11.11397,1.52185,-0.30778,0.0504,-0.00856,0.00147,-0.00014,2.53547,21.07681,-17.66106,1.29469,-0.22085,0.04864,-0.00718,0.00097,-0.0001,1.08105,-12.04587,-2.46112,0.43763,-0.08824,0.01579,-0.00258,0.00041,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-07-09,18:39:20.76,3,1,"Smith, Kevin",663325,Left,WES_POW,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.80179,-0.042586,2.812703,2515.206425,144.861196,10:45,5.32508,-2.76947,4.54609,-20.96722,17.37147,-11.32615,3.53722,-1.03344,79.70183,-3.923843,0.833389,0.445646,72.2299,68.304862,-54.203105,5373.786352,,,,,44.87458,,,6.34973,8.84906,2.488,50,5.30197,-5.69904,-127.10203,-0.87773,10.35023,26.91788,-17.74983,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,161703c0-3e44-11ef-a3e3-033e26d6872b,84.57935,105.2246,,8.09996,,,,1.53619,3.54541,1.03518,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:39:20.76,2024-07-09T18:39:20.7653296-04:00,2024-07-09T22:39:20.7653296Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,af011324-41a4-4c95-a4ee-b7daef23e5dd,55.9541,-128.3568,13.45894,5.3236,-0.05032,-8.87491,2.7649,-6.18151,5.17511,,1.53619,22.90607,-10.12548,2.23414,-0.43679,0.0782,-0.00654,-0.00258,0.00075,3.54541,98.43294,-24.05475,2.83054,-0.63721,0.15778,-0.05276,0.01629,-0.00252,1.03518,-31.76366,3.99102,-0.91822,0.17401,-0.01477,-0.01344,0.00826,-0.00161,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2024-07-09,18:39:48.86,3,2,"Smith, Kevin",663325,Left,WES_POW,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,0,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.80759,-0.049614,4.155401,2356.232662,127.37724,10:15,5.30551,-2.72943,4.89147,-25.55411,13.08646,-15.50107,3.12894,-0.08334,79.16616,-4.748752,1.4343,0.447397,,,,,,,,,,,,8.75209,6.83197,2.33501,50,5.27962,-8.40312,-125.62022,-1.05801,14.00529,25.10569,-21.24136,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,26d360a0-3e44-11ef-a3e3-033e26d6872b,84.24825,,,7.64143,,,,,,,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:39:48.86,2024-07-09T18:39:48.8663472-04:00,2024-07-09T22:39:48.8663472Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,0648ed87-6fb2-4e8f-a34c-852f5f0d3667,55.60877,-126.7362,12.55284,5.30567,-0.1138,-10.62068,2.72238,-9.02568,7.00264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-09,18:40:07.01,3,3,"Smith, Kevin",663325,Left,WES_POW,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,0,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39626,-1.50798,4.758479,2393.140733,131.637048,10:30,5.36276,-2.53787,4.79806,-23.55962,13.78213,-14.18186,1.9652,0.7999,80.99668,-5.824294,2.275948,0.439814,,,,,,,,,,,,8.20414,7.52075,2.07546,50,5.19193,-9.96369,-127.81001,-4.27267,13.64446,25.00226,-19.66615,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,31a57540-3e44-11ef-a3e3-033e26d6872b,85.70093,,,7.39959,,,,,,,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:40:07.01,2024-07-09T18:40:07.0115248-04:00,2024-07-09T22:40:07.0115248Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,977acfb2-7bf8-4c9b-9bea-eb6bb58223f9,55.70272,-128.92076,12.50113,5.36234,-3.39899,-9.83308,2.53157,-10.56985,6.82223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-09,18:40:33.39,3,4,"Smith, Kevin",663325,Left,WES_POW,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.32363,0.520627,3.412817,2537.087038,287.244546,3:30,5.09716,-2.92775,3.70339,-52.28739,-3.66189,16.83359,1.24408,1.7782,72.75911,-8.67317,6.305848,0.501884,,,,,,,,,,,,-6.97481,-1.45335,2.50012,50,5.09605,-7.62526,-114.64082,-1.15784,-9.22557,22.40017,-34.09637,WES_POW,GAS,GoMart,Independent,ATL,20240709-GoMart-1,4161ee50-3e44-11ef-a3e3-033e26d6872b,75.10188,,,6.56452,,,,,,,5ff2c01a-27f3-4b75-b89b-5715328051b4,2024-07-09,22:40:33.39,2024-07-09T18:40:33.3904304-04:00,2024-07-09T22:40:33.3904304Z,,v3,525,5508,,"Estrada, Rusber",682005,Right,WES_POW,eae8a698-bec3-4509-aac4-05bdef90023e,56.79913,-115.96172,11.20008,5.10504,0.85277,-17.04819,2.93373,-7.08125,-4.61279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
