PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-10,18:46:19.05,1,1,"De La Cruz, Oscar",642601,Right,LAN,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.70502,-1.061723,-4.459839,2063.57584,214.443292,1:15,5.99794,3.02901,6.11712,-25.16887,13.75335,8.54863,2.91583,-0.39027,77.20847,-5.793933,-2.925938,0.449025,,,,,,,,,,,,-5.67134,7.79122,-2.6909,50,5.90322,9.22908,-122.66962,-3.02017,-8.61298,25.01902,-20.34166,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,39236e10-3f0e-11ef-9a30-f140741f7c92,83.9429,,,7.49654,,,,,,,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:46:19.05,2024-07-10T18:46:19.0575682-04:00,2024-07-10T22:46:19.0575682Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,527a6b77-a333-4ea1-86cc-87546b3c4ac5,54.37923,-123.55956,12.50951,5.99778,-2.29661,-10.17083,-3.02463,9.53544,-4.30649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-07-10,18:46:29.61,1,2,"De La Cruz, Oscar",642601,Right,LAN,"Johnson, Kolby",815259,Right,STA_YAN,Undefined,1,Top,0,1,0,Undefined,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.04972,-1.745079,-4.196327,2132.796583,224.545963,1:30,5.9405,3.15835,5.96491,-23.95163,14.88288,13.36544,2.32164,0.37433,77.49822,-6.246271,-1.802095,0.448517,86.72003,26.128904,16.404528,4095.39498,103.14445,43.55371,38.22555,297.80423,282.39846,26.572101,3.629768,-8.08745,8.53437,-2.83264,50,5.78846,8.50564,-123.17332,-4.47994,-12.37445,25.39063,-19.11577,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,3f6ced50-3f0e-11ef-9a30-f140741f7c92,84.03766,49.52294,,7.5515,,,,1.28907,2.40761,-0.35665,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:46:29.61,2024-07-10T18:46:29.6193090-04:00,2024-07-10T22:46:29.6193090Z,LineDrive,v3,1889,586,,"Conley, Jack",663660,Right,LAN,4b465243-e99f-4bb5-9f66-4a9ce67b9500,54.53306,-124.10424,12.69532,5.93986,-3.77909,-9.55788,-3.15281,8.95933,-6.18722,227.007188,1.28911,109.54358,-20.50718,5.15689,-1.08232,0.22332,-0.0437,0.00577,-0.00032,2.40739,56.01685,-17.89285,0.87352,-0.10198,0.01576,-0.00605,0.002,-0.00022,-0.35673,32.2505,3.28038,-1.09629,0.27526,-0.06743,0.01562,-0.00246,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-07-10,18:46:59.87,2,1,"De La Cruz, Oscar",642601,Right,LAN,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.90586,-0.242584,-3.714235,2144.66229,222.310591,1:30,6.03391,3.20428,6.09891,-22.3045,14.5517,12.15847,3.95038,0.77751,79.18706,-4.458081,-1.529924,0.436945,,,,,,,,,,,,-7.28083,7.92575,-2.92423,50,6.00342,7.68407,-126.02093,-1.19356,-11.69016,25.98682,-19.44839,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,51721de0-3f0e-11ef-9a30-f140741f7c92,86.26357,,,7.7188,,,,,,,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:46:59.87,2024-07-10T18:46:59.8766658-04:00,2024-07-10T22:46:59.8766658Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,591a1de5-65f3-458c-9222-28f7d874d667,54.39795,-126.92459,12.99341,6.03317,-0.51726,-9.72419,-3.1985,8.09058,-5.84508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-10,18:47:12.10,2,2,"De La Cruz, Oscar",642601,Right,LAN,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,1,1,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.26836,-0.568378,-3.49388,2231.336148,219.962666,1:15,6.06113,3.1112,6.16101,-23.65907,15.25796,11.7726,3.56349,0.86068,77.20226,-5.029974,-1.375347,0.448995,,,,,,,,,,,,-7.04024,8.41544,-2.85182,50,6.00573,7.01682,-122.30152,-1.89196,-10.69163,23.51974,-19.394,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,58bf2a70-3f0e-11ef-9a30-f140741f7c92,83.9485,,,7.06609,,,,,,,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:47:12.10,2024-07-10T18:47:12.1014338-04:00,2024-07-10T22:47:12.1014338Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,65b618d1-e861-41a9-8e19-8309c2c9e252,54.33747,-123.13283,11.75987,6.06049,-1.20647,-9.697,-3.10651,7.39472,-5.34581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-10,18:47:29.05,2,3,"De La Cruz, Oscar",642601,Right,LAN,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,1,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.27369,0.230651,-3.508787,2143.802839,242.153278,2:00,5.87561,3.13897,6.11525,-33.43403,9.7263,15.75993,3.3031,1.2041,73.29,-6.015284,-0.673548,0.47284,,,,,,,,,,,,-9.06556,5.39599,-2.87744,50,5.87602,6.54357,-116.44154,-0.51745,-12.42165,22.27308,-24.78046,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,62ddcd90-3f0e-11ef-9a30-f140741f7c92,79.71508,,,6.9837,,,,,,,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:47:29.05,2024-07-10T18:47:29.0543682-04:00,2024-07-10T22:47:29.0543682Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,b5eeb393-4d18-4508-a678-dafaad4d9975,54.38198,-117.27674,11.13654,5.87801,0.41176,-12.39023,-3.13154,7.00936,-6.21083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-10,18:47:41.60,2,4,"De La Cruz, Oscar",642601,Right,LAN,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,1,2,1,Undefined,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,83.98223,-0.886344,-3.548927,2184.319208,228.118383,1:30,5.9572,3.31754,6.1481,-26.68001,12.98355,12.9439,2.91324,1.11278,76.16688,-5.914774,-1.219416,0.453281,90.70579,41.402295,-32.349499,4799.408597,,,,,96.17133,,,-7.77571,7.38489,-3.05377,50,5.87598,7.04911,-121.73318,-2.66659,-11.55622,26.03675,-21.19869,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,6a598b40-3f0e-11ef-9a30-f140741f7c92,83.15471,77.26791,,7.81535,,,,0.6696,2.71354,-1.00862,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:47:41.60,2024-07-10T18:47:41.6074306-04:00,2024-07-10T22:47:41.6074306Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,932c2f8a-3b5a-439a-bba0-51547603d9e2,54.34911,-122.65986,13.01838,5.95746,-1.9121,-10.59935,-3.31198,7.46041,-5.77811,147.628326,0.6696,84.30043,-23.30531,6.83918,-1.73118,0.40505,-0.09072,0.01653,-0.00172,2.71354,87.98158,-22.72415,1.6768,-0.06087,-0.06392,0.02834,-0.00693,0.0009,-1.00862,-53.39451,3.54849,0.31444,-0.34666,0.13741,-0.04085,0.00898,-0.00106,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-07-10,18:48:30.06,3,1,"De La Cruz, Oscar",642601,Right,LAN,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.10897,-2.620448,-3.847586,2329.232711,210.115534,1:00,6.03002,3.12397,6.16523,-21.5769,14.38887,7.64193,1.80426,0.20142,80.29459,-6.688736,-2.472899,0.431634,,,,,,,,,,,,-5.07311,8.57461,-2.83577,50,5.81984,8.27151,-127.59074,-6.49011,-8.31905,27.53523,-18.11313,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,87336880-3f0e-11ef-9a30-f140741f7c92,87.32493,,,7.81438,,,,,,,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:48:30.06,2024-07-10T18:48:30.0670018-04:00,2024-07-10T22:48:30.0670018Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,79e99f30-c291-4574-9dfa-9b1911a71592,54.33169,-128.52216,13.76761,6.02902,-5.87741,-9.05657,-3.12033,8.55291,-4.15952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-10,18:48:48.86,3,2,"De La Cruz, Oscar",642601,Right,LAN,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.94854,0.794641,-3.407544,2460.944987,70.801095,8:15,6.3094,2.99256,5.4088,-53.69578,-3.16921,-13.23642,2.58063,-1.30679,69.58743,-8.918327,-5.755434,0.511601,,,,,,,,,,,,5.76819,-1.36563,-2.67953,50,6.34253,6.96559,-108.74177,-0.23718,6.93615,18.3072,-33.81619,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,927a10e0-3f0e-11ef-9a30-f140741f7c92,73.67548,,,5.36111,,,,,,,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:48:48.86,2024-07-10T18:48:48.8609346-04:00,2024-07-10T22:48:48.8609346Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,b04965b3-82a8-473d-a151-88ff656bb970,55.09249,-109.59575,9.1536,6.3168,1.34027,-16.90809,-2.99691,6.64203,3.46807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-10,18:49:08.53,3,3,"De La Cruz, Oscar",642601,Right,LAN,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,1,1,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,75.60699,-0.654829,-2.880449,2499.060753,65.77909,8:15,6.36696,2.82944,5.37416,-54.5259,-4.97063,-14.09906,1.20843,-1.04821,70.64575,-10.459213,-5.386915,0.50666,65.49788,10.669162,10.581524,1423.539838,,,,88.01119,88.01119,9.389232,1.00631,6.43221,-2.02539,-2.56066,50,6.26889,6.03692,-109.80254,-3.04245,7.89906,18.36931,-34.66135,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,9e309210-3f0e-11ef-9a30-f140741f7c92,74.394,5.12438,,4.96124,,,,2.41769,1.05823,0.74529,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:49:08.53,2024-07-10T18:49:08.5336642-04:00,2024-07-10T22:49:08.5336642Z,GroundBall,v3,1889,586,,"Conley, Jack",663660,Right,LAN,3a6a773a-a1a8-42be-9ce5-9c27d8a79d2e,55.12893,-110.65725,9.18465,6.37293,-1.42968,-17.33067,-2.833,5.66938,3.94953,51.954337,2.41769,92.79736,-10.12663,1.52781,-0.32221,0.09475,-0.05899,0.02854,-0.00617,1.05823,17.78491,-20.14433,1.68371,-0.31069,0.04951,-0.00898,0.00693,-0.00238,0.7453,17.33405,-4.55918,0.62754,0.67591,-0.97913,0.59621,-0.15297,0.00464,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-07-10,18:49:50.34,4,1,"De La Cruz, Oscar",642601,Right,LAN,"Castro, Luis",1000334842,Right,STA_YAN,Undefined,1,Top,2,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.31265,1.946592,-2.031131,2495.623733,70.871525,8:15,6.26029,2.98689,5.40761,-54.38656,-2.67059,-13.59048,3.55374,-0.04947,67.36152,-8.036213,-4.445846,0.517587,,,,,,,,,,,,5.9815,-1.33736,-2.79667,50,6.39682,4.40428,-108.88609,1.90491,6.96446,24.49209,-33.73119,LAN,STA_YAN,ClipperMagazine,Independent,ATL,20240710-ClipperMagazine-1,b71d2f90-3f0e-11ef-9a30-f140741f7c92,72.82334,,,7.95113,,,,,,,2f765116-185e-44d0-b187-91a95ee6ec3c,2024-07-10,22:49:50.34,2024-07-10T18:49:50.3462466-04:00,2024-07-10T22:49:50.3462466Z,,v3,1889,586,,"Conley, Jack",663660,Right,LAN,bdaf05ed-9a1a-479b-9f82-67febe073e27,55.08618,-110.02419,12.24604,6.27189,3.47234,-16.8656,-2.99381,4.08065,3.48223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
