PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-13,18:02:55.63,1,1,"Laio, Nic",681970,Right,LEX_LEG,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,079a4980-416c-11ef-b28e-4b296d24c6f6,,,,,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:02:55.63,2024-07-13T18:02:55.6366880-05:00,2024-07-13T23:02:55.6366880Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-13,18:02:56.63,1,2,"Laio, Nic",681970,Right,LEX_LEG,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.01362,-2.627182,-3.849552,2122.769561,196.674617,12:30,6.25333,2.8088,5.88207,-23.71352,12.89536,3.55772,1.83014,-0.47514,80.83137,-7.011621,-3.213114,0.435477,,,,,,,,,,,,-2.75303,7.56237,-2.49962,50,6.0267,8.35058,-126.19971,-6.56674,-4.50248,22.28789,-19.80609,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,0b0ab820-416c-11ef-b28e-4b296d24c6f6,86.55447,,,6.18225,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:02:56.63,2024-07-13T18:02:56.6366880-05:00,2024-07-13T23:02:56.6366880Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,2460c648-49f0-4a06-9419-329ad3375fb8,54.62041,-127.01309,11.14395,6.25316,-5.84393,-9.90304,-2.80736,8.5149,-2.25124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-13,18:03:11.01,1,3,"Laio, Nic",681970,Right,LEX_LEG,"Martin, Richie",621006,Right,GAS,Undefined,1,Top,0,1,1,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.29657,-2.330118,-3.75551,2147.379736,200.360777,12:45,6.23262,2.70901,6.23964,-23.51722,11.53863,3.92173,2.11763,-0.4334,81.97505,-6.707425,-3.049058,0.426139,102.15551,7.850242,-14.919109,889.032609,105.6581,7.56392,-30.5979,171.41377,145.34715,-17.343083,1.356209,-2.95327,6.86414,-2.43075,50,6.0467,8.2626,-128.1652,-5.95015,-4.9781,23.1631,-20.60365,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,13988210-416c-11ef-b28e-4b296d24c6f6,88.45095,8.17685,,6.32151,,,,2.05318,2.10093,0.44804,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:03:11.01,2024-07-13T18:03:11.0166688-05:00,2024-07-13T23:03:11.0166688Z,LineDrive,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,bae474a7-5ac8-4d7f-a6d8-2d19ee77ff4c,54.26305,-128.93335,11.58155,6.2327,-5.26687,-10.30183,-2.7075,8.42768,-2.48905,98.636675,2.05318,143.42069,-21.93324,3.85538,-0.82902,0.1564,-0.0222,0.00058,0.00036,2.10093,20.4642,-18.23822,1.88077,-0.39335,0.0902,-0.01596,0.002,-0.00011,0.44804,-38.21168,-0.64698,0.84355,-0.24074,0.03115,0.01663,-0.01094,0.0021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-07-13,18:03:44.52,2,1,"Laio, Nic",681970,Right,LEX_LEG,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.89953,-1.820801,-5.069384,2064.986049,217.720359,1:15,6.05534,2.90962,5.99298,-26.63809,10.05434,6.97174,2.14087,-1.21975,80.50668,-6.74578,-3.822989,0.435973,,,,,,,,,,,,-4.82579,5.94402,-2.5129,50,5.89638,10.89038,-125.8877,-4.87717,-7.84017,22.58799,-22.51715,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,2794c7b0-416c-11ef-b28e-4b296d24c6f6,86.45593,,,6.39285,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:03:44.52,2024-07-13T18:03:44.5237408-05:00,2024-07-13T23:03:44.5237408Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,9ed06f77-e4ff-4cbc-ae8e-c0d7046c4844,54.50891,-126.69415,11.294,6.05616,-4.07325,-11.25857,-2.90671,11.1703,-3.92009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-07-13,18:03:58.47,2,2,"Laio, Nic",681970,Right,LEX_LEG,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.90133,-1.650718,-3.34354,2211.324009,219.936677,1:15,6.08566,3.00301,5.88244,-24.81875,11.02406,8.38355,2.48141,0.59303,81.40562,-6.249107,-1.841853,0.430896,,,,,,,,,,,,-5.15394,6.36327,-2.73781,50,5.9376,7.12182,-127.63476,-4.50106,-8.60446,23.30118,-21.5506,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,2fde5cb0-416c-11ef-b28e-4b296d24c6f6,87.47456,,,6.49571,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:03:58.47,2024-07-13T18:03:58.4756896-05:00,2024-07-13T23:03:58.4756896Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,c3557350-619d-4c2a-a840-667ff1a65a75,54.62064,-128.47554,11.65059,6.08598,-3.72344,-10.7753,-3.00039,7.4323,-4.30223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-13,18:04:22.30,2,3,"Laio, Nic",681970,Right,LEX_LEG,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,1,1,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.00387,-2.521489,-4.699182,2191.818824,197.255849,12:30,6.17002,2.9245,5.87125,-23.15907,13.85178,3.95205,1.88853,-1.12093,80.12467,-6.824862,-3.993901,0.437861,,,,,,,,,,,,-3.24996,8.10166,-2.5456,50,5.95164,10.18902,-125.92638,-6.29658,-5.2491,24.17171,-19.08889,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,3e180650-416c-11ef-b28e-4b296d24c6f6,86.08316,,,6.8792,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:04:22.30,2024-07-13T18:04:22.3005344-05:00,2024-07-13T23:04:22.3005344Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,d9503fab-392c-4a65-91dc-b22ea072ce47,54.62893,-126.81179,12.08586,6.16948,-5.59734,-9.54445,-2.92234,10.38129,-2.62455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-13,18:04:35.01,2,4,"Laio, Nic",681970,Right,LEX_LEG,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,2,1,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.15521,-1.772607,-3.819765,2213.853179,196.019221,12:30,6.02736,2.97181,6.1359,-22.58954,13.04394,3.43083,2.50239,-0.27796,80.98691,-6.004765,-3.203274,0.429636,96.05526,12.79158,-8.976078,757.470507,108.59312,13.01718,-17.53557,181.48884,181.48884,-9.525909,1.614354,-2.8152,7.56166,-2.68167,50,5.87995,8.40125,-127.85192,-4.65602,-4.67393,25.60782,-19.61978,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,45aa3230-416c-11ef-b28e-4b296d24c6f6,87.73112,13.43353,,7.1683,,,,1.70444,2.3478,0.32171,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:04:35.01,2024-07-13T18:04:35.0190752-05:00,2024-07-13T23:04:35.0190752Z,LineDrive,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,fb4fc2ec-f908-43f6-b22f-2be5515db7c2,54.36558,-128.72334,12.80391,6.02703,-3.98837,-9.80989,-2.97027,8.5603,-2.33697,29.138556,1.70443,135.70236,-19.90737,3.3331,-0.84035,0.2823,-0.12673,0.04237,-0.00621,2.34779,31.19222,-23.79637,2.99223,-0.74528,0.29478,-0.14221,0.04959,-0.00749,0.3217,-21.43448,1.39326,0.19475,-0.12593,0.16365,-0.1238,0.04928,-0.00781,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-07-13,18:05:08.57,3,1,"Laio, Nic",681970,Right,LEX_LEG,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.83159,-1.537982,-4.62321,2183.403818,200.370255,12:45,6.23593,2.79516,6.08406,-22.85407,12.95572,4.42721,2.90356,-1.12242,81.13556,-5.801176,-3.829999,0.430698,,,,,,,,,,,,-3.44508,7.39709,-2.43971,50,6.10449,10.12066,-127.32504,-4.13752,-5.71266,23.66617,-19.90817,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,59aa4860-416c-11ef-b28e-4b296d24c6f6,87.51488,,,6.69602,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:05:08.57,2024-07-13T18:05:08.5705888-05:00,2024-07-13T23:05:08.5705888Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,5674beec-8d8d-4f92-89e8-1572232082db,54.41749,-128.1435,11.83309,6.23568,-3.44903,-9.95409,-2.79314,10.31823,-2.85633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-07-13,18:05:45.29,3,2,"Laio, Nic",681970,Right,LEX_LEG,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.31421,-1.076215,-3.648004,2097.369789,213.710586,1:00,6.04254,3.20729,5.62358,-25.70604,11.24386,6.75418,2.89389,0.36122,80.26249,-5.833327,-2.445189,0.4375,,,,,,,,,,,,-4.37729,6.32855,-2.90027,50,5.93411,7.78385,-126.60281,-3.25853,-7.14439,24.48636,-21.84491,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,6f90d1d0-416c-11ef-b28e-4b296d24c6f6,86.15414,,,7.05172,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:05:45.29,2024-07-13T18:05:45.2949152-05:00,2024-07-13T23:05:45.2949152Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,3aafce6f-65a2-4825-be5a-bc4f7de3fd76,54.87683,-127.54255,12.24318,6.04308,-2.42016,-10.92246,-3.20426,8.05804,-3.5722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-07-13,18:06:06.34,3,3,"Laio, Nic",681970,Right,LEX_LEG,"Flores, Marc",657576,Left,GAS,Undefined,1,Top,1,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.82868,-2.502681,-5.42663,1945.39301,235.705896,1:45,5.84226,3.15752,6.04653,-32.59718,9.75989,12.06481,0.79689,-0.87621,74.27318,-8.56217,-3.266478,0.468419,,,,,,,,,,,,-7.98965,6.24461,-2.74032,50,5.62884,10.77705,-118.17698,-6.16597,-11.14873,25.31296,-23.46032,LEX_LEG,GAS,WildHealthField,Independent,ATL,20240713-WildHealthField-1,7c1c0820-416c-11ef-b28e-4b296d24c6f6,80.4674,,,7.5555,,,,,,,8af790da-d4d6-41f3-af7b-43676aed0807,2024-07-13,23:06:06.34,2024-07-13T18:06:06.3412384-05:00,2024-07-13T23:06:06.3412384Z,,v3,495,5508,,"O'Brien, Keenan",1000245579,Right,LEX_LEG,da4161d3-989a-48ef-a083-a40c2bc567a0,54.45411,-119.12721,12.65648,5.84377,-5.28529,-11.73016,-3.15274,11.19557,-5.57436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
