PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-07-18,14:03:14.25,1,1,"Stewart, Will",663489,Left,YOR,"Jimenez, Gilberto",678362,Right,HP,Undefined,1,Top,0,0,0,Undefined,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,87.12959,0.446858,3.381994,2123.940673,89.491519,9:00,5.11815,-2.02791,5.03466,-36.79608,0.92378,-18.28796,2.47415,-0.35744,80.40407,-6.215429,0.155218,0.442035,106.43796,-5.449039,-26.203555,,,,,22.20218,22.20218,-23.353786,0.135818,9.98036,0.63815,1.72013,50,5.13105,-6.65473,-126.42554,-0.4597,16.31457,23.36102,-31.1309,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,00f3f730-4530-11ef-bc1b-af92ec386ad8,85.27032,2.37322,,6.72552,,,,1.92553,2.37322,0.51494,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:03:14.25,2024-07-18T14:03:14.2570000-04:00,2024-07-18T18:03:14.2570000Z,GroundBall,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,4ae89c69-a5a6-43a7-8a89-1624b1e8a693,55.46819,-127.43195,11.68051,5.12197,0.88144,-15.56545,2.02196,-7.35758,8.15729,63.023422,1.92603,139.38442,-25.70727,,,,,,,2.37354,-14.85547,-19.31067,,,,,,,0.51509,-68.63488,0.29919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-07-18,14:03:44.27,2,1,"Stewart, Will",663489,Left,YOR,"Figueroa, Martin",676953,Right,HP,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.09224,-0.887498,3.767543,2268.379702,109.661887,9:45,5.2823,-1.82275,5.15604,-27.1169,8.07115,-19.68434,2.18525,0.08853,82.98905,-5.844728,0.289119,0.426942,,,,,,,,,,,,10.73414,4.56599,1.48607,50,5.17849,-7.68626,-130.63509,-3.07779,18.72683,25.0519,-24.20817,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,12d85950-4530-11ef-bc1b-af92ec386ad8,88.28466,,,7.10319,,,,,,,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:03:44.27,2024-07-18T14:03:44.2730000-04:00,2024-07-18T18:03:44.2730000Z,,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,3b8f1b7b-afb0-46cc-a5de-12ff90dbabcc,55.34511,-131.65613,12.52595,5.28383,-2.09113,-12.10409,1.8149,-8.4495,9.36342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-07-18,14:03:59.11,2,2,"Stewart, Will",663489,Left,YOR,"Figueroa, Martin",676953,Right,HP,Undefined,1,Top,0,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.85102,1.83071,0.785872,1940.144688,89.436643,9:00,4.9179,-2.20755,5.42172,-42.034,1.03154,-17.19962,3.13063,-2.90468,74.73119,-5.840188,-2.274524,0.47232,,,,,,,,,,,,8.82323,0.46039,2.14999,50,5.05114,-0.91276,-117.49947,2.28864,12.46156,20.12396,-31.52383,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,1bb37ff0-4530-11ef-bc1b-af92ec386ad8,79.80276,,,6.11983,,,,,,,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:03:59.11,2024-07-18T14:03:59.1110000-04:00,2024-07-18T18:03:59.1110000Z,,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,32e977f0-7217-48f9-85cd-3bd3c70f091a,55.08002,-118.36632,10.06198,4.92331,3.64654,-15.76191,2.20087,-1.44955,6.23078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-07-18,14:04:16.58,2,3,"Stewart, Will",663489,Left,YOR,"Figueroa, Martin",676953,Right,HP,Undefined,1,Top,0,1,1,Undefined,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.0314,0.104067,4.241413,2234.905532,101.766141,9:30,5.07963,-2.04982,5.12534,-31.21793,4.83398,-18.19517,2.57642,0.43609,82.0676,-5.57707,1.031586,0.432151,91.17975,41.642794,-2.943511,4727.978563,109.88947,93.35803,4.92992,304.59621,304.1606,10.748155,5.753402,10.16213,2.67595,1.66571,50,5.06503,-8.74939,-129.06985,-0.98337,17.32726,24.15179,-27.61135,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,26182cc0-4530-11ef-bc1b-af92ec386ad8,87.22053,117.38728,,6.9638,,,,1.68901,2.6775,-0.44013,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:04:16.58,2024-07-18T14:04:16.5800000-04:00,2024-07-18T18:04:16.5800000Z,FlyBall,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,26afa5e3-5a49-400e-a640-94dd578d28aa,55.37701,-130.07211,12.0759,5.08206,0.16246,-13.80567,2.04372,-9.46845,8.66363,203.009434,1.69547,99.67893,-24.14149,6.11152,-0.97636,0.05472,0.01073,-0.00205,0.0001,2.67047,88.98127,-19.32175,0.87281,-0.02022,-0.01934,0.0083,-0.0014,8E-05,-0.4418,-5.09568,9.23261,-2.90141,0.61546,-0.08048,0.00441,0.00014,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2024-07-18,14:04:49.09,3,1,"Stewart, Will",663489,Left,YOR,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.20015,-1.081679,5.036061,2277.535527,91.233934,9:00,5.18233,-1.82447,5.2385,-33.75565,1.50461,-19.24336,1.34863,1.31752,82.85282,-7.2144,1.636587,0.42738,,,,,,,,,,,,10.9893,1.34732,1.3753,50,5.0571,-10.62728,-130.54505,-3.80824,19.0518,26.29298,-29.83825,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,3978a790-4530-11ef-bc1b-af92ec386ad8,88.19423,,,7.34733,,,,,,,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:04:49.09,2024-07-18T14:04:49.0970000-04:00,2024-07-18T18:04:49.0970000Z,,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,768c3ce7-e369-4ead-a542-ddb05f7dfc30,55.26357,-131.60091,13.14649,5.18597,-2.61001,-14.91912,1.81742,-11.39235,9.5259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-07-18,14:05:03.20,3,2,"Stewart, Will",663489,Left,YOR,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.51965,0.729774,3.827429,1661.079709,103.848493,9:30,4.85605,-1.96396,5.62895,-41.7551,5.2491,-15.33631,2.05896,0.33464,71.1264,-6.943806,1.09458,0.493446,,,,,,,,,,,,8.79256,2.92,1.64758,50,4.8916,-6.93314,-112.38268,0.10552,11.26945,19.94928,-28.43146,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,41f00350-4530-11ef-bc1b-af92ec386ad8,76.38615,,,6.39325,,,,,,,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:05:03.20,2024-07-18T14:05:03.2010000-04:00,2024-07-18T18:05:03.2010000Z,,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,c5b93688-c505-4c36-b5b1-d1de59fb9437,54.87094,-113.24403,9.97464,4.86054,1.33311,-14.21573,1.95743,-7.41972,5.63472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-07-18,14:05:17.27,3,3,"Stewart, Will",663489,Left,YOR,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,1,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.63708,0.228656,3.442699,2292.721268,80.452547,8:45,5.15727,-1.88722,5.02175,-37.71293,-2.03433,-18.22308,2.23069,-0.15309,82.71438,-6.582262,0.227336,0.429908,,,,,,,,,,,,9.99693,-0.82256,1.57295,50,5.14827,-6.99241,-130.0634,-1.01943,17.28057,24.94971,-33.5959,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,4a4b4b90-4530-11ef-bc1b-af92ec386ad8,87.67561,,,6.92269,,,,,,,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:05:17.27,2024-07-18T14:05:17.2720000-04:00,2024-07-18T18:05:17.2720000Z,,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,bf869399-8bde-48c4-9763-d8853924a98e,55.48173,-131.11073,12.47485,5.16146,0.39085,-16.79795,1.8817,-7.71781,8.64029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-07-18,14:05:43.40,3,4,"Stewart, Will",663489,Left,YOR,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,1,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.11237,-0.14611,1.402663,3028.453286,322.963805,4:45,4.72561,-2.22553,4.84997,-48.3994,-3.37988,3.54788,0.55397,-0.60174,74.16042,-8.832694,2.028378,0.482916,50.1588,14.354852,173.883596,4008.60159,,,,56.43888,55.3598,172.75674,0.814142,-1.38473,-1.2389,2.08381,50,4.66952,-2.99785,-116.30349,-2.11881,-1.90669,20.73443,-33.87993,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,59dedfe0-4530-11ef-bc1b-af92ec386ad8,78.05174,3.5904,,5.95195,,,,-0.99665,0.04815,0.38332,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:05:43.40,2024-07-18T14:05:43.4070000-04:00,2024-07-18T18:05:43.4070000Z,GroundBall,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,fcfb2e38-a18b-47fc-be24-6e0847b765ed,55.6514,-117.30669,10.36722,4.73238,-0.47959,-16.93996,2.22663,-2.9056,-0.95335,15.816157,-0.99665,-70.86359,3.84282,0.40088,-0.20518,0.08859,-0.01724,0.00717,-0.00241,0.04815,18.239,-24.56787,3.00623,-0.61046,0.10077,-0.01544,0.00599,-0.00044,0.38332,7.59366,1.70992,-1.33208,0.37803,-0.09598,0.01875,-0.00748,0.00167,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
9,2024-07-18,14:06:18.39,3,5,"Stewart, Will",663489,Left,YOR,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,2,2,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.78373,0.222337,3.680272,2355.24446,116.318039,10:00,5.2266,-1.92822,5.26506,-27.13352,8.41288,-14.73658,3.17478,0.30585,81.98858,-4.771431,1.072632,0.42911,75.46593,20.941482,177.305673,2818.188747,-109.58824,15.46583,9.50848,160.79362,60.83091,173.820063,1.749738,8.21075,4.5204,1.60151,50,5.22738,-7.65189,-130.05338,-0.52571,14.10126,26.5736,-24.41068,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,6eb18850-4530-11ef-bc1b-af92ec386ad8,87.83854,18.44237,,7.79515,,,,2.91158,3.24085,-0.27334,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:06:18.39,2024-07-18T14:06:18.3960000-04:00,2024-07-18T18:06:18.3960000Z,LineDrive,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,d5cf9696-1b08-4e6c-8149-b25c556695cc,55.23108,-131.11788,13.2868,5.22885,0.45215,-12.20534,1.91935,-8.21677,7.05063,20.009835,2.9116,-103.25897,8.20254,-1.90249,0.4336,-0.02288,-0.08349,0.04934,-0.00895,3.24083,39.56051,-28.06701,3.52252,-0.76044,0.06931,0.07389,-0.04433,0.00791,-0.27335,4.86062,2.81678,0.23931,-0.18933,0.04851,0.04289,-0.03319,0.00668,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2024-07-18,14:06:39.85,3,6,"Stewart, Will",663489,Left,YOR,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,2,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.85714,-0.374866,2.926785,3265.636906,314.002171,4:30,4.90739,-2.12011,4.9837,-44.14798,-1.89406,3.33941,0.87392,0.92447,76.11293,-8.334627,3.515762,0.467848,,,,,,,,,,,,-0.83358,-0.49358,1.83481,50,4.83487,-6.28258,-120.09275,-2.45643,-1.21452,23.76033,-32.89321,YOR,HP,WellSpanPark,Independent,ATL,20240718-WellSpanPark-3,7b7dbf40-4530-11ef-bc1b-af92ec386ad8,80.56558,,,6.74421,,,,,,,33976cd2-4208-4251-b90b-2311f675a4ac,2024-07-18,18:06:39.85,2024-07-18T14:06:39.8520000-04:00,2024-07-18T18:06:39.8520000Z,,v3,5435,5431,,"Devenney, Ciaran",1000009904,Right,YOR,c71638e1-b81e-4251-ba2d-6107eeff329f,55.51719,-121.17941,11.88017,4.91281,-0.95208,-16.4466,2.12087,-6.22704,-0.60726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
